Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
HEX 1 : 1B230880	1F03878	99AED30	
DEC 1 : 455280768.000000	32520312.000000	161148208.000000	
HEX 2 : 1B78FA60	437D2D	245A788	
DEC 2 : 460913248.000000	4422957.000000	38119304.000000	
HEX 3 : 363B1E0	127A1960	5B2FD30	
DEC 3 : 56865248.000000	309991776.000000	95616304.000000	
HEX 4 : 181903C0	11EF45A0	13F20440	
DEC 4 : 404292544.000000	300893600.000000	334627904.000000	
HEX 5 : B7C5E20	113D5E20	C690530	
DEC 5 : 192699936.000000	289234464.000000	208209200.000000	
HEX 6 : 10DF5C40	1879E3C0	86DCF80	
DEC 6 : 283073600.000000	410641344.000000	141414272.000000	
HEX 7 : 156E6960	AE4B0F0	13E716A0	
DEC 7 : 359557472.000000	182759664.000000	333911712.000000	
HEX 8 : 14541C40	49700F0	1F028080	
DEC 8 : 341056576.000000	77005040.000000	520257664.000000	
HEX 9 : A6B84B0	A54EB50	F359A20	
DEC 9 : 174818480.000000	173337424.000000	255171104.000000	
HEX 10 : 1E59EB40	12A2BB40	BE9F3C0	
DEC 10 : 509209408.000000	312654656.000000	199881664.000000	
HEX 11 : 11242E20	1CB0B4C	FCAE0F0	
DEC 11 : 287583776.000000	30083916.000000	264954096.000000	
HEX 12 : 95D12D0	F761A60	1C4C75A0	
DEC 12 : 157094608.000000	259398240.000000	474772896.000000	
HEX 13 : 195792E0	D03C690	BE062D0	
DEC 13 : 425169632.000000	218351248.000000	199254736.000000	
HEX 14 : 72E03C0	A0B61E0	1608B1E0	
DEC 14 : 120456128.000000	168518112.000000	369668576.000000	
HEX 15 : E427F10	996FE20	1C352800	
DEC 15 : 239238928.000000	160890400.000000	473245696.000000	
HEX 16 : FB2FF10	113514C0	5E59F10	
DEC 16 : 263388944.000000	288691392.000000	98934544.000000	
HEX 17 : 1950C5A0	1879E2E0	1F30B880	
DEC 17 : 424723872.000000	410641120.000000	523286656.000000	
HEX 18 : 1D33AB40	BADFF10	1233B4C0	
DEC 18 : 489925440.000000	195952400.000000	305378496.000000	
HEX 19 : A997F10	3CAD4B4	12F060C0	
DEC 19 : 177831696.000000	63624372.000000	317743296.000000	
HEX 20 : 4774968	8900F1	D5082D0	
DEC 20 : 74926440.000000	8978673.000000	223380176.000000	
HEX 21 : A382690	C115000	5668A58	
DEC 21 : 171452048.000000	202461184.000000	90606168.000000	
HEX 22 : 100CE3C0	13149E20	18A58800	
DEC 22 : 269280192.000000	320118304.000000	413501440.000000	
HEX 23 : 11C2C780	1872FC40	1DC194C0	
DEC 23 : 297977728.000000	410188864.000000	499225792.000000	
HEX 24 : 254F000	F5F1970	13D72AA0	
DEC 24 : 39120896.000000	257890672.000000	332868256.000000	
HEX 25 : 163F2C40	AE7EC40	1B634480	
DEC 25 : 373238848.000000	182971456.000000	459490432.000000	
HEX 26 : 152AD3C0	185DA1E0	170ABC00	
DEC 26 : 355128256.000000	408789472.000000	386579456.000000	
HEX 27 : 152DD000	3B70788	16E4B8C0	
DEC 27 : 355323904.000000	62326664.000000	384088256.000000	
HEX 28 : 11D23C4	11E5F5A0	CDA6530	
DEC 28 : 18686916.000000	300283296.000000	215639344.000000	
HEX 29 : E6B6690	2692788	19F176E0	
DEC 29 : 241919632.000000	40445832.000000	435255008.000000	
HEX 30 : 9F0F0	28BF788	13BBC3	
DEC 30 : 651504.000000	42727304.000000	1293251.000000	
HEX 31 : E3AA3C0	C9615A0	154CDD60	
DEC 31 : 238724032.000000	211162528.000000	357358944.000000	
HEX 32 : 3FE5788	BBCA970	99F4400	
DEC 32 : 67000200.000000	196913520.000000	161432576.000000	
HEX 33 : 1D1CF100	426F698	120EA160	
DEC 33 : 488435968.000000	69662360.000000	302948704.000000	
HEX 34 : 16589E20	13D0E2E0	AAB1440	
DEC 34 : 374906400.000000	332456672.000000	178984000.000000	
HEX 35 : E4E8F10	5C652D0	404B748	
DEC 35 : 240029456.000000	96883408.000000	67417928.000000	
HEX 36 : 1C921E20	10C092E0	4D838B8	
DEC 36 : 479338016.000000	281055968.000000	81279160.000000	
HEX 37 : EFD1E2	1879F100	1F3AC260	
DEC 37 : 15716834.000000	410644736.000000	523944544.000000	
HEX 38 : 185DAD20	1879E3C0	103A0480	
DEC 38 : 408792352.000000	410641344.000000	272237696.000000	
HEX 39 : 1B8A35A0	5DBA698	1D2CAEA0	
DEC 39 : 462042528.000000	98281112.000000	489467552.000000	
HEX 40 : 1707DB40	1264F780	1B627100	
