Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 65
HEX 1 : 5DD7F10	171CE5A0	1C5E9C40	
DEC 1 : 98402064.000000	387769760.000000	475962432.000000	
HEX 2 : 129752E0	A5865A0	131BE1A0	
DEC 2 : 311907040.000000	173565344.000000	320594336.000000	
HEX 3 : 542EE20	D00C2D0	13531C40	
DEC 3 : 88272416.000000	218153680.000000	324213824.000000	
HEX 4 : D8BCF10	D609000	17CDDB00	
DEC 4 : 227266320.000000	224432128.000000	399366912.000000	
HEX 5 : 11B6FD20	B2CD780	B6D70B0	
DEC 5 : 297205024.000000	187488128.000000	191721648.000000	
HEX 6 : 31F42D4	CCFDC40	BCDAE20	
DEC 6 : 52380372.000000	214948928.000000	198028832.000000	
HEX 7 : 2926A5C	7E8D000	1EEA91E0	
DEC 7 : 43149916.000000	132698112.000000	518689248.000000	
HEX 8 : 733A1E0	1879E4C0	9E991A0	
DEC 8 : 120824288.000000	410641600.000000	166302112.000000	
HEX 9 : 10ED01E0	83B1E20	1C236700	
DEC 9 : 283967968.000000	138092064.000000	472082176.000000	
HEX 10 : B665690	12F78A60	133D4620	
DEC 10 : 191256208.000000	318212704.000000	322782752.000000	
HEX 11 : A4E71E0	4E9D2D	61B9968	
DEC 11 : 172913120.000000	5152045.000000	102472040.000000	
HEX 12 : D492F10	187A1000	18030260	
DEC 12 : 222899984.000000	410652672.000000	402850400.000000	
HEX 13 : 16FBF1E0	3ECDD2C	1AEF36E0	
DEC 13 : 385610208.000000	65854764.000000	451884768.000000	
HEX 14 : 5189C40	4E03C4	B8B1400	
DEC 14 : 85498944.000000	5112772.000000	193664000.000000	
HEX 15 : 52F4000	134EDF00	F00D0F0	
DEC 15 : 86982656.000000	323936000.000000	251711728.000000	
HEX 16 : 187E9A60	BC021E0	EA6D9A0	
DEC 16 : 410950240.000000	197140960.000000	245815712.000000	
HEX 17 : 62C9F10	185F64C0	14ED1220	
DEC 17 : 103587600.000000	408904896.000000	351080992.000000	
HEX 18 : 180C03C0	B6925A0	182FF6A0	
DEC 18 : 403440576.000000	191440288.000000	405796512.000000	
HEX 19 : 187E75A0	187925A0	9198220	
DEC 19 : 410940832.000000	410592672.000000	152666656.000000	
HEX 20 : 1076AA60	FC43970	597D530	
DEC 20 : 276212320.000000	264518000.000000	93836592.000000	
HEX 21 : 255F968	5ADC3C0	17BA0120	
DEC 21 : 39188840.000000	95273920.000000	398065952.000000	
HEX 22 : B21F4B0	AF56D30	F13BE90	
DEC 22 : 186774704.000000	183856432.000000	252952208.000000	
HEX 23 : 160F0	123C9B40	149E2EA0	
DEC 23 : 90352.000000	305961792.000000	345910944.000000	
HEX 24 : 14D12D2	62D13C0	8BF6310	
DEC 24 : 21828306.000000	103617472.000000	146760464.000000	
HEX 25 : 14E67100	1879EF00	FB74C00	
DEC 25 : 350646528.000000	410644224.000000	263670784.000000	
HEX 26 : 127733C0	1308A4C0	187F2C40	
DEC 26 : 309801920.000000	319333568.000000	410987584.000000	
HEX 27 : 76FA2D0	5BAB5A8	DFD21E	
DEC 27 : 124756688.000000	96122280.000000	14668318.000000	
HEX 28 : 8FD8F10	7914000	8B48570	
DEC 28 : 150834960.000000	126959616.000000	146048368.000000	
HEX 29 : 17E164C0	92223C0	79E5D30	
DEC 29 : 400647360.000000	153232320.000000	127819056.000000	
HEX 30 : D6A4A60	16B90C40	1F553620	
DEC 30 : 225069664.000000	381226048.000000	525678112.000000	
HEX 31 : AC7E5A0	151883C0	4372B10	
DEC 31 : 180872608.000000	353928128.000000	70724368.000000	
HEX 32 : 9562880	DB7CA60	263283C	
DEC 32 : 156641408.000000	230148704.000000	40052796.000000	
HEX 33 : 113452E0	16CCB780	83B5750	
DEC 33 : 288641760.000000	382515072.000000	138106704.000000	
HEX 34 : 101874C0	2566878	1657D500	
DEC 34 : 270038208.000000	39217272.000000	374854912.000000	
HEX 35 : B5DEE20	36FC878	F5051A0	
DEC 35 : 190705184.000000	57657464.000000	256922016.000000	
HEX 36 : 176864C0	11D756A0	12F166E0	
DEC 36 : 392717504.000000	299325088.000000	317810400.000000	
HEX 37 : 23FC968	447A5A	1ED67100	
DEC 37 : 37734760.000000	4487770.000000	517370112.000000	
HEX 38 : EADB0F0	DAA3C4	1E3F6800	
DEC 38 : 246264048.000000	14328772.000000	507471872.000000	
HEX 39 : 1516FC40	AAA1E20	CB8F4B	
DEC 39 : 353827904.000000	178920992.000000	13340491.000000	
HEX 40 : 11856780	14735A6	2961698	
DEC 40 : 293955456.000000	21444006.000000	43390616.000000	
HEX 41 : 2E11E20	6675A5	39E41E0	
DEC 41 : 48307744.000000	6714789.000000	60703200.000000	
HEX 42 : 89700F0	209E1E	18EA9700	
DEC 42 : 144113904.000000	2137630.000000	418027264.000000	
HEX 43 : 9AFD0F0	65A4F10	1D01CC40	
DEC 43 : 162517232.000000	106581776.000000	486657088.000000	
HEX 44 : 52AFF10	18774100	7F1C3C	
DEC 44 : 86703888.000000	410468608.000000	8330300.000000	
HEX 45 : 187E8A60	4128698	213E5E0	
DEC 45 : 410946144.000000	68322968.000000	34858464.000000	
HEX 46 : 187AAC40	3449968	C4D35A0	
DEC 46 : 410692672.000000	54827368.000000	206386592.000000	
HEX 47 : 187E7100	58E21E0	1379A560	
DEC 47 : 410939648.000000	93200864.000000	326739296.000000	
HEX 48 : 9AF23C0	752C878	1589F040	
DEC 48 : 162472896.000000	122865784.000000	361361472.000000	
HEX 49 : FE62F10	42BB1E0	9589530	
DEC 49 : 266743568.000000	69972448.000000	156800304.000000	
