Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 1 : 1FC0BC40	19350800	18300620	
DEC 1 : 532724800.000000	422905856.000000	405800480.000000	
HEX 2 : A7C1180	1B296B20	12F631E0	
DEC 2 : 175903104.000000	455699232.000000	318124512.000000	
HEX 3 : 106EA040	B2E3000	1317B880	
DEC 3 : 275685440.000000	187576320.000000	320321664.000000	
HEX 4 : 1C92BC40	CA68D10	2479BC4	
DEC 4 : 479378496.000000	212241680.000000	38247364.000000	
HEX 5 : 1B193C40	6DC0610	18C88520	
DEC 5 : 454638656.000000	115082768.000000	415794464.000000	
HEX 6 : 5A6C9	7C7F5C0	1C8C0AE0	
DEC 6 : 370377.000000	130545088.000000	478939872.000000	
HEX 7 : 15BB6CE0	1EC24800	1E436520	
DEC 7 : 364604640.000000	516048896.000000	507733280.000000	
HEX 8 : E5119D0	8CD836	DA18880	
DEC 8 : 240196048.000000	9230390.000000	228690048.000000	
HEX 9 : 16C13A20	215EDB4	11F22D20	
DEC 9 : 381762080.000000	34991540.000000	301083936.000000	
HEX 10 : 17C217A0	9854930	12952000	
DEC 10 : 398596000.000000	159729968.000000	311762944.000000	
HEX 11 : C11B8	15A21A00	14B45A60	
DEC 11 : 790968.000000	362945024.000000	347363936.000000	
HEX 12 : 144B0600	3903DA8	1EEA8000	
DEC 12 : 340461056.000000	59784616.000000	518684672.000000	
HEX 13 : 1F2D4DA0	1AEFE580	9037E90	
DEC 13 : 523062688.000000	451929472.000000	151223952.000000	
HEX 14 : 15BEC9E0	156F2	344BAD4	
DEC 14 : 364825056.000000	87794.000000	54835924.000000	
HEX 15 : E152170	16484	1C943B40	
DEC 15 : 236265840.000000	91268.000000	479476544.000000	
HEX 16 : C82DBE0	D681BD0	81A1F80	
DEC 16 : 209902560.000000	224926672.000000	135929728.000000	
HEX 17 : 17890960	FF5ED50	17BE3700	
DEC 17 : 394856800.000000	267775312.000000	398341888.000000	
HEX 18 : 171E9540	18E21280	AC170F0	
DEC 18 : 387880256.000000	417469056.000000	180449520.000000	
HEX 19 : A0112D0	154F2D40	8544F10	
DEC 19 : 167842512.000000	357510464.000000	139742992.000000	
HEX 20 : 720C4	1EF0E160	1CC20100	
DEC 20 : 467140.000000	519102816.000000	482476288.000000	
HEX 21 : B69EC70	6000D18	932AE90	
DEC 21 : 191491184.000000	100666648.000000	154316432.000000	
HEX 22 : 5C6DF38	FF03FC0	B7CF260	
DEC 22 : 96919352.000000	267403200.000000	192737888.000000	
HEX 23 : 1E0A79A0	19861BA0	1FB094C0	
DEC 23 : 504002976.000000	428219296.000000	531666112.000000	
HEX 24 : 5E9A6	3BAE8A0	63B3F10	
DEC 24 : 387494.000000	62580896.000000	104546064.000000	
HEX 25 : E8E9DB0	8550340	1D2371E0	
DEC 25 : 244227504.000000	139789120.000000	488862176.000000	
HEX 26 : E830A80	14CE8280	13414000	
DEC 26 : 243468928.000000	349078144.000000	323043328.000000	
HEX 27 : 120182A0	844CAA0	C10B080	
DEC 27 : 302088864.000000	138726048.000000	202420352.000000	
HEX 28 : 3A10E04	7975710	BD615A0	
DEC 28 : 60886532.000000	127358736.000000	198579616.000000	
HEX 29 : 83F50C0	13E1EDC0	125EB4C	
DEC 29 : 138367168.000000	333573568.000000	19262284.000000	
HEX 30 : B560880	18259900	19CEE900	
DEC 30 : 190187648.000000	405117184.000000	432990464.000000	
HEX 31 : 94774	127BD0E0	1F3D6100	
DEC 31 : 608116.000000	310104288.000000	524116224.000000	
HEX 32 : 16030280	1E011220	109C0E20	
DEC 32 : 369296000.000000	503386656.000000	278662688.000000	
HEX 33 : 3CFC570	1AE6D880	31C4620	
DEC 33 : 63948144.000000	451336320.000000	52184608.000000	
HEX 34 : 1C169100	1673A	D0E1F80	
DEC 34 : 471240960.000000	91962.000000	219029376.000000	
HEX 35 : 16B8B980	16AABF40	1364D1E0	
DEC 35 : 381204864.000000	380288832.000000	325374432.000000	
HEX 36 : 1EEEDDA0	17CB1	1AFCFEA0	
DEC 36 : 518970784.000000	97457.000000	452787872.000000	
HEX 37 : 5F2E6C0	DA7C7A0	14579DA0	
DEC 37 : 99804864.000000	229099424.000000	341286304.000000	
HEX 38 : 120C9EA0	1B453700	4C8CE98	
DEC 38 : 302816928.000000	457520896.000000	80268952.000000	
HEX 39 : 67CB2	1475E5C0	D444BC0	
DEC 39 : 425138.000000	343270848.000000	222579648.000000	
HEX 40 : 28A4008	57446F8	15D7F520	
DEC 40 : 42614792.000000	91506424.000000	366474528.000000	
HEX 41 : 69A4D	D1FC280	F747A60	
DEC 41 : 432717.000000	220185216.000000	259291744.000000	
HEX 42 : F8ED200	1B650D80	CF5D530	
DEC 42 : 261018112.000000	459607424.000000	217437488.000000	
HEX 43 : 1CED17C0	142E88E	5ADCC40	
DEC 43 : 485300160.000000	21162126.000000	95276096.000000	
HEX 44 : A223BE0	1CB1EAC0	6D8A258	
DEC 44 : 170015712.000000	481422016.000000	114860632.000000	
HEX 45 : 19798280	7AD7AC0	B510880	
DEC 45 : 427393664.000000	128809664.000000	189859968.000000	
HEX 46 : 6C73060	54F81F8	34E152C	
DEC 46 : 113717344.000000	89096696.000000	55448876.000000	
HEX 47 : 10B01D00	1414B2A0	B930530	
DEC 47 : 279977216.000000	336900768.000000	194184496.000000	
HEX 48 : 7696BE0	11965EA	10951260	
DEC 48 : 124349408.000000	18441706.000000	278205024.000000	
HEX 49 : 158338C0	10274380	FD0D350	
DEC 49 : 360921280.000000	271008640.000000	265343824.000000	
HEX 50 : 1C6D5E40	E3D8FB0	D87E9E0	
DEC 50 : 476929600.000000	238915504.000000	227011040.000000	
HEX 51 : 1A1FEF20	18CF6140	3DA3620	
DEC 51 : 438300448.000000	416244032.000000	64632352.000000	
HEX 52 : 17A30580	1610F	19210800	
DEC 52 : 396559744.000000	90383.000000	421595136.000000	
HEX 53 : F9A7F10	863BB40	36A8CB4	
DEC 53 : 261783312.000000	140753728.000000	57314484.000000	
HEX 54 : 1B3264C0	12295BE0	738D968	
DEC 54 : 456287424.000000	304700384.000000	121166184.000000	
HEX 55 : 5F249	15F94	1A63BA60	
DEC 55 : 389705.000000	90004.000000	442743392.000000	
HEX 56 : 58521B0	D77A0D0	1DFC2A60	
DEC 56 : 92610992.000000	225943760.000000	503065184.000000	
HEX 57 : 5EDD8	C1EE340	6B1FF88	
DEC 57 : 388568.000000	203350848.000000	112328584.000000	
HEX 58 : 193256A0	10D55540	1F7771E0	
DEC 58 : 422729376.000000	282416448.000000	527921632.000000	
HEX 59 : 11D73240	1AED6C20	173ACDA0	
DEC 59 : 299315776.000000	451767328.000000	389729696.000000	
HEX 60 : 1DEE0F80	13096420	13BDD260	
DEC 60 : 502140800.000000	319382560.000000	331207264.000000	
HEX 61 : 5F57E	2231EA0	F920620	
DEC 61 : 390526.000000	35856032.000000	261228064.000000	
HEX 62 : 10389AA0	19BCC300	1F500080	
DEC 62 : 272145056.000000	431801088.000000	525336704.000000	
HEX 63 : 6B3D8A0	208965	9265A60	
DEC 63 : 112449696.000000	2132325.000000	153508448.000000	
HEX 64 : 76547F0	68FA000	1BA244C0	
DEC 64 : 124078064.000000	110075904.000000	463619264.000000	
HEX 65 : 1324ABA0	5DF90C0	17B1B960	
DEC 65 : 321170336.000000	98537664.000000	397523296.000000	
HEX 66 : 155E1D40	D6C0FA0	7B8CD30	
DEC 66 : 358489408.000000	225185696.000000	129551664.000000	
HEX 67 : 10DF83A0	13275DA0	1AF15E20	
DEC 67 : 283083680.000000	321346976.000000	452025888.000000	
HEX 68 : EC8E650	10CED	622D8F0	
DEC 68 : 248047184.000000	68845.000000	102947056.000000	
HEX 69 : 15239400	18FFE02	A9C5350	
DEC 69 : 354653184.000000	26213890.000000	178017104.000000	
