Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 141924C0	16A6F	135D078	
DEC 1 : 337192128.000000	92783.000000	20303992.000000	
HEX 2 : 14230160	16F7D740	19766EA0	
DEC 2 : 337838432.000000	385341248.000000	427191968.000000	
HEX 3 : 13E43EA0	1E7B1A20	19E62900	
DEC 3 : 333725344.000000	511384096.000000	434514176.000000	
HEX 4 : E99DE60	1C192B60	1519C080	
DEC 4 : 244964960.000000	471411552.000000	354009216.000000	
HEX 5 : 1DCD36A0	971CAA0	65343C	
DEC 5 : 499988128.000000	158452384.000000	6632508.000000	
HEX 6 : 1CDC2260	18362F40	92A7000	
DEC 6 : 484188768.000000	406204224.000000	153776128.000000	
HEX 7 : 9A73B50	16B2D	1685B3C0	
DEC 7 : 161954640.000000	92973.000000	377861056.000000	
HEX 8 : 458DD68	16AEE	6746F88	
DEC 8 : 72932712.000000	92910.000000	108294024.000000	
HEX 9 : 7AD39A8	1F1E2F40	140FA6A0	
DEC 9 : 128793000.000000	522071872.000000	336570016.000000	
HEX 10 : 74F0348	6A5CED	1DAA61E0	
DEC 10 : 122618696.000000	6970605.000000	497705440.000000	
HEX 11 : 1A509BC0	12FD0000	1B19C1E0	
DEC 11 : 441490368.000000	318570496.000000	454672864.000000	
HEX 12 : 16B40120	198EFE20	3EBDC3C	
DEC 12 : 380895520.000000	428801568.000000	65788988.000000	
HEX 13 : FFFDE90	169B2	127872E0	
DEC 13 : 268426896.000000	92594.000000	309883616.000000	
HEX 14 : 1466E0C0	1C6004A0	D5829E0	
DEC 14 : 342286528.000000	476054688.000000	223881696.000000	
HEX 15 : B966780	28489B4	CD20E20	
DEC 15 : 194406272.000000	42240436.000000	215092768.000000	
HEX 16 : 9B8F690	13FF0220	14436CC0	
DEC 16 : 163116688.000000	335479328.000000	339963072.000000	
HEX 17 : 1871A040	91EB9D0	A0B15A0	
DEC 17 : 410099776.000000	153008592.000000	168498592.000000	
HEX 18 : 1B36DE2	15C31A00	4124B48	
DEC 18 : 28536290.000000	365107712.000000	68307784.000000	
HEX 19 : 1EB32B40	6326F	179C3C4	
DEC 19 : 515058496.000000	406127.000000	24757188.000000	
HEX 20 : 1A5A2D20	16B6C	8D36A60	
DEC 20 : 442117408.000000	93036.000000	148073056.000000	
HEX 21 : 134E2740	1300DC20	2723E20	
DEC 21 : 323888960.000000	318823456.000000	41041440.000000	
HEX 22 : 178629A0	102A34E0	14B3ED20	
DEC 22 : 394668448.000000	271201504.000000	347335968.000000	
HEX 23 : 920E8B0	BAB5680	16E73100	
DEC 23 : 153151664.000000	195778176.000000	384250112.000000	
HEX 24 : 17F97880	16AAF	1DC5C520	
DEC 24 : 402225280.000000	92847.000000	499500320.000000	
HEX 25 : 3FA5CB4	130887C0	1908DEA0	
DEC 25 : 66739380.000000	319326144.000000	420011680.000000	
HEX 26 : 10D00520	EEE3E	7FD3A58	
DEC 26 : 282068256.000000	978494.000000	134036056.000000	
HEX 27 : 108F4300	1DD935E0	32EC968	
DEC 27 : 277824256.000000	500774368.000000	53397864.000000	
HEX 28 : E3F08B0	7504C88	12039B40	
DEC 28 : 239012016.000000	122702984.000000	302226240.000000	
HEX 29 : 8626570	9701CA0	DC56880	
DEC 29 : 140666224.000000	158342304.000000	231041152.000000	
HEX 30 : 141EAEA0	439CF40	DCA5970	
DEC 30 : 337555104.000000	70897472.000000	231364976.000000	
HEX 31 : 18B4D500	DE7E920	3AF8698	
DEC 31 : 414504192.000000	233302304.000000	61834904.000000	
HEX 32 : 16AB6AA0	1A58D440	1FB24160	
DEC 32 : 380332704.000000	442029120.000000	531775840.000000	
HEX 33 : 6D8FC40	1AEDE420	8D9F2D0	
DEC 33 : 114883648.000000	451798048.000000	148501200.000000	
HEX 34 : 11A40C80	14BF9640	1030C100	
DEC 34 : 295963776.000000	348100160.000000	271630592.000000	
HEX 35 : 6E64B4	1D2AC260	1313AD2	
DEC 35 : 7234740.000000	489341536.000000	20003538.000000	
HEX 36 : 1EC38260	D0084C0	81C0A60	
DEC 36 : 516129376.000000	218137792.000000	136055392.000000	
HEX 37 : F652620	7F497C0	9446F80	
DEC 37 : 258287136.000000	133470144.000000	155479936.000000	
HEX 38 : 300812C	D248070	A07A170	
DEC 38 : 50364716.000000	220495984.000000	168272240.000000	
HEX 39 : B55697	1154ADA0	1F9992E0	
DEC 39 : 11884183.000000	290762144.000000	530158304.000000	
HEX 40 : 1043F960	16647920	1FE5DA60	
DEC 40 : 272890208.000000	375683360.000000	535157344.000000	
HEX 41 : BC4F690	70D1D68	1E28C6A0	
DEC 41 : 197457552.000000	118300008.000000	505988768.000000	
HEX 42 : 1F9E1F80	10E69100	1215E960	
DEC 42 : 530456448.000000	283545856.000000	303425888.000000	
HEX 43 : 3BBA74C	1EEA5A20	1B125BC0	
DEC 43 : 62629708.000000	518674976.000000	454187968.000000	
HEX 44 : 1A34F920	D18F620	1FC9ED20	
DEC 44 : 439679264.000000	219739680.000000	533327136.000000	
HEX 45 : 1B9C4B80	1FA7FEE0	1DAC7800	
DEC 45 : 463227776.000000	531103456.000000	497842176.000000	
HEX 46 : 5E058F0	D5D6AF0	1DDE61E	
DEC 46 : 98588912.000000	224226032.000000	31319582.000000	
HEX 47 : 1A54BB00	DBD2BB	1064AF80	
DEC 47 : 441760512.000000	14406331.000000	275033984.000000	
HEX 48 : 55FEF88	54A0950	134961E0	
DEC 48 : 90173320.000000	88738128.000000	323576288.000000	
HEX 49 : 11B649E0	B6B0AA0	26D8A5C	
DEC 49 : 297159136.000000	191564448.000000	40733276.000000	
HEX 50 : 1CA66440	13A57D00	B96D2D	
DEC 50 : 480666688.000000	329612544.000000	12152109.000000	
HEX 51 : BD36CF0	194A7360	EB06F80	
DEC 51 : 198405360.000000	424309600.000000	246443904.000000	
HEX 52 : 18487EE0	92FE340	191D9EA0	
DEC 52 : 407404256.000000	154133312.000000	421371552.000000	
HEX 53 : 9D852D0	1A882D40	1AB93E20	
DEC 53 : 165171920.000000	445132096.000000	448347680.000000	
HEX 54 : F37C080	17E93440	81BB9E0	
DEC 54 : 255312000.000000	401159232.000000	136034784.000000	
HEX 55 : 60490F0	C515640	1DC391E0	
DEC 55 : 100962544.000000	206657088.000000	499356128.000000	
HEX 56 : 1E4BC260	1F0FB780	BF14800	
DEC 56 : 508281440.000000	521123712.000000	200361984.000000	
HEX 57 : 1EBC6900	D2134E0	18A569E0	
DEC 57 : 515664128.000000	220280032.000000	413493728.000000	
HEX 58 : 4739658	189F3700	11860C40	
DEC 58 : 74683992.000000	413087488.000000	293997632.000000	
HEX 59 : 4873A20	EDED0D0	1148E780	
DEC 59 : 75971104.000000	249483472.000000	289990528.000000	
HEX 60 : B01D080	12F63F20	1BBDEEA0	
DEC 60 : 184668288.000000	318127904.000000	465432224.000000	
HEX 61 : D09F4B	64AC060	C42CF10	
DEC 61 : 13672267.000000	105562208.000000	205704976.000000	
HEX 62 : A7E7780	D871750	7CFCC40	
DEC 62 : 176060288.000000	226957136.000000	131058752.000000	
HEX 63 : C4B3C4	142E4380	BEE51E0	
DEC 63 : 12891076.000000	338576256.000000	200167904.000000	
HEX 64 : D34ACB0	EAA0350	103F6080	
DEC 64 : 221555888.000000	246022992.000000	272588928.000000	
HEX 65 : 311E1E0	644A720	1A632BC0	
DEC 65 : 51503584.000000	105162528.000000	442706880.000000	
HEX 66 : 10443D00	1125EBE0	16A99F80	
DEC 66 : 272907520.000000	287697888.000000	380215168.000000	
HEX 67 : 1468696	758E020	4D1F5A8	
DEC 67 : 21399190.000000	123265056.000000	80868776.000000	
HEX 68 : 19DD02A0	FB8A0D0	D600B50	
DEC 68 : 433914528.000000	263758032.000000	224398160.000000	
HEX 69 : 11B0E920	F203840	9576E20	
DEC 69 : 296806688.000000	253769792.000000	156724768.000000	
HEX 70 : 1B438560	19F61D00	186C6620	
DEC 70 : 457409888.000000	435559680.000000	409757216.000000	
HEX 71 : 1C4CEF00	1709A	179C3CC0	
DEC 71 : 474803968.000000	94362.000000	396115136.000000	
HEX 72 : 1EC61620	62CFB58	CDD1DA0	
DEC 72 : 516298272.000000	103611224.000000	215817632.000000	
HEX 73 : 1D2A09E0	5CB3DD8	1DBC9CC0	
DEC 73 : 489294304.000000	97205720.000000	498900160.000000	
HEX 74 : 19BB6EE0	1EFE50C0	12A88880	
DEC 74 : 431714016.000000	519983296.000000	313034880.000000	
HEX 75 : 495C4B8	162C9	DFAFC40	
DEC 75 : 76924088.000000	90825.000000	234552384.000000	
HEX 76 : 1764FF80	684B818	30E5878	
DEC 76 : 392494976.000000	109361176.000000	51271800.000000	
HEX 77 : 86E81E0	6504658	6EBB5A8	
DEC 77 : 141459936.000000	105924184.000000	116110760.000000	
HEX 78 : 14058F40	B85D680	FA4CDA0	
DEC 78 : 335908672.000000	193320576.000000	262458784.000000	
HEX 79 : F69CE90	16B6C	1B731B40	
DEC 79 : 258592400.000000	93036.000000	460528448.000000	
HEX 80 : 8373D30	13221CE0	C4AEC40	
DEC 80 : 137837872.000000	321002720.000000	206236736.000000	
HEX 81 : 1F79EEA0	1A3DA960	119AD260	
DEC 81 : 528084640.000000	440248672.000000	295359072.000000	
HEX 82 : 153A7CC0	2906C0C	173EE520	
DEC 82 : 356154560.000000	43019276.000000	389997856.000000	
HEX 83 : 1AF64500	9FB8250	121FC100	
DEC 83 : 452347136.000000	167477840.000000	304070912.000000	
HEX 84 : 10345F40	9EDA130	18CC4700	
