Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 1596BD20	1676DB00	1FC47B40	
DEC 1 : 362200352.000000	376888064.000000	532970304.000000	
HEX 2 : 436078	62AA978	15DE9900	
DEC 2 : 4415608.000000	103459192.000000	366909696.000000	
HEX 3 : 1F42A5A	1D634020	17FB0A60	
DEC 3 : 32778842.000000	493043744.000000	402328160.000000	
HEX 4 : 8C592D0	F831620	EC911E0	
DEC 4 : 147165904.000000	260249120.000000	248058336.000000	
HEX 5 : 100C31E0	16B6C	5AB4530	
DEC 5 : 269234656.000000	93036.000000	95110448.000000	
HEX 6 : 5AC8800	174FBD60	1F49C2E0	
DEC 6 : 95193088.000000	391101792.000000	524927712.000000	
HEX 7 : 63A7000	DF564D0	7DEFDA8	
DEC 7 : 104493056.000000	234185936.000000	132054440.000000	
HEX 8 : 16CE2C40	14264320	4C270F	
DEC 8 : 382610496.000000	338051872.000000	4990735.000000	
HEX 9 : 8E5EE90	160F8500	182C2D20	
DEC 9 : 149286544.000000	370115840.000000	405548320.000000	
HEX 10 : 14EF95A0	3009F60	A8C9530	
DEC 10 : 351245728.000000	50372448.000000	176985392.000000	
HEX 11 : 12FFB080	7F826F0	11F8DAE0	
DEC 11 : 318746752.000000	133703408.000000	301521632.000000	
HEX 12 : 3395620	EBD74B0	102ED2E	
DEC 12 : 54089248.000000	247297200.000000	16969006.000000	
HEX 13 : 1629CB40	670312	1919F1E0	
DEC 13 : 371837760.000000	6750994.000000	421130720.000000	
HEX 14 : 1DAE62E0	14F4C	193775A0	
DEC 14 : 497967840.000000	85836.000000	423064992.000000	
HEX 15 : 1DF08BC0	B9366	732078	
DEC 15 : 502303680.000000	758630.000000	7544952.000000	
HEX 16 : 1CF79AE0	11EE52E0	1411A2E0	
DEC 16 : 485989088.000000	300831456.000000	336700128.000000	
HEX 17 : 10720960	6F0D9C0	25A243C	
DEC 17 : 275908960.000000	116447680.000000	39461948.000000	
HEX 18 : 1F10CD20	77A2390	E389E2	
DEC 18 : 521194784.000000	125445008.000000	14911970.000000	
HEX 19 : D2671E0	1AAD8AA0	1E301AE0	
DEC 19 : 220623328.000000	447580832.000000	506469088.000000	
HEX 20 : 1615CB40	A035D10	80E0F10	
DEC 20 : 370527040.000000	167992592.000000	135139088.000000	
HEX 21 : BAF7BC0	8C00930	105C3E20	
DEC 21 : 196049856.000000	146802992.000000	274480672.000000	
HEX 22 : 122EEEA0	6C04C10	1A07E340	
DEC 22 : 305065632.000000	113265680.000000	436724544.000000	
HEX 23 : 19B45A60	6F91CE8	1A4DC9E0	
DEC 23 : 431250016.000000	116989160.000000	441305568.000000	
HEX 24 : 15A78080	C52BD00	1DB82260	
DEC 24 : 363298944.000000	206748928.000000	498606688.000000	
HEX 25 : 16EA9C40	CB7E590	164E9340	
DEC 25 : 384474176.000000	213378448.000000	374248256.000000	
HEX 26 : 80D5D30	483CD70	B4E2530	
DEC 26 : 135093552.000000	75746672.000000	189670704.000000	
HEX 27 : 23AC5A4	59A6F40	51EE9E0	
DEC 27 : 37406116.000000	94007104.000000	85912032.000000	
HEX 28 : 222152C	16A6F	A27C5A0	
DEC 28 : 35788076.000000	92783.000000	170378656.000000	
HEX 29 : 1E90A100	BF87720	922BCB0	
DEC 29 : 512794880.000000	200832800.000000	153271472.000000	
HEX 30 : 1C56CC40	4B05510	75459E0	
DEC 30 : 475450432.000000	78664976.000000	122968544.000000	
HEX 31 : A2E8530	1D4D7700	166EDC40	
DEC 31 : 170820912.000000	491616000.000000	376364096.000000	
HEX 32 : 938AF10	830E380	41140F0	
DEC 32 : 154709776.000000	137421696.000000	68239600.000000	
HEX 33 : 1A3B7160	15E04820	19DE99E0	
DEC 33 : 440103264.000000	367020064.000000	434018784.000000	
HEX 34 : 5EE13C0	151EF2E0	4317530	
DEC 34 : 99488704.000000	354349792.000000	70350128.000000	
HEX 35 : 1FF4DEA0	53DD9C0	1E200BC0	
DEC 35 : 536141472.000000	87939520.000000	505416640.000000	
HEX 36 : 1B5066A0	1C75C8E0	1D5BC160	
DEC 36 : 458253984.000000	477481184.000000	492552544.000000	
HEX 37 : BEC73C0	6853470	1E356F00	
DEC 37 : 200045504.000000	109393008.000000	506818304.000000	
HEX 38 : F70EB50	14F18500	2FB4A5C	
DEC 38 : 259058512.000000	351372544.000000	50023004.000000	
HEX 39 : D76DBC0	C3319C0	17DAB960	
DEC 39 : 225893312.000000	204675520.000000	400210272.000000	
HEX 40 : 394CAD4	10705E	198744C0	
DEC 40 : 60082900.000000	1077342.000000	428295360.000000	
HEX 41 : 1B352A60	1BB46E20	1926800	
DEC 41 : 456469088.000000	464809504.000000	26372096.000000	
HEX 42 : C17F800	146AFAE0	9BC4C40	
DEC 42 : 202897408.000000	342555360.000000	163335232.000000	
HEX 43 : E8B2440	11DCBBA0	1302BA60	
DEC 43 : 243999808.000000	299678624.000000	318945888.000000	
HEX 44 : 715CE98	1F0992E0	1D3CE5A0	
DEC 44 : 118869656.000000	520721120.000000	490530208.000000	
HEX 45 : DABD1E0	169F1	14720260	
DEC 45 : 229364192.000000	92657.000000	343016032.000000	
HEX 46 : D8D3880	E084960	6059968	
DEC 46 : 227358848.000000	235424096.000000	101030248.000000	
HEX 47 : 1B2C3C4	16B6C	11B11F80	
DEC 47 : 28492740.000000	93036.000000	296820608.000000	
HEX 48 : 12D356A0	E380F70	DC15C40	
DEC 48 : 315840160.000000	238554992.000000	230775872.000000	
HEX 49 : 43B1F88	9C8A960	10974900	
DEC 49 : 70983560.000000	164145504.000000	278350080.000000	
HEX 50 : F132690	7A820B8	9B9F4B0	
DEC 50 : 252913296.000000	128458936.000000	163181744.000000	
HEX 51 : 14A32520	6871F3	119DD260	
DEC 51 : 346236192.000000	6844915.000000	295555680.000000	
HEX 52 : 1DA45520	F4F5580	1B442780	
DEC 52 : 497308960.000000	256857472.000000	457451392.000000	
HEX 53 : 15B29B40	13E34160	14326620	
DEC 53 : 364026688.000000	333660512.000000	338847264.000000	
HEX 54 : 542E000	1F05A700	10FFE260	
DEC 54 : 88268800.000000	520464128.000000	285205088.000000	
HEX 55 : F27DD30	16AEE	1BD3B1E0	
DEC 55 : 254270768.000000	92910.000000	466858464.000000	
HEX 56 : 5F0A5A8	EC720D0	15F5EDA0	
DEC 56 : 99657128.000000	247931088.000000	368438688.000000	
HEX 57 : 5B7A8F0	1A0BD840	B13D440	
DEC 57 : 95922416.000000	436983872.000000	185848896.000000	
HEX 58 : 87FF88	1115D740	1EE60BC0	
DEC 58 : 8912776.000000	286644032.000000	518392768.000000	
HEX 59 : 1B56C4C0	16A6F	D23C1E0	
DEC 59 : 458671296.000000	92783.000000	220447200.000000	
HEX 60 : 10209260	18C349E0	1592A960	
DEC 60 : 270570080.000000	415451616.000000	361933152.000000	
HEX 61 : 1A984880	18A14C40	CD961E0	
DEC 61 : 446187648.000000	413224000.000000	215572960.000000	
HEX 62 : E648F10	D8D2340	1F492F80	
DEC 62 : 241471248.000000	227353408.000000	524889984.000000	
HEX 63 : 17E86260	BD8BAC0	92470F	
DEC 63 : 401105504.000000	198752960.000000	9586447.000000	
HEX 64 : 1574BC4	14E06960	1871A780	
DEC 64 : 22498244.000000	350251360.000000	410101632.000000	
HEX 65 : 1AF561E0	40CCAC0	137AADA0	
DEC 65 : 452288992.000000	67947200.000000	326806944.000000	
HEX 66 : 15BBF620	197264E0	6BB9800	
