Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 8480BC0	164B2B00	5CC05A8	
DEC 1 : 138939328.000000	374024960.000000	97256872.000000	
HEX 2 : 3FE652C	B463B40	1B050BC0	
DEC 2 : 67003692.000000	189152064.000000	453315520.000000	
HEX 3 : ACAD530	BF2CF20	17DADE20	
DEC 3 : 181065008.000000	200462112.000000	400219680.000000	
HEX 4 : 17707F80	1B8C3660	110D5000	
DEC 4 : 393248640.000000	462173792.000000	286085120.000000	
HEX 5 : 876C8F0	160D0	1657A2E0	
DEC 5 : 142002416.000000	90320.000000	374842080.000000	
HEX 6 : D4E2970	1258FE80	1CFCC3C	
DEC 6 : 223226224.000000	307822208.000000	30395452.000000	
HEX 7 : 16E29E2	16B6C	1190C440	
DEC 7 : 23996898.000000	93036.000000	294700096.000000	
HEX 8 : 6644168	17D98100	CEAD440	
DEC 8 : 107233640.000000	400130304.000000	216716352.000000	
HEX 9 : 1FC3F4C0	147A0CE0	1BAE8900	
DEC 9 : 532935872.000000	343543008.000000	464423168.000000	
HEX 10 : 22F81E0	D32CDD0	F9F4BC0	
DEC 10 : 36667872.000000	221433296.000000	262097856.000000	
HEX 11 : 4AE1F10	A20B360	525F788	
DEC 11 : 78520080.000000	169915232.000000	86374280.000000	
HEX 12 : 34133C4	26E44E4	5383440	
DEC 12 : 54604740.000000	40781028.000000	87569472.000000	
HEX 13 : 188A2D20	16851E80	1B20F260	
DEC 13 : 411708704.000000	377822848.000000	455144032.000000	
HEX 14 : 4C82CB8	12E08A40	11D787	
DEC 14 : 80227512.000000	316705344.000000	1169287.000000	
HEX 15 : CE980F0	38194	F8ED440	
DEC 15 : 216629488.000000	229780.000000	261018688.000000	
HEX 16 : 1150C260	68004D0	1CFC2100	
DEC 16 : 290505312.000000	109053136.000000	486285568.000000	
HEX 17 : 10D43CC0	1979AF40	E167D30	
DEC 17 : 282344640.000000	427405120.000000	236354864.000000	
HEX 18 : 1926E5A0	4BE9B1	E1E3A60	
DEC 18 : 421979552.000000	4975025.000000	236862048.000000	
HEX 19 : 1EFA5100	A30F120	ADC7690	
DEC 19 : 519721216.000000	170979616.000000	182220432.000000	
HEX 20 : 5B9A348	1FA5CE20	1522C620	
