Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 1E0C5D20	54B5B18	491B168	
DEC 1 : 504126752.000000	88824600.000000	76657000.000000	
HEX 2 : 1E6414C0	C1322F0	E1D5690	
DEC 2 : 509875392.000000	202580720.000000	236803728.000000	
HEX 3 : 46E3B48	1008EC80	BF22F10	
DEC 3 : 74333000.000000	269020288.000000	200421136.000000	
HEX 4 : 5996E20	74BF2	73F1DA8	
DEC 4 : 93941280.000000	478194.000000	121576872.000000	
HEX 5 : 1875D960	9D99750	A0B5000	
DEC 5 : 410376544.000000	165254992.000000	168513536.000000	
HEX 6 : 1A449000	15AE4	85E02D0	
DEC 6 : 440700928.000000	88804.000000	140378832.000000	
HEX 7 : A7EB0F0	C7A9480	628E0F0	
DEC 7 : 176074992.000000	209360000.000000	103342320.000000	
HEX 8 : 88813C0	D759D70	11B623C0	
DEC 8 : 143135680.000000	225811824.000000	297149376.000000	
HEX 9 : F7A7D30	1673A	A02B710	
DEC 9 : 259685680.000000	91962.000000	167950096.000000	
HEX 10 : 16B39C40	1547A	1CA5BDA0	
DEC 10 : 380869696.000000	87162.000000	480624032.000000	
HEX 11 : 1F4E8000	19E7DD00	12C4AE20	
DEC 11 : 525238272.000000	434625792.000000	314879520.000000	
HEX 12 : 17F5C1E0	1F1D7C80	18047EA0	
DEC 12 : 401981920.000000	522026112.000000	402947744.000000	
HEX 13 : 10CD6F00	1605F64	11984AE0	
DEC 13 : 281898752.000000	23093092.000000	295193312.000000	
HEX 14 : 1383D1E0	1E860EA0	CA52970	
DEC 14 : 327406048.000000	512102048.000000	212150640.000000	
HEX 15 : 1CE9C5A0	CEE3680	17EF2700	
DEC 15 : 485082528.000000	216938112.000000	401549056.000000	
HEX 16 : 83603C0	16CE7	1CBD3080	
DEC 16 : 137757632.000000	93415.000000	482160768.000000	
HEX 17 : 1E896100	4BEA4B0	C5E3C40	
DEC 17 : 512319744.000000	79602864.000000	207502400.000000	
HEX 18 : 638BD30	826E0D0	B1B15A0	
DEC 18 : 104381744.000000	136765648.000000	186324384.000000	
HEX 19 : 1F14C1E0	12A451E0	A1281E0	
DEC 19 : 521454048.000000	312758752.000000	168985056.000000	
HEX 20 : 2A52D2	2671EB4	C265F80	
DEC 20 : 2773714.000000	40312500.000000	203841408.000000	
HEX 21 : 1E45B780	167F8	123CA880	
DEC 21 : 507885440.000000	92152.000000	305965184.000000	
HEX 22 : 1D2795A0	219B1E4	1961E4C0	
DEC 22 : 489133472.000000	35238372.000000	425845952.000000	
HEX 23 : 1B5F95A0	6C8E8C0	13C35780	
DEC 23 : 459249056.000000	113830080.000000	331569024.000000	
HEX 24 : 99AB0F0	1EE93DE0	1EF01780	
DEC 24 : 161132784.000000	518602208.000000	519051136.000000	
HEX 25 : AE35A6	13F79E40	5723530	
DEC 25 : 11416998.000000	334995008.000000	91370800.000000	
HEX 26 : 43414B8	DE3BF80	198DAB40	
DEC 26 : 70522040.000000	233029504.000000	428714816.000000	
HEX 27 : 29ED3C4	CB90D30	4C6FBC0	
DEC 27 : 43963332.000000	213454128.000000	80149440.000000	
HEX 28 : 11005F00	16857300	148C36A0	
DEC 28 : 285236992.000000	377844480.000000	344733344.000000	
HEX 29 : 1F62A5A	13DD6220	14817CC0	
DEC 29 : 32909914.000000	333275680.000000	344030400.000000	
HEX 30 : 72375A8	150B93E0	1A43E260	
DEC 30 : 119764392.000000	353080288.000000	440656480.000000	
HEX 31 : 1800C1E0	10236A20	F166710	
DEC 31 : 402702816.000000	270756384.000000	253126416.000000	
HEX 32 : 3C7ED2C	1C289E20	1A584E20	
DEC 32 : 63434028.000000	472423968.000000	441994784.000000	
HEX 33 : 97FD690	D0B3D80	1F660780	
DEC 33 : 159372944.000000	218840448.000000	526780288.000000	
HEX 34 : E89BF10	157EF7E0	1BA11620	
DEC 34 : 243908368.000000	360642528.000000	463541792.000000	
HEX 35 : 1D67B000	19F21060	1A5F0340	
DEC 35 : 493334528.000000	435294304.000000	442434368.000000	
HEX 36 : 1326A1E0	15F709C0	CA3A1E0	
DEC 36 : 321298912.000000	368511424.000000	212050400.000000	
HEX 37 : 17FA93C0	1BF9A6E0	49038F0	
DEC 37 : 402297792.000000	469346016.000000	76560624.000000	
HEX 38 : FC3BB50	F855A80	1210FF80	
DEC 38 : 264485712.000000	260397696.000000	303103872.000000	
HEX 39 : 1114E880	16D65	162452E	
DEC 39 : 286582912.000000	93541.000000	23217454.000000	
HEX 40 : 4F1787	52E9B10	5275788	
DEC 40 : 5183367.000000	86940432.000000	86464392.000000	
HEX 41 : 40823C0	78329A0	12BFBBC0	
DEC 41 : 67642304.000000	126036384.000000	314555328.000000	
HEX 42 : 19E90A60	142DA420	15AD0F00	
DEC 42 : 434702944.000000	338535456.000000	363663104.000000	
HEX 43 : 17370780	12C804A0	6687D30	
DEC 43 : 389482368.000000	315098272.000000	107511088.000000	
HEX 44 : 172ADB40	1AACDAC0	11FD09E0	
DEC 44 : 388684608.000000	447535808.000000	301795808.000000	
HEX 45 : 7F575A8	6F5D0A0	19DA46A0	
DEC 45 : 133526952.000000	116773024.000000	433735328.000000	
HEX 46 : 9A3B780	14C34C60	132B3D20	
DEC 46 : 161724288.000000	348343392.000000	321600800.000000	
HEX 47 : ECE8C40	8839730	1C91D340	
DEC 47 : 248417344.000000	142841648.000000	479318848.000000	
HEX 48 : DA71C40	7B9ADD0	14CFA900	
DEC 48 : 229055552.000000	129609168.000000	349153536.000000	
HEX 49 : 4ED1698	1AA22D60	130F9800	
DEC 49 : 82646680.000000	446836064.000000	319789056.000000	
HEX 50 : 15BB0F00	18183700	1B3C1700	
DEC 50 : 364580608.000000	404240128.000000	456922880.000000	
HEX 51 : 9C90F10	1E4B0A60	8514C40	
DEC 51 : 164171536.000000	508234336.000000	139545664.000000	
HEX 52 : 110D36A0	1E7DF880	1BFC86A0	
DEC 52 : 286078624.000000	511572096.000000	469534368.000000	
HEX 53 : 880C4B0	16876	4CB169	
DEC 53 : 142656688.000000	92278.000000	5026153.000000	
HEX 54 : 1A13E100	79C81F0	1D7CD6A0	
DEC 54 : 437510400.000000	127697392.000000	494720672.000000	
HEX 55 : 1916C3C	1EA35620	62E6C40	
DEC 55 : 26307644.000000	514020896.000000	103705664.000000	
HEX 56 : 1AE995A0	18AD9000	BC4F000	
DEC 56 : 451515808.000000	414027776.000000	197455872.000000	
HEX 57 : 174F7960	36816E8	E6605A0	
DEC 57 : 391084384.000000	57153256.000000	241567136.000000	
HEX 58 : 1EFBF10	27734C4	1961C700	
DEC 58 : 32489232.000000	41366724.000000	425838336.000000	
HEX 59 : 1499CC40	9CCBB10	114F5700	
DEC 59 : 345623616.000000	164412176.000000	290412288.000000	
HEX 60 : 6C7E0F0	72AF538	1DB89E2	
DEC 60 : 113762544.000000	120255800.000000	31164898.000000	
HEX 61 : 3870B4C	1667D	12722900	
DEC 61 : 59181900.000000	91773.000000	309471488.000000	
HEX 62 : 14F2B100	4B11348	5D4E710	
DEC 62 : 351449344.000000	78713672.000000	97838864.000000	
HEX 63 : 1024FC40	19E91520	65408F0	
DEC 63 : 270859328.000000	434705696.000000	106170608.000000	
HEX 64 : 120346A0	DBA8100	9C460F0	
