Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 6156E20	FEA1290	39B1F10	
DEC 1 : 102067744.000000	266998416.000000	60497680.000000	
HEX 2 : 2843E20	F8C28D0	1F943340	
DEC 2 : 42221088.000000	260843728.000000	529806144.000000	
HEX 3 : ABF2690	116CC	15EEC340	
DEC 3 : 180299408.000000	71372.000000	367969088.000000	
HEX 4 : 17D13C4	1C19EB00	8A3D5A0	
DEC 4 : 24974276.000000	471460608.000000	144954784.000000	
HEX 5 : D1973C0	111B1920	D2650F0	
DEC 5 : 219771840.000000	286988576.000000	220614896.000000	
HEX 6 : 10F9BC40	97DB8A0	1B29E6A0	
DEC 6 : 284802112.000000	159234208.000000	455730848.000000	
HEX 7 : 187E72E0	AE3D480	17E4B4C	
DEC 7 : 410940128.000000	182703232.000000	25054028.000000	
HEX 8 : 187E7000	16D26	13E2ED20	
DEC 8 : 410939392.000000	93478.000000	333638944.000000	
HEX 9 : 1222A1E0	CFC5E60	7157F88	
DEC 9 : 304259552.000000	217865824.000000	118849416.000000	
HEX 10 : 187E74C0	1C3A8F60	14D63340	
DEC 10 : 410940608.000000	473599840.000000	349582144.000000	
HEX 11 : D3570F0	7126A28	151C1340	
DEC 11 : 221606128.000000	118647336.000000	354161472.000000	
HEX 12 : E8CE4B0	1B7BDDE0	517CBC0	
DEC 12 : 244114608.000000	461102560.000000	85445568.000000	
HEX 13 : 12E11780	13D49	1FBD64C0	
DEC 13 : 316741504.000000	81225.000000	532505792.000000	
HEX 14 : 11AF6960	1A3328E0	1E1FDCC0	
DEC 14 : 296708448.000000	439560416.000000	505404608.000000	
HEX 15 : 44B62D0	1F49F900	FA41AD0	
DEC 15 : 72049360.000000	524941568.000000	262413008.000000	
HEX 16 : 22825A4	16A30	120D000	
DEC 16 : 36185508.000000	92720.000000	18927616.000000	
HEX 17 : 43F6C40	7D04310	9F85A6	
DEC 17 : 71265344.000000	131089168.000000	10454438.000000	
