Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 120B67C0	84FC480	1D52BCC0	
DEC 1 : 302737344.000000	139445376.000000	491961536.000000	
HEX 2 : 4FDBBF0	49DA698	9F65C40	
DEC 2 : 83737584.000000	77440664.000000	167140416.000000	
HEX 3 : E2B21E0	16D38260	1CCA5960	
DEC 3 : 237707744.000000	382960224.000000	483023200.000000	
HEX 4 : 18E19860	11069EA0	1DF60F0	
DEC 4 : 417437792.000000	285646496.000000	31416560.000000	
HEX 5 : 1236C260	15A95F00	7BD0B48	
DEC 5 : 305578592.000000	363421440.000000	129829704.000000	
HEX 6 : 10D0CC00	1B49B880	2EFA43C	
DEC 6 : 282119168.000000	457816192.000000	49259580.000000	
HEX 7 : 832D0C0	1CFE9E20	42FF4B8	
DEC 7 : 137547968.000000	486448672.000000	70251704.000000	
HEX 8 : 5F6F9	1E5DD780	170AABC0	
DEC 8 : 390905.000000	509466496.000000	386575296.000000	
HEX 9 : 11EF7600	6F38C40	4FCB9E0	
DEC 9 : 300905984.000000	116624448.000000	83671520.000000	
HEX 10 : 372F76C	1C5B9E20	1D704960	
DEC 10 : 57866092.000000	475766304.000000	493898080.000000	
HEX 11 : 1E4A0520	1CBCEA60	6A4D5A8	
DEC 11 : 508167456.000000	482142816.000000	111465896.000000	
HEX 12 : 1964AF80	1F128A60	1430EAE0	
DEC 12 : 426028928.000000	521308768.000000	338750176.000000	
HEX 13 : 4A71FE0	1626CA60	3986788	
DEC 13 : 78061536.000000	371640928.000000	60319624.000000	
HEX 14 : E318890	1ABB478	12356CC0	
DEC 14 : 238127248.000000	28030072.000000	305491136.000000	
HEX 15 : 14B02BE0	5681F88	11774000	
DEC 15 : 347089888.000000	90709896.000000	293027840.000000	
HEX 16 : 20D75C	1FEE32E0	FAD6080	
DEC 16 : 2152284.000000	535704288.000000	263020672.000000	
HEX 17 : 1995D660	67F4ED0	BDA0350	
DEC 17 : 429250144.000000	109006544.000000	198837072.000000	
HEX 18 : 6FA86	18310CC0	B6BFB50	
DEC 18 : 457350.000000	405867712.000000	191626064.000000	
HEX 19 : 1377E5E0	14DB9A6	9B97710	
DEC 19 : 326624736.000000	21871014.000000	163149584.000000	
HEX 20 : 1B0BFBC0	16E46880	117123C0	
DEC 20 : 453770176.000000	384067712.000000	292627392.000000	
HEX 21 : 5F010	A07F530	852D880	
DEC 21 : 389136.000000	168293680.000000	139647104.000000	
HEX 22 : 1933FBC0	17CB0740	98E1530	
DEC 22 : 422837184.000000	399181632.000000	160306480.000000	
HEX 23 : 196A8AA0	7A04078	1EB1BF00	
DEC 23 : 426412704.000000	127942776.000000	514965248.000000	
HEX 24 : 1DFE0900	B00E97	DBA3080	
DEC 24 : 503187712.000000	11538071.000000	230305920.000000	
HEX 25 : 1F490D00	1DAB0F0	150D71E0	
DEC 25 : 524881152.000000	31109360.000000	353202656.000000	
HEX 26 : BDDC070	18C20100	10A0EAE0	
DEC 26 : 199082096.000000	415367424.000000	278981344.000000	
HEX 27 : 5F3C4	1059DB00	25353C4	
DEC 27 : 390084.000000	274324224.000000	39015364.000000	
HEX 28 : 1C96B620	FCD29E0	166D9960	
DEC 28 : 479639072.000000	265103840.000000	376281440.000000	
