Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 11AF29A0	A671AD0	86FE880	
DEC 1 : 296692128.000000	174529232.000000	141551744.000000	
HEX 2 : 186CBC00	19350880	1D445520	
DEC 2 : 409779200.000000	422905984.000000	491017504.000000	
HEX 3 : 3DA0788	17B76440	1B7F16A	
DEC 3 : 64620424.000000	397894720.000000	28832106.000000	
HEX 4 : B3F3000	64ACA58	123D59E0	
DEC 4 : 188690432.000000	105564760.000000	306010592.000000	
HEX 5 : 1EBDE3C0	BB9C840	1C994800	
DEC 5 : 515761088.000000	196724800.000000	479807488.000000	
HEX 6 : 1A2EEC40	8615310	13190080	
DEC 6 : 439282752.000000	140595984.000000	320405632.000000	
HEX 7 : BEBA1E0	7E60400	1EBEDB40	
DEC 7 : 199991776.000000	132514816.000000	515824448.000000	
HEX 8 : DE4E840	DD84A60	1112D2E0	
DEC 8 : 233105472.000000	232278624.000000	286446304.000000	
HEX 9 : 16C46480	104F3840	C322CB0	
DEC 9 : 381969536.000000	273627200.000000	204614832.000000	
HEX 10 : 12259220	2DF0BC4	97164B0	
DEC 10 : 304452128.000000	48171972.000000	158426288.000000	
HEX 11 : 18879DE0	118513C0	4ED0E20	
DEC 11 : 411540960.000000	293934016.000000	82644512.000000	
HEX 12 : 274DF88	FB28B50	4B35C40	
DEC 12 : 41213832.000000	263359312.000000	78863424.000000	
HEX 13 : 2BFE3C4	17640B4	7D97E20	
DEC 13 : 46130116.000000	24527028.000000	131694112.000000	
HEX 14 : E53B690	11090B80	9A14440	
DEC 14 : 240367248.000000	285805440.000000	161563712.000000	
HEX 15 : 5A97968	1BFD3D00	7F99E98	
DEC 15 : 94992744.000000	469581056.000000	133799576.000000	
HEX 16 : BB19FC0	1FAF8000	19A8D160	
DEC 16 : 196190144.000000	531595264.000000	430494048.000000	
HEX 17 : 1311788	16567120	16550DA0	
DEC 17 : 19994504.000000	374763808.000000	374672800.000000	
HEX 18 : 28AA078	1E2543C0	1485DF80	
DEC 18 : 42639480.000000	505758656.000000	344317824.000000	
HEX 19 : 18B70520	954B8F0	5F705A8	
DEC 19 : 414647584.000000	156547312.000000	100074920.000000	
HEX 20 : D73E8F0	2763F88	18F60D20	
DEC 20 : 225700080.000000	41303944.000000	418778400.000000	
HEX 21 : 7E3E1A8	14D5ECC0	8B7FF10	
DEC 21 : 132374952.000000	349564096.000000	146276112.000000	
HEX 22 : 16A55000	5700B88	190EAE20	
DEC 22 : 379932672.000000	91229064.000000	420392480.000000	
