Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : C09D0F0	274A0F0	E959440	
DEC 1 : 201969904.000000	41197808.000000	244683840.000000	
HEX 2 : BCCBB50	2F77000	6A2AE20	
DEC 2 : 197966672.000000	49770496.000000	111324704.000000	
HEX 3 : EA48800	6FB2748	14025960	
DEC 3 : 245663744.000000	117122888.000000	335698272.000000	
HEX 4 : 1F38C4C0	17394B00	16BA3EA0	
DEC 4 : 523814080.000000	389630720.000000	381304480.000000	
HEX 5 : 137A11E0	1450F0C0	1DF134C0	
DEC 5 : 326767072.000000	340848832.000000	502346944.000000	
HEX 6 : 152666A0	6872E20	1EC1F260	
DEC 6 : 354838176.000000	109522464.000000	516026976.000000	
HEX 7 : 10181000	189377C0	B8DF170	
DEC 7 : 270012416.000000	412317632.000000	193851760.000000	
HEX 8 : FB1697	1AFD8F40	A1A5A60	
DEC 8 : 16455319.000000	452824896.000000	169499232.000000	
HEX 9 : 110E8AE0	C6DA290	1B3F51E0	
DEC 9 : 286165728.000000	208511632.000000	457134560.000000	
HEX 10 : 1AA66080	6AF9710	AFFB1E0	
DEC 10 : 447111296.000000	112170768.000000	184529376.000000	
HEX 11 : 11F0F9E0	6877040	9244B50	
DEC 11 : 301005280.000000	109539392.000000	153373520.000000	
HEX 12 : 11DEB2E0	7B47E58	DD961E	
DEC 12 : 299807456.000000	129269336.000000	14521886.000000	
HEX 13 : 10CDA5	1EE326A0	163F8DA0	
DEC 13 : 1101221.000000	518203040.000000	373263776.000000	
HEX 14 : 1639D260	17C3BD60	17D6E900	
DEC 14 : 372888160.000000	398703968.000000	399960320.000000	
HEX 15 : 11DEF340	104431A0	A2B2E90	
DEC 15 : 299823936.000000	272904608.000000	170602128.000000	
HEX 16 : 1800C1E0	D52C8F0	D65EF10	
DEC 16 : 402702816.000000	223529200.000000	224784144.000000	
HEX 17 : 18A9DCC0	10CACF40	164BAE20	
DEC 17 : 413785280.000000	281726784.000000	374058528.000000	
HEX 18 : 1A6325A	B1A9FC0	14F1F160	
DEC 18 : 27669082.000000	186294208.000000	351400288.000000	
HEX 19 : CF45B50	1F58D000	1447F900	
DEC 19 : 217340752.000000	525914112.000000	340261120.000000	
HEX 20 : 4FA29E0	1FF1B4C	A16A0F0	
DEC 20 : 83503584.000000	33495884.000000	169255152.000000	
HEX 21 : 137C3E20	1F183C40	8A5F080	
DEC 21 : 326909472.000000	521681984.000000	145092736.000000	
HEX 22 : CF8F530	1F7FA6A0	CC0D970	
DEC 22 : 217642288.000000	528459424.000000	213965168.000000	
HEX 23 : CC5CB50	14464100	657DCB8	
DEC 23 : 214289232.000000	340148480.000000	106421432.000000	
HEX 24 : 39A52D	49C11E0	10A71E20	
DEC 24 : 3777837.000000	77337056.000000	279387680.000000	
HEX 25 : 11855F00	DDCBE90	12FB3F00	
DEC 25 : 293953280.000000	232570512.000000	318455552.000000	
HEX 26 : 13C4EDA0	1EDF5880	1772BA60	
DEC 26 : 331672992.000000	517953664.000000	393394784.000000	
HEX 27 : 41696	12BA8E60	A01C000	
DEC 27 : 267926.000000	314216032.000000	167886848.000000	
HEX 28 : AA212D0	1B9F2740	6BCD788	
DEC 28 : 178393808.000000	463415104.000000	113039240.000000	
HEX 29 : 150DF2E0	6737CF0	1018FEA0	
DEC 29 : 353235680.000000	108231920.000000	270073504.000000	
HEX 30 : 1EDC0160	18010040	13CD61E	
DEC 30 : 517734752.000000	402718784.000000	20764190.000000	
HEX 31 : 1C9C3000	A515B80	128A1960	
DEC 31 : 479997952.000000	173104000.000000	311040352.000000	
HEX 32 : 7632878	10153EA0	A371170	
DEC 32 : 123938936.000000	269827744.000000	171381104.000000	
HEX 33 : 16BF1A60	21B8CF0	173E1800	
DEC 33 : 381622880.000000	35359984.000000	389945344.000000	
HEX 34 : EDFF260	130B2D00	17C2C880	
DEC 34 : 249557600.000000	319499520.000000	398641280.000000	
HEX 35 : 17FB76A0	D8ABCB0	1DFBEDA0	
DEC 35 : 402355872.000000	227196080.000000	503049632.000000	
HEX 36 : 19C6C340	117E8120	15BC96A	
DEC 36 : 432456512.000000	293503264.000000	22792554.000000	
HEX 37 : 1677B2E0	8BA4F1	9C69710	
DEC 37 : 376943328.000000	9151729.000000	164009744.000000	
HEX 38 : 1B4D9800	1422ACC0	1C811900	
DEC 38 : 458070016.000000	337816768.000000	478222592.000000	
HEX 39 : 105ECEA0	18BEF2A0	1313AF00	
DEC 39 : 274648736.000000	415167136.000000	320057088.000000	
HEX 40 : CC22780	12FB1DA0	F552970	
DEC 40 : 214050688.000000	318447008.000000	257239408.000000	
HEX 41 : 7F510F0	18426AE0	CEDC350	
DEC 41 : 133501168.000000	407005920.000000	216908624.000000	
HEX 42 : CA2F3C0	11508DE0	1EE41880	
DEC 42 : 212005824.000000	290491872.000000	518264960.000000	
HEX 43 : 1BC72A60	65DCFC0	1B305BC0	
DEC 43 : 466037344.000000	106811328.000000	456154048.000000	
HEX 44 : 17166F00	1A969660	D7C8170	
DEC 44 : 387346176.000000	446076512.000000	226263408.000000	
HEX 45 : 14107260	167A3100	4DAC078	
DEC 45 : 336622176.000000	377106688.000000	81444984.000000	
HEX 46 : 166F8BC0	99DF710	16CA9340	
DEC 46 : 376409024.000000	161347344.000000	382374720.000000	
HEX 47 : 8CC1AD0	17C95C40	1508F5A0	
DEC 47 : 147593936.000000	399072320.000000	352908704.000000	
HEX 48 : 151B79E0	13C54040	FFE8E90	
DEC 48 : 354122208.000000	331694144.000000	268340880.000000	
HEX 49 : 1BD59EA0	1C0ED5E0	1B66DE20	
DEC 49 : 466984608.000000	470734304.000000	459726368.000000	
HEX 50 : 1A7CE080	1CEE7A60	140B6000	
DEC 50 : 444391552.000000	485390944.000000	336289792.000000	
HEX 51 : 1E009EA0	E0713C0	6897788	
DEC 51 : 503357088.000000	235344832.000000	109672328.000000	
HEX 52 : CCD1170	B60DBC0	6274B48	
DEC 52 : 214765936.000000	190897088.000000	103238472.000000	
HEX 53 : 73875A8	5BB9E58	13CBAF80	
DEC 53 : 121140648.000000	96181848.000000	332115840.000000	
HEX 54 : 5F21698	1F8491E0	1188B780	
DEC 54 : 99751576.000000	528781792.000000	294172544.000000	
HEX 55 : 177896A	1942BA20	1171FA60	
DEC 55 : 24611178.000000	423803424.000000	292682336.000000	
HEX 56 : 1C9E4880	13ABFD00	1082FF00	
DEC 56 : 480135296.000000	330038528.000000	277020416.000000	
HEX 57 : 1443BBC0	1E7B9F00	12F2A5A	
DEC 57 : 339983296.000000	511418112.000000	19868250.000000	
HEX 58 : 45E6878	9CB6970	D18FE90	
DEC 58 : 73295992.000000	164325744.000000	219741840.000000	
HEX 59 : E5ACC40	1AE669E0	1ADA6D20	
DEC 59 : 240831552.000000	451308000.000000	450522400.000000	
HEX 60 : 1B520AE0	5FB72D0	383C698	
DEC 60 : 458361568.000000	100365008.000000	58967704.000000	
HEX 61 : 196BB620	13717160	93F49E0	
DEC 61 : 426489376.000000	326201696.000000	155142624.000000	
HEX 62 : 1A34B9E0	1A750B00	69FE2D0	
DEC 62 : 439663072.000000	443878144.000000	111141584.000000	
HEX 63 : 1A111520	D6F65A	1061F620	
DEC 63 : 437327136.000000	14087770.000000	274855456.000000	
HEX 64 : 8416F10	173AE920	1D4EC800	
DEC 64 : 138506000.000000	389736736.000000	491702272.000000	
HEX 65 : 11EA06A0	FC2FD70	1AD4C3C	
DEC 65 : 300549792.000000	264437104.000000	28134460.000000	
HEX 66 : 158A9BC0	14CA16A	257752C	
DEC 66 : 361405376.000000	21799274.000000	39286060.000000	
HEX 67 : 3E86DA4	10802880	19E72520	
DEC 67 : 65564068.000000	276834432.000000	434578720.000000	
HEX 68 : 23A5B4C	17DE8620	18D36A60	
DEC 68 : 37378892.000000	400459296.000000	416508512.000000	
HEX 69 : 1DA8E2E0	19C387	797A4B8	
DEC 69 : 497607392.000000	1688455.000000	127378616.000000	
HEX 70 : 4644F88	11E242A0	114F9620	
DEC 70 : 73682824.000000	300040864.000000	290428448.000000	
HEX 71 : 57C6F88	1628DBC0	6222DA8	
DEC 71 : 92041096.000000	371776448.000000	102903208.000000	
HEX 72 : C4471E0	A5B4350	D9818F0	
DEC 72 : 205812192.000000	173753168.000000	228071664.000000	
HEX 73 : 16E66F00	B7F8A90	61BB788	
DEC 73 : 384200448.000000	192907920.000000	102479752.000000	
HEX 74 : 71781E0	1E1DDE20	18D7B700	
DEC 74 : 118981088.000000	505273888.000000	416790272.000000	
HEX 75 : 1E958B40	1A8F1380	E305AD0	
DEC 75 : 513116992.000000	445584256.000000	238050000.000000	
HEX 76 : 45213C0	6290D68	1ABBDD20	
DEC 76 : 72487872.000000	103353704.000000	448519456.000000	
HEX 77 : F7B9CB0	1C4592E	19602BC0	
DEC 77 : 259759280.000000	29645102.000000	425733056.000000	
HEX 78 : A0EEBC0	DB2D5A0	13F82340	
DEC 78 : 168750016.000000	229823904.000000	335029056.000000	
HEX 79 : 15A0710	1D711160	2806710	
DEC 79 : 22677264.000000	493949280.000000	41969424.000000	
HEX 80 : 1F3C7BC0	3B7FA5C	1509ED20	
DEC 80 : 524057536.000000	62388828.000000	352972064.000000	
HEX 81 : 50FF1E0	EB804B0	29A0710	
DEC 81 : 84931040.000000	246940848.000000	43648784.000000	
HEX 82 : 62A0878	7D3B0B8	5796F88	
DEC 82 : 103417976.000000	131313848.000000	91844488.000000	
HEX 83 : 994EA60	B878F80	1B29EB40	
DEC 83 : 160754272.000000	193433472.000000	455732032.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
