Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : CFF8530	36680F0	8E42BC0	
DEC 1 : 218072368.000000	57049328.000000	149171136.000000	
HEX 2 : 1F0163C0	18B4A5A0	1FDA2340	
DEC 2 : 520184768.000000	414492064.000000	534389568.000000	
HEX 3 : A289F80	124AB2E0	144DFA60	
DEC 3 : 170434432.000000	306885344.000000	340654688.000000	
HEX 4 : 8786260	166787C0	66943C0	
DEC 4 : 142107232.000000	375883712.000000	107561920.000000	
HEX 5 : 1112E800	18F5078	2D0D698	
DEC 5 : 286451712.000000	26169464.000000	47240856.000000	
HEX 6 : 1F9D5880	9A345A0	1C4C2100	
DEC 6 : 530405504.000000	161695136.000000	474751232.000000	
HEX 7 : 188BFB40	6A22D68	1F777100	
DEC 7 : 411827008.000000	111291752.000000	527921408.000000	
HEX 8 : F849780	13C43120	6F0EAD0	
DEC 8 : 260347776.000000	331624736.000000	116452048.000000	
HEX 9 : 1D8C5100	14BED0C0	376352C	
DEC 9 : 495735040.000000	348049600.000000	58078508.000000	
HEX 10 : 13D959E0	1316C9E0	19799EA0	
DEC 10 : 333011424.000000	320260576.000000	427400864.000000	
HEX 11 : 65A58F0	E5D6ED0	8825000	
DEC 11 : 106584304.000000	241004240.000000	142757888.000000	
HEX 12 : 250DA5	C497AD0	1CCABCC0	
DEC 12 : 2428325.000000	206142160.000000	483048640.000000	
HEX 13 : 18BE0F00	CCAEF50	19670080	
DEC 13 : 415108864.000000	214626128.000000	426180736.000000	
HEX 14 : 1B3C2C40	1C5F44C0	6AD1698	
DEC 14 : 456928320.000000	476005568.000000	112006808.000000	
HEX 15 : 19AE2000	1392C120	9D065A0	
DEC 15 : 430841856.000000	328384800.000000	164652448.000000	
HEX 16 : 11E242E0	1A915440	1A35E100	
DEC 16 : 300040928.000000	445731904.000000	439738624.000000	
HEX 17 : CC65AD0	128DD840	1DC95080	
DEC 17 : 214325968.000000	311285824.000000	499732608.000000	
HEX 18 : 18A7B780	1EBC0F0	40D6AD0	
DEC 18 : 413644672.000000	32227568.000000	67988176.000000	
HEX 19 : 39DDCB4	1CCD61E0	193AA000	
DEC 19 : 60677300.000000	483221984.000000	423272448.000000	
HEX 20 : 1B7393C0	1F890440	14146440	
DEC 20 : 460559296.000000	529073216.000000	336880704.000000	
HEX 21 : 183922E0	1B71A9E0	DB2A3C0	
DEC 21 : 406397664.000000	460433888.000000	229811136.000000	
HEX 22 : A1A1530	1ABACFC0	120DD780	
DEC 22 : 169481520.000000	448450496.000000	302897024.000000	
HEX 23 : ABC0970	5586AD0	118FFDA0	
DEC 23 : 180095344.000000	89680592.000000	294649248.000000	
HEX 24 : A686970	1A04DCC0	1AEB0900	
DEC 24 : 174614896.000000	436526272.000000	451610880.000000	
HEX 25 : 1855FD20	2FC99E0	11CB3260	
DEC 25 : 408288544.000000	50108896.000000	298529376.000000	
HEX 26 : 105EDC40	1E07D4C0	F812880	
DEC 26 : 274652224.000000	503829696.000000	260122752.000000	
HEX 27 : 467B000	15A9A4C0	10CEE800	
DEC 27 : 73904128.000000	363439296.000000	281995264.000000	
HEX 28 : E86C780	9F943C	16094BC0	
DEC 28 : 243713920.000000	10458172.000000	369707968.000000	
HEX 29 : 1BFEAF00	32B365C	18F36100	
DEC 29 : 469675776.000000	53163612.000000	418603264.000000	
HEX 30 : 10EB8CC0	1B3DB9A0	8870710	
DEC 30 : 283872448.000000	457030048.000000	143066896.000000	
HEX 31 : 2A39E20	134C0900	1DFA5C40	
DEC 31 : 44277280.000000	323750144.000000	502946880.000000	
HEX 32 : 10F33AE0	F1499A0	13CC7F80	
DEC 32 : 284375776.000000	253008288.000000	332169088.000000	
HEX 33 : 189A7000	CE7DCB0	67C68F0	
DEC 33 : 412774400.000000	216521904.000000	108816624.000000	
HEX 34 : 1A1BE96	999AF80	192D4B4	
DEC 34 : 27377302.000000	161066880.000000	26399924.000000	
HEX 35 : 3903878	11B41B00	2212DA4	
DEC 35 : 59783288.000000	297016064.000000	35728804.000000	
HEX 36 : 134AFE20	15C7D5A0	D22EBC0	
DEC 36 : 323681824.000000	365417888.000000	220392384.000000	
HEX 37 : 1F5964C0	665D310	4B731E0	
DEC 37 : 525952192.000000	107336464.000000	79114720.000000	
HEX 38 : 13BB2F00	1039C500	1CD7788	
DEC 38 : 331034368.000000	272221440.000000	30242696.000000	
HEX 39 : 111E3100	F8AC00	EDE3CB0	
DEC 39 : 287191296.000000	16296960.000000	249445552.000000	
HEX 40 : 16095440	6B2BA20	A527BC0	
DEC 40 : 369710144.000000	112376352.000000	173177792.000000	
HEX 41 : 138ED160	E4BBAD0	C5CA780	
DEC 41 : 328126816.000000	239844048.000000	207398784.000000	
HEX 42 : F461BC0	598FF88	1E4F1000	
DEC 42 : 256252864.000000	93912968.000000	508497920.000000	
HEX 43 : 3C80000	107403C	2C310F0	
DEC 43 : 63438848.000000	17252412.000000	46338288.000000	
HEX 44 : 2FD9878	7A18E98	8B674B0	
DEC 44 : 50174072.000000	128028312.000000	146175152.000000	
HEX 45 : 1FD20F00	ECDBF80	77D5E20	
DEC 45 : 533860096.000000	248364928.000000	125656608.000000	
HEX 46 : 17E1696	41CC00	1B554440	
DEC 46 : 25040534.000000	4312064.000000	458572864.000000	
HEX 47 : 11D24C40	7E12568	11C78100	
DEC 47 : 298994752.000000	132195688.000000	298287360.000000	
HEX 48 : 17CCB3C0	17B9C380	1DE69780	
DEC 48 : 399291328.000000	398050176.000000	501651328.000000	
HEX 49 : 1D273880	8F021A0	B746DA0	
DEC 49 : 489109632.000000	149954976.000000	192179616.000000	
HEX 50 : C23D2D	E20BB50	D8B03C0	
DEC 50 : 12729645.000000	237026128.000000	227214272.000000	
HEX 51 : 13399F00	1EC10780	1B99AD2	
DEC 51 : 322543360.000000	515966848.000000	28941010.000000	
HEX 52 : 1F6152E0	1E07FA60	DD5C5A0	
DEC 52 : 526471904.000000	503839328.000000	232113568.000000	
HEX 53 : 172F9CC0	19655400	14FA26A0	
DEC 53 : 388996288.000000	426071040.000000	351938208.000000	
HEX 54 : 17F60F0	14A2A160	9462B50	
DEC 54 : 25125104.000000	346202464.000000	155593552.000000	
HEX 55 : 1DF006A0	FC2F290	EB778F0	
DEC 55 : 502269600.000000	264434320.000000	246905072.000000	
HEX 56 : 4EEEB48	1F2B6260	1612BC4	
DEC 56 : 82766664.000000	522936928.000000	23145412.000000	
HEX 57 : 15C95EA0	17550F00	378F34C	
DEC 57 : 365518496.000000	391450368.000000	58258252.000000	
HEX 58 : 1EF41100	C14A880	1534BF80	
DEC 58 : 519311616.000000	202680448.000000	355778432.000000	
HEX 59 : 11C07340	C60B9A0	1C2B16A0	
DEC 59 : 297825088.000000	207665568.000000	472585888.000000	
HEX 60 : 1093D440	AAE8750	5D0EAD0	
DEC 60 : 278123584.000000	179210064.000000	97577680.000000	
HEX 61 : C56A350	A6582D0	C36CD30	
DEC 61 : 207004496.000000	174424784.000000	204918064.000000	
HEX 62 : 149B9AE0	5AB4878	18FEBF00	
DEC 62 : 345742048.000000	95111288.000000	419348224.000000	
HEX 63 : 1C501A60	17C252E	AC683C0	
DEC 63 : 475011680.000000	24913198.000000	180782016.000000	
HEX 64 : 18ADD5A0	AF1E000	112B22E0	
DEC 64 : 414045600.000000	183623680.000000	288039648.000000	
HEX 65 : 1E4DC780	17143C80	12AEB080	
DEC 65 : 508413824.000000	387202176.000000	313438336.000000	
HEX 66 : CA22620	8C0AC80	1800B260	
DEC 66 : 211953184.000000	146844800.000000	402698848.000000	
HEX 67 : 1BBFF3C0	13B3E260	18E8CBC0	
DEC 67 : 465564608.000000	330556000.000000	417909696.000000	
HEX 68 : 3B88E20	1EB7DF00	11CB93C0	
DEC 68 : 62426656.000000	515366656.000000	298554304.000000	
HEX 69 : 1FD022E0	1CB84440	19888AE0	
DEC 69 : 533734112.000000	481838144.000000	428378848.000000	
HEX 70 : 7032F10	C2912D0	113F0000	
DEC 70 : 117649168.000000	204018384.000000	289341440.000000	
HEX 71 : 94361E	FE45ED0	15AE4520	
DEC 71 : 9713182.000000	266624720.000000	363742496.000000	
HEX 72 : 1729DA6	1C88B6A0	782E0F0	
DEC 72 : 24288678.000000	478721696.000000	126017776.000000	
HEX 73 : 8F99A60	7A37220	424A0F0	
DEC 73 : 150575712.000000	128152096.000000	69509360.000000	
HEX 74 : 17E751E0	124E9B40	128AE9E0	
DEC 74 : 401035744.000000	307141440.000000	311093728.000000	
HEX 75 : 10365B40	16C10000	13EFFE20	
DEC 75 : 271997760.000000	381747200.000000	334495264.000000	
HEX 76 : 8DC0C40	1C7FD6A	1BA41080	
DEC 76 : 148638784.000000	29883754.000000	463736960.000000	
HEX 77 : 8731170	8C72220	1E647160	
DEC 77 : 141758832.000000	147268128.000000	509899104.000000	
HEX 78 : 15C60E20	829E800	FBD800	
DEC 78 : 365301280.000000	136964096.000000	16504832.000000	
HEX 79 : 3D38968	3AF46D4	F1201E0	
DEC 79 : 64194920.000000	61818580.000000	252838368.000000	
HEX 80 : B070620	1263ED20	CD37D30	
DEC 80 : 185009696.000000	308538656.000000	215186736.000000	
HEX 81 : 6B5B2D0	E82FCB0	19D3F6A0	
DEC 81 : 112571088.000000	243465392.000000	433321632.000000	
HEX 82 : 94FD620	1C951D20	ACC81E0	
DEC 82 : 156227104.000000	479534368.000000	181174752.000000	
HEX 83 : 53B8F88	764F440	17BA09E0	
DEC 83 : 87789448.000000	124056640.000000	398068192.000000	
HEX 84 : BFD95A0	1D4CD4C0	338BBC4	
DEC 84 : 201168288.000000	491574464.000000	54049732.000000	
HEX 85 : AE85970	FA3A7C0	2A684B4	
DEC 85 : 182999408.000000	262383552.000000	44467380.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
