Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 8C2CE20	7BD69A8	12CDE000	
DEC 1 : 146984480.000000	129853864.000000	315482112.000000	
HEX 2 : 1FABBA60	149BA960	185A2440	
DEC 2 : 531348064.000000	345745760.000000	408560704.000000	
HEX 3 : 1644AA60	60D1078	1FF0A960	
DEC 3 : 373598816.000000	101519480.000000	535865696.000000	
HEX 4 : 130FAA60	A563E90	2DC35A4	
DEC 4 : 319793760.000000	173424272.000000	47986084.000000	
HEX 5 : 3D850F0	1F5D8780	13C04100	
DEC 5 : 64508144.000000	526223232.000000	331366656.000000	
HEX 6 : 198CEF00	143FF6A0	13FB2960	
DEC 6 : 428666624.000000	339736224.000000	335227232.000000	
HEX 7 : 1802E5A0	1A49BC00	12F10F0	
DEC 7 : 402843040.000000	441039872.000000	19861744.000000	
HEX 8 : 127E1D20	102D7C40	A803260	
DEC 8 : 310254880.000000	271416384.000000	176173664.000000	
HEX 9 : B1CE4B0	CD31040	1E5D63C0	
DEC 9 : 186442928.000000	215158848.000000	509436864.000000	
HEX 10 : 1FC72A60	EAB6D3	15E72340	
DEC 10 : 533146208.000000	15382227.000000	367469376.000000	
HEX 11 : 81DBA60	B700A20	C46F170	
DEC 11 : 136165984.000000	191892000.000000	205975920.000000	
HEX 12 : 13160A60	84F4660	A940170	
DEC 12 : 320211552.000000	139413088.000000	177471856.000000	
HEX 13 : FF5DD30	1278BDE0	1FE2BF80	
DEC 13 : 267771184.000000	309902816.000000	534953856.000000	
HEX 14 : 4F2BA58	BAEA310	2F1E43C	
DEC 14 : 83016280.000000	195994384.000000	49407036.000000	
HEX 15 : 13A5B100	1663ACC0	E98AC40	
DEC 15 : 329625856.000000	375631040.000000	244886592.000000	
HEX 16 : FF3C000	618A530	114B8EA0	
DEC 16 : 267632640.000000	102278448.000000	290164384.000000	
HEX 17 : 1B09B960	833B780	154A74C0	
DEC 17 : 453622112.000000	137607040.000000	357201088.000000	
HEX 18 : 1C263780	43EA9A8	1B996CC0	
DEC 18 : 472266624.000000	71215528.000000	463039680.000000	
HEX 19 : 49C5698	120B9380	13D82260	
DEC 19 : 77354648.000000	302748544.000000	332931680.000000	
HEX 20 : BE44000	36B89A4	181ED880	
DEC 20 : 199507968.000000	57379236.000000	404674688.000000	
HEX 21 : 6459968	1CEBDE20	9F19D30	
DEC 21 : 105224552.000000	485219872.000000	166829360.000000	
HEX 22 : 12A1FA60	11A5C480	15CBB100	
DEC 22 : 312605280.000000	296076416.000000	365670656.000000	
HEX 23 : 4701788	42AD930	A68FCB0	
DEC 23 : 74454920.000000	69916976.000000	174652592.000000	
HEX 24 : 1EFFA5A0	3E7400	2B95DA4	
DEC 24 : 520070560.000000	4092928.000000	45702564.000000	
HEX 25 : 8E79E20	89C400	109CA520	
DEC 25 : 149397024.000000	9028608.000000	278701344.000000	
HEX 26 : 192A2780	1B0A1840	10BF4F80	
DEC 26 : 422193024.000000	453646400.000000	280973184.000000	
HEX 27 : 18CDD4C0	D9B29A0	6F24968	
DEC 27 : 416142528.000000	228272544.000000	116541800.000000	
HEX 28 : 550D3C0	13D75AE0	473E440	
DEC 28 : 89183168.000000	332880608.000000	74703936.000000	
HEX 29 : F28AE20	12AA1E60	242CE98	
DEC 29 : 254324256.000000	313138784.000000	37932696.000000	
HEX 30 : 6306000	B6E7530	18D76CC0	
DEC 30 : 103833600.000000	191788336.000000	416771264.000000	
HEX 31 : D957C40	1BCE13C0	B835880	
DEC 31 : 227900480.000000	466490304.000000	193157248.000000	
HEX 32 : 171C26A0	3E37E5C	1087E780	
DEC 32 : 387720864.000000	65240668.000000	277342080.000000	
HEX 33 : 1E10C6A0	8985F10	3B2E43C	
DEC 33 : 504415904.000000	144203536.000000	62055484.000000	
HEX 34 : 1608C5A0	C626D30	110E9A60	
DEC 34 : 369673632.000000	207777072.000000	286169696.000000	
HEX 35 : 108D2E20	16DC4F0	65CD4B8	
DEC 35 : 277687840.000000	23971056.000000	106747064.000000	
HEX 36 : EDA2690	5C475A8	1EAB7960	
