Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 65
HEX 1 : B799780	1CE71C40	88EAD3	
DEC 1 : 192518016.000000	484908096.000000	8973011.000000	
HEX 2 : EE42690	1AF82300	1C575DA0	
DEC 2 : 249833104.000000	452469504.000000	475487648.000000	
HEX 3 : 187E7000	116578C0	1286DE20	
DEC 3 : 410939392.000000	291862720.000000	310828576.000000	
HEX 4 : 854BA60	328674C	15543440	
DEC 4 : 139770464.000000	52979532.000000	357839936.000000	
HEX 5 : 1241F1E0	13C81960	EC05880	
DEC 5 : 306311648.000000	331880800.000000	247486592.000000	
HEX 6 : 1F712D2	1B85A480	1B6C7C40	
DEC 6 : 32969426.000000	461743232.000000	460094528.000000	
HEX 7 : B5F92D0	DB2B260	1A88BA60	
DEC 7 : 190812880.000000	229814880.000000	445168224.000000	
HEX 8 : A22E2D0	4F64F10	1C699AE0	
DEC 8 : 170058448.000000	83250960.000000	476682976.000000	
HEX 9 : 16A3E2E0	DE21620	BCFC800	
DEC 9 : 379839200.000000	232920608.000000	198166528.000000	
HEX 10 : AF3878	1ABEDB80	10816800	
DEC 10 : 11483256.000000	448715648.000000	276916224.000000	
HEX 11 : 5BA9C40	14C7B0C0	9C19620	
DEC 11 : 96115776.000000	348631232.000000	163681824.000000	
HEX 12 : 1646D5A0	2ADD0F0	18076F80	
DEC 12 : 373740960.000000	44945648.000000	403140480.000000	
HEX 13 : 6EC12D0	11C12400	15EC3160	
DEC 13 : 116134608.000000	297870336.000000	367800672.000000	
HEX 14 : 2C094B4	1E0FC800	A11D780	
DEC 14 : 46175412.000000	504350720.000000	168941440.000000	
HEX 15 : FFD42D0	12C4F5E0	1DA4A960	
DEC 15 : 268255952.000000	314897888.000000	497330528.000000	
HEX 16 : BAD84B0	1D8CF3C0	1602B3C0	
DEC 16 : 195921072.000000	495776704.000000	369275840.000000	
HEX 17 : 93B8F10	C8E6170	9E3E1E0	
DEC 17 : 154898192.000000	210657648.000000	165929440.000000	
HEX 18 : 17D7AC40	115159E0	1A071080	
DEC 18 : 400010304.000000	290544096.000000	436670592.000000	
HEX 19 : 35F1698	18A61300	34B53C4	
DEC 19 : 56563352.000000	413537024.000000	55268292.000000	
HEX 20 : A8B8D30	1AE76C40	86FFE20	
DEC 20 : 176917808.000000	451374144.000000	141557280.000000	
HEX 21 : 181A6780	A089B10	1BEA6D20	
DEC 21 : 404383616.000000	168336144.000000	468348192.000000	
HEX 22 : 1BAE96A	4555FC0	9A81C40	
DEC 22 : 29026666.000000	72703936.000000	162012224.000000	
HEX 23 : 101AA880	B898400	FF3E8F0	
DEC 23 : 270182528.000000	193561600.000000	267643120.000000	
HEX 24 : 11206880	20AFC78	1F8E8EA0	
DEC 24 : 287336576.000000	34274424.000000	529436320.000000	
HEX 25 : 15645780	1F2B69E0	D101B50	
DEC 25 : 358897536.000000	522938848.000000	219159376.000000	
HEX 26 : A9C23C0	118AC2A0	F5C90F0	
DEC 26 : 178004928.000000	294306464.000000	257724656.000000	
HEX 27 : 1067B100	797E748	18725780	
DEC 27 : 275230976.000000	127395656.000000	410146688.000000	
HEX 28 : 1EE9000	D392840	BFC85A0	
DEC 28 : 32411648.000000	221849664.000000	201098656.000000	
HEX 29 : 175DB000	99CFC00	146B6F80	
DEC 29 : 392015872.000000	161283072.000000	342585216.000000	
HEX 30 : 187E7100	1E1DAAE0	1B3472E0	
DEC 30 : 410939648.000000	505260768.000000	456422112.000000	
HEX 31 : 150941E0	1A804F40	67F5A5	
DEC 31 : 352928224.000000	444616512.000000	6813093.000000	
HEX 32 : 261FD2C	7085348	11431CC0	
DEC 32 : 39976236.000000	117986120.000000	289610944.000000	
HEX 33 : 9062780	ABE2B80	13C8C800	
DEC 33 : 151398272.000000	180235136.000000	331925504.000000	
HEX 34 : 15D35780	66071A8	D7FBF80	
DEC 34 : 366172032.000000	106983848.000000	226475904.000000	
