Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 5DC14	5C9D4B8	15C64B40	
DEC 1 : 384020.000000	97113272.000000	365316928.000000	
HEX 2 : D86328	10696340	C673DA0	
DEC 2 : 14181160.000000	275342144.000000	208092576.000000	
HEX 3 : 61494	1A0EB5A0	15FFE6A0	
DEC 3 : 398484.000000	437171616.000000	369092256.000000	
HEX 4 : B7D7B30	1B28DA6	D077170	
DEC 4 : 192772912.000000	28478886.000000	218591600.000000	
HEX 5 : DCED3E0	2BBB788	2A5CAD4	
DEC 5 : 231658464.000000	45856648.000000	44419796.000000	
HEX 6 : B78A820	19B175A0	CD08620	
DEC 6 : 192456736.000000	431060384.000000	214992416.000000	
HEX 7 : ACF56A0	158AC6A0	153B5080	
DEC 7 : 181360288.000000	361416352.000000	356208768.000000	
HEX 8 : 15DD67A0	11E05F80	19A7C800	
DEC 8 : 366831520.000000	299917184.000000	430426112.000000	
HEX 9 : 94C1690	FEAB970	1A009F80	
DEC 9 : 155981456.000000	267041136.000000	436248448.000000	
HEX 10 : 11CE5F00	2937800	9069A60	
DEC 10 : 298737408.000000	43218944.000000	151427680.000000	
HEX 11 : 12346E00	491B800	1687C2E0	
DEC 11 : 305425920.000000	76658688.000000	377996000.000000	
HEX 12 : 677A1D0	AEA6DA0	CC68A60	
DEC 12 : 108503504.000000	183135648.000000	214338144.000000	
HEX 13 : 1D350800	153CA1E0	1B3A2440	
DEC 13 : 490014720.000000	356295136.000000	456795200.000000	
HEX 14 : 73A58E8	1C29A880	15666780	
DEC 14 : 121264360.000000	472492160.000000	359032704.000000	
HEX 15 : 1C23B360	AFF1A60	4BD8788	
DEC 15 : 472101728.000000	184490592.000000	79529864.000000	
HEX 16 : 64F8A58	9CF63C0	16C3E440	
DEC 16 : 105876056.000000	164586432.000000	381936704.000000	
HEX 17 : FBBA820	10A20000	1DD81A60	
DEC 17 : 263956512.000000	279052288.000000	500701792.000000	
