Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : CDE2380	16B14700	88B52D0	
DEC 1 : 215884672.000000	380716800.000000	143348432.000000	
HEX 2 : 17918700	16F39D20	E0B25A0	
DEC 2 : 395413248.000000	385064224.000000	235611552.000000	
HEX 3 : 969C480	11222000	165DA900	
DEC 3 : 157926528.000000	287449088.000000	375236864.000000	
HEX 4 : 2EBFED4	1CAB3EA0	190C9700	
DEC 4 : 49020628.000000	480984736.000000	420255488.000000	
HEX 5 : 4746C78	9B1F710	1B92AD2	
DEC 5 : 74738808.000000	162658064.000000	28912338.000000	
HEX 6 : 1AAF21E	C6E00F0	AC2B000	
DEC 6 : 27980318.000000	208535792.000000	180531200.000000	
HEX 7 : 1E39B620	9DC8AD0	1A70FBC0	
DEC 7 : 507098656.000000	165448400.000000	443612096.000000	
HEX 8 : BB8A7C0	7BB55A8	189ADA6	
DEC 8 : 196650944.000000	129717672.000000	25800102.000000	
HEX 9 : 1EF9A2E0	7DC2D3	EDBA000	
DEC 9 : 519676640.000000	8241875.000000	249274368.000000	
HEX 10 : 19CCAD2	105DE4C0	3BFB698	
DEC 10 : 27052754.000000	274588864.000000	62895768.000000	
HEX 11 : 251A5A4	FC40CB0	1A6F1340	
DEC 11 : 38905252.000000	264506544.000000	443487040.000000	
HEX 12 : 14D5B9A0	1854A700	681CD30	
DEC 12 : 349551008.000000	408200960.000000	109169968.000000	
HEX 13 : 1AB5DF40	2A7BE98	1AE3B880	
DEC 13 : 448126784.000000	44547736.000000	451131520.000000	
HEX 14 : 11C076E0	6693C4	BA9B3C0	
DEC 14 : 297826016.000000	6722500.000000	195670976.000000	
HEX 15 : A564380	157BA900	F914DA0	
DEC 15 : 173425536.000000	360425728.000000	261180832.000000	
HEX 16 : 7CC77C0	1C3B4AE0	9B942D0	
DEC 16 : 130840512.000000	473647840.000000	163136208.000000	
HEX 17 : 1825C3C0	5F1C3C	12FDD800	
DEC 17 : 405128128.000000	6233148.000000	318625792.000000	
HEX 18 : FC18A60	15918AE0	168DCB4	
DEC 18 : 264342112.000000	361859808.000000	23649460.000000	
HEX 19 : 57EC00	1DE54E20	9DEF620	
DEC 19 : 5762048.000000	501567008.000000	165606944.000000	
HEX 20 : B99EA90	1F345080	F80A780	
DEC 20 : 194636432.000000	523522176.000000	260089728.000000	
HEX 21 : 108EE840	1EAA8960	8C35CB0	
DEC 21 : 277801024.000000	514492768.000000	147020976.000000	
HEX 22 : 6DF20F0	174D7340	4080620	
DEC 22 : 115286256.000000	390951744.000000	67634720.000000	
HEX 23 : 76A4A58	C706350	F9FDF80	
DEC 23 : 124406360.000000	208692048.000000	262135680.000000	
HEX 24 : 1D7159E0	F4A94B0	AC06780	
