Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 153F8BC0	15927780	18C2BF00	
DEC 1 : 356486080.000000	361920384.000000	415416064.000000	
HEX 2 : 8E50CB0	1F25BB40	17BC6700	
DEC 2 : 149228720.000000	522566464.000000	398223104.000000	
HEX 3 : 1F35B160	5328F10	191AAE20	
DEC 3 : 523612512.000000	87199504.000000	421178912.000000	
HEX 4 : 11950F00	1EB3B520	184992E0	
DEC 4 : 294981376.000000	515093792.000000	407474912.000000	
HEX 5 : F0A6260	5F2AF10	173DEF00	
DEC 5 : 252338784.000000	99790608.000000	389934848.000000	
HEX 6 : 103EC3C	13761700	1E43E1E0	
DEC 6 : 17034300.000000	326506240.000000	507765216.000000	
HEX 7 : 1314BE20	8DE3170	1CE27C40	
DEC 7 : 320126496.000000	148779376.000000	484604992.000000	
HEX 8 : D72F440	2B99E98	1DE3D520	
DEC 8 : 225637440.000000	45719192.000000	501470496.000000	
HEX 9 : 1C0116A0	1B2F1EA0	2235A5	
DEC 9 : 469833376.000000	456072864.000000	2241957.000000	
HEX 10 : 11DCE000	730D698	C448F1	
DEC 10 : 299687936.000000	120641176.000000	12863729.000000	
HEX 11 : 94B59E0	13D87B40	1E702B40	
DEC 11 : 155933152.000000	332954432.000000	510667584.000000	
HEX 12 : 17FA96A0	166D2C40	AE85080	
DEC 12 : 402298528.000000	376253504.000000	182997120.000000	
HEX 13 : 2243F88	12FA8C40	505C8F0	
DEC 13 : 35929992.000000	318409792.000000	84265200.000000	
HEX 14 : 14B93F00	FA8DF80	1C68F10	
DEC 14 : 347684608.000000	262725504.000000	29789968.000000	
HEX 15 : EB5A5A	78CEBC0	CF31710	
DEC 15 : 15424090.000000	126675904.000000	217257744.000000	
HEX 16 : 1B91FAE0	1ED2DF00	1EB179E0	
DEC 16 : 462551776.000000	517136128.000000	514947552.000000	
HEX 17 : 144F4AE0	1046BC4	10403DA0	
DEC 17 : 340740832.000000	17066948.000000	272645536.000000	
HEX 18 : 9CB1F10	1E1455A0	E256440	
DEC 18 : 164306704.000000	504649120.000000	237331520.000000	
HEX 19 : 167E2E20	102211E0	1E5F6620	
DEC 19 : 377368096.000000	270668256.000000	509568544.000000	
HEX 20 : A017260	1ACD1B40	717EE98	
DEC 20 : 167866976.000000	449649472.000000	119008920.000000	
HEX 21 : 1D506000	13CF0800	18556440	
DEC 21 : 491806720.000000	332335104.000000	408249408.000000	
HEX 22 : 4528788	1A874DA0	229752C	
DEC 22 : 72517512.000000	445074848.000000	36271404.000000	
HEX 23 : 1BE07100	10B616A	9DDC2D0	
DEC 23 : 467693824.000000	17523050.000000	165528272.000000	
HEX 24 : 1261B440	12A536A0	E3C05A0	
DEC 24 : 308393024.000000	312817312.000000	238814624.000000	
HEX 25 : C0468F0	153D11E0	145F6F00	
DEC 25 : 201615600.000000	356323808.000000	341798656.000000	
HEX 26 : 18D00F0	13F19DA0	10304160	
DEC 26 : 26018032.000000	334601632.000000	271597920.000000	
HEX 27 : 4E33698	E515970	B512000	
DEC 27 : 81999512.000000	240212336.000000	189865984.000000	
HEX 28 : 7C11800	6CB54B8	100895A0	
DEC 28 : 130095104.000000	113988792.000000	268998048.000000	
HEX 29 : E048800	1FD2C6A0	72BF0F	
DEC 29 : 235177984.000000	533907104.000000	7520015.000000	
HEX 30 : 1485C260	D4032D0	96DDAD0	
DEC 30 : 344310368.000000	222311120.000000	158194384.000000	
HEX 31 : C74C8F0	EA69A60	BDCE5A0	
DEC 31 : 208980208.000000	245799520.000000	199026080.000000	
HEX 32 : A01DC40	1E626620	1F24B9E0	
DEC 32 : 167894080.000000	509765152.000000	522500576.000000	
HEX 33 : 17B28D20	EA71AD0	17153340	
DEC 33 : 397577504.000000	245832400.000000	387265344.000000	
HEX 34 : 3D91000	1A490F00	B657DA0	
DEC 34 : 64557056.000000	440995584.000000	191200672.000000	
HEX 35 : FEB6E90	5B9D788	8954970	
DEC 35 : 267087504.000000	96065416.000000	144001392.000000	
HEX 36 : 4F15968	5B54DA8	16FE21E0	
DEC 36 : 82925928.000000	95767976.000000	385753568.000000	
HEX 37 : 628E078	19D0D520	132D45A0	
DEC 37 : 103342200.000000	433116448.000000	321734048.000000	
HEX 38 : 2FA38F0	4B27F10	7CA078	
DEC 38 : 49953008.000000	78806800.000000	8167544.000000	
HEX 39 : 122CF780	195AA000	13054880	
DEC 39 : 304936832.000000	425369600.000000	319113344.000000	
HEX 40 : 4584968	CBA0C40	1DC36000	
DEC 40 : 72894824.000000	213519424.000000	499343360.000000	
HEX 41 : 1A898D20	10C41260	692ABC0	
DEC 41 : 445222176.000000	281285216.000000	110275520.000000	
HEX 42 : 1D635000	1F175440	12CCA900	
DEC 42 : 493047808.000000	521622592.000000	315402496.000000	
HEX 43 : D899BC0	16782D2	2E36B4C	
DEC 43 : 227122112.000000	23560914.000000	48458572.000000	
HEX 44 : 1A0B7D20	16C58B40	1E706800	
DEC 44 : 436960544.000000	382044992.000000	510683136.000000	
HEX 45 : 1A7E9EA0	A13FA60	1C5E5F00	
DEC 45 : 444505760.000000	169081440.000000	475946752.000000	
HEX 46 : 18B931E0	1C549C40	18068F80	
DEC 46 : 414790112.000000	475307072.000000	403083136.000000	
HEX 47 : 1A6DAC40	16BA1BC0	12055CC0	
DEC 47 : 443395136.000000	381295552.000000	302341312.000000	
HEX 48 : 5B7E968	13099CC0	17DC95A0	
DEC 48 : 95938920.000000	319397056.000000	400332192.000000	
HEX 49 : 390F5A4	1A8ACD20	1E7A6BC0	
DEC 49 : 59831716.000000	445304096.000000	511339456.000000	
HEX 50 : 997E5A0	1229D5A0	5BA9000	
DEC 50 : 160949664.000000	304731552.000000	96112640.000000	
HEX 51 : 188DD960	2D409E0	1BB55520	
DEC 51 : 411949408.000000	47450592.000000	464868640.000000	
HEX 52 : 1FCDEDA0	1AB6B9E0	1A028260	
DEC 52 : 533589408.000000	448182752.000000	436372064.000000	
HEX 53 : 1946DCC0	FAA6620	EC11350	
DEC 53 : 424074432.000000	262825504.000000	247534416.000000	
HEX 54 : 1D8F62E0	1D60BBC0	A934350	
DEC 54 : 495936224.000000	492878784.000000	177423184.000000	
HEX 55 : 16BC3D20	7D58AD0	E2AF880	
DEC 55 : 381435168.000000	131435216.000000	237697152.000000	
HEX 56 : 13F7F960	1B37A880	1E855160	
DEC 56 : 335018336.000000	456632448.000000	512053600.000000	
HEX 57 : 10E85100	DDEA9E0	13DDA900	
DEC 57 : 283660544.000000	232696288.000000	333293824.000000	
HEX 58 : 9790DA0	E5602D0	12C4D440	
DEC 58 : 158928288.000000	240517840.000000	314889280.000000	
HEX 59 : C934880	17704DA0	DDAE97	
DEC 59 : 210978944.000000	393235872.000000	14528151.000000	
HEX 60 : 1DA511E0	3283710	1138C080	
DEC 60 : 497357280.000000	52967184.000000	288931968.000000	
HEX 61 : 1CAD7520	AE9DF80	22E2968	
DEC 61 : 481129760.000000	183099264.000000	36579688.000000	
HEX 62 : F1AA3C0	116B1960	1A41C900	
DEC 62 : 253404096.000000	292231520.000000	440518912.000000	
HEX 63 : 16381780	17C5E4C0	389B168	
DEC 63 : 372774784.000000	398845120.000000	59355496.000000	
HEX 64 : 53705A8	D4D3DA0	125B2D2	
DEC 64 : 87492008.000000	223165856.000000	19247826.000000	
HEX 65 : 7F313C0	8390E90	78E3A58	
DEC 65 : 133370816.000000	137957008.000000	126761560.000000	
HEX 66 : A86C170	B789620	19A6D900	
DEC 66 : 176603504.000000	192452128.000000	430364928.000000	
HEX 67 : 170D9E20	5FE6CB8	6169BC0	
DEC 67 : 386768416.000000	100560056.000000	102144960.000000	
HEX 68 : 10DBE6A0	13B97520	6F07E20	
DEC 68 : 282846880.000000	330921248.000000	116424224.000000	
HEX 69 : 6E9DA5	189ADDA0	17E972E0	
DEC 69 : 7249317.000000	412802464.000000	401175264.000000	
HEX 70 : 5CC22D0	1691BC4	A3F7440	
DEC 70 : 97264336.000000	23665604.000000	171930688.000000	
HEX 71 : 11EB9260	1DF9EBC0	6A52F88	
