Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 801AA60	11E2B4C0	1424D000	
DEC 1 : 134326880.000000	300070080.000000	337956864.000000	
HEX 2 : F94AD30	DC73E20	12F313C0	
DEC 2 : 261401904.000000	231161376.000000	317920192.000000	
HEX 3 : 17A01000	DA465A0	1265F5A0	
DEC 3 : 396365824.000000	228877728.000000	308671904.000000	
HEX 4 : B8BEDA0	17199080	22CF168	
DEC 4 : 193719712.000000	387551360.000000	36499816.000000	
HEX 5 : 1AE795A0	E802C40	A4E6C40	
DEC 5 : 451384736.000000	243280960.000000	172911680.000000	
HEX 6 : 10158BC0	1889A520	16E2FAE0	
DEC 6 : 269847488.000000	411673888.000000	383974112.000000	
HEX 7 : 1C849100	18282B40	18E4D340	
DEC 7 : 478449920.000000	405285696.000000	417649472.000000	
HEX 8 : 1B4033C0	165E4340	A07F880	
DEC 8 : 457192384.000000	375276352.000000	168294528.000000	
HEX 9 : 455FE98	1E7D1160	FF61F10	
DEC 9 : 72744600.000000	511512928.000000	267788048.000000	
HEX 10 : ECA8F80	18F93700	1E4A95A0	
DEC 10 : 248156032.000000	418985728.000000	508204448.000000	
HEX 11 : F78AD3	156056A0	C42CDA0	
DEC 11 : 16222931.000000	358635168.000000	205704608.000000	
HEX 12 : 4A153C0	1B3122E0	92FC880	
DEC 12 : 77681600.000000	456205024.000000	154126464.000000	
HEX 13 : 19D4D5A0	1431D260	2DCF788	
DEC 13 : 433378720.000000	338809440.000000	48035720.000000	
HEX 14 : 185DEAE0	ACE35A0	1E1B5880	
DEC 14 : 408808160.000000	181286304.000000	505108608.000000	
HEX 15 : 62BCE20	13D3DB40	64F33C0	
DEC 15 : 103534112.000000	332651328.000000	105853888.000000	
HEX 16 : 1FD594C0	A291080	1D63EF00	
DEC 16 : 534090944.000000	170463360.000000	493088512.000000	
HEX 17 : 137BEA60	FE8BC4	16A0EBC0	
DEC 17 : 326888032.000000	16681924.000000	379644864.000000	
HEX 18 : 1413B620	17C74000	83B2530	
DEC 18 : 336836128.000000	398934016.000000	138093872.000000	
HEX 19 : 142C7260	9247000	C445000	
DEC 19 : 338457184.000000	153382912.000000	205803520.000000	
HEX 20 : 15AA0520	1168788	88651E0	
DEC 20 : 363463968.000000	18253704.000000	143020512.000000	
HEX 21 : 6417620	1C542440	1D8A3800	
DEC 21 : 104953376.000000	475276352.000000	495597568.000000	
HEX 22 : 7E13168	176F9880	ED87DA0	
DEC 22 : 132198760.000000	393189504.000000	249068960.000000	
HEX 23 : B4132D0	1D7FB000	BEC3F10	
DEC 23 : 188822224.000000	494907392.000000	200032016.000000	
HEX 24 : 97BB5A0	5146D30	2687A5C	
DEC 24 : 159102368.000000	85224752.000000	40401500.000000	
HEX 25 : E22C3C0	2A00D2C	92B4350	
DEC 25 : 237159360.000000	44043564.000000	153830224.000000	
HEX 26 : 1B23C3C0	12F2710	1D6566A0	
DEC 26 : 455328704.000000	19867408.000000	493184672.000000	
HEX 27 : 9830970	A2BA620	10555520	
DEC 27 : 159582576.000000	170632736.000000	274027808.000000	
HEX 28 : 13206100	12D4E260	1EB5ADA0	
DEC 28 : 320889088.000000	315941472.000000	515222944.000000	
HEX 29 : 4A7078	10B993C0	12249F00	
DEC 29 : 4878456.000000	280597440.000000	304389888.000000	
HEX 30 : 18195EA0	1767F700	10CA3AE0	
DEC 30 : 404315808.000000	392689408.000000	281688800.000000	
HEX 31 : D42ED30	14A76CC0	91649E0	
DEC 31 : 222489904.000000	346516672.000000	152455648.000000	
HEX 32 : C02D0F0	1E388BC0	136111E0	
DEC 32 : 201511152.000000	507022272.000000	325128672.000000	
HEX 33 : 11FD5260	1B5AEBC0	E84E8F0	
DEC 33 : 301814368.000000	458943424.000000	243591408.000000	
HEX 34 : 1BD731E0	7745788	11962620	
DEC 34 : 467087840.000000	125065096.000000	295052832.000000	
HEX 35 : E66F710	694FDA8	19DADAE0	
DEC 35 : 241628944.000000	110427560.000000	433773280.000000	
HEX 36 : 100A74C0	6469710	12832960	
DEC 36 : 269120704.000000	105289488.000000	310585696.000000	
HEX 37 : 95B5F10	C0D6260	18B58100	
DEC 37 : 156983056.000000	202203744.000000	414548224.000000	
