Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 121562E0	168E7D20	E137AD0	
DEC 1 : 303391456.000000	378436896.000000	236157648.000000	
HEX 2 : FB3D970	1A5A0F80	1E986E20	
DEC 2 : 263444848.000000	442109824.000000	513306144.000000	
HEX 3 : 1706D000	1B8F696	DD87170	
DEC 3 : 386322432.000000	28898966.000000	232288624.000000	
HEX 4 : 1FE5B100	8A99AD0	13EA86A0	
DEC 4 : 535146752.000000	145332944.000000	334136992.000000	
HEX 5 : 13BCA000	1CF27900	11B44E20	
DEC 5 : 331128832.000000	485652736.000000	297029152.000000	
HEX 6 : 131891E0	1629FD20	1586D9E0	
DEC 6 : 320377312.000000	371850528.000000	361159136.000000	
HEX 7 : 7A4D2D0	160B5AE0	DA3D440	
DEC 7 : 128242384.000000	369842912.000000	228840512.000000	
HEX 8 : 18C433C0	10F2C700	70552D0	
DEC 8 : 415511488.000000	284346112.000000	117789392.000000	
HEX 9 : 1B20C960	1D542100	68398F0	
DEC 9 : 455133536.000000	492052736.000000	109287664.000000	
HEX 10 : 1C7A25A0	1F50800	14191A60	
DEC 10 : 477767072.000000	32835584.000000	337189472.000000	
HEX 11 : 925E0F0	1B066160	1AF3A5A0	
DEC 11 : 153477360.000000	453402976.000000	452175264.000000	
HEX 12 : 350AA5C	2431078	1D751BC0	
DEC 12 : 55618140.000000	37949560.000000	494214080.000000	
HEX 13 : 21710F0	1D3022E0	1977CEA0	
DEC 13 : 35066096.000000	489693920.000000	427282080.000000	
HEX 14 : CB914B0	10CB8D20	F77B0F0	
DEC 14 : 213456048.000000	281775392.000000	259502320.000000	
HEX 15 : 1B4CA780	1CCA4B40	E333B50	
DEC 15 : 458008448.000000	483019584.000000	238238544.000000	
HEX 16 : 1AAE8D20	96A9AD0	194B4EA0	
DEC 16 : 447647008.000000	157981392.000000	424365728.000000	
HEX 17 : 8E6D0F0	155AD000	1FE645A0	
DEC 17 : 149344496.000000	358273024.000000	535184800.000000	
HEX 18 : 1E9DB880	136481E0	1D6634C0	
DEC 18 : 513652864.000000	325353952.000000	493237440.000000	
HEX 19 : 1F2025A0	A67D4B0	1F8793C0	
DEC 19 : 522200480.000000	174576816.000000	528978880.000000	
HEX 20 : 1C585880	2ED68F0	1CBB5900	
DEC 20 : 475551872.000000	49113328.000000	482040064.000000	
HEX 21 : 524FF10	1B979700	942E97	
DEC 21 : 86310672.000000	462919424.000000	9711255.000000	
HEX 22 : C9C00F0	1BB44700	D9958F0	
DEC 22 : 211550448.000000	464799488.000000	228153584.000000	
HEX 23 : D24B000	F174A60	F65788	
DEC 23 : 220508160.000000	253184608.000000	16144264.000000	
HEX 24 : 1BC31100	119E3340	16A92700	
DEC 24 : 465768704.000000	295580480.000000	380184320.000000	
HEX 25 : 132DF000	F70B350	BD6A530	
DEC 25 : 321777664.000000	259044176.000000	198616368.000000	
HEX 26 : 1AB1BC40	16E14F00	2334BC4	
DEC 26 : 447855680.000000	383864576.000000	36916164.000000	
HEX 27 : A30FC40	1F079DA0	142EF9E0	
DEC 27 : 170982464.000000	520592800.000000	338622944.000000	
HEX 28 : C63F3C0	CB81DA0	8425880	
DEC 28 : 207877056.000000	213392800.000000	138565760.000000	
HEX 29 : 183BDA60	F27FC40	1D81FBC0	
DEC 29 : 406575712.000000	254278720.000000	495057856.000000	
HEX 30 : 4C1AE20	1528F5A0	18B21340	
DEC 30 : 79801888.000000	355005856.000000	414323520.000000	
HEX 31 : 1A6F0100	A446CB0	3F9A3C4	
DEC 31 : 443482368.000000	172256432.000000	66692036.000000	
HEX 32 : 1F02C960	F31FAD0	10476000	
DEC 32 : 520276320.000000	254933712.000000	273113088.000000	
HEX 33 : BDC1000	AB20CB0	14B439E0	
DEC 33 : 198971392.000000	179440816.000000	347355616.000000	
HEX 34 : D4C44B0	6F2B788	263243C	
DEC 34 : 223102128.000000	116569992.000000	40051772.000000	
HEX 35 : 15C59D20	152D788	1776D620	
DEC 35 : 365272352.000000	22206344.000000	393664032.000000	
HEX 36 : 1E3805A0	3A33698	CB34A60	
DEC 36 : 506987936.000000	61027992.000000	213076576.000000	
HEX 37 : B5A90F0	7BE5D30	1B9CB800	
DEC 37 : 190484720.000000	129916208.000000	463255552.000000	
HEX 38 : DE234B0	155D2260	7F11D30	
DEC 38 : 232928432.000000	358425184.000000	133242160.000000	
HEX 39 : 18B9F5A0	1336D1E0	F419690	
DEC 39 : 414840224.000000	322359776.000000	255956624.000000	
HEX 40 : E1D20F0	11158F80	17FD5440	
DEC 40 : 236790000.000000	286625664.000000	402478144.000000	
HEX 41 : 7678788	122DA700	5CE2B48	
DEC 41 : 124225416.000000	304981760.000000	97397576.000000	
HEX 42 : 9DF72D0	1FDFBC4	101526A0	
DEC 42 : 165638864.000000	33422276.000000	269821600.000000	
HEX 43 : 45D53C0	1A79C4C0	12C4BC40	
DEC 43 : 73225152.000000	444187840.000000	314883136.000000	
HEX 44 : 1F890B40	DCAB530	8E66350	
DEC 44 : 529075008.000000	231388464.000000	149316432.000000	
HEX 45 : F0C4000	3E5ADA4	1542BD20	
DEC 45 : 252461056.000000	65383844.000000	356695328.000000	
HEX 46 : 1091AC40	924DF80	F09AAD0	
DEC 46 : 277982272.000000	153411456.000000	252291792.000000	
HEX 47 : 6140D30	61E51E0	163A1AE0	
DEC 47 : 101977392.000000	102650336.000000	372906720.000000	
HEX 48 : 61FC968	1056CC40	131092E0	
DEC 48 : 102746472.000000	274123840.000000	319853280.000000	
HEX 49 : 179B75A0	1ABDDA6	31E4D2C	
DEC 49 : 396064160.000000	28040614.000000	52317484.000000	
HEX 50 : FA96D30	1CA51880	623C258	
DEC 50 : 262761776.000000	480581760.000000	103006808.000000	
HEX 51 : B80B690	170FBF00	100E25A	
DEC 51 : 192984720.000000	386907904.000000	16835162.000000	
HEX 52 : A781000	53E2D3	1AA81340	
DEC 52 : 175640576.000000	5497555.000000	447222592.000000	
HEX 53 : C61CD30	4A23078	97E4A60	
DEC 53 : 207736112.000000	77738104.000000	159271520.000000	
HEX 54 : 1D24F10	11571C40	1E7B8000	
DEC 54 : 30560016.000000	290921536.000000	511410176.000000	
HEX 55 : 151FD100	1F38FA60	AA4F690	
DEC 55 : 354406656.000000	523827808.000000	178583184.000000	
HEX 56 : 17320960	7369DA8	12FEA3C0	
DEC 56 : 389155168.000000	121019816.000000	318677952.000000	
HEX 57 : 13552A60	13799E20	261E710	
DEC 57 : 324348512.000000	326737440.000000	39970576.000000	
HEX 58 : 3019A5C	49ADA58	E68BBC0	
DEC 58 : 50436700.000000	77257304.000000	241744832.000000	
HEX 59 : 62C7E20	D08E3C0	1A196B40	
DEC 59 : 103579168.000000	218686400.000000	437873472.000000	
HEX 60 : D10F0F	2138800	76F25A8	
