Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 1C2A2D2	1C4B6BC0	9ECDC40	
DEC 1 : 29532882.000000	474704832.000000	166517824.000000	
HEX 2 : 3EBCC3C	1E53A000	1CA11780	
DEC 2 : 65784892.000000	508796928.000000	480319360.000000	
HEX 3 : 54A3878	971F710	EB85AD0	
DEC 3 : 88750200.000000	158463760.000000	246962896.000000	
HEX 4 : 4F3B968	ED078	2E01E20	
DEC 4 : 83081576.000000	970872.000000	48242208.000000	
HEX 5 : ADA878	19640900	17F57440	
DEC 5 : 11380856.000000	425986304.000000	401962048.000000	
HEX 6 : C2D34B0	1233A800	1F642900	
DEC 6 : 204289200.000000	305375232.000000	526657792.000000	
HEX 7 : 1123BF00	FFFA620	19630000	
DEC 7 : 287555328.000000	268412448.000000	425918464.000000	
HEX 8 : 148484C0	9D91E90	D86EB50	
DEC 8 : 344229056.000000	165224080.000000	226945872.000000	
HEX 9 : 3A6EB4C	322325C	1A704100	
DEC 9 : 61270860.000000	52572764.000000	443564288.000000	
HEX 10 : 4BBC788	9E385A0	64934B	
DEC 10 : 79415176.000000	165905824.000000	6591307.000000	
HEX 11 : C397000	11366080	34F0800	
DEC 11 : 205090816.000000	288776320.000000	55511040.000000	
HEX 12 : 17AAE2E0	10A45CC0	CBE8000	
DEC 12 : 397075168.000000	279207104.000000	213811200.000000	
HEX 13 : 59EA0F0	1F3971E0	407EE98	
DEC 13 : 94281968.000000	523858400.000000	67628696.000000	
HEX 14 : 187E7000	F6EC8F0	55BCAD0	
DEC 14 : 410939392.000000	258918640.000000	89901776.000000	
HEX 15 : A340D30	184A7AE0	4E49AD0	
DEC 15 : 171183408.000000	407534304.000000	82090704.000000	
HEX 16 : F10E880	1DE88EA0	61D11E0	
DEC 16 : 252766336.000000	501780128.000000	102568416.000000	
HEX 17 : DE281E0	1D1893C0	DE0D2D0	
DEC 17 : 232948192.000000	488149952.000000	232837840.000000	
HEX 18 : 10FCE000	1632F000	76679E0	
DEC 18 : 285007872.000000	372436992.000000	124156384.000000	
HEX 19 : 5973F10	1FEBAEA0	136B01E0	
DEC 19 : 93798160.000000	535539360.000000	325779936.000000	
HEX 20 : 34F25A4	15BECF00	687E710	
DEC 20 : 55518628.000000	364826368.000000	109569808.000000	
HEX 21 : 187E71E0	15EDC3C	162C4B4	
DEC 21 : 410939872.000000	22993980.000000	23250100.000000	
HEX 22 : 80651E0	18B87620	C1669E0	
DEC 22 : 134631904.000000	414742048.000000	202795488.000000	
HEX 23 : 164F42E0	13C791E0	156DB1E0	
DEC 23 : 374293216.000000	331846112.000000	359510496.000000	
HEX 24 : 18512D20	5817878	19C39A60	
DEC 24 : 407973152.000000	92371064.000000	432249440.000000	
HEX 25 : 117B0A60	F944710	11766000	
DEC 25 : 293276256.000000	261375760.000000	292970496.000000	
HEX 26 : 23DA5A	5844078	53955A8	
DEC 26 : 2349658.000000	92553336.000000	87643560.000000	
HEX 27 : FB454B0	40F9A58	DB5A780	
DEC 27 : 263476400.000000	68131416.000000	230008704.000000	
HEX 28 : A8DAF10	136DB9E0	18245700	
DEC 28 : 177057552.000000	325958112.000000	405034752.000000	
HEX 29 : B18D5A0	45F5078	1A1BBA60	
DEC 29 : 186176928.000000	73355384.000000	438024800.000000	
HEX 30 : 11A42000	ECC62D0	89FA350	
DEC 30 : 295968768.000000	248275664.000000	144679760.000000	
HEX 31 : 17BA32E0	B96E880	1498DCC0	
DEC 31 : 398078688.000000	194439296.000000	345562304.000000	
HEX 32 : 2881E2	11067F80	195243C	
DEC 32 : 2654690.000000	285638528.000000	26551356.000000	
HEX 33 : 127F5100	955E970	1C9EA960	
DEC 33 : 310333696.000000	156625264.000000	480160096.000000	
HEX 34 : 136DE1E	165953C0	11179260	
DEC 34 : 20373022.000000	374952896.000000	286757472.000000	
HEX 35 : 11FE3F00	1DE2E96	1BCCE620	
DEC 35 : 301874944.000000	31338134.000000	466413088.000000	
HEX 36 : 18002D2	19F56620	8F02D3	
DEC 36 : 25166546.000000	435512864.000000	9372371.000000	
HEX 37 : 10CA91E0	8AB2170	145EE700	
DEC 37 : 281711072.000000	145432944.000000	341763840.000000	
HEX 38 : 12039B40	13D4878	144C12E0	
DEC 38 : 302226240.000000	20793464.000000	340529888.000000	
HEX 39 : B9093C0	2EAD620	5104348	
DEC 39 : 194024384.000000	48944672.000000	84951880.000000	
HEX 40 : 168533C0	152135A0	C3D52D	
DEC 40 : 377828288.000000	354497952.000000	12834093.000000	
HEX 41 : 112BAD20	1716ACC0	11027BC0	
DEC 41 : 288075040.000000	387361984.000000	285375424.000000	
HEX 42 : 347BA5C	11DA8F00	16FF3160	
DEC 42 : 55032412.000000	299536128.000000	385823072.000000	
HEX 43 : 8EAFE20	192AE1E0	138CE800	
DEC 43 : 149618208.000000	422240736.000000	328001536.000000	
HEX 44 : A3825A0	55FCF88	12B29A60	
DEC 44 : 171451808.000000	90165128.000000	313694816.000000	
HEX 45 : 187E7000	4CB81E0	1171CD20	
DEC 45 : 410939392.000000	80445920.000000	292670752.000000	
HEX 46 : E106A60	9F45E90	41A65A8	
DEC 46 : 235956832.000000	167009936.000000	68838824.000000	
HEX 47 : 4F74878	E3DA5	13B19800	
DEC 47 : 83314808.000000	933285.000000	330405888.000000	
HEX 48 : 88EC1E0	278B34C	BF3B2D0	
DEC 48 : 143573472.000000	41464652.000000	200520400.000000	
HEX 49 : 157B3A60	8C20350	39BCCB4	
DEC 49 : 360397408.000000	146932560.000000	60542132.000000	
HEX 50 : 72CB3C0	FA7CE20	8B0C530	
DEC 50 : 120370112.000000	262655520.000000	145802544.000000	
HEX 51 : 187E7100	F52B000	1B173260	
DEC 51 : 410939648.000000	257077248.000000	454505056.000000	
HEX 52 : 152A5D20	1E368DA0	1C379E20	
DEC 52 : 355097888.000000	506891680.000000	473407008.000000	
HEX 53 : 413CA58	AA0FA60	19DCA700	
DEC 53 : 68405848.000000	178322016.000000	433891072.000000	
HEX 54 : 11576960	186CD9E0	18A85C40	
DEC 54 : 290941280.000000	409786848.000000	413686848.000000	
HEX 55 : 169ABB40	1C662AE0	14E94D20	
DEC 55 : 379239232.000000	476457696.000000	350833952.000000	
HEX 56 : A5A3F10	C3595A0	160346A0	
DEC 56 : 173686544.000000	204838304.000000	369313440.000000	
HEX 57 : 187D8A60	4F9FA58	961F080	
DEC 57 : 410880608.000000	83491416.000000	157413504.000000	
HEX 58 : 12C6D5A0	120C4B4	6478258	
DEC 58 : 315020704.000000	18924724.000000	105349720.000000	
HEX 59 : 187E7000	17A7EE20	F5ABD30	
DEC 59 : 410939392.000000	396881440.000000	257604912.000000	
HEX 60 : F70BA60	1EC1FC40	150E2BC0	
DEC 60 : 259045984.000000	516029504.000000	353250240.000000	
HEX 61 : 14BA0A60	1C5876A0	AD36C40	
DEC 61 : 347736672.000000	475559584.000000	181627968.000000	
HEX 62 : B385780	AE34F10	1DE136A0	
DEC 62 : 188241792.000000	182669072.000000	501298848.000000	
HEX 63 : AB79970	1C182C40	1A4786A0	
DEC 63 : 179804528.000000	471346240.000000	440895136.000000	
HEX 64 : CA49970	B093170	D9C1DA0	
DEC 64 : 212113776.000000	185151856.000000	228335008.000000	
HEX 65 : 187E7000	1C5345A0	1C67F10	
DEC 65 : 410939392.000000	475219360.000000	29785872.000000	
HEX 66 : 65F3878	10C4A440	1018D260	
DEC 66 : 106903672.000000	281322560.000000	270062176.000000	
HEX 67 : 187E7000	177CA6A0	1B9B7160	
DEC 67 : 410939392.000000	394045088.000000	463171936.000000	
HEX 68 : 505A3C0	FDD42D0	1F30A800	
DEC 68 : 84255680.000000	266158800.000000	523282432.000000	
HEX 69 : 187E7100	168581E0	7E58698	
DEC 69 : 410939648.000000	377848288.000000	132482712.000000	
HEX 70 : CB9EA60	12DD7800	CA2E970	
DEC 70 : 213510752.000000	316504064.000000	212003184.000000	
HEX 71 : 6CCC698	83D5800	7716000	
DEC 71 : 114083480.000000	138237952.000000	124870656.000000	
HEX 72 : 5CF3878	170B5DA0	1CF1D1E0	
DEC 72 : 97466488.000000	386620832.000000	485609952.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
