Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 10F9EEE0	83BDDA0	18B251E0	
DEC 1 : 284815072.000000	138141088.000000	414339552.000000	
HEX 2 : 145E9440	17EFA340	168CECC0	
DEC 2 : 341742656.000000	401580864.000000	378334400.000000	
HEX 3 : 8A795D0	938EF80	CBFD2D0	
DEC 3 : 145200592.000000	154726272.000000	213897936.000000	
HEX 4 : BFE28C0	3369968	9AD5800	
DEC 4 : 201205952.000000	53909864.000000	162355200.000000	
HEX 5 : C6A6710	DBEDC40	63D0440	
DEC 5 : 208299792.000000	230612032.000000	104662080.000000	
HEX 6 : 10020360	1E7A3A60	635B5A8	
DEC 6 : 268567392.000000	511326816.000000	104183208.000000	
HEX 7 : D26CF90	145149E0	1C6D95A0	
DEC 7 : 220647312.000000	340871648.000000	476943776.000000	
HEX 8 : 1528D0C0	188ED1E0	1543E96	
DEC 8 : 354996416.000000	412013024.000000	22298262.000000	
HEX 9 : C12F650	4938AD0	245C878	
DEC 9 : 202569296.000000	76778192.000000	38127736.000000	
HEX 10 : 5F970	A282D30	1599BA60	
DEC 10 : 391536.000000	170405168.000000	362396256.000000	
HEX 11 : 1629C0E0	139E96A0	1DEB0CC0	
DEC 11 : 371835104.000000	329160352.000000	501943488.000000	
HEX 12 : 1F6B8840	9039E2	13A3CB40	
DEC 12 : 527140928.000000	9452002.000000	329501504.000000	
HEX 13 : 12BB26E0	7939440	6E2BC4	
DEC 13 : 314255072.000000	127112256.000000	7220164.000000	
HEX 14 : 1FECE5E0	78C48F0	17849DA0	
DEC 14 : 535619040.000000	126634224.000000	394567072.000000	
HEX 15 : 114A7360	83A2880	7CF8698	
DEC 15 : 290091872.000000	138029184.000000	131040920.000000	
HEX 16 : 11853D80	27C89E0	13DCEF00	
DEC 16 : 293944704.000000	41716192.000000	333246208.000000	
HEX 17 : 6BEFBC0	8D2F000	57A0E20	
DEC 17 : 113179584.000000	148041728.000000	91885088.000000	
HEX 18 : 3BAEDC	8A588F0	1CF95080	
DEC 18 : 3911388.000000	145066224.000000	486101120.000000	
HEX 19 : 5F8B3	1C45C100	B55A350	
DEC 19 : 391347.000000	474333440.000000	190161744.000000	
HEX 20 : 1B1C040	1E72A2E0	451EA58	
DEC 20 : 28426304.000000	510829280.000000	72477272.000000	
HEX 21 : 57D4270	A54A5A	6E23C40	
DEC 21 : 92095088.000000	10832474.000000	115489856.000000	
HEX 22 : 1E0AF0A0	DCB81E0	1B46AE20	
DEC 22 : 504033440.000000	231440864.000000	457616928.000000	
HEX 23 : 110C80C0	112EDDA0	16CCB880	
DEC 23 : 286032064.000000	288284064.000000	382515328.000000	
HEX 24 : 5F7B6	AF6A440	CECEE20	
DEC 24 : 391094.000000	183936064.000000	216854048.000000	
HEX 25 : 5456618	DD562D0	11A574C0	
DEC 25 : 88434200.000000	232088272.000000	296056000.000000	
HEX 26 : 1862C6C0	195D8E20	10582080	
DEC 26 : 409126592.000000	425561632.000000	274210944.000000	
HEX 27 : 186608A0	141A8520	6769440	
DEC 27 : 409340064.000000	337282336.000000	108434496.000000	
HEX 28 : 16034900	11414B4	1F184780	
DEC 28 : 369314048.000000	18093236.000000	521684864.000000	
HEX 29 : 161802A0	74CB440	DB72AD0	
DEC 29 : 370672288.000000	122467392.000000	230107856.000000	
HEX 30 : 7BFF3B8	199E7C40	188AAF80	
DEC 30 : 130020280.000000	429816896.000000	411742080.000000	
HEX 31 : 1696B2C0	1FCD76A0	2CCBF10	
DEC 31 : 378974912.000000	533558944.000000	46972688.000000	
HEX 32 : 1BC77DA0	1ED1CB4	1A540080	
DEC 32 : 466058656.000000	32316596.000000	441712768.000000	
HEX 33 : F37ED30	8C4E1E0	10690620	
DEC 33 : 255323440.000000	147120608.000000	275318304.000000	
HEX 34 : 95799B0	1B4CE960	4BCD698	
DEC 34 : 156735920.000000	458025312.000000	79484568.000000	
HEX 35 : 1B1CB240	7E07D30	1EE48AE0	
