Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 6AA6388	11742780	11157C40	
DEC 1 : 111829896.000000	292824960.000000	286620736.000000	
HEX 2 : 181F1660	1E22B780	8EB2E20	
DEC 2 : 404690528.000000	505591680.000000	149630496.000000	
HEX 3 : 3021C78	6665A58	6AB4968	
DEC 3 : 50470008.000000	107371096.000000	111888744.000000	
HEX 4 : 183C7100	16CFF2E0	1949710	
DEC 4 : 406614272.000000	382726880.000000	26515216.000000	
HEX 5 : 253934C	248E2D4	1E077520	
DEC 5 : 39031628.000000	38331092.000000	503805216.000000	
HEX 6 : 1ABFB8C0	16C0D2E0	1CA82F00	
DEC 6 : 448772288.000000	381735648.000000	480784128.000000	
HEX 7 : 115E2960	6262B48	8F7F780	
DEC 7 : 291383648.000000	103164744.000000	150468480.000000	
HEX 8 : 6944E98	C326970	2FFC078	
DEC 8 : 110382744.000000	204630384.000000	50315384.000000	
HEX 9 : ED043C	113D8EA0	C372BC0	
DEC 9 : 15533116.000000	289246880.000000	204942272.000000	
HEX 10 : A2C0880	38D7788	7163878	
DEC 10 : 170657920.000000	59602824.000000	118896760.000000	
HEX 11 : 18CB6960	52F5168	A9B3440	
DEC 11 : 415983968.000000	86987112.000000	177943616.000000	
HEX 12 : 1B9ED9A0	BB86620	8288B50	
DEC 12 : 463395232.000000	196634144.000000	136874832.000000	
HEX 13 : 1F686E20	15BEF000	14AFBEA0	
DEC 13 : 526937632.000000	364834816.000000	347061920.000000	
HEX 14 : 152CFEA0	EC95AD0	5C25710	
DEC 14 : 355270304.000000	248077008.000000	96622352.000000	
HEX 15 : 1E34F100	EE580F0	1792CBC0	
DEC 15 : 506786048.000000	249921776.000000	395496384.000000	
HEX 16 : 81F9930	6FB7AD0	1D0524C0	
DEC 16 : 136288560.000000	117144272.000000	486876352.000000	
HEX 17 : DBB0B10	585C710	166B8520	
DEC 17 : 230361872.000000	92653328.000000	376145184.000000	
HEX 18 : B692D3	1D002C40	1BF791E0	
DEC 18 : 11965139.000000	486550592.000000	469209568.000000	
HEX 19 : DD688F0	1953BC40	1F24B2E0	
DEC 19 : 232163568.000000	424918080.000000	522498784.000000	
HEX 20 : 128F5800	20FC000	F2DB5A0	
DEC 20 : 311384064.000000	34586624.000000	254653856.000000	
HEX 21 : 8F092D0	B5A7080	14DDB160	
DEC 21 : 149983952.000000	190476416.000000	350073184.000000	
HEX 22 : E492F10	13A4AEA0	4B30B48	
DEC 22 : 239677200.000000	329559712.000000	78842696.000000	
HEX 23 : B6FC1A0	1E279C40	F3BDF10	
DEC 23 : 191873440.000000	505912384.000000	255581968.000000	
HEX 24 : F429840	188233C0	126D3960	
DEC 24 : 256022592.000000	411186112.000000	309148000.000000	
HEX 25 : 97AC400	4BA5A5	19C816A0	
DEC 25 : 159040512.000000	4957605.000000	432543392.000000	
HEX 26 : 19C020C0	41D8D30	1EEBD440	
DEC 26 : 432021696.000000	69045552.000000	518771776.000000	
HEX 27 : 1A4C8740	B4AA880	121CB440	
DEC 27 : 441222976.000000	189442176.000000	303871040.000000	
HEX 28 : 760FE20	13675B40	7B0D000	
DEC 28 : 123797024.000000	325540672.000000	129028096.000000	
HEX 29 : 1DB06E20	1A501E20	EF3AE20	
DEC 29 : 498101792.000000	441458208.000000	250850848.000000	
HEX 30 : C7648B0	E369260	D891780	
DEC 30 : 209078448.000000	238457440.000000	227088256.000000	
HEX 31 : 1014E380	9C125A	1D635000	
DEC 31 : 269804416.000000	10228314.000000	493047808.000000	
HEX 32 : 1381F160	72CF698	1C07F1E0	
DEC 32 : 327283040.000000	120387224.000000	470282720.000000	
HEX 33 : 1FB9FD20	BC434B	B250530	
DEC 33 : 532282656.000000	12337995.000000	186975536.000000	
HEX 34 : 17688500	1D7CBC40	1E457DA0	
DEC 34 : 392725760.000000	494713920.000000	507870624.000000	
HEX 35 : 13269500	192A0000	19CF7900	
DEC 35 : 321295616.000000	422182912.000000	433027328.000000	
HEX 36 : 60EFC00	46853C0	147B8960	
DEC 36 : 101645312.000000	73946048.000000	343640416.000000	
HEX 37 : A604710	1B1C7960	4440C40	
DEC 37 : 174081808.000000	454850912.000000	71568448.000000	
HEX 38 : 107874C0	C7F9780	13AC9700	
DEC 38 : 276329664.000000	209688448.000000	330077952.000000	
HEX 39 : 1051DAA0	31F1968	1DBD34C	
DEC 39 : 273799840.000000	52369768.000000	31183692.000000	
HEX 40 : D49D4B0	BEF90F0	66811E0	
DEC 40 : 222942384.000000	200249584.000000	107483616.000000	
HEX 41 : 1E7F3DA0	1D4124C0	1BBE8F80	
DEC 41 : 511655328.000000	490808512.000000	465473408.000000	
HEX 42 : 1B80CAA0	2FD1A5C	11F1D260	
DEC 42 : 461425312.000000	50141788.000000	301060704.000000	
HEX 43 : 1FEB3440	F415710	F0BE2D0	
DEC 43 : 535508032.000000	255940368.000000	252437200.000000	
HEX 44 : 1E5949E0	182F9B40	5CB79E0	
DEC 44 : 509168096.000000	405773120.000000	97221088.000000	
HEX 45 : C3303C	15C8B9E0	4FFB788	
DEC 45 : 12791868.000000	365476320.000000	83867528.000000	
HEX 46 : 1DBF2F00	761A3C0	17A21F00	
DEC 46 : 499068672.000000	123839424.000000	396500736.000000	
HEX 47 : 1342E080	E096DA0	1F1F49E0	
DEC 47 : 323149952.000000	235498912.000000	522144224.000000	
HEX 48 : 4A93B88	1B84BC40	9D3C4B0	
DEC 48 : 78199688.000000	461683776.000000	164873392.000000	
HEX 49 : 15040620	69484B8	14AD8E20	
DEC 49 : 352585248.000000	110396600.000000	346918432.000000	
HEX 50 : AA132D0	146FB2E0	16BF7BC0	
DEC 50 : 178336464.000000	342864608.000000	381647808.000000	
HEX 51 : 115EAEE0	11E67E20	18F15700	
DEC 51 : 291417824.000000	300318240.000000	418469632.000000	
HEX 52 : D95E710	BA83170	1AC88E20	
DEC 52 : 227927824.000000	195572080.000000	449351200.000000	
HEX 53 : 1689DA20	17F64DA0	EC908F0	
DEC 53 : 378133024.000000	402017696.000000	248056048.000000	
HEX 54 : 1E2F8F0	12C52620	16C14A60	
DEC 54 : 31652080.000000	314910240.000000	381766240.000000	
HEX 55 : C70B6D0	6BBBDA8	F19F170	
DEC 55 : 208713424.000000	112967080.000000	253358448.000000	
HEX 56 : CC74B10	11E00440	1EF3E9E0	
DEC 56 : 214387472.000000	299893824.000000	519301600.000000	
HEX 57 : FDA6080	1EF07960	7E5DE20	
DEC 57 : 265969792.000000	519076192.000000	132505120.000000	
HEX 58 : 17EBE040	1F310C40	105EF6A0	
DEC 58 : 401334336.000000	523308096.000000	274658976.000000	
HEX 59 : 15DD1E20	11B22DA0	12E7AAE0	
DEC 59 : 366812704.000000	296889760.000000	317172448.000000	
HEX 60 : 3E2D52C	1EF1C2E0	32AD078	
DEC 60 : 65197356.000000	519160544.000000	53137528.000000	
HEX 61 : 164227C0	77CC788	367025C	
DEC 61 : 373434304.000000	125618056.000000	57082460.000000	
HEX 62 : C5EB710	17DF6A60	B2B2A60	
DEC 62 : 207533840.000000	400517728.000000	187378272.000000	
HEX 63 : 2793F10	1F7E31E0	105379E0	
DEC 63 : 41500432.000000	528364000.000000	273906144.000000	
HEX 64 : 15D8CB4	BFAE530	119AA620	
DEC 64 : 22908084.000000	200992048.000000	295347744.000000	
HEX 65 : 1CB24700	10DCF5A0	2C3FF10	
DEC 65 : 481445632.000000	282916256.000000	46399248.000000	
HEX 66 : 153BD3C0	B875780	C8C0620	
DEC 66 : 356242368.000000	193419136.000000	210503200.000000	
HEX 67 : EE046D0	1FCD8A60	77952D	
DEC 67 : 249579216.000000	533564000.000000	7836973.000000	
HEX 68 : 19AB67C0	1AE6E3C0	16777C40	
DEC 68 : 430663616.000000	451339200.000000	376929344.000000	
HEX 69 : 6E8C310	F2D2170	1B15BD20	
DEC 69 : 115917584.000000	254615920.000000	454409504.000000	
HEX 70 : 1268ECC0	1275B780	BB963C0	
DEC 70 : 308866240.000000	309704576.000000	196699072.000000	
HEX 71 : 5936CF0	354443C	D0BE1E0	
DEC 71 : 93547760.000000	55854140.000000	218882528.000000	
HEX 72 : 1AB819E0	12B8C6A0	AD8A9E0	
DEC 72 : 448272864.000000	314099360.000000	181971424.000000	
HEX 73 : 1D0D7880	455B698	42C0698	
