Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 167F9520	12F83F80	31C30F0	
DEC 1 : 377460000.000000	318259072.000000	52179184.000000	
HEX 2 : 11CE4960	1968F5A0	18845260	
DEC 2 : 298731872.000000	426309024.000000	411325024.000000	
HEX 3 : 7D37878	11FEC080	13768960	
DEC 3 : 131299448.000000	301908096.000000	326535520.000000	
HEX 4 : 1E58CBC0	1E491A60	15FD7D20	
DEC 4 : 509135808.000000	508107360.000000	368934176.000000	
HEX 5 : 3A9EF88	15C25BC0	E7171E0	
DEC 5 : 61468552.000000	365059008.000000	242315744.000000	
HEX 6 : 30C6E98	AE631E0	5E45530	
DEC 6 : 51146392.000000	182858208.000000	98850096.000000	
HEX 7 : 1D0DDF00	F44CF10	2B5F34C	
DEC 7 : 487448320.000000	256167696.000000	45478732.000000	
HEX 8 : 5B36878	593B2D0	A82B080	
DEC 8 : 95643768.000000	93565648.000000	176337024.000000	
HEX 9 : 73C0168	D0D0F80	191C4620	
DEC 9 : 121373032.000000	218959744.000000	421283360.000000	
HEX 10 : 12417160	58DF530	5484F88	
DEC 10 : 306278752.000000	93189424.000000	88625032.000000	
HEX 11 : ECC9170	573A788	1670ADA0	
DEC 11 : 248287600.000000	91465608.000000	376483232.000000	
HEX 12 : BB64690	18669620	1435F1E0	
DEC 12 : 196494992.000000	409376288.000000	339079648.000000	
HEX 13 : 34A0CB4	1BF01780	A280CB0	
DEC 13 : 55184564.000000	468719488.000000	170396848.000000	
HEX 14 : 120BDF80	1B5306A0	39A1F10	
DEC 14 : 302768000.000000	458426016.000000	60432144.000000	
HEX 15 : C444E90	15FDE2E0	A254B5	
DEC 15 : 205803152.000000	368960224.000000	10638517.000000	
HEX 16 : F14F530	1F08B1E0	130E1000	
DEC 16 : 253031728.000000	520663520.000000	319688704.000000	
HEX 17 : 11FDCCC0	EBAC5A0	1AD00CC0	
DEC 17 : 301845696.000000	247121312.000000	449842368.000000	
HEX 18 : A390440	8519C40	2FFF8F0	
DEC 18 : 171508800.000000	139566144.000000	50329840.000000	
HEX 19 : F069BC0	18FC62E0	CFA7260	
DEC 19 : 252091328.000000	419193568.000000	217739872.000000	
HEX 20 : 16CEBC40	142E66A0	BD2B5A0	
DEC 20 : 382647360.000000	338585248.000000	198358432.000000	
HEX 21 : 19926100	19506D20	5C11168	
DEC 21 : 429023488.000000	424701216.000000	96538984.000000	
HEX 22 : 85CE530	DD77F10	BD2AAD0	
DEC 22 : 140305712.000000	232226576.000000	198355664.000000	
HEX 23 : 51C3AD0	161D3620	2F88D2C	
DEC 23 : 85736144.000000	371013152.000000	49843500.000000	
HEX 24 : 1BEAF10	11EE2260	83FCE90	
DEC 24 : 29273872.000000	300819040.000000	138399376.000000	
HEX 25 : 378D620	14AF5A6	11FE6780	
DEC 25 : 58250784.000000	21689766.000000	301885312.000000	
HEX 26 : 2C06F10	12153260	1CA93800	
DEC 26 : 46165776.000000	303379040.000000	480851968.000000	
HEX 27 : 186B7100	9EB000	3EA1AD4	
DEC 27 : 409694464.000000	10399744.000000	65673940.000000	
HEX 28 : 1BE99A60	749D698	3C3BC3C	
DEC 28 : 468294240.000000	122279576.000000	63159356.000000	
HEX 29 : 17071CC0	539A9E0	1CB2F1E0	
DEC 29 : 386342080.000000	87665120.000000	481489376.000000	
HEX 30 : 10877C40	171A2D2	E1902D0	
DEC 30 : 277314624.000000	24224466.000000	236520144.000000	
HEX 31 : 9D625A0	52169E0	10C95AE0	
DEC 31 : 165029280.000000	86075872.000000	281631456.000000	
HEX 32 : 183072E0	1036E880	1243C960	
DEC 32 : 405828320.000000	272033920.000000	306432352.000000	
HEX 33 : 555EBC0	B04DC40	121CDF80	
DEC 33 : 89516992.000000	184867904.000000	303882112.000000	
HEX 34 : 1716EF00	3376BC4	ADB0AD0	
DEC 34 : 387378944.000000	53963716.000000	182127312.000000	
HEX 35 : ECF90F0	1F684E20	90D89E0	
DEC 35 : 248484080.000000	526929440.000000	151882208.000000	
HEX 36 : 1E394F80	17FA4000	B8588F0	
DEC 36 : 507072384.000000	402276352.000000	193300720.000000	
HEX 37 : BB38530	21F73C4	78D4C40	
DEC 37 : 196314416.000000	35615684.000000	126700608.000000	
HEX 38 : 8FED170	1D0B35A0	EF15A60	
DEC 38 : 150917488.000000	487273888.000000	250698336.000000	
HEX 39 : 1CA31C40	5D9B4B8	F364DA0	
DEC 39 : 480451648.000000	98153656.000000	255217056.000000	
HEX 40 : 1B67EEA0	1FC28A60	F37ADA0	
DEC 40 : 459796128.000000	532843104.000000	255307168.000000	
HEX 41 : 176525A0	C7AC690	6D1F698	
DEC 41 : 392504736.000000	209372816.000000	114423448.000000	
HEX 42 : 17100100	14116100	193D0C40	
DEC 42 : 386924800.000000	336683264.000000	423431232.000000	
HEX 43 : 390E710	20A2F10	1DC97100	
DEC 43 : 59827984.000000	34221840.000000	499740928.000000	
HEX 44 : 1C97B1E0	E51AC40	C757260	
DEC 44 : 479703520.000000	240233536.000000	209023584.000000	
HEX 45 : 163CB960	3A0743C	127F2D20	
DEC 45 : 373078368.000000	60847164.000000	310324512.000000	
HEX 46 : 837EE90	1D8EE100	1C754160	
DEC 46 : 137883280.000000	495902976.000000	477446496.000000	
HEX 47 : 14493780	A6C99E0	1514A780	
DEC 47 : 340342656.000000	174889440.000000	353675136.000000	
HEX 48 : C925780	C29A780	13DAFEA0	
DEC 48 : 210917248.000000	204056448.000000	333119136.000000	
HEX 49 : C8F34B0	9130AD0	1CA63000	
DEC 49 : 210711728.000000	152242896.000000	480653312.000000	
HEX 50 : 168A8B40	A142530	DE7BE90	
DEC 50 : 378178368.000000	169092400.000000	233291408.000000	
HEX 51 : 1F0A8100	1366F520	11723880	
DEC 51 : 520782080.000000	325514528.000000	292698240.000000	
HEX 52 : 1D55E5A0	1DB374C0	EDD697	
DEC 52 : 492168608.000000	498300096.000000	15586967.000000	
HEX 53 : 5846000	5E02620	179BCF80	
DEC 53 : 92561408.000000	98575904.000000	396087168.000000	
HEX 54 : 9287880	159446A0	94C4000	
DEC 54 : 153647232.000000	362038944.000000	155992064.000000	
HEX 55 : 2F3734C	9884530	1E34AF80	
DEC 55 : 49509196.000000	159925552.000000	506769280.000000	
HEX 56 : 1E8B7A60	E199E20	1FA94520	
DEC 56 : 512457312.000000	236559904.000000	531186976.000000	
HEX 57 : 18E54100	17B5AA60	12236C40	
DEC 57 : 417677568.000000	397781600.000000	304311360.000000	
HEX 58 : 1402CA60	15840620	1FF7BF80	
DEC 58 : 335727200.000000	360973856.000000	536330112.000000	
HEX 59 : C805DA0	155AD700	1CDDF080	
DEC 59 : 209739168.000000	358274816.000000	484307072.000000	
HEX 60 : 1E2C2960	1F5CFA60	839DA60	
DEC 60 : 506210656.000000	526187104.000000	138009184.000000	
HEX 61 : 1E7DA5A	1D1C0000	14CAA900	
DEC 61 : 31971930.000000	488374272.000000	348825856.000000	
HEX 62 : 1E166440	116C65A0	18A5E4C0	
DEC 62 : 504783936.000000	292316576.000000	413525184.000000	
HEX 63 : 1667A880	1E59A6A0	14AAA340	
DEC 63 : 375892096.000000	509191840.000000	346727232.000000	
HEX 64 : 16DC7900	1C3B02E0	1DF9D880	
DEC 64 : 383547648.000000	473629408.000000	502913152.000000	
HEX 65 : 107F0CC0	23215A4	1EE6D000	
DEC 65 : 276761792.000000	36836772.000000	518443008.000000	
HEX 66 : 1DFF2EA0	BABED30	13CA3EA0	
DEC 66 : 503262880.000000	195816752.000000	332021408.000000	
HEX 67 : 1DB2A160	69F4E20	1FE6A100	
DEC 67 : 498245984.000000	111103520.000000	535208192.000000	
HEX 68 : 8E735A0	FC2A0F0	45C9F88	
DEC 68 : 149370272.000000	264413424.000000	73179016.000000	
HEX 69 : 10429780	148E2160	7044F10	
DEC 69 : 272799616.000000	344858976.000000	117722896.000000	
HEX 70 : E4CF4B0	8757710	BB7DBC0	
DEC 70 : 239924400.000000	141915920.000000	196598720.000000	
HEX 71 : 11CD13C0	1417D900	132E6B40	
DEC 71 : 298652608.000000	337107200.000000	321809216.000000	
HEX 72 : 594F078	17B3FBC0	1886C100	
DEC 72 : 93646968.000000	397671360.000000	411484416.000000	
HEX 73 : FF46350	D1F0DA0	5DC6CB8	
DEC 73 : 267674448.000000	220138912.000000	98331832.000000	
HEX 74 : 9562A60	1BEB0D20	53D14B8	
DEC 74 : 156641888.000000	468389152.000000	87889080.000000	
HEX 75 : 15C36900	1C2204C0	BCC2620	
DEC 75 : 365127936.000000	471991488.000000	197928480.000000	
HEX 76 : 1CEA9B40	18939960	1AAF9E20	
DEC 76 : 485137216.000000	412326240.000000	447716896.000000	
HEX 77 : 1C3985A0	53944B8	17402EA0	
DEC 77 : 473531808.000000	87639224.000000	390082208.000000	
HEX 78 : 1911E340	C2B7A60	1AA07160	
DEC 78 : 420602688.000000	204175968.000000	446722400.000000	
HEX 79 : 105B6B40	FEDAD30	D13BAD0	
DEC 79 : 274426688.000000	267234608.000000	219396816.000000	
HEX 80 : 4B12078	1FA1CB4	3F991E0	
DEC 80 : 78717048.000000	33168564.000000	66687456.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
