Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 1 : 486C440	F35EF10	1506F880	
DEC 1 : 75940928.000000	255192848.000000	352778368.000000	
HEX 2 : 19DE14C0	C6DC620	E5CCDA0	
DEC 2 : 433984704.000000	208520736.000000	240962976.000000	
HEX 3 : 13D26080	7713258	134734C	
DEC 3 : 332554368.000000	124858968.000000	20214604.000000	
HEX 4 : 11197D20	1108FF80	BB73BC0	
DEC 4 : 286883104.000000	285802368.000000	196557760.000000	
HEX 5 : 1126CCC0	443F710	146F2260	
DEC 5 : 287755456.000000	71563024.000000	342827616.000000	
HEX 6 : 11798AE0	1AA58100	12186BC0	
DEC 6 : 293178080.000000	447054080.000000	303590336.000000	
HEX 7 : A90C2D0	134492E0	7821800	
DEC 7 : 177259216.000000	323261152.000000	125966336.000000	
HEX 8 : 9677C40	182E6880	1D3A55A0	
DEC 8 : 157776960.000000	405694592.000000	490362272.000000	
HEX 9 : 4E8D0F0	FE11F80	29ACAD4	
DEC 9 : 82366704.000000	266411904.000000	43698900.000000	
HEX 10 : 1BFA6A60	10654960	5D281E0	
DEC 10 : 469396064.000000	275073376.000000	97681888.000000	
HEX 11 : 1DEC9B40	9B0C350	8A41D30	
DEC 11 : 502045504.000000	162579280.000000	144973104.000000	
HEX 12 : 185B96A	9B338F0	1A313880	
DEC 12 : 25540970.000000	162740464.000000	439433344.000000	
HEX 13 : 3C62CB4	132E9080	1D424DA0	
DEC 13 : 63319220.000000	321818752.000000	490884512.000000	
HEX 14 : 8BD0170	B9538F0	81CBC40	
DEC 14 : 146604400.000000	194328816.000000	136100928.000000	
HEX 15 : 9D3E0F0	8554350	137FD440	
DEC 15 : 164880624.000000	139805520.000000	327144512.000000	
HEX 16 : 1D03A960	18BC86A0	824E000	
DEC 16 : 486779232.000000	415008416.000000	136634368.000000	
HEX 17 : 122D696	1039D2E	4367710	
DEC 17 : 19060374.000000	17014062.000000	70678288.000000	
HEX 18 : 9098970	BEA2260	1A133620	
DEC 18 : 151619952.000000	199893600.000000	437466656.000000	
HEX 19 : EAFBE90	71A0DA8	1B588260	
DEC 19 : 246398608.000000	119147944.000000	458785376.000000	
HEX 20 : 1650B340	1660E9E0	15F9C700	
DEC 20 : 374387520.000000	375450080.000000	368690944.000000	
HEX 21 : 9CC6080	58E9698	C801F10	
DEC 21 : 164388992.000000	93230744.000000	209723152.000000	
HEX 22 : 3A8E0F0	AA34800	E9E4F10	
DEC 22 : 61399280.000000	178472960.000000	245255952.000000	
HEX 23 : 623E698	189436A0	A7DE170	
DEC 23 : 103016088.000000	412366496.000000	176021872.000000	
HEX 24 : 151943C0	19A92A60	1CF7C880	
DEC 24 : 353977280.000000	430516832.000000	486000768.000000	
HEX 25 : 14DC3520	1296B4C	1F7274C0	
DEC 25 : 349975840.000000	19491660.000000	527594688.000000	
HEX 26 : 1B14BD20	3F53800	4AC4B48	
DEC 26 : 454343968.000000	66402304.000000	78400328.000000	
HEX 27 : 193F5780	3AABAD4	135BB2E0	
DEC 27 : 423581568.000000	61520596.000000	324776672.000000	
HEX 28 : FE36710	A06F8F0	E483F80	
DEC 28 : 266561296.000000	168229104.000000	239615872.000000	
HEX 29 : 16EB1100	7654AD0	1A1CECC0	
DEC 29 : 384504064.000000	124078800.000000	438103232.000000	
HEX 30 : 1CE29960	B3DF3C0	1D21CA60	
DEC 30 : 484612448.000000	188609472.000000	488753760.000000	
HEX 31 : 14FF95A0	19C53C40	B44C170	
DEC 31 : 352294304.000000	432356416.000000	189055344.000000	
HEX 32 : F5B7BC0	E2DA4B0	3FD0F88	
DEC 32 : 257653696.000000	237872304.000000	66916232.000000	
HEX 33 : 92414B0	26A30F0	18EF6800	
DEC 33 : 153359536.000000	40513776.000000	418342912.000000	
HEX 34 : 6FBB8F0	15301080	1129CC40	
DEC 34 : 117160176.000000	355471488.000000	287951936.000000	
HEX 35 : 142CECC0	B85C0F0	1FC83800	
DEC 35 : 338488512.000000	193315056.000000	533215232.000000	
HEX 36 : 4007C40	1800B160	177AD3C0	
