Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 21011E0	17BDFDA0	1D1576A0	
DEC 1 : 34607584.000000	398327200.000000	487945888.000000	
HEX 2 : 19A9DB40	1B3F9780	54F6078	
DEC 2 : 430562112.000000	457152384.000000	89088120.000000	
HEX 3 : 64A7D30	1B625A6	1DC75DA0	
DEC 3 : 105545008.000000	28714406.000000	499604896.000000	
HEX 4 : 7BCBC40	1422C260	DA4CB5	
DEC 4 : 129809472.000000	337822304.000000	14306485.000000	
HEX 5 : 149A4A60	B9302D0	183FAA60	
DEC 5 : 345655904.000000	194183888.000000	406825568.000000	
HEX 6 : 1E52E2E0	1B7C0960	CA439E0	
DEC 6 : 508748512.000000	461113696.000000	212089312.000000	
HEX 7 : 9DA2970	1482078	4F08AD0	
DEC 7 : 165292400.000000	21504120.000000	82873040.000000	
HEX 8 : 131D0F00	13B001E0	F726440	
DEC 8 : 320671488.000000	330301920.000000	259155008.000000	
HEX 9 : 139FF1E0	1A9414C0	16D16CC0	
DEC 9 : 329249248.000000	445912256.000000	382823616.000000	
HEX 10 : 1701EA60	283A168	2EEE43C	
DEC 10 : 386001504.000000	42180968.000000	49210428.000000	
HEX 11 : 137F53C0	8AC1E20	1F1BA000	
DEC 11 : 327111616.000000	145497632.000000	521904128.000000	
HEX 12 : 18EEE5A0	17353100	12AD39E0	
DEC 12 : 418309536.000000	389361920.000000	313342432.000000	
HEX 13 : 773EF10	6A3A440	1834A520	
DEC 13 : 125038352.000000	111387712.000000	406103328.000000	
HEX 14 : 126C4E20	12A64EA0	16DF5160	
DEC 14 : 309087776.000000	312888992.000000	383734112.000000	
HEX 15 : 16610960	B1F6440	CC20260	
DEC 15 : 375458144.000000	186606656.000000	214041184.000000	
HEX 16 : 33BF2D4	1DD32D2	13AD59E0	
DEC 16 : 54260436.000000	31273682.000000	330127840.000000	
HEX 17 : 44E6A58	A4C6000	1DFC2F80	
DEC 17 : 72247896.000000	172777472.000000	503066496.000000	
HEX 18 : 1C3EE100	81C99E0	106471E0	
DEC 18 : 473882880.000000	136092128.000000	275018208.000000	
HEX 19 : 1E72D6A0	108525A	1586B5A0	
DEC 19 : 510842528.000000	17322586.000000	361149856.000000	
HEX 20 : 1B917000	8BDBA60	17DD6160	
DEC 20 : 462516224.000000	146651744.000000	400384352.000000	
HEX 21 : 1B2BE4C0	1CAFBE20	180B5B40	
DEC 21 : 455861440.000000	481279520.000000	403397440.000000	
HEX 22 : 9BA10F0	879B690	114444C0	
DEC 22 : 163188976.000000	142194320.000000	289686720.000000	
HEX 23 : 4B2DE20	D29E8F0	77E0878	
DEC 23 : 78831136.000000	220850416.000000	125700216.000000	
HEX 24 : 15C2E3C0	4399530	197849E0	
DEC 24 : 365093824.000000	70882608.000000	427313632.000000	
HEX 25 : 1E935100	3AC952C	14F5800	
DEC 25 : 512971008.000000	61642028.000000	21977088.000000	
HEX 26 : 1CAB5B40	142C9000	187796A0	
DEC 26 : 480992064.000000	338464768.000000	410490528.000000	
HEX 27 : DC27690	17A39000	ADF4080	
DEC 27 : 230848144.000000	396595200.000000	182403200.000000	
HEX 28 : 166F6100	16224800	1C34EBC0	
DEC 28 : 376398080.000000	371345408.000000	473230272.000000	
HEX 29 : 1FE2DF00	D0C3C40	C066AD0	
DEC 29 : 534961920.000000	218905664.000000	201747152.000000	
HEX 30 : ED1BA60	5B472D0	16F53A60	
DEC 30 : 248625760.000000	95711952.000000	385170016.000000	
HEX 31 : AFDCC40	AE19C40	40B2168	
DEC 31 : 184405056.000000	182557760.000000	67838312.000000	
HEX 32 : 8590A60	17063160	19001880	
DEC 32 : 140053088.000000	386281824.000000	419436672.000000	
HEX 33 : 8EFEF10	F85BAD0	EAA62D0	
DEC 33 : 149942032.000000	260422352.000000	246047440.000000	
HEX 34 : 47F7C40	CA252D0	14BD0620	
DEC 34 : 75463744.000000	211964624.000000	347932192.000000	
HEX 35 : 4CB81E0	13FA42E0	131A3000	
DEC 35 : 80445920.000000	335168224.000000	320483328.000000	
HEX 36 : AADA690	11BCADA0	75B0BC0	
DEC 36 : 179152528.000000	297577888.000000	123407296.000000	
HEX 37 : 4109788	77D9A58	C66F260	
DEC 37 : 68196232.000000	125672024.000000	208073312.000000	
HEX 38 : 10DCB5A0	1C31B3C0	1000B000	
DEC 38 : 282899872.000000	473019328.000000	268480512.000000	
HEX 39 : ED70E20	31DCF10	FE32E20	
DEC 39 : 248974880.000000	52285200.000000	266546720.000000	
HEX 40 : 1B2F5D20	12B0F000	201C1E0	
DEC 40 : 456088864.000000	313585664.000000	33669600.000000	
HEX 41 : 8FDE4B0	10D7F100	1E048440	
DEC 41 : 150856880.000000	282587392.000000	503612480.000000	
HEX 42 : 16829880	19636F00	BE3B620	
DEC 42 : 377657472.000000	425946880.000000	199472672.000000	
HEX 43 : 10C5EA60	B14D350	11C8E1E0	
DEC 43 : 281406048.000000	185914192.000000	298377696.000000	
HEX 44 : C2C32D0	1542C5A0	125174C0	
DEC 44 : 204223184.000000	356697504.000000	307328192.000000	
HEX 45 : F5E8C40	CD155A0	A980F10	
DEC 45 : 257854528.000000	215045536.000000	177737488.000000	
HEX 46 : 153272E0	114C9160	89DF780	
DEC 46 : 355627744.000000	290230624.000000	144570240.000000	
HEX 47 : 166A5960	1E69ED20	1D9EBA60	
DEC 47 : 376068448.000000	510258464.000000	496941664.000000	
HEX 48 : 192B43C0	EE6C800	12A91E20	
DEC 48 : 422265792.000000	250005504.000000	313073184.000000	
