Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 174C0D	13B38780	169DD800	
DEC 1 : 1526797.000000	330532736.000000	379443200.000000	
HEX 2 : 19FE5F80	1F00F960	5BC3620	
DEC 2 : 436100992.000000	520157536.000000	96220704.000000	
HEX 3 : 15800780	186DD2E	13C6D780	
DEC 3 : 360712064.000000	25615662.000000	331798400.000000	
HEX 4 : B4A3F90	19AAF2E0	1D531D20	
DEC 4 : 189415312.000000	430633696.000000	491986208.000000	
HEX 5 : F9C4AF0	A8FCD30	B692F10	
DEC 5 : 261901040.000000	177196336.000000	191442704.000000	
HEX 6 : 1EE0A2E0	161B2D20	1933D9E0	
DEC 6 : 518038240.000000	370879776.000000	422828512.000000	
HEX 7 : 79220C0	12514000	46E61E0	
DEC 7 : 127017152.000000	307314688.000000	74342880.000000	
HEX 8 : 17EB57C0	88F3970	17010700	
DEC 8 : 401299392.000000	143604080.000000	385943296.000000	
HEX 9 : 1B6D0760	F7302D0	1A322260	
DEC 9 : 460130144.000000	259195600.000000	439493216.000000	
HEX 10 : ACE63A0	8599780	1644BE20	
DEC 10 : 181298080.000000	140089216.000000	373603872.000000	
HEX 11 : 11CB6B80	7DCD4B8	12178880	
DEC 11 : 298544000.000000	131912888.000000	303532160.000000	
HEX 12 : 5FDE1	1B474A60	288CE20	
DEC 12 : 392673.000000	457656928.000000	42520096.000000	
HEX 13 : 17D59080	16B44B40	169BE620	
DEC 13 : 399872128.000000	380914496.000000	379315744.000000	
HEX 14 : 126160C0	11821B40	C4DDBC0	
DEC 14 : 308371648.000000	293739328.000000	206429120.000000	
HEX 15 : F6A26B0	502EF10	647CB4	
DEC 15 : 258614960.000000	84078352.000000	6585524.000000	
HEX 16 : 166027A0	B387C40	1F3E6440	
DEC 16 : 375400352.000000	188251200.000000	524182592.000000	
HEX 17 : 5FDE1	190AA780	9B94970	
DEC 17 : 392673.000000	420128640.000000	163137904.000000	
HEX 18 : 5F2C7	110535A0	1ED77900	
DEC 18 : 389831.000000	285554080.000000	517437696.000000	
HEX 19 : 13623240	1CA89780	2FF04B4	
DEC 19 : 325202496.000000	480810880.000000	50267316.000000	
HEX 20 : 102CCD60	18935960	AEEC350	
DEC 20 : 271371616.000000	412309856.000000	183419728.000000	
HEX 21 : 56AE3A8	F74CF10	19D396A0	
DEC 21 : 90891176.000000	259313424.000000	433297056.000000	
HEX 22 : 171AC2E0	186D4F00	7FDC878	
