Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 2D0D12C	3FC4000	1DD56100	
DEC 1 : 47239468.000000	66863104.000000	500523264.000000	
HEX 2 : 5B0D0F0	966C3C0	1975F5A0	
DEC 2 : 95473904.000000	157729728.000000	427160992.000000	
HEX 3 : 16A6BDE0	CF28C40	10491F00	
DEC 3 : 380026336.000000	217222208.000000	273227520.000000	
HEX 4 : 14387120	6BCE1E	181CDCC0	
DEC 4 : 339243296.000000	7065118.000000	404544704.000000	
HEX 5 : 16100900	187963C0	1B7EB9E0	
DEC 5 : 370149632.000000	410608576.000000	461289952.000000	
HEX 6 : C0C1080	BBCA780	CF44690	
DEC 6 : 202117248.000000	196913024.000000	217335440.000000	
HEX 7 : 12C14F0	1D8D12E0	3FD23C4	
DEC 7 : 19666160.000000	495784672.000000	66921412.000000	
HEX 8 : D2755E0	19BF788	15CD4520	
DEC 8 : 220681696.000000	26998664.000000	365774112.000000	
HEX 9 : 17D48740	17AB2C40	143883C0	
DEC 9 : 399804224.000000	397093952.000000	339248064.000000	
HEX 10 : ABADA20	1E8941E0	40F9A58	
DEC 10 : 180017696.000000	512311776.000000	68131416.000000	
HEX 11 : 14398500	15BA0960	73D1440	
DEC 11 : 339313920.000000	364513632.000000	121443392.000000	
HEX 12 : 9EFEE20	1DF44B4	1C9AD620	
DEC 12 : 166719008.000000	31409332.000000	479909408.000000	
HEX 13 : 1C5EAF00	148666A0	1A5975A0	
DEC 13 : 475967232.000000	344352416.000000	442070432.000000	
HEX 14 : 5CF29E0	DCFF5A0	1F8FCC40	
DEC 14 : 97462752.000000	231732640.000000	529517632.000000	
HEX 15 : 8A969A0	14572960	1D1FF260	
DEC 15 : 145320352.000000	341256544.000000	488632928.000000	
HEX 16 : AE552D0	1B3EAE20	12519520	
DEC 16 : 182801104.000000	457092640.000000	307336480.000000	
HEX 17 : 199BCF80	1AF9A4C0	5DCAB48	
DEC 17 : 429641600.000000	452568256.000000	98347848.000000	
HEX 18 : 112B5900	12CD6000	1C4103C0	
DEC 18 : 288053504.000000	315449344.000000	474022848.000000	
HEX 19 : 50F14F0	1342EB40	15FAB340	
DEC 19 : 84874480.000000	323152704.000000	368751424.000000	
HEX 20 : AF4D260	120FE100	8185350	
DEC 20 : 183816800.000000	303030528.000000	135811920.000000	
HEX 21 : 10DA9A6	16E80E20	731878	
DEC 21 : 17672614.000000	384306720.000000	7542904.000000	
HEX 22 : 3892F4C	1CAD15A0	13017880	
DEC 22 : 59322188.000000	481105312.000000	318863488.000000	
HEX 23 : 77C8878	1A913D20	190F0340	
DEC 23 : 125601912.000000	445725984.000000	420414272.000000	
HEX 24 : 1B1A21A0	2C85E20	162C8D20	
DEC 24 : 454697376.000000	46685728.000000	372018464.000000	
HEX 25 : 623C788	19608000	CC233C0	
DEC 25 : 103008136.000000	425754624.000000	214053824.000000	
HEX 26 : 1676B5A0	10E8E000	173F0620	
DEC 26 : 376878496.000000	283697152.000000	390006304.000000	
HEX 27 : 50F078	1C5D788	929BC40	
DEC 27 : 5304440.000000	29742984.000000	153730112.000000	
HEX 28 : 115962E0	2CBF788	FA9DA60	
DEC 28 : 291070688.000000	46921608.000000	262789728.000000	
HEX 29 : 1FC1FD20	6855968	9078880	
DEC 29 : 532806944.000000	109402472.000000	151488640.000000	
HEX 30 : 1FD68900	4FC70F0	1B98C700	
DEC 30 : 534153472.000000	83652848.000000	462997248.000000	
HEX 31 : 1202E2E0	1C01C960	1638AF80	
DEC 31 : 302179040.000000	469879136.000000	372813696.000000	
HEX 32 : 145750C0	BFBA0F0	1C9C5A60	
DEC 32 : 341266624.000000	201040112.000000	480008800.000000	
HEX 33 : 194B5080	1EC23F00	12273700	
DEC 33 : 424366208.000000	516046592.000000	304559872.000000	
HEX 34 : BAE9BC0	DE67A60	1AA80080	
DEC 34 : 195992512.000000	233208416.000000	447217792.000000	
HEX 35 : 150F81E0	729A2D0	14DDDAE0	
DEC 35 : 353337824.000000	120169168.000000	350083808.000000	
HEX 36 : 1DAE1260	199F02E0	ED2EF10	
DEC 36 : 497947232.000000	429851360.000000	248704784.000000	
HEX 37 : F930290	1392F3C0	1B8E000	
DEC 37 : 261292688.000000	328397760.000000	28893184.000000	
HEX 38 : 2E95E98	11611000	DE75800	
DEC 38 : 48848536.000000	291573760.000000	233265152.000000	
HEX 39 : 193B86E0	117831E0	390E3C4	
DEC 39 : 423331552.000000	293089760.000000	59827140.000000	
HEX 40 : 1E688AE0	1F689D20	1E71A3C0	
DEC 40 : 510167776.000000	526949664.000000	510763968.000000	
HEX 41 : 94E58B0	624CF10	112F1EA0	
DEC 41 : 156129456.000000	103075600.000000	288300704.000000	
HEX 42 : 6E2F0B8	C1BCA60	7EE70F	
DEC 42 : 115536056.000000	203147872.000000	8316687.000000	
HEX 43 : 10D97840	FD35A6	1F759F00	
DEC 43 : 282687552.000000	16594342.000000	527802112.000000	
HEX 44 : 5666D30	BDDD000	96B7970	
DEC 44 : 90598704.000000	199086080.000000	158038384.000000	
HEX 45 : 123738C0	1C880E20	4B7F9E0	
DEC 45 : 305608896.000000	478678560.000000	79165920.000000	
HEX 46 : 1C0F8F80	1203FA60	119B2C40	
DEC 46 : 470781824.000000	302250592.000000	295382080.000000	
HEX 47 : 167F9740	1A638780	CB240F0	
DEC 47 : 377460544.000000	442730368.000000	213008624.000000	
HEX 48 : 266C7C4	17A88000	1FAC3BC0	
DEC 48 : 40290244.000000	396918784.000000	531381184.000000	
HEX 49 : 7A05A58	2C54000	AAA5DA0	
DEC 49 : 127949400.000000	46481408.000000	178937248.000000	
HEX 50 : 1BD76800	A6A41E0	3E96F88	
DEC 50 : 467101696.000000	174735840.000000	65630088.000000	
HEX 51 : FBED3C0	65A5B48	93579E0	
DEC 51 : 264164288.000000	106584904.000000	154499552.000000	
HEX 52 : D7DA0F0	19E5A780	B36F260	
DEC 52 : 226337008.000000	434481024.000000	188150368.000000	
HEX 53 : 33EFD2C	6BFFE20	45512D0	
DEC 53 : 54459692.000000	113245728.000000	72684240.000000	
HEX 54 : 2BE4B10	11F0DB40	5D9EBC0	
DEC 54 : 46025488.000000	300997440.000000	98167744.000000	
HEX 55 : 16F85340	1ED114C0	1F733700	
DEC 55 : 385372992.000000	517018816.000000	527644416.000000	
HEX 56 : 1448F080	69530F0	334C8F0	
DEC 56 : 340324480.000000	110440688.000000	53790960.000000	
HEX 57 : 1C4D7080	C3301E0	17E24440	
DEC 57 : 474837120.000000	204669408.000000	400704576.000000	
HEX 58 : 1C8E73C0	8683880	116256A0	
DEC 58 : 479097792.000000	141047936.000000	291657376.000000	
HEX 59 : 58270F0	27663C4	168B2880	
DEC 59 : 92434672.000000	41313220.000000	378218624.000000	
HEX 60 : 9EB2A60	1387C6A0	FA08780	
DEC 60 : 166406752.000000	327665312.000000	262178688.000000	
HEX 61 : 20E60B4	724C0F0	F69E170	
DEC 61 : 34496692.000000	119849200.000000	258597232.000000	
HEX 62 : 17424F0	CDAE000	14486260	
DEC 62 : 24388848.000000	215670784.000000	340288096.000000	
HEX 63 : A839FC0	4CF1A58	4047440	
DEC 63 : 176398272.000000	80681560.000000	67400768.000000	
HEX 64 : 178C9D60	5A64968	C7BC970	
DEC 64 : 395091296.000000	94783848.000000	209439088.000000	
HEX 65 : 8F2BF10	D3DDB50	13ABD000	
DEC 65 : 150126352.000000	222157648.000000	330027008.000000	
HEX 66 : 1EE749E0	1BDED2E	EC8E080	
DEC 66 : 518474208.000000	29224238.000000	248045696.000000	
HEX 67 : 72EBC40	1801F960	56DCCB8	
DEC 67 : 120503360.000000	402782560.000000	91081912.000000	
HEX 68 : EF43BC0	71E82D0	1A9B6880	
DEC 68 : 250887104.000000	119440080.000000	446392448.000000	
HEX 69 : D3E8AD0	BCD6F10	49769E0	
DEC 69 : 222202576.000000	198012688.000000	77031904.000000	
HEX 70 : 16EFAAA0	4F781E0	1D7731E0	
DEC 70 : 384805536.000000	83329504.000000	494350816.000000	
HEX 71 : 15B36E20	C5A44B0	7D4EC40	
DEC 71 : 364080672.000000	207242416.000000	131394624.000000	
HEX 72 : 1B4F4AA0	AD6DB50	1F38F800	
DEC 72 : 458181280.000000	181853008.000000	523827200.000000	
HEX 73 : 1C5D0000	CD85970	B4E04B0	
DEC 73 : 475856896.000000	215505264.000000	189662384.000000	
HEX 74 : C50B620	153741E0	16998E20	
DEC 74 : 206616096.000000	355942880.000000	379162144.000000	
HEX 75 : 1CE68900	1BAEED20	18137F00	
DEC 75 : 484870400.000000	464448800.000000	403930880.000000	
HEX 76 : 1192D160	10CE6C40	C489E90	
DEC 76 : 294834528.000000	281963584.000000	206085776.000000	
HEX 77 : 1ADADC00	142C13C0	A7343C0	
DEC 77 : 450550784.000000	338432960.000000	175326144.000000	
HEX 78 : 111B9300	16ACBC40	10FA91E0	
DEC 78 : 287019776.000000	380419136.000000	284856800.000000	
HEX 79 : 123E8700	1FCF9780	FBA5260	
DEC 79 : 306087680.000000	533698432.000000	263869024.000000	
HEX 80 : 1ADA4340	2F39E20	3D0DF88	
DEC 80 : 450511680.000000	49520160.000000	64020360.000000	
HEX 81 : E38F8F0	19BADC40	1C5113C0	
DEC 81 : 238614768.000000	431676480.000000	475075520.000000	
HEX 82 : 10650340	D320780	14C90E20	
DEC 82 : 275055424.000000	221382528.000000	348720672.000000	
HEX 83 : 1FF87440	FED1000	94CF0F	
DEC 83 : 536376384.000000	267194368.000000	9752335.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
