Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 19BF8BC0	1ABB7F00	C623E20	
DEC 1 : 431983552.000000	448495360.000000	207765024.000000	
HEX 2 : 13582F00	56A1B48	947F8F0	
DEC 2 : 324546304.000000	90839880.000000	155711728.000000	
HEX 3 : 130C696	1F20B100	B1383C0	
DEC 3 : 19973782.000000	522236160.000000	185828288.000000	
HEX 4 : 26D3B4C	18118780	14756800	
DEC 4 : 40713036.000000	403801984.000000	343238656.000000	
HEX 5 : 2970F	1F142960	3A3E800	
DEC 5 : 169743.000000	521415008.000000	61073408.000000	
HEX 6 : 196F19E0	1AEE9B40	1E38FD20	
DEC 6 : 426711520.000000	451844928.000000	507051296.000000	
HEX 7 : 18127BC0	A76DA60	1AA1B080	
DEC 7 : 403864512.000000	175561312.000000	446804096.000000	
HEX 8 : DD98000	1F4D5D20	1484B5A0	
DEC 8 : 232357888.000000	525163808.000000	344241568.000000	
HEX 9 : 97D9780	B39B4B0	1AAB45A0	
DEC 9 : 159225728.000000	188331184.000000	447432096.000000	
HEX 10 : AD63350	A6DBE20	134DCBC0	
DEC 10 : 181810000.000000	174964256.000000	323865536.000000	
HEX 11 : 1647C780	10B60000	12C27440	
DEC 11 : 373802880.000000	280363008.000000	314733632.000000	
HEX 12 : 6F74878	444B0F0	194796A0	
DEC 12 : 116869240.000000	71610608.000000	424122016.000000	
HEX 13 : 598FA58	309BA5C	11FA8340	
DEC 13 : 93911640.000000	50969180.000000	301630272.000000	
HEX 14 : 1D190000	12B7F3C0	80BBC40	
DEC 14 : 488177664.000000	314045376.000000	134986816.000000	
HEX 15 : 19B4DA60	DD94690	CADF2D0	
DEC 15 : 431282784.000000	232343184.000000	212726480.000000	
HEX 16 : 1B9EE440	61C2C40	B2BB780	
DEC 16 : 463397952.000000	102509632.000000	187414400.000000	
HEX 17 : AC2AF80	1E1621E0	DC2A710	
DEC 17 : 180531072.000000	504766944.000000	230860560.000000	
HEX 18 : 1F9325A	10B59000	818F620	
DEC 18 : 33108570.000000	280334336.000000	135853600.000000	
HEX 19 : 17A8A340	18EF5A60	1437A160	
DEC 19 : 396927808.000000	418339424.000000	339190112.000000	
HEX 20 : 17595F00	7D30F1	53B6F10	
DEC 20 : 391732992.000000	8204529.000000	87781136.000000	
HEX 21 : 1E616CC0	19E68960	62F33C0	
DEC 21 : 509701312.000000	434538848.000000	103756736.000000	
HEX 22 : 1F475000	16447E20	188DD100	
DEC 22 : 524767232.000000	373587488.000000	411947264.000000	
HEX 23 : 874A690	118FC3C0	12ECA6A0	
DEC 23 : 141862544.000000	294634432.000000	317499040.000000	
HEX 24 : 156D9B40	141ED880	BB9A530	
DEC 24 : 359504704.000000	337565824.000000	196715824.000000	
HEX 25 : 10CC5D20	16686000	16046340	
DEC 25 : 281828640.000000	375939072.000000	369386304.000000	
HEX 26 : 117FE4C0	BD91B50	F72EC40	
DEC 26 : 293594304.000000	198777680.000000	259189824.000000	
HEX 27 : C50D000	4966698	EC9FE90	
DEC 27 : 206622720.000000	76965528.000000	248118928.000000	
HEX 28 : 5D51788	19E24880	1AEC7AE0	
DEC 28 : 97851272.000000	434260096.000000	451705568.000000	
HEX 29 : 20FC5A4	10F05D20	16DA0260	
DEC 29 : 34588068.000000	284187936.000000	383386208.000000	
HEX 30 : 547D9E0	A713E20	58D5AD0	
DEC 30 : 88594912.000000	175193632.000000	93149904.000000	
HEX 31 : 10A39260	953A0F0	1C1436A0	
DEC 31 : 279155296.000000	156475632.000000	471086752.000000	
HEX 32 : CF14620	1D26AE20	1BAD3EA0	
DEC 32 : 217138720.000000	489074208.000000	464338592.000000	
HEX 33 : 13A77AE0	CDFCD30	84EC800	
DEC 33 : 329743072.000000	215993648.000000	139380736.000000	
HEX 34 : 1830F4C0	1408F2E0	19E8C3C0	
DEC 34 : 405861568.000000	336130784.000000	434684864.000000	
HEX 35 : C531970	3AA4698	1E88C900	
DEC 35 : 206772592.000000	61490840.000000	512280832.000000	
HEX 36 : 1D1BCCC0	F468B50	16C3F520	
DEC 36 : 488361152.000000	256281424.000000	381941024.000000	
HEX 37 : A96BA60	142FFE20	19A6A520	
DEC 37 : 177650272.000000	338689568.000000	430351648.000000	
HEX 38 : 1BA88EA0	85E1880	14250B40	
DEC 38 : 464031392.000000	140384384.000000	337972032.000000	
HEX 39 : 1BB18DA0	1E4035A0	17DA5DA0	
DEC 39 : 464620960.000000	507524512.000000	400186784.000000	
HEX 40 : 15602CC0	96C64B0	1D74B4C	
DEC 40 : 358624448.000000	158098608.000000	30886732.000000	
HEX 41 : 40CCC40	156734C0	D9B3690	
DEC 41 : 67947584.000000	359085248.000000	228275856.000000	
HEX 42 : 15D10F0	6EB9788	2C1AD2	
DEC 42 : 22876400.000000	116103048.000000	2890450.000000	
HEX 43 : 47953C0	1ED394C0	11D86440	
DEC 43 : 75060160.000000	517182656.000000	299394112.000000	
HEX 44 : 16226900	5087D30	10439F00	
DEC 44 : 371353856.000000	84442416.000000	272867072.000000	
HEX 45 : 5FB9BC0	87A30F0	CC95880	
DEC 45 : 100375488.000000	142225648.000000	214521984.000000	
HEX 46 : 199365A0	1E6E6A60	2917AD4	
DEC 46 : 429090208.000000	510552672.000000	43088596.000000	
HEX 47 : 20BC000	DF6F0F	49B7E20	
DEC 47 : 34324480.000000	14642959.000000	77299232.000000	
HEX 48 : 95D1080	4D5A5A8	29F8CB4	
DEC 48 : 157094016.000000	81110440.000000	44010676.000000	
HEX 49 : 1EC97F80	1A516F00	1239DCC0	
DEC 49 : 516521856.000000	441544448.000000	305781952.000000	
HEX 50 : 47CA2D0	131CE100	1DEDE1E0	
DEC 50 : 75277008.000000	320659712.000000	502129120.000000	
HEX 51 : 240D8F0	C0CF4B0	1C9332E0	
DEC 51 : 37804272.000000	202175664.000000	479408864.000000	
HEX 52 : B717620	1031F100	1FFA4100	
DEC 52 : 191985184.000000	271708416.000000	536494336.000000	
HEX 53 : 1281B260	10809A60	1D6349E0	
DEC 53 : 310489696.000000	276863584.000000	493046240.000000	
HEX 54 : 19BE4EA0	33DCD2C	19510780	
DEC 54 : 431902368.000000	54381868.000000	424740736.000000	
HEX 55 : 13EBBA60	1DB64780	18AD9700	
DEC 55 : 334215776.000000	498485120.000000	414029568.000000	
HEX 56 : 14E0F3C0	11CAFD20	1451000	
DEC 56 : 350286784.000000	298515744.000000	21303296.000000	
HEX 57 : 309352C	96563C0	1561A5A0	
DEC 57 : 50935084.000000	157639616.000000	358720928.000000	
HEX 58 : 1DD1FEA0	11974100	1E459260	
DEC 58 : 500301472.000000	295125248.000000	507875936.000000	
HEX 59 : 154FC100	18942000	4AE23C0	
DEC 59 : 357548288.000000	412360704.000000	78521280.000000	
HEX 60 : 8EEBE20	106F02E0	2D229E0	
DEC 60 : 149863968.000000	275710688.000000	47327712.000000	
HEX 61 : 635AE20	17738B40	2FC7CB4	
DEC 61 : 104181280.000000	393448256.000000	50101428.000000	
HEX 62 : 10A12800	60D5788	154C8AE0	
DEC 62 : 278996992.000000	101537672.000000	357337824.000000	
HEX 63 : FF7D530	EF021E0	1678B3C0	
DEC 63 : 267900208.000000	250618336.000000	377009088.000000	
HEX 64 : 7BE5968	1FC6B4C	966F170	
DEC 64 : 129915240.000000	33319756.000000	157741424.000000	
HEX 65 : DD7CBC0	18FCF780	21372D4	
DEC 65 : 232246208.000000	419231616.000000	34829012.000000	
HEX 66 : EFBEE90	12F474C0	F70F170	
DEC 66 : 251391632.000000	318010560.000000	259060080.000000	
HEX 67 : 1BE73520	C6981E0	41C1440	
DEC 67 : 468137248.000000	208241120.000000	68949056.000000	
HEX 68 : C5A4080	93ECE20	8D890F0	
DEC 68 : 207241344.000000	155110944.000000	148410608.000000	
HEX 69 : 1E03FD20	13585000	F7E2690	
DEC 69 : 503577888.000000	324554752.000000	259925648.000000	
HEX 70 : 1EF046A0	58603C0	3F713C4	
DEC 70 : 519063200.000000	92668864.000000	66524100.000000	
HEX 71 : 12427620	1EF6DF00	DD0DA6	
DEC 71 : 306345504.000000	519495424.000000	14486950.000000	
HEX 72 : 8F68E20	F508690	BC18E90	
DEC 72 : 150375968.000000	256935568.000000	197234320.000000	
HEX 73 : 9DFFE90	17E8FA60	98C1620	
DEC 73 : 165674640.000000	401144416.000000	160175648.000000	
HEX 74 : 12372340	180693C0	1D4F3260	
DEC 74 : 305603392.000000	403084224.000000	491729504.000000	
HEX 75 : DE7D000	B0915A0	12423C4	
DEC 75 : 233295872.000000	185144736.000000	19145668.000000	
HEX 76 : E7A2260	124A5A60	79085A8	
DEC 76 : 242885216.000000	306862688.000000	126911912.000000	
HEX 77 : 7124B4	186C22E0	7BA4A58	
DEC 77 : 7414964.000000	409740000.000000	129649240.000000	
HEX 78 : 5DAD710	1FE8BC40	1F706880	
DEC 78 : 98227984.000000	535346240.000000	527460480.000000	
HEX 79 : 1B1D81E0	15F781E0	A828F1	
DEC 79 : 454918624.000000	368542176.000000	11020529.000000	
HEX 80 : 11E92340	AEF000	1A75F100	
DEC 80 : 300491584.000000	11464704.000000	443937024.000000	
HEX 81 : 10BE74C0	37D3968	1FB9A5A	
DEC 81 : 280917184.000000	58538344.000000	33266266.000000	
HEX 82 : 1F2CDE20	DF1E1	1D717A60	
DEC 82 : 523034144.000000	913889.000000	493976160.000000	
HEX 83 : FFC5690	1C33E4C0	893F9E0	
DEC 83 : 268195472.000000	473162944.000000	143915488.000000	
HEX 84 : 265F3C4	E6291E0	FC6CBC0	
DEC 84 : 40235972.000000	241340896.000000	264686528.000000	
HEX 85 : 72AE168	1F889780	5FEAC40	
DEC 85 : 120250728.000000	529045376.000000	100576320.000000	
HEX 86 : 1193BD20	1A7B4B40	FBBB5A0	
DEC 86 : 294894880.000000	444287808.000000	263959968.000000	
HEX 87 : 9FB21E0	18E2FA60	13C42620	
DEC 87 : 167453152.000000	417528416.000000	331621920.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
