Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 1C799B40	A61D690	19A67EA0	
DEC 1 : 477731648.000000	174184080.000000	430341792.000000	
HEX 2 : F698DA0	1CE362E0	A934970	
DEC 2 : 258575776.000000	484664032.000000	177424752.000000	
HEX 3 : 8AEECB0	60EB4B8	194A81E0	
DEC 3 : 145681584.000000	101627064.000000	424313312.000000	
HEX 4 : 25C243C	E2085A0	A0F43C	
DEC 4 : 39593020.000000	237012384.000000	10548284.000000	
HEX 5 : 5D868F0	1B4E75A0	14A77C40	
DEC 5 : 98068720.000000	458126752.000000	346520640.000000	
HEX 6 : 127C5520	777F0F	814A5A0	
DEC 6 : 310138144.000000	7831311.000000	135570848.000000	
HEX 7 : 8EC1E2	1FF05F00	1D58C9E0	
DEC 7 : 9355746.000000	535846656.000000	492358112.000000	
HEX 8 : 12E0C000	3BF0D2C	1E19FE20	
DEC 8 : 316719104.000000	62852396.000000	505019936.000000	
HEX 9 : 17AB81E0	4B8B4B	DE94710	
DEC 9 : 397115872.000000	4950859.000000	233391888.000000	
HEX 10 : 18EE61E0	12DD4D20	1139A2E0	
DEC 10 : 418275808.000000	316493088.000000	288989920.000000	
HEX 11 : FB1BAD0	197385A0	1BD1B780	
DEC 11 : 263305936.000000	427001248.000000	466728832.000000	
HEX 12 : 1999D2E0	C8560F0	C9911E0	
DEC 12 : 429511392.000000	210067696.000000	211358176.000000	
HEX 13 : D279C40	2718F10	146DD960	
DEC 13 : 220699712.000000	40996624.000000	342743392.000000	
HEX 14 : 1411BE20	12CDA5A	17202DA0	
DEC 14 : 336707104.000000	19716698.000000	387984800.000000	
HEX 15 : 16985340	1C6E84C0	85D0F10	
DEC 15 : 379081536.000000	477004992.000000	140316432.000000	
HEX 16 : 1634788	4EF84B8	17C8F3C0	
DEC 16 : 23283592.000000	82805944.000000	399045568.000000	
HEX 17 : 1D07DB40	15864F00	1F346080	
DEC 17 : 487054144.000000	361123584.000000	523526272.000000	
HEX 18 : 6EC6800	1BCF65A0	1C16DBC0	
DEC 18 : 116156416.000000	466576800.000000	471260096.000000	
HEX 19 : 10F07800	120D75A0	1B2F9900	
DEC 19 : 284194816.000000	302871968.000000	456104192.000000	
HEX 20 : 1CCFFD20	5CB3698	DCEBC40	
DEC 20 : 483392800.000000	97203864.000000	231652416.000000	
HEX 21 : B617970	E38B000	17DA0DA0	
DEC 21 : 190937456.000000	238596096.000000	400166304.000000	
HEX 22 : 19662B40	5CF94B8	1484D080	
DEC 22 : 426126144.000000	97490104.000000	344248448.000000	
HEX 23 : 10EBA160	1248AB40	13758F00	
DEC 23 : 283877728.000000	306752320.000000	326471424.000000	
HEX 24 : C2C8800	1E602100	175762E0	
DEC 24 : 204244992.000000	509616384.000000	391602912.000000	
HEX 25 : 75B72D0	C619F10	1F7D9C40	
DEC 25 : 123433680.000000	207724304.000000	528325696.000000	
HEX 26 : 1C12F4C0	11381E2	7DA23C0	
DEC 26 : 471004352.000000	18055650.000000	131736512.000000	
HEX 27 : FBC878	4B7E968	1044F100	
DEC 27 : 16500856.000000	79161704.000000	272953600.000000	
HEX 28 : 160BE96	1DA5DA60	BFD5BC0	
DEC 28 : 23117462.000000	497408608.000000	201153472.000000	
HEX 29 : FDB03C0	8327C40	187733C0	
DEC 29 : 266011584.000000	137526336.000000	410465216.000000	
HEX 30 : 186F4080	1271A100	190A5960	
DEC 30 : 409944192.000000	309436672.000000	420108640.000000	
HEX 31 : B1061E	AE973C0	1C4FC800	
DEC 31 : 11601438.000000	183071680.000000	474990592.000000	
HEX 32 : 15AE6EA0	187DF6A0	15344F00	
DEC 32 : 363753120.000000	410908320.000000	355749632.000000	
HEX 33 : 13E56960	6A1EF10	F722710	
DEC 33 : 333801824.000000	111275792.000000	259139344.000000	
HEX 34 : F511F80	1A7CDF00	11B61100	
DEC 34 : 256974720.000000	444391168.000000	297144576.000000	
HEX 35 : 3C62078	14DC46A0	ACA48F0	
DEC 35 : 63316088.000000	349980320.000000	181029104.000000	
HEX 36 : 1FC7E100	F892E20	9729A60	
DEC 36 : 533192960.000000	260648480.000000	158505568.000000	
HEX 37 : 4AC0620	B6F6C40	15DF1EA0	
DEC 37 : 78382624.000000	191851584.000000	366943904.000000	
HEX 38 : 12E4B260	FD415A0	BB99C40	
DEC 38 : 316977760.000000	265557408.000000	196713536.000000	
HEX 39 : 1E0B21E0	3D58A5C	300F87	
DEC 39 : 504046048.000000	64326236.000000	3149703.000000	
HEX 40 : 18098620	F954780	561D000	
DEC 40 : 403277344.000000	261441408.000000	90296320.000000	
HEX 41 : 49B4BC0	50E15A8	1FB2E700	
DEC 41 : 77286336.000000	84809128.000000	531818240.000000	
HEX 42 : 101096A	18A265A0	1F7D8520	
DEC 42 : 16845162.000000	413296032.000000	528319776.000000	
HEX 43 : F2FF170	1D6151E0	310BF10	
DEC 43 : 254800240.000000	492917216.000000	51429136.000000	
HEX 44 : 18E93C40	1881C5A0	1B3925A	
DEC 44 : 417938496.000000	411157920.000000	28545626.000000	
HEX 45 : 14145800	1F188780	187276A0	
DEC 45 : 336877568.000000	521701248.000000	410154656.000000	
HEX 46 : 14ED2D20	89A03C0	7FE9788	
DEC 46 : 351087904.000000	144311232.000000	134125448.000000	
HEX 47 : D360000	BA12B50	91F78F0	
DEC 47 : 221642752.000000	195111760.000000	153057520.000000	
HEX 48 : 6A450F0	1B83AA60	70BCCB8	
DEC 48 : 111431920.000000	461613664.000000	118213816.000000	
HEX 49 : 130E0F00	16158960	5C45000	
DEC 49 : 319688448.000000	370510176.000000	96751616.000000	
HEX 50 : 1CED34C0	8DBD880	65C3258	
DEC 50 : 485307584.000000	148625536.000000	106705496.000000	
HEX 51 : 1E331A60	131983C0	222D4B4	
DEC 51 : 506665568.000000	320439232.000000	35837108.000000	
HEX 52 : AD93080	16076780	169B19E0	
DEC 52 : 182005888.000000	369584000.000000	379263456.000000	
HEX 53 : 49F1AD0	1158A3C0	1A8901E0	
DEC 53 : 77535952.000000	291021760.000000	445186528.000000	
HEX 54 : 3AF0E20	15B73000	2DC14B4	
DEC 54 : 61804064.000000	364326912.000000	47977652.000000	
HEX 55 : 18EFAD2	1DB0E6A0	81F878	
DEC 55 : 26147538.000000	498132640.000000	8517752.000000	
HEX 56 : 7559D30	FA72E20	6ADF2D0	
DEC 56 : 123051312.000000	262614560.000000	112063184.000000	
HEX 57 : 1F9935A0	1C8EDD20	1E6971E0	
DEC 57 : 530134432.000000	479124768.000000	510226912.000000	
HEX 58 : 9FD1690	1526CE20	1E323BC0	
DEC 58 : 167581328.000000	354864672.000000	506608576.000000	
HEX 59 : D7A89E0	4AFA2D0	C05CBC0	
DEC 59 : 226134496.000000	78619344.000000	201706432.000000	
HEX 60 : B006CB0	118C9E20	DE27E20	
DEC 60 : 184577200.000000	294428192.000000	232947232.000000	
HEX 61 : 1730EB40	19723880	1C84D440	
DEC 61 : 389081920.000000	426915968.000000	478467136.000000	
HEX 62 : 149C1080	AC301E0	2F070F	
DEC 62 : 345772160.000000	180552160.000000	3081999.000000	
HEX 63 : 1C95A3C0	1AFA4960	174FD000	
DEC 63 : 479568832.000000	452610400.000000	391106560.000000	
HEX 64 : 8E201E0	19655000	DF4B690	
DEC 64 : 149029344.000000	426070016.000000	234141328.000000	
HEX 65 : 1AA29F00	1A7B21E0	F3A79E0	
DEC 65 : 446865152.000000	444277216.000000	255490528.000000	
HEX 66 : 1594EAE0	B7CDD30	1C7861E0	
DEC 66 : 362080992.000000	192732464.000000	477651424.000000	
HEX 67 : 496F078	282A788	16D2D	
DEC 67 : 77000824.000000	42117000.000000	93485.000000	
HEX 68 : 7894AD0	A995C40	DF69530	
DEC 68 : 126438096.000000	177822784.000000	234263856.000000	
HEX 69 : 1DD3B000	1E7BF2E0	8C94DA0	
DEC 69 : 500412416.000000	511439584.000000	147410336.000000	
HEX 70 : 64D3C4	C346D30	FB93D30	
DEC 70 : 6607812.000000	204762416.000000	263798064.000000	
HEX 71 : 7A70710	1547C3C	F6954B0	
DEC 71 : 128386832.000000	22314044.000000	258561200.000000	
HEX 72 : E18B9E0	AE68F10	11A564C0	
DEC 72 : 236501472.000000	182882064.000000	296051904.000000	
HEX 73 : 1A7D84C0	1594C6A0	9374260	
DEC 73 : 444433600.000000	362071712.000000	154616416.000000	
HEX 74 : F3A0970	5E6F788	3D34878	
DEC 74 : 255461744.000000	99022728.000000	64178296.000000	
HEX 75 : 168B44C0	331D968	25AF1E0	
DEC 75 : 378225856.000000	53598568.000000	39514592.000000	
HEX 76 : 4CF0A58	3220B4C	81C8E20	
DEC 76 : 80677464.000000	52562764.000000	136089120.000000	
HEX 77 : 15D99B40	C74BC40	1439A520	
DEC 77 : 366582592.000000	208976960.000000	339322144.000000	
HEX 78 : 1E1BA100	C97E0F0	12A0FEA0	
DEC 78 : 505127168.000000	211280112.000000	312540832.000000	
HEX 79 : 143DEAE0	1719EA60	D21D8F0	
DEC 79 : 339602144.000000	387574368.000000	220322032.000000	
HEX 80 : F570080	FFDAA60	35DC710	
DEC 80 : 257360000.000000	268282464.000000	56477456.000000	
HEX 81 : 1A5683C0	1FE2DA60	1408CB4	
DEC 81 : 441877440.000000	534960736.000000	21007540.000000	
HEX 82 : 1F4C96A	AB65000	882C9E0	
DEC 82 : 32819562.000000	179720192.000000	142789088.000000	
HEX 83 : 4D51AD0	12E5C100	12A896A0	
DEC 83 : 81074896.000000	317047040.000000	313038496.000000	
HEX 84 : B9A3170	15DAC780	6D092D0	
DEC 84 : 194654576.000000	366659456.000000	114332368.000000	
HEX 85 : 781A530	8A192D0	3479BC4	
DEC 85 : 125936944.000000	144806608.000000	55024580.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
