Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 18D6D4C0	FB922D0	1AFB9BC0	
DEC 1 : 416732352.000000	263791312.000000	452697024.000000	
HEX 2 : 9C5CA60	190CA2E0	73FE9E0	
DEC 2 : 163957344.000000	420258528.000000	121629152.000000	
HEX 3 : 1DCF1100	1D17A000	184BFAE0	
DEC 3 : 500109568.000000	488087552.000000	407632608.000000	
HEX 4 : 4F37000	EB83D30	F7EDE20	
DEC 4 : 83062784.000000	246955312.000000	259972640.000000	
HEX 5 : 3ED787	1FF8F10	1B5C5B40	
DEC 5 : 4118407.000000	33525520.000000	459037504.000000	
HEX 6 : 1E72A960	129A24C0	2A63E98	
DEC 6 : 510830944.000000	312091840.000000	44449432.000000	
HEX 7 : D7D61E0	174E5100	1987A100	
DEC 7 : 226320864.000000	391008512.000000	428318976.000000	
HEX 8 : 1B3503C0	6456878	11C68440	
DEC 8 : 456459200.000000	105212024.000000	298222656.000000	
HEX 9 : 4834878	9F71E2	7A5BD30	
DEC 9 : 75712632.000000	10449378.000000	128302384.000000	
HEX 10 : ED0FC40	2F922D4	128FEF00	
DEC 10 : 248577088.000000	49881812.000000	311422720.000000	
HEX 11 : 5662A58	CD15000	16C46D20	
DEC 11 : 90581592.000000	215044096.000000	381971744.000000	
HEX 12 : 7FABF10	12ACDE20	1BBD8D20	
DEC 12 : 133873424.000000	313318944.000000	465407264.000000	
HEX 13 : 1E25CD20	9F635A0	1DB6FEA0	
DEC 13 : 505793824.000000	167130528.000000	498532000.000000	
HEX 14 : 17917E20	10B5FB40	6414530	
DEC 14 : 395410976.000000	280361792.000000	104940848.000000	
HEX 15 : 1489F960	1121FE20	D229880	
DEC 15 : 344586592.000000	287440416.000000	220371072.000000	
HEX 16 : 8F971E0	386D2D4	17B1D2E0	
DEC 16 : 150565344.000000	59167444.000000	397529824.000000	
HEX 17 : 7AB787	1B3CE5A0	14102D2	
DEC 17 : 8042375.000000	456975776.000000	21037778.000000	
HEX 18 : 5DA62D0	1A466880	1AE57F80	
DEC 18 : 98198224.000000	440821888.000000	451248000.000000	
HEX 19 : 5A0CB48	1B7F8780	E4B6000	
DEC 19 : 94423880.000000	461342592.000000	239820800.000000	
HEX 20 : 76B10F0	15307C40	146A4340	
DEC 20 : 124457200.000000	355499072.000000	342508352.000000	
HEX 21 : 18147F00	17A07880	10204520	
DEC 21 : 403996416.000000	396392576.000000	270550304.000000	
HEX 22 : 3B141E0	888A2D0	1CCF2880	
DEC 22 : 61948384.000000	143172304.000000	483338368.000000	
HEX 23 : 34A4788	C98A970	29D0968	
DEC 23 : 55199624.000000	211331440.000000	43845992.000000	
HEX 24 : 3992968	7C7EB48	B3850F0	
DEC 24 : 60369256.000000	130542408.000000	188240112.000000	
HEX 25 : 19A162E0	1F0AF100	11D5B340	
DEC 25 : 430007008.000000	520810752.000000	299217728.000000	
HEX 26 : 1611E1	1471F4C0	15F52900	
DEC 26 : 1446369.000000	343012544.000000	368388352.000000	
HEX 27 : AC24000	CCB21E0	FE4878	
DEC 27 : 180502528.000000	214639072.000000	16664696.000000	
HEX 28 : 1C7493C0	1441A780	B022E90	
DEC 28 : 477402048.000000	339847040.000000	184692368.000000	
HEX 29 : 1A43D960	C3ECB50	D42FDA0	
DEC 29 : 440654176.000000	205441872.000000	222494112.000000	
HEX 30 : 1544CA60	1EC1C3C	170EBBC0	
DEC 30 : 356829792.000000	32250940.000000	386841536.000000	
HEX 31 : 134621E0	15C17780	1E2BE620	
DEC 31 : 323363296.000000	365000576.000000	506193440.000000	
HEX 32 : 1100B000	17734C40	B115000	
DEC 32 : 285257728.000000	393432128.000000	185683968.000000	
HEX 33 : 13524000	1BEBA780	1859B9E0	
DEC 33 : 324157440.000000	468428672.000000	408533472.000000	
HEX 34 : 184845A0	8B58780	184D1D20	
DEC 34 : 407389600.000000	146114432.000000	407706912.000000	
HEX 35 : 16E32A60	23EE5A4	528FA58	
DEC 35 : 383986272.000000	37676452.000000	86571608.000000	
HEX 36 : 6631A58	1264AB40	6498078	
DEC 36 : 107158104.000000	308587328.000000	105480312.000000	
HEX 37 : 1F296A60	6DA1878	2BC5800	
DEC 37 : 522807904.000000	114956408.000000	45897728.000000	
HEX 38 : 1CF4F780	3454788	B1859E0	
DEC 38 : 485816192.000000	54871944.000000	186145248.000000	
HEX 39 : 1F64D2E	57E03C0	149BD620	
DEC 39 : 32918830.000000	92144576.000000	345757216.000000	
HEX 40 : CCA4970	6047F10	BFA0080	
DEC 40 : 214583664.000000	100957968.000000	200933504.000000	
HEX 41 : 1E962880	1638E000	1BD4ABC0	
DEC 41 : 513157248.000000	372826112.000000	466922432.000000	
HEX 42 : 7455A58	23874B4	F69D710	
DEC 42 : 121985624.000000	37254324.000000	258594576.000000	
HEX 43 : DCC9880	E5B5D30	F05C080	
DEC 43 : 231512192.000000	240868656.000000	252035200.000000	
HEX 44 : 1CCFB4C0	D2FBD30	1448E000	
DEC 44 : 483374272.000000	221232432.000000	340320256.000000	
HEX 45 : 19636880	19C443C0	1FF77800	
DEC 45 : 425945216.000000	432292800.000000	536311808.000000	
HEX 46 : 1E3102E0	1C610F0	1D292CC0	
DEC 46 : 506528480.000000	29757680.000000	489237696.000000	
HEX 47 : CF5EA60	1D7722E0	D1C2DA0	
DEC 47 : 217442912.000000	494346976.000000	219950496.000000	
HEX 48 : 117F0880	E8561E0	1C2292E0	
DEC 48 : 293537920.000000	243622368.000000	472027872.000000	
HEX 49 : AD3B880	AEEBE20	1CFE7DA0	
DEC 49 : 181647488.000000	183418400.000000	486440352.000000	
HEX 50 : 1F6F6100	D48BD30	7E32968	
DEC 50 : 527393024.000000	222870832.000000	132327784.000000	
HEX 51 : 1FEAF5A0	16698780	12E16780	
DEC 51 : 535492000.000000	376014720.000000	316761984.000000	
HEX 52 : 124B7780	A526E20	2B3F5A4	
DEC 52 : 306935680.000000	173174304.000000	45348260.000000	
HEX 53 : 13AF66A0	1EA50D20	1F5BFCC0	
DEC 53 : 330262176.000000	514133280.000000	526122176.000000	
HEX 54 : F86E970	3D321E0	5505788	
DEC 54 : 260499824.000000	64168416.000000	89151368.000000	
HEX 55 : 1B0006A0	1F2372E0	87F788	
DEC 55 : 452986528.000000	522416864.000000	8910728.000000	
HEX 56 : F3394B0	7D9000	1B47B800	
DEC 56 : 255038640.000000	8228864.000000	457684992.000000	
HEX 57 : 9654880	C12A4B0	90F8970	
DEC 57 : 157632640.000000	202548400.000000	152013168.000000	
HEX 58 : 186511E0	166A36A0	178D09E0	
DEC 58 : 409276896.000000	376059552.000000	395119072.000000	
HEX 59 : 173BD2E0	1B726960	9B171E0	
DEC 59 : 389796576.000000	460482912.000000	162623968.000000	
HEX 60 : 17604F00	643F5A8	1FDE5900	
DEC 60 : 392187648.000000	105117096.000000	534665472.000000	
HEX 61 : 1CF3B880	19883E20	52F48F0	
DEC 61 : 485734528.000000	428359200.000000	86984944.000000	
HEX 62 : 1629CF00	17B765A0	27B4D2C	
DEC 62 : 371838720.000000	397895072.000000	41635116.000000	
HEX 63 : 12AAA1E0	A706C40	A38ECB0	
DEC 63 : 313172448.000000	175139904.000000	171502768.000000	
HEX 64 : 106D0C40	17AB36A0	129B1DA0	
DEC 64 : 275582016.000000	397096608.000000	312155552.000000	
HEX 65 : 135969	1548C2E0	E79A170	
DEC 65 : 1268073.000000	357090016.000000	242852208.000000	
HEX 66 : 248A1E0	1876E6A0	80474B0	
DEC 66 : 38314464.000000	410445472.000000	134509744.000000	
HEX 67 : 13A2C000	1F47C880	44DA5A8	
DEC 67 : 329433088.000000	524798080.000000	72197544.000000	
HEX 68 : A5AE0F0	14DFDD20	D7D40F0	
DEC 68 : 173727984.000000	350215456.000000	226312432.000000	
HEX 69 : A08C880	8C980F0	1269B700	
