Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 70
HEX 1 : 652DE20	1026F100	1DF48960	
DEC 1 : 106094112.000000	270987520.000000	502565216.000000	
HEX 2 : 187B3780	15401880	D9BC710	
DEC 2 : 410728320.000000	356522112.000000	228312848.000000	
HEX 3 : 17085E20	1C3286A0	102009E0	
DEC 3 : 386424352.000000	473073312.000000	270535136.000000	
HEX 4 : 13A66A60	BAA02D0	10016C40	
DEC 4 : 329673312.000000	195691216.000000	268528704.000000	
HEX 5 : 187E7B40	11ED6C40	45E7BC0	
DEC 5 : 410942272.000000	300772416.000000	73300928.000000	
HEX 6 : 159503C0	142E6C40	14E32A60	
DEC 6 : 362087360.000000	338586688.000000	350431840.000000	
HEX 7 : 3B13968	15D58A60	70C1BC0	
DEC 7 : 61946216.000000	366316128.000000	118234048.000000	
HEX 8 : F9B6D30	BC07B50	7AB25A8	
DEC 8 : 261844272.000000	197163856.000000	128656808.000000	
HEX 9 : 89274B0	119D2960	139F74C0	
DEC 9 : 143815856.000000	295512416.000000	329217216.000000	
HEX 10 : 17FA5A	1D4DFB40	1FC91440	
DEC 10 : 1571418.000000	491649856.000000	533271616.000000	
HEX 11 : 7D64A58	16B0B6A0	E1C3350	
DEC 11 : 131484248.000000	380679840.000000	236729168.000000	
HEX 12 : 17C294C0	186DF10	4C029E0	
DEC 12 : 398628032.000000	25616144.000000	79702496.000000	
HEX 13 : B237C40	1BCBFC40	128CDC40	
DEC 13 : 186874944.000000	466353216.000000	311221312.000000	
HEX 14 : 187E72E0	90231E0	41DF878	
DEC 14 : 410940128.000000	151138784.000000	69073016.000000	
HEX 15 : 2DB60F0	107B0780	E25C1E0	
DEC 15 : 47931632.000000	276498304.000000	237355488.000000	
HEX 16 : BE2BE20	61683C0	1A6E3520	
DEC 16 : 199409184.000000	102138816.000000	443430176.000000	
HEX 17 : 187E7100	D4EF3C0	1DB71160	
DEC 17 : 410939648.000000	223278016.000000	498536800.000000	
HEX 18 : D5B5C40	122423C0	28C7C3C	
DEC 18 : 224091200.000000	304358336.000000	42761276.000000	
HEX 19 : 69131E0	AF844B0	184AAB40	
DEC 19 : 110178784.000000	184042672.000000	407546688.000000	
HEX 20 : 4FEF3C0	81150F0	7568620	
DEC 20 : 83817408.000000	135352560.000000	123110944.000000	
HEX 21 : DADC690	16225F00	16D03880	
DEC 21 : 229492368.000000	371351296.000000	382744704.000000	
HEX 22 : D182D30	104863C0	DC08000	
DEC 22 : 219688240.000000	273179584.000000	230719488.000000	
HEX 23 : 187E7000	D4C0B50	A79B170	
DEC 23 : 410939392.000000	223087440.000000	175747440.000000	
HEX 24 : 13C2FB40	19BEA100	9CD7350	
DEC 24 : 331545408.000000	431923456.000000	164459344.000000	
HEX 25 : 2A212D4	87B81E0	F2B0F10	
DEC 25 : 44176084.000000	142311904.000000	254480144.000000	
HEX 26 : 11B63E20	69794B8	15B01000	
DEC 26 : 297156128.000000	110597304.000000	363859968.000000	
HEX 27 : 12C63000	87AFF10	1CE60F00	
DEC 27 : 314978304.000000	142278416.000000	484839168.000000	
HEX 28 : 5235878	19B396A	C3EFB50	
DEC 28 : 86202488.000000	26949994.000000	205454160.000000	
HEX 29 : 9535A60	1B615780	90E697	
DEC 29 : 156457568.000000	459364224.000000	9496215.000000	
HEX 30 : 264A788	187B3100	166878	
DEC 30 : 40150920.000000	410726656.000000	1468536.000000	
HEX 31 : 8049780	1FDDC3C	3074788	
DEC 31 : 134518656.000000	33414204.000000	50808712.000000	
HEX 32 : 187E7960	197203C0	3F43698	
DEC 32 : 410941792.000000	426902464.000000	66336408.000000	
HEX 33 : 37714B4	1D41F5A0	5CF55A8	
DEC 33 : 58135732.000000	490861984.000000	97473960.000000	
HEX 34 : FE90690	F0C1E20	1598B260	
DEC 34 : 266929808.000000	252452384.000000	362328672.000000	
HEX 35 : CCD12D0	16C97B40	8729F80	
DEC 35 : 214766288.000000	382303040.000000	141729664.000000	
HEX 36 : 10DE8880	3B66000	6DB3078	
DEC 36 : 283019392.000000	62283776.000000	115028088.000000	
HEX 37 : 11F71B40	1E83D6A0	15C9C620	
DEC 37 : 301407040.000000	511956640.000000	365544992.000000	
HEX 38 : 17BEB100	CE211E0	163A7700	
DEC 38 : 398373120.000000	216142304.000000	372930304.000000	
HEX 39 : B3D2780	6DCF1E0	B5F0170	
DEC 39 : 188557184.000000	115143136.000000	190775664.000000	
HEX 40 : 12EFA960	12450100	96FE350	
DEC 40 : 317696352.000000	306512128.000000	158327632.000000	
HEX 41 : 1320F000	1233F000	1BBA4520	
DEC 41 : 320925696.000000	305393664.000000	465192224.000000	
HEX 42 : F53F0F	8E878	5993800	
DEC 42 : 16072463.000000	583800.000000	93927424.000000	
HEX 43 : 47B8000	5E68000	1D742780	
DEC 43 : 75202560.000000	98992128.000000	494151552.000000	
HEX 44 : 592E3C0	188711E0	1D6DE520	
DEC 44 : 93512640.000000	411505120.000000	493741344.000000	
HEX 45 : 133AC880	ECA878	1E610780	
DEC 45 : 322619520.000000	15509624.000000	509675392.000000	
HEX 46 : 187E72E0	17330C40	1F2689E0	
DEC 46 : 410940128.000000	389221440.000000	522619360.000000	
HEX 47 : 10786B40	16AE61E0	FD78C40	
DEC 47 : 276327232.000000	380527072.000000	265784384.000000	
HEX 48 : 187E7000	66E24B8	126BD620	
DEC 48 : 410939392.000000	107881656.000000	309057056.000000	
HEX 49 : 92BC000	32D0B4C	129D2960	
DEC 49 : 153862144.000000	53283660.000000	312289632.000000	
HEX 50 : C264F10	14EB6B40	1E161F00	
DEC 50 : 203837200.000000	350972736.000000	504766208.000000	
