Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : 1E0D6900	DF4C3C	1EFD0160	
DEC 1 : 504195328.000000	14634044.000000	519897440.000000	
HEX 2 : 11291220	1879E4C0	1270FA60	
DEC 2 : 287904288.000000	410641600.000000	309394016.000000	
HEX 3 : 1B28DEE0	73FD698	1C38A5A0	
DEC 3 : 455663328.000000	121624216.000000	473474464.000000	
HEX 4 : 6205598	11A79D20	1264FD20	
DEC 4 : 102782360.000000	296197408.000000	308608288.000000	
HEX 5 : 1364B820	AB5E3C0	121AE100	
DEC 5 : 325367840.000000	179692480.000000	303751424.000000	
HEX 6 : 5557EA0	5AA32D0	9296A60	
DEC 6 : 89489056.000000	95040208.000000	153709152.000000	
HEX 7 : 161EA620	216F000	1E620340	
DEC 7 : 371107360.000000	35057664.000000	509739840.000000	
HEX 8 : CA77640	8BFE970	1779FDA0	
DEC 8 : 212301376.000000	146794864.000000	393870752.000000	
HEX 9 : 5FBA9	8572D3	A967970	
DEC 9 : 392105.000000	8745683.000000	177633648.000000	
HEX 10 : E3BD0E0	27C6968	1D308960	
DEC 10 : 238801120.000000	41707880.000000	489720160.000000	
HEX 11 : 772C3A0	56EF4B8	1BC9DBC0	
DEC 11 : 124961696.000000	91157688.000000	466213824.000000	
HEX 12 : 53E7DD0	18613E20	42AB0F0	
DEC 12 : 87981520.000000	409026080.000000	69906672.000000	
HEX 13 : 4ECD040	BC633C0	17780F80	
DEC 13 : 82628672.000000	197538752.000000	393744256.000000	
HEX 14 : 68528D0	A106880	32AE078	
DEC 14 : 109390032.000000	168847488.000000	53141624.000000	
HEX 15 : 67FEA68	10A0B5A0	6DB4AD0	
DEC 15 : 109046376.000000	278967712.000000	115034832.000000	
HEX 16 : 2DC8E00	34D6000	15FD42E0	
DEC 16 : 48008704.000000	55402496.000000	368919264.000000	
HEX 17 : 17B2D6E0	15E914C0	152791E0	
DEC 17 : 397596384.000000	367596736.000000	354914784.000000	
HEX 18 : 17F71060	CC4CD30	34685A4	
DEC 18 : 402067552.000000	214224176.000000	54953380.000000	
HEX 19 : 1D2A7720	110E46A0	FF3C880	
DEC 19 : 489322272.000000	286148256.000000	267634816.000000	
HEX 20 : 9F97440	1879E3C0	14B07260	
DEC 20 : 167343168.000000	410641344.000000	347107936.000000	
HEX 21 : 1BDB9F60	1879EA60	1AE1E880	
DEC 21 : 467378016.000000	410643040.000000	451012736.000000	
HEX 22 : 185F6C60	1879E2E0	29E543C	
DEC 22 : 408906848.000000	410641120.000000	43930684.000000	
HEX 23 : C1628A0	AFC0A60	104F13C0	
DEC 23 : 202778784.000000	184289888.000000	273617856.000000	
HEX 24 : 1A2D0520	4063698	1352CF80	
DEC 24 : 439158048.000000	67516056.000000	324194176.000000	
HEX 25 : DE2F2C0	39C4968	2DD6968	
DEC 25 : 232977088.000000	60574056.000000	48064872.000000	
HEX 26 : 19FFCF20	CE8D000	A860690	
DEC 26 : 436195104.000000	216584192.000000	176555664.000000	
HEX 27 : 57DF450	C34D000	CE30620	
DEC 27 : 92140624.000000	204787712.000000	216204832.000000	
HEX 28 : 5F3C4	6A3B698	1C1D0800	
DEC 28 : 390084.000000	111392408.000000	471664640.000000	
HEX 29 : 102E70A0	2C9B4B	928BCB0	
DEC 29 : 271478944.000000	2923339.000000	153664688.000000	
HEX 30 : 5FA6D	14EE4100	1ECA3F00	
DEC 30 : 391789.000000	351158528.000000	516570880.000000	
HEX 31 : 1E5385E0	1257CA60	17478AE0	
DEC 31 : 508790240.000000	307743328.000000	390564576.000000	
HEX 32 : B3588C0	104D4E20	17C836A0	
DEC 32 : 188057792.000000	273501728.000000	398997152.000000	
HEX 33 : 15A8A400	116555A0	F7C0AD0	
DEC 33 : 363373568.000000	291853728.000000	259787472.000000	
HEX 34 : CC54660	1879E3C0	45A3968	
DEC 34 : 214255200.000000	410641344.000000	73021800.000000	
HEX 35 : 1BF535	11DE1960	17E98D20	
DEC 35 : 1832245.000000	299768160.000000	401181984.000000	
HEX 36 : 15CDDC40	54262D0	5A47440	
DEC 36 : 365812800.000000	88236752.000000	94663744.000000	
HEX 37 : 17373980	12B9B000	1C522620	
DEC 37 : 389495168.000000	314159104.000000	475145760.000000	
HEX 38 : 12B5A780	124E45A0	30CAA5C	
DEC 38 : 313894784.000000	307119520.000000	51161692.000000	
HEX 39 : C805740	7F4C5A8	96D8780	
DEC 39 : 209737536.000000	133481896.000000	158173056.000000	
HEX 40 : 198BEBE0	C927B50	168A8340	
DEC 40 : 428600288.000000	210926416.000000	378176320.000000	
HEX 41 : D5B2E10	12678E20	10209340	
DEC 41 : 224079376.000000	308776480.000000	270570304.000000	
HEX 42 : 1010D100	15D69B40	19687620	
DEC 42 : 269537536.000000	366385984.000000	426276384.000000	
HEX 43 : AD6E780	187003C0	C4CA800	
DEC 43 : 181856128.000000	409994176.000000	206350336.000000	
HEX 44 : 8C87940	441BC40	11096700	
DEC 44 : 147355968.000000	71416896.000000	285828864.000000	
HEX 45 : 5F7F5	1879E780	9976170	
DEC 45 : 391157.000000	410642304.000000	160915824.000000	
HEX 46 : 1D390EE0	E5CE0F0	1D934F80	
DEC 46 : 490278624.000000	240967920.000000	496193408.000000	
HEX 47 : DDD9300	BCD51E0	244BE98	
DEC 47 : 232624896.000000	198005216.000000	38059672.000000	
HEX 48 : 5F777	12CCFA60	3B0A800	
DEC 48 : 391031.000000	315423328.000000	61908992.000000	
HEX 49 : 1B3F0680	13CFB880	7C88788	
DEC 49 : 457115264.000000	332380288.000000	130582408.000000	
HEX 50 : 1DF9B5E	DAA80F0	1E165000	
DEC 50 : 31431518.000000	229277936.000000	504778752.000000	
HEX 51 : 16E13CE	29CEA5C	37E2AD4	
DEC 51 : 23991246.000000	43838044.000000	58600148.000000	
HEX 52 : 12647840	E3AB970	18AF91E0	
DEC 52 : 308574272.000000	238729584.000000	414159328.000000	
HEX 53 : 5F481	11338880	B8843C0	
DEC 53 : 390273.000000	288589952.000000	193479616.000000	
HEX 54 : 1272B500	C918000	9313080	
DEC 54 : 309507328.000000	210862080.000000	154218624.000000	
HEX 55 : 1390EAA0	1879E960	1F87B9E0	
DEC 55 : 328264352.000000	410642784.000000	528988640.000000	
HEX 56 : FB2A240	C5A0F1	16016780	
DEC 56 : 263365184.000000	12951793.000000	369190784.000000	
HEX 57 : 1D8C8020	1879EE20	112B5000	
DEC 57 : 495747104.000000	410644000.000000	288051200.000000	
HEX 58 : 104D8200	9ADF5A0	1E4F2000	
DEC 58 : 273515008.000000	162395552.000000	508502016.000000	
HEX 59 : 433CB70	1879E4C0	FDAC3C0	
DEC 59 : 70503280.000000	410641600.000000	265995200.000000	
HEX 60 : 14A954A0	6D7E2D0	18709100	
DEC 60 : 346641568.000000	114811600.000000	410030336.000000	
HEX 61 : 4083750	182C73C0	194DA1E0	
DEC 61 : 67647312.000000	405566400.000000	424518112.000000	
HEX 62 : 10BE21A	649B2D0	F51DB50	
DEC 62 : 17555994.000000	105493200.000000	257022800.000000	
HEX 63 : 1432EE20	15DAF2E0	9989710	
DEC 63 : 338882080.000000	366670560.000000	160995088.000000	
HEX 64 : 16F14BC0	67BB878	CFBDE20	
DEC 64 : 384912320.000000	108771448.000000	217832992.000000	
HEX 65 : 1EAA71A0	9D4F880	11747E20	
DEC 65 : 514486688.000000	164952192.000000	292847136.000000	
HEX 66 : 1D448900	4CAD2D0	9440BC0	
DEC 66 : 491030784.000000	80401104.000000	155454400.000000	
HEX 67 : 9D42A00	14F5EB40	1D88AB40	
DEC 67 : 164899328.000000	351660864.000000	495496000.000000	
HEX 68 : 1E441A60	5A390F0	1D9E000	
DEC 68 : 507779680.000000	94605552.000000	31055872.000000	
HEX 69 : 10221F40	45FC3C0	F687880	
DEC 69 : 270671680.000000	73384896.000000	258504832.000000	
HEX 70 : 5F403	D4470F0	11F3C780	
DEC 70 : 390147.000000	222589168.000000	301188992.000000	
HEX 71 : 8CF4D	B278E20	6D55348	
DEC 71 : 577357.000000	187141664.000000	114643784.000000	
HEX 72 : 94BB430	C68D4B0	1DEFB000	
DEC 72 : 155956272.000000	208196784.000000	502247424.000000	
HEX 73 : DA01B00	12520A60	89A6800	
DEC 73 : 228596480.000000	307366496.000000	144336896.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
