Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
HEX 1 : 2A7D03C	1879E3C0	16B3C000	
DEC 1 : 44552252.000000	410641344.000000	380878848.000000	
HEX 2 : 1EF8C6A0	E362970	18D89100	
DEC 2 : 519620256.000000	238430576.000000	416846080.000000	
HEX 3 : 31FBAD4	8E71A60	1D4D99E0	
DEC 3 : 52411092.000000	149363296.000000	491624928.000000	
HEX 4 : 16EC95A0	5B34000	100E03C0	
DEC 4 : 384603552.000000	95633408.000000	269353920.000000	
HEX 5 : 10BEE3C0	11D5FB40	15A8FDA0	
DEC 5 : 280945600.000000	299236160.000000	363396512.000000	
HEX 6 : 1CE34340	1611A880	1D0D5160	
DEC 6 : 484655936.000000	370256000.000000	487412064.000000	
HEX 7 : DFF4C40	82B42D0	10CC8960	
DEC 7 : 234835008.000000	137052880.000000	281839968.000000	
HEX 8 : FEDB970	1255E1E	1E268520	
DEC 8 : 267237744.000000	19226142.000000	505840928.000000	
HEX 9 : 705C6D0	45F83C0	139C73C0	
DEC 9 : 117819088.000000	73368512.000000	329020352.000000	
HEX 10 : 3B55F4C	121621E0	2513168	
DEC 10 : 62218060.000000	303440352.000000	38875496.000000	
HEX 11 : 79D11E0	C28DB50	10ACF100	
DEC 11 : 127734240.000000	204004176.000000	279769344.000000	
HEX 12 : 106D4F00	2E24698	857EC40	
DEC 12 : 275599104.000000	48383640.000000	139979840.000000	
HEX 13 : 164C5DA0	151A2D20	11C33F80	
DEC 13 : 374103456.000000	354037024.000000	298008448.000000	
HEX 14 : E1F5C00	F8ABB50	EFA04B0	
DEC 14 : 236936192.000000	260750160.000000	251266224.000000	
HEX 15 : 18EE9480	20684B4	18ED63C0	
DEC 15 : 418288768.000000	33981620.000000	418210752.000000	
HEX 16 : 15018780	8C20970	9726C40	
DEC 16 : 352421760.000000	146934128.000000	158493760.000000	
HEX 17 : 1C50AB40	10F78000	F4F8DA0	
DEC 17 : 475048768.000000	284655616.000000	256871840.000000	
HEX 18 : C4E31E0	656CE20	1356710	
DEC 18 : 206451168.000000	106352160.000000	20277008.000000	
HEX 19 : 17F8F660	10D05D20	17B88000	
DEC 19 : 402191968.000000	282090784.000000	397967360.000000	
HEX 20 : 1C7CF3C0	1879E1E0	4912B48	
DEC 20 : 477950912.000000	410640864.000000	76622664.000000	
