Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 64
HEX 1 : 15761780	18729780	19027700	
DEC 1 : 360060800.000000	410163072.000000	419591936.000000	
HEX 2 : F07B5A0	362D1E0	688A620	
DEC 2 : 252163488.000000	56807904.000000	109618720.000000	
HEX 3 : 1177A260	99571E0	2DEAE20	
DEC 3 : 293053024.000000	160788960.000000	48148000.000000	
HEX 4 : 1EFAB440	112132E0	7D86C40	
DEC 4 : 519746624.000000	287388384.000000	131624000.000000	
HEX 5 : 12C83C4	B953B50	4A7A5A8	
DEC 5 : 19694532.000000	194329424.000000	78095784.000000	
HEX 6 : 3BE334C	1879F100	1F0705A0	
DEC 6 : 62796620.000000	410644736.000000	520553888.000000	
HEX 7 : 181534C	1730B000	A082AD0	
DEC 7 : 25252684.000000	389066752.000000	168307408.000000	
HEX 8 : 16031520	6EE2C40	EF629E0	
DEC 8 : 369300768.000000	116272192.000000	251013600.000000	
HEX 9 : 19FA5260	11098780	D7942D0	
DEC 9 : 435835488.000000	285837184.000000	226050768.000000	
HEX 10 : B092080	2D56E20	1618F1	
DEC 10 : 185147520.000000	47541792.000000	1448177.000000	
HEX 11 : 110B1F00	B7EBA60	12592440	
DEC 11 : 285941504.000000	192854624.000000	307831872.000000	
HEX 12 : 9E68780	1092C880	155BD780	
DEC 12 : 166102912.000000	278055040.000000	358340480.000000	
HEX 13 : 526696	2507D2C	1711A4C0	
DEC 13 : 5400214.000000	38829356.000000	387032256.000000	
HEX 14 : 1EA4C100	18032B40	1440710	
DEC 14 : 514113792.000000	402860864.000000	21235472.000000	
HEX 15 : 15BB5900	1007C3C0	1979E160	
DEC 15 : 364599552.000000	268944320.000000	427417952.000000	
HEX 16 : 8C0A690	187A31E0	B9D7080	
DEC 16 : 146843280.000000	410661344.000000	194867328.000000	
HEX 17 : 278043C	6C1DE20	A69FBC0	
DEC 17 : 41419836.000000	113368608.000000	174717888.000000	
HEX 18 : 86FE3C0	6F40788	5D3EC40	
DEC 18 : 141550528.000000	116656008.000000	97774656.000000	
HEX 19 : 11E8A520	1879E4C0	F5D1F10	
DEC 19 : 300459296.000000	410641600.000000	257761040.000000	
HEX 20 : 1298E880	10BF9780	C031170	
DEC 20 : 312010880.000000	280991616.000000	201527664.000000	
HEX 21 : E20000	7C3B968	1C3BC880	
DEC 21 : 14811136.000000	130267496.000000	473680000.000000	
HEX 22 : 4B4F000	14D07E20	10CD5340	
DEC 22 : 78966784.000000	349208096.000000	281891648.000000	
HEX 23 : 6DF6698	131F84C0	6AA2800	
DEC 23 : 115304088.000000	320832704.000000	111814656.000000	
HEX 24 : 95C6F10	AAECB50	E2E5530	
DEC 24 : 157052688.000000	179227472.000000	237917488.000000	
HEX 25 : B765530	11E9AA60	E1DAD30	
DEC 25 : 192304432.000000	300526176.000000	236825904.000000	
HEX 26 : 7C23F88	1896000	1856AA60	
DEC 26 : 130170760.000000	25780224.000000	408332896.000000	
HEX 27 : 184BC4C0	30A3C3	116B6F00	
DEC 27 : 407618752.000000	3187651.000000	292253440.000000	
HEX 28 : 12786EA0	110AB4C0	47D4968	
DEC 28 : 309882528.000000	285914304.000000	75319656.000000	
HEX 29 : D576AD0	1879F2E0	19F02D20	
DEC 29 : 223832784.000000	410645216.000000	435170592.000000	
HEX 30 : B2F0A60	1822CA60	12BB9620	
DEC 30 : 187632224.000000	404933216.000000	314283552.000000	
HEX 31 : 4FEEBC0	64F7F10	127BF4C0	
DEC 31 : 83815360.000000	105873168.000000	310113472.000000	
HEX 32 : BF56620	D9AB1E0	60F8078	
DEC 32 : 200631840.000000	228241888.000000	101679224.000000	
HEX 33 : 17DE71E0	31541E0	1C2DCF00	
DEC 33 : 400454112.000000	51724768.000000	472764160.000000	
HEX 34 : 1D06F800	95B2880	DB2E8F0	
DEC 34 : 486995968.000000	156969088.000000	229828848.000000	
HEX 35 : 12EB66A0	4C8E2D0	157B8A60	
DEC 35 : 317417120.000000	80274128.000000	360417888.000000	
HEX 36 : 370452C	DAB5C40	12CF16A0	
DEC 36 : 57689388.000000	229334080.000000	315561632.000000	
HEX 37 : B843CB0	7D87B48	15EE0000	
DEC 37 : 193215664.000000	131627848.000000	367919104.000000	
HEX 38 : 136DB700	922FC40	1B9B0160	
DEC 38 : 325957376.000000	153287744.000000	463143264.000000	
HEX 39 : E472E90	E9C61E0	1B2969E0	
DEC 39 : 239546000.000000	245129696.000000	455698912.000000	
HEX 40 : 11EFB080	146644C0	1E4AD5A0	
DEC 40 : 300920960.000000	342246592.000000	508220832.000000	
HEX 41 : AB56C40	1862DB40	2E1743C	
DEC 41 : 179661888.000000	409131840.000000	48329788.000000	
HEX 42 : 1B98C880	14842000	1AF325A0	
DEC 42 : 462997632.000000	344203264.000000	452142496.000000	
HEX 43 : 10D77DA0	13CF9780	152D3340	
DEC 43 : 282557856.000000	332371840.000000	355283776.000000	
HEX 44 : 19009E20	1879E3C0	CD6D8F0	
DEC 44 : 419470880.000000	410641344.000000	215406832.000000	
HEX 45 : 16238440	1879EC40	5E02E20	
DEC 45 : 371426368.000000	410643520.000000	98577952.000000	
HEX 46 : 1781A780	C24AD30	84C1970	
DEC 46 : 394372992.000000	203730224.000000	139204976.000000	
HEX 47 : 10B55780	9A644B0	A5C4CB0	
DEC 47 : 280319872.000000	161891504.000000	173821104.000000	
HEX 48 : 646F710	16865C40	183646A0	
DEC 48 : 105314064.000000	377904192.000000	406210208.000000	
HEX 49 : 19A1D4C0	1295C3C0	2BF8CB4	
DEC 49 : 430036160.000000	311804864.000000	46107828.000000	
