Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 1602F960	15CFFF00	190FE080	
DEC 1 : 369293664.000000	365952768.000000	420470912.000000	
HEX 2 : 7E07710	187A14C0	1CB319E0	
DEC 2 : 132151056.000000	410653888.000000	481499616.000000	
HEX 3 : 7FD5710	A6E90F0	19479A60	
DEC 3 : 134043408.000000	175018224.000000	424122976.000000	
HEX 4 : F8B9170	12D07960	4FA5E98	
DEC 4 : 260804976.000000	315652448.000000	83517080.000000	
HEX 5 : BEAD170	7787C40	35CBD2C	
DEC 5 : 199938416.000000	125336640.000000	56409388.000000	
HEX 6 : 146D72E0	183D2960	121CD100	
DEC 6 : 342717152.000000	406661472.000000	303878400.000000	
HEX 7 : D89CBC0	A7FEF10	B6DBE20	
DEC 7 : 227134400.000000	176156432.000000	191741472.000000	
HEX 8 : 5E05A58	114BAE20	147C8620	
DEC 8 : 98589272.000000	290172448.000000	343705120.000000	
HEX 9 : 7577A58	997788	F833620	
DEC 9 : 123173464.000000	10057608.000000	260257312.000000	
HEX 10 : F7352D	A3C01E0	5909620	
DEC 10 : 16201005.000000	171704800.000000	93361696.000000	
HEX 11 : 135D8B40	230C698	F45C000	
DEC 11 : 324897600.000000	36751000.000000	256229376.000000	
HEX 12 : 710FA58	41F7878	1E030CC0	
DEC 12 : 118553176.000000	69171320.000000	503516352.000000	
HEX 13 : 1316B960	10F0C780	D309AD0	
DEC 13 : 320256352.000000	284215168.000000	221289168.000000	
HEX 14 : 872D8F0	185804C0	151C15A0	
DEC 14 : 141744368.000000	408421568.000000	354162080.000000	
HEX 15 : 79E6698	12E78880	4F234B	
DEC 15 : 127821464.000000	317163648.000000	5186379.000000	
HEX 16 : E8C9DA0	75B8D30	1FFE4780	
DEC 16 : 244096416.000000	123440432.000000	536758144.000000	
HEX 17 : BA4E530	35F6968	9E8B350	
DEC 17 : 195355952.000000	56584552.000000	166245200.000000	
HEX 18 : 198705A0	4178000	B62FA60	
DEC 18 : 428279200.000000	68648960.000000	191036000.000000	
HEX 19 : 564DE20	2E2EC3C	5BD1E20	
DEC 19 : 90496544.000000	48426044.000000	96280096.000000	
HEX 20 : 15C5A260	EDB7F10	1479F2E0	
DEC 20 : 365273696.000000	249265936.000000	343536352.000000	
HEX 21 : 9B62530	E2FD880	61835A8	
DEC 21 : 162932016.000000	238016640.000000	102249896.000000	
HEX 22 : 135DF800	186FC960	A05C9E0	
DEC 22 : 324925440.000000	409979232.000000	168151520.000000	
HEX 23 : A2A8000	119911E0	1AAABF80	
DEC 23 : 170557440.000000	295244256.000000	447397760.000000	
HEX 24 : 16CB6340	740F1E0	15CDDDA0	
DEC 24 : 382427968.000000	121696736.000000	365813152.000000	
HEX 25 : 1D4B5E20	FAD8E20	1DD90340	
DEC 25 : 491478560.000000	263032352.000000	500761408.000000	
HEX 26 : FBB7C40	CA15000	19A71C40	
DEC 26 : 263945280.000000	211898368.000000	430382144.000000	
HEX 27 : F12EBC0	544D5A8	1836CD20	
DEC 27 : 252898240.000000	88397224.000000	406244640.000000	
HEX 28 : F49C0F0	1879F4C0	1B281E20	
DEC 28 : 256491760.000000	410645696.000000	455613984.000000	
HEX 29 : 1D06DB40	16DDE4C0	1B95A900	
DEC 29 : 486988608.000000	383640768.000000	462792960.000000	
HEX 30 : 6F4DA5	10A7A5A0	2981E2	
DEC 30 : 7294373.000000	279422368.000000	2720226.000000	
HEX 31 : 169F0900	10966E20	64485A8	
DEC 31 : 379521280.000000	278294048.000000	105153960.000000	
HEX 32 : 1385000	F80F4B0	ED8EC40	
DEC 32 : 20467712.000000	260109488.000000	249097280.000000	
HEX 33 : 13F64100	9B855A0	F4745A0	
DEC 33 : 334905600.000000	163075488.000000	256329120.000000	
HEX 34 : 89C6A60	101CF960	D8BCBC0	
DEC 34 : 144468576.000000	270334304.000000	227265472.000000	
HEX 35 : 10DBC3C	75090F0	19B30A60	
DEC 35 : 17677372.000000	122720496.000000	431164000.000000	
HEX 36 : FBE12D0	1326E3C0	15DA3C40	
DEC 36 : 264114896.000000	321315776.000000	366623808.000000	
HEX 37 : 5BB3F10	146FA880	76F7710	
DEC 37 : 96157456.000000	342861952.000000	124745488.000000	
HEX 38 : A3E078	3627000	11CF7F80	
DEC 38 : 10739832.000000	56782848.000000	298811264.000000	
HEX 39 : 1CC20780	8E18D30	11815520	
DEC 39 : 482477952.000000	148999472.000000	293688608.000000	
HEX 40 : 1CD5C100	82254B0	1E67E160	
DEC 40 : 483770624.000000	136467632.000000	510124384.000000	
HEX 41 : 6A168F0	36FDF10	16735100	
DEC 41 : 111241456.000000	57663248.000000	376656128.000000	
HEX 42 : 1CB7EA60	1FC6C3C	1A0F8E20	
DEC 42 : 481815136.000000	33319996.000000	437227040.000000	
HEX 43 : 1EEA6000	111073C0	807D080	
DEC 43 : 518676480.000000	286290880.000000	134729856.000000	
HEX 44 : 1A3875A0	1879E4C0	D4F0CB0	
DEC 44 : 439907744.000000	410641600.000000	223284400.000000	
HEX 45 : 129DD520	A3ADA60	5709A58	
DEC 45 : 312333600.000000	171629152.000000	91265624.000000	
HEX 46 : 1403D9E0	1859FB40	2793F88	
DEC 46 : 335796704.000000	408550208.000000	41500552.000000	
HEX 47 : 4DA84B8	9F20A60	1273B260	
DEC 47 : 81429688.000000	166857312.000000	309572192.000000	
HEX 48 : C00C000	1879E780	8745DA0	
DEC 48 : 201375744.000000	410642304.000000	141843872.000000	
HEX 49 : 1AF8D000	115B0D20	FA34AD0	
DEC 49 : 452513792.000000	291179808.000000	262359760.000000	
HEX 50 : 1A9004C0	16FE8D20	5EF4DA8	
DEC 50 : 445646016.000000	385781024.000000	99569064.000000	
HEX 51 : 1AACC6A0	814F2D0	452C2D0	
DEC 51 : 447530656.000000	135590608.000000	72532688.000000	
