Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 70
HEX 1 : 160F6100	13B2EF00	1415ECC0	
DEC 1 : 370106624.000000	330493696.000000	336981184.000000	
HEX 2 : 187B0F0	DE46970	E56B9E0	
DEC 2 : 25669872.000000	233073008.000000	240564704.000000	
HEX 3 : 10635D20	75A787	131BB800	
DEC 3 : 274947360.000000	7710599.000000	320583680.000000	
HEX 4 : 5A3DD30	35DD4B4	1CBD34C0	
DEC 4 : 94625072.000000	56480948.000000	482161856.000000	
HEX 5 : 18D9E6A0	5C3C968	71131E0	
DEC 5 : 416933536.000000	96717160.000000	118567392.000000	
HEX 6 : 15FCC4C0	57E2698	132EA700	
DEC 6 : 368886976.000000	92153496.000000	321824512.000000	
HEX 7 : 94DB1E0	1879E3C0	607A1E0	
DEC 7 : 156086752.000000	410641344.000000	101163488.000000	
HEX 8 : 11A22A60	D79E2D0	1E706AE0	
DEC 8 : 295840352.000000	226091728.000000	510683872.000000	
HEX 9 : E758970	74B72D0	109BA780	
DEC 9 : 242583920.000000	122385104.000000	278636416.000000	
HEX 10 : 10C9C3C0	DD6E880	16372800	
DEC 10 : 281658304.000000	232188032.000000	372713472.000000	
HEX 11 : AD803C0	110C8880	198A5440	
DEC 11 : 181928896.000000	286034048.000000	428495936.000000	
HEX 12 : 141F1A60	97FB3C0	B94D800	
DEC 12 : 337582688.000000	159364032.000000	194304000.000000	
HEX 13 : 65250F0	1879E4C0	1524E5A0	
DEC 13 : 106057968.000000	410641600.000000	354739616.000000	
HEX 14 : EF1DC40	161153C0	C566000	
DEC 14 : 250731584.000000	370234304.000000	206987264.000000	
HEX 15 : B97F780	187A06A0	1A850900	
DEC 15 : 194508672.000000	410650272.000000	444926208.000000	
HEX 16 : 17E4C2E0	1879EA60	71C74B8	
DEC 16 : 400868064.000000	410643040.000000	119305400.000000	
HEX 17 : 7F54878	1879E5A0	DC74E20	
DEC 17 : 133515384.000000	410641824.000000	231165472.000000	
HEX 18 : 1B5BD780	1091F960	194BA1E0	
DEC 18 : 459003776.000000	278002016.000000	424387040.000000	
HEX 19 : 1D6FA6A0	135C95A0	129E4B40	
DEC 19 : 493856416.000000	324834720.000000	312363840.000000	
HEX 20 : 174C53C0	125863C0	1F61EB40	
DEC 20 : 390878144.000000	307782592.000000	526510912.000000	
HEX 21 : 155BC880	AF64B50	2E2D788	
DEC 21 : 358336640.000000	183913296.000000	48420744.000000	
HEX 22 : 169963C0	A7C9970	19A22AE0	
DEC 22 : 379151296.000000	175937904.000000	430058208.000000	
HEX 23 : 119DC100	FA03780	7762710	
DEC 23 : 295551232.000000	262158208.000000	125183760.000000	
HEX 24 : 175996A0	CB871E0	11927D20	
DEC 24 : 391747232.000000	213414368.000000	294812960.000000	
HEX 25 : 485D5A8	168144C0	1C318700	
DEC 25 : 75879848.000000	377570496.000000	473007872.000000	
HEX 26 : 1E93CE20	BF153C0	1388A5A0	
DEC 26 : 513003040.000000	200364992.000000	327722400.000000	
HEX 27 : 1D32EC40	4C58788	155E46A0	
DEC 27 : 489876544.000000	80054152.000000	358500000.000000	
HEX 28 : 193513C0	1879EC40	18FB1CC0	
DEC 28 : 422908864.000000	410643520.000000	419110080.000000	
HEX 29 : 93E15A0	B0BF000	B3A58F0	
DEC 29 : 155063712.000000	185331712.000000	188373232.000000	
HEX 30 : 12366880	14E375A0	1A726E20	
DEC 30 : 305555584.000000	350451104.000000	443706912.000000	
HEX 31 : 6D791E0	77ACF10	4C7C788	
DEC 31 : 114790880.000000	125488912.000000	80201608.000000	
HEX 32 : 403DC40	6F463C0	10F1DBC0	
DEC 32 : 67361856.000000	116679616.000000	284285888.000000	
HEX 33 : 181B1E20	1879F5A0	EA333C0	
DEC 33 : 404430368.000000	410645920.000000	245576640.000000	
HEX 34 : 178B6A60	20300F0	19ACA340	
DEC 34 : 395012704.000000	33751280.000000	430744384.000000	
HEX 35 : 1BDEF3C0	C903A60	83ADD30	
DEC 35 : 467596224.000000	210778720.000000	138075440.000000	
HEX 36 : 403BB48	11553A60	148EDEA0	
DEC 36 : 67353416.000000	290798176.000000	344907424.000000	
HEX 37 : 1CCC8B40	6E6F0F	AA01690	
DEC 37 : 483167040.000000	7237391.000000	178263696.000000	
HEX 38 : 1C5D7960	3FBDB4C	1F9CDBC0	
DEC 38 : 475887968.000000	66837324.000000	530373568.000000	
HEX 39 : 103EDD20	1879E1E0	13D1A440	
DEC 39 : 272555296.000000	410640864.000000	332506176.000000	
HEX 40 : 69C8878	1204B2E0	A2618F0	
DEC 40 : 110921848.000000	302297824.000000	170268912.000000	
HEX 41 : 14462B40	1E94696	C67E0F0	
DEC 41 : 340142912.000000	32065174.000000	208134384.000000	
HEX 42 : AD002D0	FF315A0	440BE20	
DEC 42 : 181404368.000000	267589024.000000	71351840.000000	
HEX 43 : 1D9EF10	1879E3C0	71AFB48	
DEC 43 : 31059728.000000	410641344.000000	119208776.000000	
HEX 44 : 3E6B968	126745A0	28CB1E0	
DEC 44 : 65452392.000000	308757920.000000	42775008.000000	
HEX 45 : 11363C4	156D8780	DF24260	
DEC 45 : 18047940.000000	359499648.000000	233980512.000000	
HEX 46 : 14B60780	6195A58	1F9F8620	
DEC 46 : 347473792.000000	102324824.000000	530548256.000000	
HEX 47 : 30F70F0	127000	167ADE20	
DEC 47 : 51343600.000000	1208320.000000	377151008.000000	
HEX 48 : 10063100	EF0E690	EC9EAD0	
DEC 48 : 268841216.000000	250668688.000000	248113872.000000	
HEX 49 : 1741E780	1242C1E0	2E8CAD4	
DEC 49 : 390195072.000000	306364896.000000	48810708.000000	
HEX 50 : 966000	34CA788	3B2DB4C	
DEC 50 : 9854976.000000	55355272.000000	62053196.000000	
HEX 51 : 12EAD2E	7E8C878	1815ABC0	
DEC 51 : 19836206.000000	132696184.000000	404073408.000000	
HEX 52 : D587000	238ED2C	164AC3C	
DEC 52 : 223899648.000000	37285164.000000	23374908.000000	
HEX 53 : 99790F0	3C10E20	15CB5700	
DEC 53 : 160927984.000000	62983712.000000	365647616.000000	
HEX 54 : 10833C4	B74B880	21C73C4	
DEC 54 : 17314756.000000	192198784.000000	35419076.000000	
HEX 55 : 109A0780	5F833C0	19120700	
DEC 55 : 278529920.000000	100152256.000000	420611840.000000	
HEX 56 : 10B61E20	1757C880	52151E0	
DEC 56 : 280370720.000000	391628928.000000	86069728.000000	
HEX 57 : 42F9C40	E0322D0	1B503160	
DEC 57 : 70229056.000000	235086544.000000	458240352.000000	
HEX 58 : 1DF6A960	9B6B4B0	1AFF3C40	
DEC 58 : 502704480.000000	162968752.000000	452934720.000000	
HEX 59 : 62C7C40	2B21B4C	B1F7DA0	
DEC 59 : 103578688.000000	45226828.000000	186613152.000000	
HEX 60 : D21E1E	86FC1E0	932CDA0	
DEC 60 : 13770270.000000	141541856.000000	154324384.000000	
HEX 61 : 1FFB62E0	42134B8	4E41C40	
DEC 61 : 536568544.000000	69285048.000000	82058304.000000	
HEX 62 : A1D1E20	967A690	1ABE2E20	
DEC 62 : 169680416.000000	157787792.000000	448671264.000000	
HEX 63 : 926B970	C082690	1312C5A0	
DEC 63 : 153532784.000000	201860752.000000	319997344.000000	
HEX 64 : E2470F0	932A970	41CF710	
DEC 64 : 237269232.000000	154315120.000000	69007120.000000	
HEX 65 : 1E1836A0	13ADBD20	72BF620	
DEC 65 : 504903328.000000	330153248.000000	120321568.000000	
HEX 66 : 1F69D2E0	1879E960	CD2A970	
DEC 66 : 527028960.000000	410642784.000000	215132528.000000	
HEX 67 : 1779EC40	11895960	BC92F80	
DEC 67 : 393866304.000000	294213984.000000	197734272.000000	
HEX 68 : D9FE5A0	41E1D30	9A5C3C0	
DEC 68 : 228582816.000000	69082416.000000	161858496.000000	
HEX 69 : 1C2B8100	7518F10	DDAC5A0	
DEC 69 : 472613120.000000	122785552.000000	232441248.000000	
HEX 70 : AFE9880	134AFB40	12516340	
DEC 70 : 184457344.000000	323681088.000000	307323712.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
