Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 60
HEX 1 : 11DF35A0	187B31E0	55B7B48	
DEC 1 : 299840928.000000	410726880.000000	89881416.000000	
HEX 2 : D77D690	1413000	76A0698	
DEC 2 : 225957520.000000	21049344.000000	124389016.000000	
HEX 3 : 113BAD20	1877A960	CDDA1E0	
DEC 3 : 289123616.000000	410495328.000000	215851488.000000	
HEX 4 : 102B04C0	DE8FA60	75A0968	
DEC 4 : 271254720.000000	233372256.000000	123341160.000000	
HEX 5 : 56D15A8	11F73F00	7406F10	
DEC 5 : 91035048.000000	301416192.000000	121663248.000000	
HEX 6 : 31A5E20	F3860F0	A305A6	
DEC 6 : 52059680.000000	255353072.000000	10683814.000000	
HEX 7 : 187F01E0	150DE960	663D5A8	
DEC 7 : 410976736.000000	353233248.000000	107206056.000000	
HEX 8 : 187EA2E0	BD7A2D0	143485A0	
DEC 8 : 410952416.000000	198681296.000000	338986400.000000	
HEX 9 : A400000	335B2D4	11938AE0	
DEC 9 : 171966464.000000	53850836.000000	294882016.000000	
HEX 10 : 187E8960	23130F0	17B912E0	
DEC 10 : 410945888.000000	36778224.000000	398004960.000000	
HEX 11 : 118EDA60	767BA58	AE12A60	
DEC 11 : 294574688.000000	124238424.000000	182528608.000000	
HEX 12 : 187E75A0	2A6F0F	9E543C0	
DEC 12 : 410940832.000000	2780943.000000	166020032.000000	
HEX 13 : 114A1880	65F01E0	36CE078	
DEC 13 : 290068608.000000	106889696.000000	57467000.000000	
HEX 14 : 18DFE1E	FE0E4B0	D5CE3C0	
DEC 14 : 26082846.000000	266396848.000000	224191424.000000	
HEX 15 : C5E4C40	13461100	174C3700	
DEC 15 : 207506496.000000	323358976.000000	390870784.000000	
HEX 16 : D8561E0	9FDD3C0	116243C0	
DEC 16 : 226845152.000000	167629760.000000	291652544.000000	
HEX 17 : 594FA58	5EF24B8	16D17BC0	
DEC 17 : 93649496.000000	99558584.000000	382827456.000000	
HEX 18 : 187E6E20	1879E2E0	EDBEB50	
DEC 18 : 410938912.000000	410641120.000000	249293648.000000	
HEX 19 : 35C9C3C	AB9CA60	75C5878	
DEC 19 : 56400956.000000	179948128.000000	123492472.000000	
HEX 20 : 130471E0	12DB3C4	1CCA09E0	
DEC 20 : 319058400.000000	19772356.000000	483002848.000000	
