Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 181DC460	6B8F440	E1EAB50	
DEC 1 : 404604000.000000	112784448.000000	236890960.000000	
HEX 2 : B7CE8E0	8D5D2E0	1B9B0B40	
DEC 2 : 192735456.000000	148230880.000000	463145792.000000	
HEX 3 : 1746F5C0	13E1DE40	150B1EA0	
DEC 3 : 390526400.000000	333569600.000000	353050272.000000	
HEX 4 : 1F1850C0	AA950F0	2D0B3C4	
DEC 4 : 521687232.000000	178868464.000000	47231940.000000	
HEX 5 : 1FB47380	4E95510	7A34C40	
DEC 5 : 531919744.000000	82400528.000000	128142400.000000	
HEX 6 : 135AB500	B6026A0	A9A6260	
DEC 6 : 324711680.000000	190850720.000000	177889888.000000	
HEX 7 : 10AD4A20	106088A0	11913DA0	
DEC 7 : 279792160.000000	274761888.000000	294731168.000000	
HEX 8 : 976A770	B2E74D0	3F9E52C	
DEC 8 : 158771056.000000	187593936.000000	66708780.000000	
HEX 9 : 3A111F4	6846F48	308BB4C	
DEC 9 : 60887540.000000	109342536.000000	50903884.000000	
HEX 10 : 1BAC8440	4916AB0	35E96	
DEC 10 : 464290880.000000	76638896.000000	220822.000000	
HEX 11 : 1BC53C40	9F8BA80	1E84FD20	
DEC 11 : 465910848.000000	167295616.000000	512032032.000000	
HEX 12 : 14478660	1C8C0C80	54FDE20	
DEC 12 : 340231776.000000	478940288.000000	89120288.000000	
HEX 13 : 108DC580	410EBC0	D029E20	
DEC 13 : 277726592.000000	68217792.000000	218275360.000000	
HEX 14 : 4D279C0	6D26978	18BDBE20	
DEC 14 : 80902592.000000	114452856.000000	415088160.000000	
HEX 15 : 73FE0D8	F0655F0	12DCDD20	
DEC 15 : 121626840.000000	252073456.000000	316464416.000000	
HEX 16 : 5CE82	1F8DB480	D73E800	
DEC 16 : 380546.000000	529380480.000000	225699840.000000	
HEX 17 : B27C3D0	10878E40	1F16E2E0	
DEC 17 : 187155408.000000	277319232.000000	521593568.000000	
HEX 18 : EACECE0	26BAA40	1DECCC40	
DEC 18 : 246213856.000000	40610368.000000	502058048.000000	
HEX 19 : 282604	12BFBDA0	9E33D30	
DEC 19 : 2631172.000000	314555808.000000	165887280.000000	
HEX 20 : 56272	BF4D300	1B7066A0	
DEC 20 : 352882.000000	200594176.000000	460351136.000000	
HEX 21 : 1C5CF0E0	142F6	1D3B0780	
DEC 21 : 475853024.000000	82678.000000	490407808.000000	
HEX 22 : 17E4D100	100F16C0	6D77D30	
DEC 22 : 400871680.000000	269424320.000000	114785584.000000	
HEX 23 : 1EE4BD20	4508FA8	1058EC40	
DEC 23 : 518307104.000000	72388520.000000	274263104.000000	
HEX 24 : 76D1140	19243820	1CCD8A60	
DEC 24 : 124588352.000000	421804064.000000	483232352.000000	
HEX 25 : 1E9162E0	1494C5C0	134C1E20	
DEC 25 : 512844512.000000	345294272.000000	323755552.000000	
HEX 26 : BA2CCD0	12917180	17DA2AE0	
DEC 26 : 195218640.000000	311521664.000000	400173792.000000	
HEX 27 : B424240	1591A520	10F4FF00	
DEC 27 : 188891712.000000	361866528.000000	284491520.000000	
HEX 28 : 6421D40	E8956A0	B644710	
DEC 28 : 104996160.000000	243881632.000000	191121168.000000	
HEX 29 : 99A3410	10218A0	188B3000	
DEC 29 : 161100816.000000	16914592.000000	411774976.000000	
HEX 30 : 1B152460	20DF80	B2AC690	
DEC 30 : 454370400.000000	2154368.000000	187352720.000000	
HEX 31 : 13D992E0	6397000	145B51E0	
DEC 31 : 333026016.000000	104427520.000000	341529056.000000	
HEX 32 : 5F14C	17046740	1D39A1E0	
DEC 32 : 389452.000000	386164544.000000	490316256.000000	
HEX 33 : 188C4D	2CF6D20	C12C710	
DEC 33 : 1608781.000000	47148320.000000	202557200.000000	
HEX 34 : 1672EF	A44B530	D1CCE20	
DEC 34 : 1471215.000000	172274992.000000	219991584.000000	
HEX 35 : 1352D6C0	1D02A300	10639620	
DEC 35 : 324196032.000000	486712064.000000	274961952.000000	
HEX 36 : 1B3B3EE0	26D00	15C96520	
DEC 36 : 456867552.000000	158976.000000	365520160.000000	
HEX 37 : 72F5EF8	15F9D440	AA38440	
DEC 37 : 120545016.000000	368694336.000000	178488384.000000	
HEX 38 : 1C5A8020	BCA9FF0	11BAB960	
DEC 38 : 475693088.000000	197828592.000000	297449824.000000	
HEX 39 : A0B8EB0	1A0609	D246690	
DEC 39 : 168529584.000000	1705481.000000	220489360.000000	
HEX 40 : 574B600	11D0A380	49B4000	
DEC 40 : 91534848.000000	298886016.000000	77283328.000000	
HEX 41 : 5C26B	CABAF20	5723710	
DEC 41 : 377451.000000	212578080.000000	91371280.000000	
HEX 42 : AA6BD70	4088D30	1EF561E	
DEC 42 : 178699632.000000	67669296.000000	32462366.000000	
HEX 43 : 105FD9A0	83B96B0	471C710	
DEC 43 : 274717088.000000	138122928.000000	74565392.000000	
HEX 44 : C4DFE90	A47D2D0	D024DA0	
DEC 44 : 206438032.000000	172479184.000000	218254752.000000	
HEX 45 : 138DC840	CEA4B80	17FDFB40	
DEC 45 : 328058944.000000	216681344.000000	402520896.000000	
HEX 46 : ACCB910	1C693C40	16CBC340	
DEC 46 : 181188880.000000	476658752.000000	382452544.000000	
HEX 47 : D46D3B0	1B040FA0	C2A9970	
DEC 47 : 222745520.000000	453250976.000000	204118384.000000	
HEX 48 : ED24580	1AB79A20	1CEE8B40	
DEC 48 : 248661376.000000	448240160.000000	485395264.000000	
HEX 49 : 15C706C0	18406F0	60205A8	
DEC 49 : 365364928.000000	25429744.000000	100795816.000000	
HEX 50 : 65D0C70	1C473DC0	FDA3880	
DEC 50 : 106761328.000000	474430912.000000	265959552.000000	
HEX 51 : 6236178	8E2588	1F4EB960	
DEC 51 : 102982008.000000	9315720.000000	525252960.000000	
HEX 52 : 4E3D6C0	11B03180	1B141B40	
DEC 52 : 82040512.000000	296759680.000000	454302528.000000	
HEX 53 : 53F3268	6624C	7572440	
DEC 53 : 88027752.000000	418380.000000	123151424.000000	
HEX 54 : 741E480	71601F0	1197B900	
DEC 54 : 121758848.000000	118882800.000000	295155968.000000	
