Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 1920BB00	F260CF0	89D1620	
DEC 1 : 421575424.000000	254151920.000000	144512544.000000	
HEX 2 : A0C01E0	F7E9A20	98405A0	
DEC 2 : 168559072.000000	259955232.000000	159647136.000000	
HEX 3 : 2033D68	E27A8B0	1F000F00	
DEC 3 : 33766760.000000	237480112.000000	520097536.000000	
HEX 4 : 161025A0	13C5DAC0	1BE5C880	
DEC 4 : 370156960.000000	331733696.000000	468043904.000000	
HEX 5 : 159056E0	16502	1DD58A60	
DEC 5 : 361780960.000000	91394.000000	500533856.000000	
HEX 6 : 2C2DF4C	103FCA20	17CE94C0	
DEC 6 : 46325580.000000	272615968.000000	399414464.000000	
HEX 7 : DDF30F	15828100	1D72A000	
DEC 7 : 14545679.000000	360874240.000000	494051328.000000	
HEX 8 : FD701E0	17800020	1DEA63C0	
DEC 8 : 265748960.000000	394264608.000000	501900224.000000	
HEX 9 : 1A067BC0	1BA7F780	FC8DB50	
DEC 9 : 436632512.000000	463992704.000000	264821584.000000	
HEX 10 : F7C20B0	82C2DD0	1AE2EC40	
DEC 10 : 259793072.000000	137113040.000000	451079232.000000	
HEX 11 : B158CB0	64EC830	80EC3C0	
DEC 11 : 185961648.000000	105826352.000000	135185344.000000	
HEX 12 : 591D2D0	6B75508	2EF2E98	
DEC 12 : 93442768.000000	112678152.000000	49229464.000000	
HEX 13 : 19ED078	108F7A00	C42C800	
DEC 13 : 27185272.000000	277838336.000000	205703168.000000	
HEX 14 : 2BC803C	16B2D	152E1960	
DEC 14 : 45908028.000000	92973.000000	355342688.000000	
HEX 15 : 1BADDAA0	15244560	C640440	
DEC 15 : 464378528.000000	354698592.000000	207881280.000000	
HEX 16 : 1C2135A0	19D1D440	68211E0	
DEC 16 : 471938464.000000	433181760.000000	109187552.000000	
HEX 17 : 16866AE0	BEAFFA0	18C393C0	
DEC 17 : 377907936.000000	199950240.000000	415470528.000000	
HEX 18 : 19B01D20	5217E28	17F8C880	
DEC 18 : 430972192.000000	86081064.000000	402180224.000000	
HEX 19 : 17AD36E0	1FADC040	4EAA078	
DEC 19 : 397227744.000000	531480640.000000	82485368.000000	
HEX 20 : D3C7C40	19EF9060	156C2EA0	
DEC 20 : 222067776.000000	435130464.000000	359411360.000000	
HEX 21 : 169D0900	8658370	ACCB0F0	
DEC 21 : 379390208.000000	140870512.000000	181186800.000000	
HEX 22 : E727690	4319240	114BCC40	
DEC 22 : 242382480.000000	70357568.000000	290180160.000000	
HEX 23 : 1982DA60	1D0EC060	176A3100	
DEC 23 : 428005984.000000	487506016.000000	392835328.000000	
HEX 24 : 1E23F2E0	AE5CA90	C4981E0	
