Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : A6529E0	16E23	1A90D2E	
DEC 1 : 174402016.000000	93731.000000	27856174.000000	
HEX 2 : 1DEE7D20	1CCC4C40	1439DBC0	
DEC 2 : 502168864.000000	483150912.000000	339336128.000000	
HEX 3 : 1461D880	7D6E148	B939B50	
DEC 3 : 341956736.000000	131522888.000000	194222928.000000	
HEX 4 : 1749E520	FF8EC60	F56A8F0	
DEC 4 : 390718752.000000	267971680.000000	257337584.000000	
HEX 5 : B5A70F0	1EB873C0	1D76A3C0	
DEC 5 : 190476528.000000	515404736.000000	494314432.000000	
HEX 6 : B308B50	1EC6FBC0	4327000	
DEC 6 : 187730768.000000	516357056.000000	70414336.000000	
HEX 7 : 97841E0	167B9	921F5A0	
DEC 7 : 158876128.000000	92089.000000	153220512.000000	
HEX 8 : A705080	13B7B0E0	176341E0	
DEC 8 : 175132800.000000	330805472.000000	392380896.000000	
HEX 9 : 10B69D20	1A433180	69C89E0	
DEC 9 : 280403232.000000	440611200.000000	110922208.000000	
HEX 10 : A2221E0	E446150	1233B800	
DEC 10 : 170009056.000000	239362384.000000	305379328.000000	
HEX 11 : 1EEDA1E0	10D489	19F432E0	
DEC 11 : 518889952.000000	1102985.000000	435434208.000000	
HEX 12 : 13C7B3C0	18406B40	D2FFC40	
DEC 12 : 331854784.000000	406874944.000000	221248576.000000	
HEX 13 : A091970	EF41800	1DDE0780	
DEC 13 : 168368496.000000	250877952.000000	501090176.000000	
HEX 14 : 83BDC40	1C361280	15DC4900	
DEC 14 : 138140736.000000	473305728.000000	366758144.000000	
HEX 15 : 1BFC0DA0	1E4A1D60	1B58C1E0	
DEC 15 : 469503392.000000	508173664.000000	458801632.000000	
HEX 16 : FAE70F	16AAF	97364B0	
DEC 16 : 16443151.000000	92847.000000	158557360.000000	
HEX 17 : 147A46A0	1E458C80	1AC41780	
DEC 17 : 343557792.000000	507874432.000000	449058688.000000	
HEX 18 : EFA1620	DC7CD50	184F0340	
DEC 18 : 251270688.000000	231198032.000000	407831360.000000	
HEX 19 : B9470F	1C66B120	155B2880	
DEC 19 : 12142351.000000	476492064.000000	358295680.000000	
HEX 20 : 8712780	7B21F00	1F1532E0	
DEC 20 : 141633408.000000	129113856.000000	521482976.000000	
HEX 21 : 9885970	17CD4AE0	6810F88	
DEC 21 : 159930736.000000	399330016.000000	109121416.000000	
HEX 22 : 1C49E5A0	454EE08	DCB3E20	
DEC 22 : 474604960.000000	72674824.000000	231423520.000000	
HEX 23 : 158E2080	1F4F5F80	F1DB440	
DEC 23 : 361635968.000000	525295488.000000	253604928.000000	
HEX 24 : 1A7E2AE0	98C4430	1B290C40	
DEC 24 : 444476128.000000	160187440.000000	455674944.000000	
HEX 25 : 1937ECC0	10999660	2C9E168	
DEC 25 : 423095488.000000	278500960.000000	46784872.000000	
HEX 26 : 120B7160	4B46F20	135F2B40	
DEC 26 : 302739808.000000	78933792.000000	325004096.000000	
