Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
HEX 1 : A331350	B0BFCC0	ACCCE20	
DEC 1 : 171119440.000000	185334976.000000	181194272.000000	
HEX 2 : 480DF10	529A140	19B632E0	
DEC 2 : 75554576.000000	86614336.000000	431370976.000000	
HEX 3 : 7182878	5CC26C	6054E20	
DEC 3 : 119023736.000000	6079084.000000	101010976.000000	
HEX 4 : 79FEB48	16980180	EF16F80	
DEC 4 : 127920968.000000	379060608.000000	250703744.000000	
HEX 5 : E9C4800	19AE9C80	1C18DF00	
DEC 5 : 245123072.000000	430873728.000000	471392000.000000	
HEX 6 : 151431E0	114BAD40	6B58E98	
DEC 6 : 353645024.000000	290172224.000000	112561816.000000	
HEX 7 : 1C6032E0	EF78F30	1BC9BB40	
DEC 7 : 476066528.000000	251105072.000000	466205504.000000	
HEX 8 : 7294B4	14C06380	D9B2F10	
DEC 8 : 7509172.000000	348152704.000000	228273936.000000	
HEX 9 : 4223710	77E23F0	10B04B40	
DEC 9 : 69351184.000000	125707248.000000	279989056.000000	
HEX 10 : 14FCF260	D466670	1C9854C0	
DEC 10 : 352121440.000000	222717552.000000	479745216.000000	
HEX 11 : B2A2780	1D3BC1E0	12E6878	
DEC 11 : 187312000.000000	490455520.000000	19818616.000000	
HEX 12 : 1AC50960	19FF9	150623C0	
DEC 12 : 449120608.000000	106489.000000	352723904.000000	
HEX 13 : 145C9E20	1B15CC20	15A87960	
DEC 13 : 341614112.000000	454413344.000000	363362656.000000	
HEX 14 : D74E620	129BE340	C55E2D0	
DEC 14 : 225764896.000000	312206144.000000	206955216.000000	
HEX 15 : DED38F0	1527A4C0	E06F0F	
DEC 15 : 233650416.000000	354919616.000000	14708495.000000	
HEX 16 : 25F043C	942E46	131874C0	
DEC 16 : 39781436.000000	9711174.000000	320369856.000000	
HEX 17 : B6B52D0	D294E90	11EC3700	
DEC 17 : 191582928.000000	220810896.000000	300693248.000000	
HEX 18 : 15BE1E20	16CA8	8299F10	
DEC 18 : 364781088.000000	93352.000000	136945424.000000	
HEX 19 : C26AA60	66EAC88	52DF698	
DEC 19 : 203860576.000000	107916424.000000	86898328.000000	
HEX 20 : 335B968	1434F280	1496E160	
DEC 20 : 53852520.000000	339014272.000000	345432416.000000	
HEX 21 : 1F3796A0	17085820	DF1B710	
DEC 21 : 523736736.000000	386422816.000000	233944848.000000	
HEX 22 : 29C30F0	17CFAAE0	7134A58	
DEC 22 : 43790576.000000	399485664.000000	118704728.000000	
HEX 23 : 12E1DC40	1291BBE0	12066440	
DEC 23 : 316791872.000000	311540704.000000	302408768.000000	
HEX 24 : 148794C0	53E5718	14E16160	
DEC 24 : 344429760.000000	87971608.000000	350314848.000000	
HEX 25 : 11195E20	6E06040	1BCDAE20	
DEC 25 : 286875168.000000	115368000.000000	466464288.000000	
HEX 26 : A163F10	18A1D1E0	7754620	
DEC 26 : 169230096.000000	413258208.000000	125126176.000000	
HEX 27 : 18F8F6A0	73186A8	1AA34E20	
DEC 27 : 418969248.000000	120686248.000000	446909984.000000	
HEX 28 : 56072D0	1B788640	143881E0	
DEC 28 : 90206928.000000	460883520.000000	339247584.000000	
HEX 29 : 1FA4A2E0	8817280	1DDFA880	
DEC 29 : 530883296.000000	142701184.000000	501196928.000000	
HEX 30 : 18178080	6684A40	E599080	
DEC 30 : 404193408.000000	107498048.000000	240750720.000000	
HEX 31 : B4B7970	984DC20	1FCE6B40	
DEC 31 : 189495664.000000	159702048.000000	533621568.000000	
HEX 32 : D63F620	F1E7F50	1B3B04C0	
DEC 32 : 224654880.000000	253656912.000000	456852672.000000	
HEX 33 : D969530	F491220	594A078	
DEC 33 : 227972400.000000	256447008.000000	93626488.000000	
HEX 34 : 12C70D20	D4A15A0	CA77F80	
DEC 34 : 315034912.000000	222959008.000000	212303744.000000	
HEX 35 : 75EC800	1FA929A0	7E922D0	
DEC 35 : 123652096.000000	531179936.000000	132719312.000000	
HEX 36 : E7328F0	6660AA0	10977260	
DEC 36 : 242428144.000000	107350688.000000	278360672.000000	
HEX 37 : C4532D0	13C68A60	156B1CC0	
DEC 37 : 205861584.000000	331778656.000000	359341248.000000	
HEX 38 : 8632710	14E98480	1BC581E0	
DEC 38 : 140715792.000000	350848128.000000	465928672.000000	
HEX 39 : 9D93780	16B2D	13C4B5A0	
DEC 39 : 165230464.000000	92973.000000	331658656.000000	
HEX 40 : 2ED10F0	1D8CBF80	2360DA4	
DEC 40 : 49090800.000000	495763328.000000	37096868.000000	
HEX 41 : CDE4E20	1B4422A0	14F20620	
DEC 41 : 215895584.000000	457450144.000000	351405600.000000	
HEX 42 : 20BA34C	16AEE	B9855A0	
DEC 42 : 34317132.000000	92910.000000	194532768.000000	
HEX 43 : 182215A0	16D88680	2A3D9E0	
DEC 43 : 404886944.000000	383288960.000000	44292576.000000	
HEX 44 : 50BC000	FDB18F0	E6B9E2	
DEC 44 : 84656128.000000	266017008.000000	15120866.000000	
HEX 45 : B1FF9E0	7C5D400	1734B160	
DEC 45 : 186644960.000000	130405376.000000	389329248.000000	
HEX 46 : 1E73FF00	15B57280	6925440	
DEC 46 : 510918400.000000	364212864.000000	110253120.000000	
HEX 47 : 1209C900	6550F98	9DF58F0	
DEC 47 : 302631168.000000	106237848.000000	165632240.000000	
HEX 48 : 674F530	DAB7130	17900620	
DEC 48 : 108328240.000000	229339440.000000	395314720.000000	
HEX 49 : 13DD9700	10D3CC	F7408F0	
