Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 3C2ED2C	1103FE80	F4D1F80	
DEC 1 : 63106348.000000	285474432.000000	256712576.000000	
HEX 2 : 1FAC7F00	1A397280	5DCC1E0	
DEC 2 : 531398400.000000	439972480.000000	98353632.000000	
HEX 3 : 3DF6878	A3A9C80	3AFD8F0	
DEC 3 : 64972920.000000	171613312.000000	61855984.000000	
HEX 4 : 59F23C0	1B622160	5F80DA8	
DEC 4 : 94315456.000000	459415904.000000	100142504.000000	
HEX 5 : A671F10	5BAFD1	103D5900	
DEC 5 : 174530320.000000	6008785.000000	272455936.000000	
HEX 6 : 1D1CAE20	1909E420	120F85A0	
DEC 6 : 488418848.000000	420078624.000000	303007136.000000	
HEX 7 : 139271E0	50F9F60	1443D2E	
DEC 7 : 328364512.000000	84909920.000000	21249326.000000	
HEX 8 : 1D18DA60	164C3	9EFE1E	
DEC 8 : 488168032.000000	91331.000000	10419742.000000	
HEX 9 : 55B0D30	6EEE3E8	109EF520	
DEC 9 : 89853232.000000	116319208.000000	278852896.000000	
HEX 10 : 61993C0	FD540D0	83E1A60	
DEC 10 : 102339520.000000	265634000.000000	138287712.000000	
HEX 11 : A106880	1765AA20	1610DA6	
DEC 11 : 168847488.000000	392538656.000000	23137702.000000	
HEX 12 : 17EF34C0	8E91C10	17221960	
DEC 12 : 401552576.000000	149494800.000000	388110688.000000	
HEX 13 : 2437D2C	373BAD8	17B9F700	
DEC 13 : 37977388.000000	57916120.000000	398063360.000000	
HEX 14 : 16C251E0	1C37902	1A22AF00	
DEC 14 : 381833696.000000	29587714.000000	438480640.000000	
HEX 15 : 173D54C0	6DABB70	FEC6350	
DEC 15 : 389895360.000000	114998128.000000	267150160.000000	
HEX 16 : 173F6C40	1EB7C080	156AD2E	
DEC 16 : 390032448.000000	515358848.000000	22457646.000000	
HEX 17 : D806E20	27C74EC	9B73D30	
DEC 17 : 226520608.000000	41710828.000000	163003696.000000	
HEX 18 : 1C5CF3C0	C415A20	110D0A60	
DEC 18 : 475853760.000000	205609504.000000	286067296.000000	
HEX 19 : 2748C3C	214F44	1B2A5A6	
DEC 19 : 41192508.000000	2182980.000000	28485030.000000	
HEX 20 : 627B4B	1A096BC0	B89788	
DEC 20 : 6454091.000000	436825024.000000	12097416.000000	
HEX 21 : 26EFF10	16B6C	1105D780	
DEC 21 : 40828688.000000	93036.000000	285595520.000000	
HEX 22 : 3D2A5A4	E7593D0	1FD11960	
DEC 22 : 64136612.000000	242586576.000000	533797216.000000	
HEX 23 : AEFA000	DE04910	1D6B04C0	
DEC 23 : 183476224.000000	232802576.000000	493552832.000000	
HEX 24 : 16661C40	1D4BBB40	10A16E20	
DEC 24 : 375790656.000000	491502400.000000	279014944.000000	
HEX 25 : 1260CC40	E1EDB20	1C4D0F00	
DEC 25 : 308333632.000000	236903200.000000	474812160.000000	
HEX 26 : 1B7D71E0	DC3DDF0	1BA8B5A0	
DEC 26 : 461205984.000000	230940144.000000	464041376.000000	
HEX 27 : 1B1AF880	1F1C11E0	18AA54C0	
DEC 27 : 454752384.000000	521933280.000000	413816000.000000	
HEX 28 : A240880	4D43718	16D403C0	
DEC 28 : 170133632.000000	81016600.000000	382993344.000000	
HEX 29 : 5943C40	168F4	9734170	
DEC 29 : 93600832.000000	92404.000000	158548336.000000	
HEX 30 : 1A0E2880	53EF3C0	5173440	
DEC 30 : 437135488.000000	88011712.000000	85406784.000000	
HEX 31 : 10AFFC40	D9A2DA0	AEC5D30	
DEC 31 : 279968832.000000	228208032.000000	183262512.000000	
HEX 32 : 7102000	76C59B0	1D30F6A0	
DEC 32 : 118497280.000000	124541360.000000	489748128.000000	
HEX 33 : 165E2E20	BA4D370	39EDBC4	
DEC 33 : 375270944.000000	195351408.000000	60742596.000000	
HEX 34 : 18BF000	17C26C20	1CCB82E0	
DEC 34 : 25948160.000000	398617632.000000	483099360.000000	
HEX 35 : 151F2880	7DB4230	1F73C1E0	
DEC 35 : 354363520.000000	131809840.000000	527679968.000000	
HEX 36 : 15A67B40	148B0F40	13801700	
DEC 36 : 363232064.000000	344657728.000000	327161600.000000	
HEX 37 : 18375960	D82B330	AE49E90	
DEC 37 : 406280544.000000	226669360.000000	182754960.000000	
HEX 38 : A4634B0	D2E69B0	15A4D000	
DEC 38 : 172373168.000000	221145520.000000	363122688.000000	
HEX 39 : 11152880	1C603DE	151174C0	
DEC 39 : 286599296.000000	29754334.000000	353465536.000000	
HEX 40 : 1C2D1F00	10558C80	49919E0	
DEC 40 : 472719104.000000	274041984.000000	77142496.000000	
HEX 41 : D672780	16EE1AA0	9BE4AD0	
DEC 41 : 224864128.000000	384703136.000000	163465936.000000	
HEX 42 : 1B40B000	1DAC7480	AE31440	
DEC 42 : 457224192.000000	497841280.000000	182654016.000000	
HEX 43 : 13F03780	6E70078	9280CB0	
DEC 43 : 334509952.000000	115802232.000000	153619632.000000	
HEX 44 : 95B3E20	193B3300	1F981960	
DEC 44 : 156974624.000000	423310080.000000	530061664.000000	
HEX 45 : E29E2D0	159E8	2A340F0	
DEC 45 : 237626064.000000	88552.000000	44253424.000000	
HEX 46 : E9A83C0	4E83A50	1D1AFC40	
