Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : 171DA6A0	7711358	1D1B72E0	
DEC 1 : 387819168.000000	124851032.000000	488338144.000000	
HEX 2 : 11FD75A0	16F861A0	1EA74000	
DEC 2 : 301823392.000000	385376672.000000	514277376.000000	
HEX 3 : 43C8788	2652D50	84D5A6	
DEC 3 : 71075720.000000	40185168.000000	8705446.000000	
HEX 4 : 2987788	1152A160	1C6385A0	
DEC 4 : 43546504.000000	290627936.000000	476284320.000000	
HEX 5 : 17399D20	EA8D320	1F3F8C40	
DEC 5 : 389651744.000000	245945120.000000	524258368.000000	
HEX 6 : F356970	D81F2C0	17A6078	
DEC 6 : 255158640.000000	226620096.000000	24797304.000000	
HEX 7 : 7170B48	1B4A8D40	51E4A58	
DEC 7 : 118950728.000000	457870656.000000	85871192.000000	
HEX 8 : 119C3960	B8371A0	1987AC40	
DEC 8 : 295450976.000000	193163680.000000	428321856.000000	
HEX 9 : 11B16E20	1A2D7A60	17D903C0	
DEC 9 : 296840736.000000	439188064.000000	400098240.000000	
HEX 10 : F3C9E20	212CB9	14E0E800	
DEC 10 : 255630880.000000	2174137.000000	350283776.000000	
HEX 11 : 30493C4	55A0770	18AF6E20	
DEC 11 : 50631620.000000	89786224.000000	414150176.000000	
HEX 12 : 57E7878	1EF130C0	1129AC40	
DEC 12 : 92174456.000000	519123136.000000	287943744.000000	
HEX 13 : BBEA690	9C61470	A785530	
DEC 13 : 197043856.000000	163976304.000000	175658288.000000	
HEX 14 : 2BCCE20	19749720	CB27690	
DEC 14 : 45927968.000000	427071264.000000	213022352.000000	
HEX 15 : B5C6F10	B0A49C0	12C2A160	
DEC 15 : 190607120.000000	185223616.000000	314745184.000000	
HEX 16 : 187E84C0	BB3C520	D9E3880	
DEC 16 : 410944704.000000	196330784.000000	228472960.000000	
HEX 17 : DD093C0	11D4E9C0	1B116E20	
DEC 17 : 231773120.000000	299166144.000000	454127136.000000	
HEX 18 : 117B5880	716F770	10DB8AE0	
DEC 18 : 293296256.000000	118945648.000000	282823392.000000	
HEX 19 : 15FAF4C0	151C3	1D6C8C40	
DEC 19 : 368768192.000000	86467.000000	493653056.000000	
HEX 20 : 12A0CA60	6E8C4C0	96B0BC0	
DEC 20 : 312527456.000000	115918016.000000	158010304.000000	
HEX 21 : 10011E20	1DB341A0	11689F00	
DEC 21 : 268508704.000000	498287008.000000	292069120.000000	
HEX 22 : 12BA0D20	DD10	E354350	
DEC 22 : 314182944.000000	56592.000000	238371664.000000	
HEX 23 : A90C970	1C949E00	176AD780	
DEC 23 : 177260912.000000	479501824.000000	392877952.000000	
HEX 24 : 3BA9C3C	1C132D40	1A8892E0	
DEC 24 : 62561340.000000	471018816.000000	445158112.000000	
HEX 25 : 2D1BF10	167B9	7CCA5A8	
DEC 25 : 47300368.000000	92089.000000	130852264.000000	
HEX 26 : 187E7880	167A8A40	3F55A5	
DEC 26 : 410941568.000000	377129536.000000	4150693.000000	
HEX 27 : 7B7EE20	10129900	1703AAE0	
DEC 27 : 129494560.000000	269654272.000000	386116320.000000	
HEX 28 : 16780B40	1CE852C0	39A652C	
DEC 28 : 376965952.000000	484987584.000000	60450092.000000	
HEX 29 : 16675A60	1EBD0EE0	1EF7B6A0	
DEC 29 : 375872096.000000	515706592.000000	519550624.000000	
HEX 30 : 9602970	10D33960	E5E6BC0	
DEC 30 : 157297008.000000	282278240.000000	241068992.000000	
HEX 31 : 17EAF960	13075220	AF2CBC0	
DEC 31 : 401275232.000000	319246880.000000	183684032.000000	
HEX 32 : 9AAFD30	25AD43C	5BBB258	
DEC 32 : 162200880.000000	39507004.000000	96186968.000000	
HEX 33 : E864B50	167B9	1C5F85A0	
DEC 33 : 243682128.000000	92089.000000	476022176.000000	
HEX 34 : D8A788	DA16B00	9D95970	
DEC 34 : 14198664.000000	228682496.000000	165239152.000000	
HEX 35 : BCBF880	2AA0AF4	CF2DF80	
DEC 35 : 197916800.000000	44698356.000000	217243520.000000	
HEX 36 : E8E14B0	140A98C0	13DB9260	
DEC 36 : 244192432.000000	336238784.000000	333156960.000000	
HEX 37 : 10B78100	162C9	6F3B348	
DEC 37 : 280461568.000000	90825.000000	116634440.000000	
HEX 38 : 11ED5780	EA8B930	FD063C0	
DEC 38 : 300767104.000000	245938480.000000	265315264.000000	
HEX 39 : 7C53A58	A7212F0	1C823D20	
DEC 39 : 130366040.000000	175248112.000000	478297376.000000	
HEX 40 : E80CF10	1CD7D4E0	4A4F000	
DEC 40 : 243322640.000000	483906784.000000	77918208.000000	
HEX 41 : 150B31E0	125FA160	19088B40	
DEC 41 : 353055200.000000	308257120.000000	419990336.000000	
HEX 42 : 9724690	F594350	5F611E0	
DEC 42 : 158484112.000000	257508176.000000	100012512.000000	
HEX 43 : DE45970	1D438DA0	1F308B40	
DEC 43 : 233068912.000000	490966432.000000	523275072.000000	
HEX 44 : C6BD0F0	62CA540	18685880	
DEC 44 : 208392432.000000	103589184.000000	409491584.000000	
HEX 45 : 45045A8	B5636A0	10206900	
DEC 45 : 72369576.000000	190199456.000000	270559488.000000	
HEX 46 : 187E72E0	1A8FDAC0	A771DA0	
DEC 46 : 410940128.000000	445635264.000000	175578528.000000	
HEX 47 : 9A6B690	189C57C0	106D7100	
DEC 47 : 161920656.000000	412899264.000000	275607808.000000	
HEX 48 : 8318970	148A2	178985A0	
DEC 48 : 137464176.000000	84130.000000	394888608.000000	
HEX 49 : 15E736A0	D1DD750	6B101E0	
DEC 49 : 367474336.000000	220059472.000000	112263648.000000	
HEX 50 : EA473C0	5FFF3B0	169D710	
DEC 50 : 245658560.000000	100660144.000000	23713552.000000	
HEX 51 : 1805D1E0	1AD6258	8F414B0	
DEC 51 : 403034592.000000	28140120.000000	150213808.000000	
HEX 52 : 39D8C3C	1618E	1DF40C40	
DEC 52 : 60656700.000000	90510.000000	502533184.000000	
HEX 53 : 4C182D0	6EF5A98	A08B3C0	
DEC 53 : 79790800.000000	116349592.000000	168342464.000000	
HEX 54 : 111501E0	197ED940	B405800	
DEC 54 : 286589408.000000	427743552.000000	188766208.000000	
