Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
HEX 1 : 76A5978	6B7A348	1C3943C0	
DEC 1 : 124410232.000000	112698184.000000	473514944.000000	
HEX 2 : 16EDCE	1DB1BC40	40B0A58	
DEC 2 : 1502670.000000	498187328.000000	67832408.000000	
HEX 3 : 5F6BA	18225AE0	F1D6350	
DEC 3 : 390842.000000	404904672.000000	253584208.000000	
HEX 4 : 16027DC0	C4464B0	151E15A0	
DEC 4 : 369262016.000000	205808816.000000	354293152.000000	
HEX 5 : 1000C4A0	F1460F0	118DDDA0	
DEC 5 : 268485792.000000	252993776.000000	294509984.000000	
HEX 6 : 15642600	3D72D2C	3CF0168	
DEC 6 : 358884864.000000	64433452.000000	63897960.000000	
HEX 7 : 3A405E8	F43C620	1FDAF88	
DEC 7 : 61081064.000000	256099872.000000	33402760.000000	
HEX 8 : 20E1CC8	126A4220	13920AE0	
DEC 8 : 34479304.000000	308953632.000000	328338144.000000	
HEX 9 : 1EFA7F00	1819E920	719C168	
DEC 9 : 519732992.000000	404351264.000000	119128424.000000	
HEX 10 : 16499900	19D13880	13AD9EA0	
DEC 10 : 373922048.000000	433141888.000000	330145440.000000	
HEX 11 : 745E528	800FC80	574C168	
DEC 11 : 122021160.000000	134282368.000000	91537768.000000	
HEX 12 : 6F3CDF8	1BF581A0	1C7F83C0	
DEC 12 : 116641272.000000	469074336.000000	478118848.000000	
HEX 13 : 1DD28540	E882530	869F8F0	
DEC 13 : 500335936.000000	243803440.000000	141162736.000000	
HEX 14 : 1BB34740	17D0AD20	E4B23C0	
DEC 14 : 464734016.000000	399551776.000000	239805376.000000	
HEX 15 : 1F4C4080	9A4A310	1B776100	
DEC 15 : 525090944.000000	161784592.000000	460808448.000000	
HEX 16 : E626EA0	1E5003C	1D453C4	
DEC 16 : 241331872.000000	31785020.000000	30692292.000000	
HEX 17 : 112FA680	19298000	E2DE3C0	
DEC 17 : 288335488.000000	422150144.000000	237888448.000000	
HEX 18 : 1F399BC0	EEC0A60	FCD19E0	
DEC 18 : 523869120.000000	250350176.000000	265099744.000000	
HEX 19 : 1B643C00	1CC8C78	1143DCC0	
DEC 19 : 459553792.000000	30182520.000000	289660096.000000	
HEX 20 : BAC0CA0	19A85D20	7A0A168	
DEC 20 : 195824800.000000	430464288.000000	127967592.000000	
HEX 21 : 192CB100	1CD0C960	1AF71960	
DEC 21 : 422359296.000000	483445088.000000	452401504.000000	
HEX 22 : 1366C460	F969000	27FE25C	
DEC 22 : 325502048.000000	261525504.000000	41935452.000000	
HEX 23 : 9F64260	173F9E2	97E2C40	
DEC 23 : 167133792.000000	24377826.000000	159263808.000000	
HEX 24 : C2A5320	169071A0	1D2396A0	
DEC 24 : 204100384.000000	378565024.000000	488871584.000000	
HEX 25 : D1FFF40	14A68B4	1052DB40	
DEC 25 : 220200768.000000	21653684.000000	273865536.000000	
HEX 26 : 18F9FB60	3F9B478	A734000	
DEC 26 : 419036000.000000	66696312.000000	175325184.000000	
HEX 27 : 11B08B00	1B433300	1FFC0F0	
DEC 27 : 296782592.000000	457388800.000000	33538288.000000	
HEX 28 : 5EED4	E96AC00	19BA6A60	
DEC 28 : 388820.000000	244755456.000000	431647328.000000	
HEX 29 : 10F7C0A0	1EEA6340	953C880	
DEC 29 : 284672160.000000	518677312.000000	156485760.000000	
HEX 30 : 5F874	1FCC1100	12FC1E20	
DEC 30 : 391284.000000	533467392.000000	318512672.000000	
HEX 31 : 167288C0	5995A20	1895DE20	
DEC 31 : 376604864.000000	93936160.000000	412474912.000000	
HEX 32 : E11FC90	9483040	1EB68D20	
DEC 32 : 236059792.000000	155725888.000000	515280160.000000	
HEX 33 : 812B2F0	1F4C0520	15D7D260	
DEC 33 : 135443184.000000	525075744.000000	366465632.000000	
HEX 34 : 6BF09D0	1F5896A0	7E414B8	
DEC 34 : 113183184.000000	525899424.000000	132388024.000000	
HEX 35 : E3F88C0	38E8298	19D38E20	
DEC 35 : 239044800.000000	59671192.000000	433294880.000000	
HEX 36 : 16DCF940	12596CC0	B975B50	
DEC 36 : 383580480.000000	307850432.000000	194468688.000000	
HEX 37 : 195C3D20	A759400	E421F10	
DEC 37 : 425475360.000000	175477760.000000	239214352.000000	
HEX 38 : 918BB30	152E4340	1533F5A0	
DEC 38 : 152615728.000000	355353408.000000	355726752.000000	
HEX 39 : F6416B0	1B548840	171691E0	
DEC 39 : 258217648.000000	458524736.000000	387355104.000000	
HEX 40 : 9ECAAB0	11A0D300	5665258	
DEC 40 : 166505136.000000	295752448.000000	90591832.000000	
HEX 41 : 1DC5E6C0	610AC40	4A225A8	
DEC 41 : 499508928.000000	101755968.000000	77735336.000000	
HEX 42 : 4992170	146846A0	1B30E780	
DEC 42 : 77144432.000000	342378144.000000	456189824.000000	
HEX 43 : 5F08F	1990DC80	1E374B40	
DEC 43 : 389263.000000	428924032.000000	506940224.000000	
HEX 44 : 19D759E0	ED40840	1B4A16A0	
DEC 44 : 433543648.000000	248776768.000000	457840288.000000	
HEX 45 : 5D2CF60	DBB79E0	1E73BB40	
DEC 45 : 97701728.000000	230390240.000000	510901056.000000	
HEX 46 : D949B10	1F6F8780	1D515000	
DEC 46 : 227842832.000000	527402880.000000	491868160.000000	
HEX 47 : AEDB18	31F01A4	140CE440	
DEC 47 : 11459352.000000	52363684.000000	336389184.000000	
HEX 48 : 44899F0	1842B7C0	73D92D0	
DEC 48 : 71866864.000000	407025600.000000	121475792.000000	
HEX 49 : AD5DA10	EC77440	18EE83C0	
