Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 15235000	BAB0350	14A4D5A0	
DEC 1 : 354635776.000000	195756880.000000	346346912.000000	
HEX 2 : 24F6F4C	168306E0	12B27900	
DEC 2 : 38760268.000000	377685728.000000	313686272.000000	
HEX 3 : 2490F1	41BD69	A725AD0	
DEC 3 : 2396401.000000	4308329.000000	175266512.000000	
HEX 4 : 92D6E60	1DB1ACC0	162BD520	
DEC 4 : 153972320.000000	498183360.000000	371971360.000000	
HEX 5 : B237CB0	2B09E20	CE24A60	
DEC 5 : 186875056.000000	45129248.000000	216156768.000000	
HEX 6 : 10A57C00	1DD8F100	12E99E2	
DEC 6 : 279280640.000000	500756736.000000	19831266.000000	
HEX 7 : 18A18440	302A34C	EF87350	
DEC 7 : 413238336.000000	50504524.000000	251163472.000000	
HEX 8 : 12616400	AD696	A419BC0	
DEC 8 : 308372480.000000	710294.000000	172071872.000000	
HEX 9 : 8ED24B0	F267C80	EA1788	
DEC 9 : 149759152.000000	254180480.000000	15341448.000000	
HEX 10 : 1EA1A780	D834F1	78E2258	
DEC 10 : 513910656.000000	14169329.000000	126755416.000000	
HEX 11 : 1C79E800	147A4560	5BD8D30	
DEC 11 : 477751296.000000	343557472.000000	96308528.000000	
HEX 12 : E531E20	1872E080	1B0285A0	
DEC 12 : 240328224.000000	410181760.000000	453150112.000000	
HEX 13 : 1C7DB620	A92D3C0	15D681E0	
DEC 13 : 478000672.000000	177394624.000000	366379488.000000	
HEX 14 : A902A20	1208C0C0	1E38B1E0	
DEC 14 : 177220128.000000	302563520.000000	507032032.000000	
HEX 15 : 53F1AD0	4C238F0	739AF88	
DEC 15 : 88021712.000000	79837424.000000	121221000.000000	
HEX 16 : 1BF85000	138BEAE0	1C2CB960	
DEC 16 : 469258240.000000	327936736.000000	472693088.000000	
HEX 17 : D28CF1	2722B4C	1752A3C0	
DEC 17 : 13798641.000000	41036620.000000	391291840.000000	
HEX 18 : 1BB24E20	1B9E07C0	B8B9260	
DEC 18 : 464670240.000000	463341504.000000	193696352.000000	
HEX 19 : 14001340	16864CC0	158A21E0	
DEC 19 : 335549248.000000	377900224.000000	361374176.000000	
HEX 20 : AF12170	A5BA4B0	1BFE8780	
DEC 20 : 183574896.000000	173778096.000000	469665664.000000	
HEX 21 : 1C0031A0	77C0B48	9F05A60	
DEC 21 : 469774752.000000	125569864.000000	166746720.000000	
HEX 22 : 539DB88	5948620	1EFB0100	
DEC 22 : 87677832.000000	93619744.000000	519766272.000000	
HEX 23 : 1B23FC40	122FDF80	148A5C40	
DEC 23 : 455343168.000000	305127296.000000	344611904.000000	
HEX 24 : D587710	1B3D59A0	811BBC0	
DEC 24 : 223901456.000000	457005472.000000	135379904.000000	
HEX 25 : 15569000	1EA9F160	10679160	
DEC 25 : 357994496.000000	514453856.000000	275222880.000000	
HEX 26 : BF0B530	2C9F388	1BFCE880	
