Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 95AD780	1B3B5620	D73A620	
DEC 1 : 156948352.000000	456873504.000000	225682976.000000	
HEX 2 : 1342BB40	1AF66CC0	69DFC40	
DEC 2 : 323140416.000000	452357312.000000	111017024.000000	
HEX 3 : 17AE3E20	4D91800	13C0D260	
DEC 3 : 397295136.000000	81336320.000000	331403872.000000	
HEX 4 : 1FC5C340	196FF700	142843C	
DEC 4 : 533054272.000000	426768128.000000	21136444.000000	
HEX 5 : 10B07EA0	19888DE0	D8C4F80	
DEC 5 : 280002208.000000	428379616.000000	227299200.000000	
HEX 6 : 1F440440	2081DE0	82A7AD0	
DEC 6 : 524551232.000000	34086368.000000	137001680.000000	
HEX 7 : 194B4B4	2E21800	EF2CB5	
DEC 7 : 26522804.000000	48371712.000000	15674549.000000	
HEX 8 : 1F377EA0	1E2302E0	107A3C40	
DEC 8 : 523730592.000000	505610976.000000	276446272.000000	
HEX 9 : 2B40BC4	10EB4D00	91CB8F0	
DEC 9 : 45353924.000000	283856128.000000	152877296.000000	
HEX 10 : 3DA8BC4	8E8D690	164692E0	
DEC 10 : 64654276.000000	149477008.000000	373723872.000000	
HEX 11 : E0C9CB0	4825A98	3D6000	
DEC 11 : 235707568.000000	75651736.000000	4022272.000000	
HEX 12 : 1840A2E0	19108220	14F3BC4	
DEC 12 : 406889184.000000	420512288.000000	21969860.000000	
HEX 13 : 1637FDA0	1966AF80	1A78A1E0	
DEC 13 : 372768160.000000	426160000.000000	444113376.000000	
HEX 14 : 2848710	6DEB1E0	1D663D20	
DEC 14 : 42239760.000000	115257824.000000	493239584.000000	
HEX 15 : 161A0520	F9D42D0	10A77620	
DEC 15 : 370804000.000000	261964496.000000	279410208.000000	
HEX 16 : 6AE9E20	2EAE5A4	8DC5DA0	
DEC 16 : 112107040.000000	48948644.000000	148659616.000000	
HEX 17 : 8D1ED30	10140D00	15B85900	
DEC 17 : 147975472.000000	269749504.000000	364402944.000000	
HEX 18 : 1ECD6960	3C97698	118D3A60	
DEC 18 : 516778336.000000	63534744.000000	294468192.000000	
HEX 19 : 7CE08F0	1B5885A0	1A26BF00	
DEC 19 : 130943216.000000	458786208.000000	438746880.000000	
HEX 20 : 19589520	1C1F2A20	C17E080	
DEC 20 : 425235744.000000	471804448.000000	202891392.000000	
HEX 21 : 16918C40	118CD380	439C710	
DEC 21 : 378637376.000000	294441856.000000	70895376.000000	
HEX 22 : 1266E520	90F2660	106C2E20	
DEC 22 : 308733216.000000	151987808.000000	275525152.000000	
HEX 23 : 1FECB160	1C7EE620	8732710	
DEC 23 : 535605600.000000	478078496.000000	141764368.000000	
