Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 11204E20	DA85750	B4A9970	
DEC 1 : 287329824.000000	229136208.000000	189438320.000000	
HEX 2 : F714B5	10751DA0	1510E880	
DEC 2 : 16192693.000000	276110752.000000	353429632.000000	
HEX 3 : 9E0169	99FC710	6BD5530	
DEC 3 : 10355049.000000	161466128.000000	113071408.000000	
HEX 4 : 13445440	1CF4F800	1A87BA60	
DEC 4 : 323245120.000000	485816320.000000	445102688.000000	
HEX 5 : 1F363780	1BA5FD00	AAE2710	
DEC 5 : 523646848.000000	463863040.000000	179185424.000000	
HEX 6 : 7BE21E0	DB1C310	18818A60	
DEC 6 : 129901024.000000	229753616.000000	411142752.000000	
HEX 7 : 14270DA0	49C21E	7A02D3	
DEC 7 : 338103712.000000	4833822.000000	7996115.000000	
HEX 8 : 14BF3CC0	85E19A0	1A2B8D20	
DEC 8 : 348077248.000000	140384672.000000	439061792.000000	
HEX 9 : 1BFFE880	B5C9F50	73A0168	
DEC 9 : 469756032.000000	190619472.000000	121241960.000000	
HEX 10 : DBDD4B0	C2B6B10	28999E0	
DEC 10 : 230544560.000000	204172048.000000	42572256.000000	
HEX 11 : 70905A8	156FD160	149C7F00	
DEC 11 : 118031784.000000	359649632.000000	345800448.000000	
HEX 12 : 5AC1F88	1CD36700	141FCEA0	
DEC 12 : 95166344.000000	483616512.000000	337628832.000000	
HEX 13 : F5BDAD0	DBC9DE0	1C21F880	
DEC 13 : 257678032.000000	230464992.000000	471988352.000000	
HEX 14 : 1C293A60	138E8DA0	13255E20	
DEC 14 : 472463968.000000	328109472.000000	321216032.000000	
HEX 15 : 17F996A0	180A8EE0	1E9CD1E0	
DEC 15 : 402232992.000000	403345120.000000	513593824.000000	
HEX 16 : 186F1960	19ACBDA0	15919520	
DEC 16 : 409934176.000000	430751136.000000	361862432.000000	
HEX 17 : 28B2F10	4FDA388	1203F88	
DEC 17 : 42675984.000000	83731336.000000	18890632.000000	
HEX 18 : 79605A8	A0E1D70	117ACA60	
DEC 18 : 127272360.000000	168697200.000000	293259872.000000	
HEX 19 : 18C712E0	17BCDE2	17DE4780	
DEC 19 : 415699680.000000	24890850.000000	400443264.000000	
HEX 20 : 97B94B0	19986D20	8FC8970	
DEC 20 : 159093936.000000	429419808.000000	150767984.000000	
HEX 21 : C3533C0	12B4F400	DF03970	
DEC 21 : 204813248.000000	313848832.000000	233847152.000000	
HEX 22 : BBCD800	124D6F40	66B35A8	
DEC 22 : 196925440.000000	307064640.000000	107689384.000000	
HEX 23 : 179C0880	101CBDE0	E3AC8F0	
DEC 23 : 396101760.000000	270319072.000000	238733552.000000	
HEX 24 : EB06080	24DC1A4	12FBBF80	
DEC 24 : 246440064.000000	38650276.000000	318488448.000000	
HEX 25 : C8C4970	1AF08080	17CBAA60	
DEC 25 : 210520432.000000	451969152.000000	399223392.000000	
HEX 26 : 153B8780	6073000	130602E0	
DEC 26 : 356222848.000000	101134336.000000	319161056.000000	
HEX 27 : 281FCB4	DEF969	189CD3C0	
DEC 27 : 42073268.000000	14612841.000000	412931008.000000	
HEX 28 : 1894A960	5B742D0	C496530	
DEC 28 : 412395872.000000	95896272.000000	206136624.000000	
HEX 29 : 11409340	85CF4B	19D612E0	
DEC 29 : 289444672.000000	8769355.000000	433459936.000000	
HEX 30 : 18A1A4C0	1927DD60	5897E98	
DEC 30 : 413246656.000000	422042976.000000	92896920.000000	
HEX 31 : 1456D520	E97C1E0	14D6DF80	
DEC 31 : 341234976.000000	244826592.000000	349626240.000000	
HEX 32 : 6494F10	DD43F80	3BE9E98	
DEC 32 : 105467664.000000	232013696.000000	62824088.000000	
HEX 33 : 14E1E520	C3A8880	4EC99E0	
DEC 33 : 350348576.000000	205162624.000000	82614752.000000	
HEX 34 : CC7D1E0	4E70E58	C2DEA60	
DEC 34 : 214421984.000000	82251352.000000	204335712.000000	
HEX 35 : B2659E0	14EF9C80	1C1E9000	
DEC 35 : 187062752.000000	351247488.000000	471764992.000000	
HEX 36 : 13659880	12B24780	15DF000	
DEC 36 : 325425280.000000	313673600.000000	22933504.000000	
HEX 37 : 12F53000	15713D60	192A6A60	
DEC 37 : 318058496.000000	359742816.000000	422210144.000000	
HEX 38 : C5F14B0	19D68560	10596880	
DEC 38 : 207557808.000000	433489248.000000	274294912.000000	
HEX 39 : 9E89880	BE63310	A0ED260	
DEC 39 : 166238336.000000	199635728.000000	168743520.000000	
HEX 40 : F822000	18745C40	4449078	
DEC 40 : 260186112.000000	410278976.000000	71602296.000000	
HEX 41 : 13CCAD20	14A7B620	927AE90	
DEC 41 : 332180768.000000	346535456.000000	153595536.000000	
HEX 42 : 1273B6A0	1B7A6E20	C0D4A60	
DEC 42 : 309573280.000000	461008416.000000	202197600.000000	
HEX 43 : 507AD30	108BBAA0	EA55E20	
DEC 43 : 84389168.000000	277592736.000000	245718560.000000	
HEX 44 : BA7FF10	74F6BC0	17B822E0	
DEC 44 : 195559184.000000	122645440.000000	397943520.000000	
HEX 45 : 1B780C40	31391A4	5DA89E0	
DEC 45 : 460852288.000000	51614116.000000	98208224.000000	
HEX 46 : 3335000	17D60C00	E33F970	
DEC 46 : 53694464.000000	399903744.000000	238287216.000000	
HEX 47 : 1E64E960	CD8ECF0	E3572D0	
DEC 47 : 509929824.000000	215543024.000000	238383824.000000	
HEX 48 : 4828BC0	1429D800	769C3C0	
DEC 48 : 75664320.000000	338286592.000000	124371904.000000	
HEX 49 : A264E20	62013C0	53B3800	
DEC 49 : 170282528.000000	102765504.000000	87767040.000000	
HEX 50 : 9C32780	14CFC3	1A779780	
DEC 50 : 163784576.000000	1363907.000000	444045184.000000	
HEX 51 : 1E85AB40	1B433560	1A0FD6A0	
DEC 51 : 512076608.000000	457389408.000000	437245600.000000	
HEX 52 : 5E8E348	4014400	1F9C46A0	
DEC 52 : 99148616.000000	67191808.000000	530335392.000000	
HEX 53 : 1D221D20	12A9FF40	998D780	
DEC 53 : 488774944.000000	313130816.000000	161011584.000000	
HEX 54 : 1B6282E0	D31C480	1718C5A0	
DEC 54 : 459440864.000000	221365376.000000	387499424.000000	
HEX 55 : 71D8000	2AE2D68	12EC4440	
DEC 55 : 119373824.000000	44969320.000000	317473856.000000	
HEX 56 : 12C583C0	1E18CA60	131AA440	
DEC 56 : 314934208.000000	504941152.000000	320513088.000000	
HEX 57 : 18DF6A60	182ED5A0	E32CCB0	
DEC 57 : 417294944.000000	405722528.000000	238210224.000000	
HEX 58 : 1A520100	1F8A65A0	EE0A0F0	
DEC 58 : 441581824.000000	529163680.000000	249602288.000000	
HEX 59 : 12658160	156AE960	114679E0	
DEC 59 : 308642144.000000	359328096.000000	289831392.000000	
