Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 24F9B4C	E743DA0	19C486A0	
DEC 1 : 38771532.000000	242498976.000000	432309920.000000	
HEX 2 : 1DB625A0	99226D0	1A1C6D20	
DEC 2 : 498476448.000000	160573136.000000	438070560.000000	
HEX 3 : AE8E000	1C8F7DA0	1CFA3960	
DEC 3 : 183033856.000000	479165856.000000	486160736.000000	
HEX 4 : 140265A0	117550C0	83A7B50	
DEC 4 : 335701408.000000	292901056.000000	138050384.000000	
HEX 5 : A5E5D30	1D622800	87FE080	
DEC 5 : 173956400.000000	492972032.000000	142598272.000000	
HEX 6 : 1F63BB40	D25E130	10865900	
DEC 6 : 526629696.000000	220586288.000000	277240064.000000	
HEX 7 : CCA697	122032E0	30AE2D4	
DEC 7 : 13411991.000000	304100064.000000	51045076.000000	
HEX 8 : 7C0B2D0	BF9BA20	D3FB1E0	
DEC 8 : 130069200.000000	200915488.000000	222278112.000000	
HEX 9 : D02A780	1717BB80	550B168	
DEC 9 : 218277760.000000	387431296.000000	89174376.000000	
HEX 10 : 1BB361E0	ECE3E60	A2C7880	
DEC 10 : 464740832.000000	248397408.000000	170686592.000000	
HEX 11 : 1C99CD20	6D55168	D849D30	
DEC 11 : 479841568.000000	114643304.000000	226794800.000000	
HEX 12 : 51C6A58	787C8F0	1AB95960	
DEC 12 : 85748312.000000	126339312.000000	448354656.000000	
HEX 13 : 18493100	1DF009E0	1E1543C0	
DEC 13 : 407449856.000000	502270432.000000	504710080.000000	
HEX 14 : 9389A60	F1E6260	1CAEE3C0	
DEC 14 : 154704480.000000	253649504.000000	481223616.000000	
HEX 15 : 101116A0	F045E2	CFEDD30	
DEC 15 : 269555360.000000	15746530.000000	218029360.000000	
HEX 16 : E2B000	1AFDE96	15D94620	
DEC 16 : 14856192.000000	28302998.000000	366560800.000000	
HEX 17 : 502F2D0	1FC50A60	E3ADE90	
DEC 17 : 84079312.000000	533006944.000000	238739088.000000	
HEX 18 : 151D04C0	3B25CB4	1B8F4B40	
DEC 18 : 354223296.000000	62020788.000000	462375744.000000	
HEX 19 : 1171B4C	7683040	3560000	
DEC 19 : 18291532.000000	124268608.000000	55967744.000000	
HEX 20 : 89E42D0	222265C	155A1620	
DEC 20 : 144589520.000000	35792476.000000	358225440.000000	
HEX 21 : 11E382E0	EB49D70	EE87690	
DEC 21 : 300122848.000000	246717808.000000	250115728.000000	
HEX 22 : 4E241E0	16BD67C0	1D97CA60	
DEC 22 : 81936864.000000	381511616.000000	496487008.000000	
HEX 23 : 27E1A5C	16065C80	16637080	
DEC 23 : 41818716.000000	369515648.000000	375615616.000000	
HEX 24 : 14FAC960	1FB615A0	177DD000	
DEC 24 : 351979872.000000	532026784.000000	394121216.000000	
HEX 25 : 11497E20	1835BB80	B691E20	
DEC 25 : 290029088.000000	406174592.000000	191438368.000000	
HEX 26 : 1825D6A0	1940BEA0	15449100	
DEC 26 : 405132960.000000	423673504.000000	356815104.000000	
HEX 27 : 1EE23C40	3513B4C	1E232100	
DEC 27 : 518143040.000000	55655244.000000	505618688.000000	
HEX 28 : 16D6E100	11A6CFC0	17DF72E0	
DEC 28 : 383181056.000000	296144832.000000	400519904.000000	
HEX 29 : C7CCE20	886D380	130FB520	
DEC 29 : 209505824.000000	143053696.000000	319796512.000000	
HEX 30 : 10DCBD20	255F6D4	14FD3080	
DEC 30 : 282901792.000000	39188180.000000	352137344.000000	
HEX 31 : 1225BF00	38DE1A4	5D285A8	
DEC 31 : 304463616.000000	59629988.000000	97682856.000000	
HEX 32 : DE84690	1D2666A0	15F0BD20	
DEC 32 : 233326224.000000	489055904.000000	368098592.000000	
HEX 33 : 1CCAA4C0	9BB8E90	B6DA5A	
DEC 33 : 483042496.000000	163286672.000000	11983450.000000	
HEX 34 : A6C8A60	165ED2A0	17C6B960	
DEC 34 : 174885472.000000	375313056.000000	398899552.000000	
HEX 35 : 66A9F10	1C391FC0	BCA1E2	
DEC 35 : 107650832.000000	473505728.000000	12362210.000000	
HEX 36 : 1CA4AE20	17DDDD20	1B98D6A0	
DEC 36 : 480554528.000000	400416032.000000	463001248.000000	
HEX 37 : 11BBDA60	1F783160	920FAD0	
DEC 37 : 297523808.000000	527970656.000000	153156304.000000	
HEX 38 : 8C941E0	19517840	1076C3C0	
DEC 38 : 147407328.000000	424769600.000000	276218816.000000	
HEX 39 : 19DA5C40	5947CB8	15063440	
DEC 39 : 433740864.000000	93617336.000000	352728128.000000	
HEX 40 : 1579A100	128515A0	1FE444C0	
DEC 40 : 360292608.000000	310711712.000000	535053504.000000	
HEX 41 : 1C49FE20	3CEC310	5A1DF10	
DEC 41 : 474611232.000000	63882000.000000	94494480.000000	
HEX 42 : 145B4100	17781A60	3B51168	
DEC 42 : 341524736.000000	393747040.000000	62198120.000000	
HEX 43 : 4FF3968	178E5EA0	72594B8	
DEC 43 : 83835240.000000	395206304.000000	119903416.000000	
HEX 44 : 6DE9F10	78921E	1CAA0100	
DEC 44 : 115253008.000000	7901726.000000	480903424.000000	
HEX 45 : 55E0968	2C36A5C	7706348	
DEC 45 : 90048872.000000	46361180.000000	124805960.000000	
HEX 46 : 93655A0	45C6298	DB66530	
DEC 46 : 154555808.000000	73163416.000000	230057264.000000	
HEX 47 : 54741E0	CF771A0	634FD30	
DEC 47 : 88556000.000000	217543072.000000	104135984.000000	
HEX 48 : 1D7724C0	1D062C40	14555A6	
DEC 48 : 494347456.000000	486943808.000000	21321126.000000	
HEX 49 : E4BAF10	145B1440	1E8EC2E0	
DEC 49 : 239841040.000000	341513280.000000	512672480.000000	
HEX 50 : 1CA68F00	1CAE4EA0	FC20710	
DEC 50 : 480677632.000000	481185440.000000	264374032.000000	
HEX 51 : 1DF97A60	7B5969	115234C0	
DEC 51 : 502889056.000000	8083817.000000	290600128.000000	
HEX 52 : 186932E0	15158AA0	E7D6710	
DEC 52 : 409547488.000000	353733280.000000	243099408.000000	
HEX 53 : B645A60	FF4C480	1280AA60	
DEC 53 : 191126112.000000	267699328.000000	310422112.000000	
HEX 54 : 1305B000	9497660	16F83EA0	
DEC 54 : 319139840.000000	155809376.000000	385367712.000000	
HEX 55 : 259CF10	15A6F880	E210F10	
DEC 55 : 39440144.000000	363264128.000000	237047568.000000	
HEX 56 : 1478DC40	1DC5F2E0	1033C5A0	
DEC 56 : 343465024.000000	499512032.000000	271828384.000000	
HEX 57 : 42221E0	82B00B0	12A48B40	
DEC 57 : 69345760.000000	137035952.000000	312773440.000000	
HEX 58 : 1B099100	154BE780	66A7CB8	
DEC 58 : 453611776.000000	357296000.000000	107642040.000000	
HEX 59 : 3DDC788	FB812D0	12829520	
DEC 59 : 64866184.000000	263721680.000000	310547744.000000	
HEX 60 : F320A60	1D5B51E0	1C12000	
