Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 5F6BA	1849B620	1D2A6A60	
DEC 1 : 390842.000000	407483936.000000	489319008.000000	
HEX 2 : 5F6BA	CD1C690	8784530	
DEC 2 : 390842.000000	215074448.000000	142099760.000000	
HEX 3 : D85B240	19834000	1C6E11E0	
DEC 3 : 226865728.000000	428032000.000000	476975584.000000	
HEX 4 : 1FB6D5A0	18AFACC0	6E098F0	
DEC 4 : 532075936.000000	414166208.000000	115382512.000000	
HEX 5 : C9ED2D0	A8B43C	35E10F0	
DEC 5 : 211735248.000000	11056188.000000	56496368.000000	
HEX 6 : 19545D20	6259AD0	9ECEA60	
DEC 6 : 424959264.000000	103127760.000000	166521440.000000	
HEX 7 : 11C7B320	F17AF80	8AEDBC0	
DEC 7 : 298300192.000000	253210496.000000	145677248.000000	
HEX 8 : 165E2880	179CD160	1A2B31E0	
DEC 8 : 375269504.000000	396153184.000000	439038432.000000	
HEX 9 : EF66E50	1B6B2D20	86D5170	
DEC 9 : 251031120.000000	460008736.000000	141382000.000000	
HEX 10 : 14168AA0	16130000	7106788	
DEC 10 : 337021600.000000	370343936.000000	118515592.000000	
HEX 11 : 5F7B6	1E19F5A0	3AE9698	
DEC 11 : 391094.000000	505017760.000000	61773464.000000	
HEX 12 : 64F64A	227800	1A7F61E0	
DEC 12 : 6616650.000000	2258944.000000	444555744.000000	
HEX 13 : 15CA8C80	1536DA6	3C2C000	
DEC 13 : 365595776.000000	22244774.000000	63094784.000000	
HEX 14 : 19401B00	1A127080	1392AF00	
DEC 14 : 423631616.000000	437416064.000000	328380160.000000	
HEX 15 : 16028960	B255970	F4CC260	
DEC 15 : 369264992.000000	186997104.000000	256688736.000000	
HEX 16 : 1E13A140	12B81BC0	B2AE0F0	
DEC 16 : 504602944.000000	314055616.000000	187359472.000000	
HEX 17 : EAFB340	2CFD078	169E5080	
DEC 17 : 246395712.000000	47173752.000000	379474048.000000	
HEX 18 : 5F6BA	1FC67900	13E80B40	
DEC 18 : 390842.000000	533100800.000000	333974336.000000	
HEX 19 : 5DE6380	1EDE4620	1F376000	
DEC 19 : 98460544.000000	517883424.000000	523722752.000000	
HEX 20 : 68B41	1151AF80	1A509F00	
DEC 20 : 428865.000000	290566016.000000	441491200.000000	
HEX 21 : 141D5B00	1D3C4520	DAF4F10	
DEC 21 : 337468160.000000	490489120.000000	229592848.000000	
HEX 22 : 1B11EA6	50FD258	7BBFDA8	
DEC 22 : 28384934.000000	84922968.000000	129760680.000000	
HEX 23 : 7952540	1991EBC0	D6D2800	
DEC 23 : 127214912.000000	428993472.000000	225257472.000000	
HEX 24 : B654080	BB75260	ACFAA60	
DEC 24 : 191185024.000000	196563552.000000	181381728.000000	
HEX 25 : 19FE4280	1170FA60	1C819D20	
DEC 25 : 436093568.000000	292616800.000000	478256416.000000	
HEX 26 : 1DF38120	1F95FE20	11868F80	
DEC 26 : 502497568.000000	529923616.000000	294031232.000000	
HEX 27 : 19E37E	910FF10	18F525A	
DEC 27 : 1696638.000000	152108816.000000	26169946.000000	
HEX 28 : 1FFAFD00	1855F960	10AD7440	
DEC 28 : 536542464.000000	408287584.000000	279802944.000000	
HEX 29 : DD3E200	BB79170	33C42D4	
DEC 29 : 231989760.000000	196579696.000000	54280916.000000	
HEX 30 : CBC28E0	146EA780	6B80CB8	
DEC 30 : 213657824.000000	342796160.000000	112725176.000000	
HEX 31 : 5FAAC	12840AE0	D64C170	
DEC 31 : 391852.000000	310643424.000000	224706928.000000	
HEX 32 : 6C73C78	37BDC3C	1CAF6780	
DEC 32 : 113720440.000000	58448956.000000	481257344.000000	
HEX 33 : E9B155	199C4260	9E6A4B0	
DEC 33 : 15315285.000000	429671008.000000	166110384.000000	
HEX 34 : 15AED6C0	F401710	23F0878	
DEC 34 : 363779776.000000	255858448.000000	37685368.000000	
HEX 35 : 1BF7A280	1829A080	1F4416A0	
DEC 35 : 469213824.000000	405381248.000000	524555936.000000	
HEX 36 : 11CBDC00	19CC1960	149954C0	
DEC 36 : 298572800.000000	432806240.000000	345593024.000000	
HEX 37 : 5E5F3	62E14B8	EFDA2D0	
DEC 37 : 386547.000000	103683256.000000	251503312.000000	
HEX 38 : 5F4FF	13D2DEA0	31F4E20	
DEC 38 : 390399.000000	332586656.000000	52383264.000000	
HEX 39 : 5D55F68	3690620	19E652E	
DEC 39 : 97869672.000000	57214496.000000	27157806.000000	
HEX 40 : 10608E40	1C82E4C0	11CE43C	
DEC 40 : 274763328.000000	478340288.000000	18670652.000000	
HEX 41 : E6D77E0	80CA970	1C0572E0	
DEC 41 : 242055136.000000	135047536.000000	470119136.000000	
HEX 42 : 61B7C50	1BEA1E2	EFFD690	
DEC 42 : 102464592.000000	29270498.000000	251647632.000000	
HEX 43 : 18613C80	8387E20	231E3C4	
DEC 43 : 409025664.000000	137920032.000000	36824004.000000	
HEX 44 : 1F3090C0	A6502D0	58715A8	
DEC 44 : 523276480.000000	174392016.000000	92738984.000000	
HEX 45 : 11E88580	4C49710	F06D970	
DEC 45 : 300451200.000000	79992592.000000	252107120.000000	
HEX 46 : 784ED60	1BECFD20	6467AD0	
DEC 46 : 126152032.000000	468516128.000000	105282256.000000	
HEX 47 : 127229E0	1273F520	162006A0	
DEC 47 : 309471712.000000	309589280.000000	371197600.000000	
HEX 48 : 5B7D6C8	11DCB1E0	7A3EC40	
DEC 48 : 95934152.000000	299676128.000000	128183360.000000	
HEX 49 : 4BA1D50	C0489E0	E4B54B0	
DEC 49 : 79306064.000000	201624032.000000	239817904.000000	
HEX 50 : ACF0380	17165520	13E0CB40	
DEC 50 : 181339008.000000	387339552.000000	333499200.000000	
HEX 51 : AE17950	E41E970	16196F00	
DEC 51 : 182548816.000000	239200624.000000	370765568.000000	
HEX 52 : 41E3F30	5AE3258	154A0F00	
DEC 52 : 69091120.000000	95302232.000000	357175040.000000	
HEX 53 : 16640580	15082D2	14F1C2E0	
DEC 53 : 375653760.000000	22053586.000000	351388384.000000	
HEX 54 : 49BB1F8	12D44340	1488E000	
DEC 54 : 77312504.000000	315900736.000000	344514560.000000	
HEX 55 : 101491E0	1677B880	DFD5000	
DEC 55 : 269783520.000000	376944768.000000	234704896.000000	
HEX 56 : 11F4C620	71C9F88	787B8F0	
DEC 56 : 301254176.000000	119316360.000000	126335216.000000	
HEX 57 : 8F84290	123C94C0	E6BC2D0	
DEC 57 : 150487696.000000	305960128.000000	241943248.000000	
HEX 58 : DB35950	11FF84C0	1BFE7C40	
DEC 58 : 229857616.000000	301958336.000000	469662784.000000	
HEX 59 : 13C0BDC0	D596260	1B810E20	
DEC 59 : 331398592.000000	223961696.000000	461442592.000000	
HEX 60 : 1B588B80	1430D000	2B4BE98	
DEC 60 : 458787712.000000	338743296.000000	45399704.000000	
HEX 61 : FB1E930	F330DA0	FEACBC0	
DEC 61 : 263317808.000000	255004064.000000	267045824.000000	
HEX 62 : 10E475A0	9D7A170	151219E0	
DEC 62 : 283407776.000000	165126512.000000	353507808.000000	
HEX 63 : 1F819440	12FEAC40	16B7F900	
DEC 63 : 528585792.000000	318680128.000000	381155584.000000	
HEX 64 : 8914370	15645100	831169	
DEC 64 : 143737712.000000	358895872.000000	8589673.000000	
HEX 65 : 1931D620	F8365A0	148ADCC0	
DEC 65 : 422696480.000000	260269472.000000	344644800.000000	
HEX 66 : 13B5CB4	18C7FF00	1164BF00	
DEC 66 : 20667572.000000	415760128.000000	291815168.000000	
HEX 67 : 6BF8BD8	A007690	5241530	
DEC 67 : 113216472.000000	167802512.000000	86250800.000000	
HEX 68 : D15C5C0	1DD19520	10518000	
DEC 68 : 219530688.000000	500274464.000000	273776640.000000	
HEX 69 : 14E84080	1EC1C1E0	1C1E4B40	
DEC 69 : 350765184.000000	516014560.000000	471747392.000000	
HEX 70 : 6ACB078	1135DF80	1E957D20	
DEC 70 : 111980664.000000	288743296.000000	513113376.000000	
HEX 71 : 1CBB7D20	4AB03C0	116EF800	
DEC 71 : 482049312.000000	78316480.000000	292485120.000000	
HEX 72 : 508FE30	19ECC440	17CA55A0	
DEC 72 : 84475440.000000	434947136.000000	399136160.000000	
HEX 73 : 16AD34C0	12D931E0	E4779E0	
DEC 73 : 380449984.000000	316223968.000000	239565280.000000	
HEX 74 : DFAE950	1F8EDC40	1796D2E0	
DEC 74 : 234547536.000000	529456192.000000	395760352.000000	
