Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : F7C61E0	159F3880	15456780	
DEC 1 : 259809760.000000	362756224.000000	356870016.000000	
HEX 2 : 14CD92E	12FE2340	1E07FD20	
DEC 2 : 21813550.000000	318645056.000000	503840032.000000	
HEX 3 : 1632B6A0	D65B9E0	394B788	
DEC 3 : 372422304.000000	224770528.000000	60077960.000000	
HEX 4 : 1B333A20	AD6FC40	9069880	
DEC 4 : 456342048.000000	181861440.000000	151427200.000000	
HEX 5 : AD35290	A2B0BC0	1EDC3100	
DEC 5 : 181621392.000000	170593216.000000	517746944.000000	
HEX 6 : 16943440	1342D2E0	145E8080	
DEC 6 : 378811456.000000	323146464.000000	341737600.000000	
HEX 7 : 117EEC00	1F1ECC40	140EDA60	
DEC 7 : 293530624.000000	522112064.000000	336517728.000000	
HEX 8 : 16F96D2	4F63968	B0BFA60	
DEC 8 : 24090322.000000	83245416.000000	185334368.000000	
HEX 9 : AB18A60	50E22D0	124F79E0	
DEC 9 : 179407456.000000	84812496.000000	307198432.000000	
HEX 10 : 1F0EF900	F0DF260	18A9A5A0	
DEC 10 : 521074944.000000	252572256.000000	413771168.000000	
HEX 11 : D0BCB10	12018440	1B7023C0	
DEC 11 : 218876688.000000	302089280.000000	460334016.000000	
HEX 12 : 5D049A8	1AB9A800	ACAFA60	
DEC 12 : 97536424.000000	448374784.000000	181074528.000000	
HEX 13 : 1AC18780	131109E0	5864698	
DEC 13 : 448890752.000000	319883744.000000	92685976.000000	
HEX 14 : 18EADE60	AD30440	15F592E0	
DEC 14 : 418045536.000000	181601344.000000	368415456.000000	
HEX 15 : C441E60	1C1D82E0	F82A440	
DEC 15 : 205790816.000000	471696096.000000	260219968.000000	
HEX 16 : 1C6445A0	14C3E96	10702620	
DEC 16 : 476333472.000000	21773974.000000	275785248.000000	
HEX 17 : 13AF7840	1494C520	1DE91780	
DEC 17 : 330266688.000000	345294112.000000	501815168.000000	
HEX 18 : C07F800	397543C	4297D30	
DEC 18 : 201848832.000000	60249148.000000	69827888.000000	
HEX 19 : 1495FA20	14F495A0	1A5043C	
DEC 19 : 345373216.000000	351573408.000000	27591740.000000	
HEX 20 : 101FDE2	56843C0	1FA6A780	
DEC 20 : 16907746.000000	90719168.000000	531015552.000000	
HEX 21 : 1A329EA0	19DCDF00	14413620	
DEC 21 : 439525024.000000	433905408.000000	339818016.000000	
HEX 22 : 303043C	10AC23C0	10791080	
DEC 22 : 50529340.000000	279716800.000000	276369536.000000	
HEX 23 : 293112C	111A03C0	28A2AD4	
DEC 23 : 43192620.000000	286917568.000000	42609364.000000	
HEX 24 : C0DC0B0	FCB31E0	9B97F80	
DEC 24 : 202227888.000000	264974816.000000	163151744.000000	
HEX 25 : 18883AA0	DC4E800	1CE0CF00	
DEC 25 : 411581088.000000	231008256.000000	484495104.000000	
HEX 26 : 578D8B8	13659A60	91969E0	
DEC 26 : 91805880.000000	325425760.000000	152660448.000000	
HEX 27 : 13663D60	A1FB350	9CEA000	
DEC 27 : 325467488.000000	169849680.000000	164536320.000000	
HEX 28 : 13826F00	125316A0	89DE8F0	
DEC 28 : 327315200.000000	307435168.000000	144566512.000000	
HEX 29 : B553170	1D71F88	1C1333C0	
DEC 29 : 190132592.000000	30875528.000000	471020480.000000	
HEX 30 : 1794E040	7073B48	F979DA0	
DEC 30 : 395632704.000000	117914440.000000	261594528.000000	
HEX 31 : 10C07D00	10F78080	F7D8000	
DEC 31 : 281050368.000000	284655744.000000	259883008.000000	
HEX 32 : 1E0A6620	135F0B40	11D839E0	
DEC 32 : 503997984.000000	324995904.000000	299383264.000000	
HEX 33 : 16B617C0	1DF40F00	2DD83C4	
DEC 33 : 381032384.000000	502533888.000000	48071620.000000	
HEX 34 : 1A4E8160	159B8520	1A79C880	
DEC 34 : 441352544.000000	362513696.000000	444188800.000000	
HEX 35 : 146631A0	1A473DA0	190A2960	
DEC 35 : 342241696.000000	440876448.000000	420096352.000000	
HEX 36 : 17D14B00	E7F5530	EABD9E0	
DEC 36 : 399592192.000000	243225904.000000	246143456.000000	
HEX 37 : 1144AB00	5AE3440	17CE0F00	
DEC 37 : 289712896.000000	95302720.000000	399380224.000000	
HEX 38 : D6E5660	173172E0	9EED440	
DEC 38 : 225334880.000000	389116640.000000	166646848.000000	
HEX 39 : 6996F48	103D09E0	1724CE20	
DEC 39 : 110718792.000000	272435680.000000	388288032.000000	
HEX 40 : 3DBFD2C	B8C85A0	1C5BC1E0	
DEC 40 : 64748844.000000	193758624.000000	475775456.000000	
HEX 41 : 53A65A8	1DA28A60	11B66EA0	
DEC 41 : 87713192.000000	497191520.000000	297168544.000000	
HEX 42 : 1ED15340	C0E5690	103D75A0	
DEC 42 : 517034816.000000	202266256.000000	272463264.000000	
HEX 43 : 1EEFEAE0	6555B48	156C7000	
DEC 43 : 519039712.000000	106257224.000000	359428096.000000	
HEX 44 : 3F234F0	1E9125A	3F2734C	
DEC 44 : 66204912.000000	32051802.000000	66220876.000000	
HEX 45 : 10BE2080	9A9AE90	11519D20	
DEC 45 : 280895616.000000	162115216.000000	290561312.000000	
HEX 46 : 1D08A260	1E3DBAE0	1B47CB40	
DEC 46 : 487105120.000000	507362016.000000	457689920.000000	
HEX 47 : 67FE0F0	17C42780	170631E0	
DEC 47 : 109043952.000000	398731136.000000	386281952.000000	
HEX 48 : 1EA56160	D4BA800	2A6C0F0	
DEC 48 : 514154848.000000	223062016.000000	44482800.000000	
HEX 49 : 1180F040	D9214B0	1F944B40	
DEC 49 : 293662784.000000	227677360.000000	529812288.000000	
HEX 50 : 9E70480	DA20000	10B2CDA0	
DEC 50 : 166134912.000000	228720640.000000	280153504.000000	
HEX 51 : 143AF800	1A495F00	8FD2690	
DEC 51 : 339408896.000000	441016064.000000	150808208.000000	
HEX 52 : 19256B00	1D7E7E20	DBE43C0	
DEC 52 : 421882624.000000	494829088.000000	230572992.000000	
HEX 53 : F5904F0	1B375340	355443C	
DEC 53 : 257492208.000000	456610624.000000	55919676.000000	
HEX 54 : 578FF88	4DF0710	187254C0	
DEC 54 : 91815816.000000	81725200.000000	410145984.000000	
HEX 55 : 14540080	6A22078	1ECFFA60	
DEC 55 : 341049472.000000	111288440.000000	516946528.000000	
HEX 56 : B8A5F80	A8FD690	17600AE0	
DEC 56 : 193617792.000000	177198736.000000	392170208.000000	
HEX 57 : 12333920	E111710	179D9800	
DEC 57 : 305346848.000000	236001040.000000	396204032.000000	
HEX 58 : 6C38568	9941DA0	3DF04B4	
DEC 58 : 113476968.000000	160701856.000000	64947380.000000	
HEX 59 : 13073260	6623E98	2D1D620	
DEC 59 : 319238752.000000	107101848.000000	47306272.000000	
HEX 60 : 4CE1C00	1EBD1440	198D3780	
DEC 60 : 80616448.000000	515707968.000000	428685184.000000	
HEX 61 : 1C8BD700	610C348	2BF9F10	
DEC 61 : 478926592.000000	101761864.000000	46112528.000000	
HEX 62 : 10277300	2A514B4	A706D30	
DEC 62 : 271020800.000000	44373172.000000	175140144.000000	
HEX 63 : 4D29698	C129260	AB81DA0	
DEC 63 : 80909976.000000	202543712.000000	179838368.000000	
HEX 64 : 4084748	8E4B0F0	119C4440	
DEC 64 : 67651400.000000	149205232.000000	295453760.000000	
HEX 65 : 1EA15F80	8A41F10	1C9585A0	
DEC 65 : 513892224.000000	144973584.000000	479561120.000000	
HEX 66 : 183C9E60	29A84B4	16A0D5A0	
DEC 66 : 406625888.000000	43680948.000000	379639200.000000	
HEX 67 : 1B184040	1A1E710	1E558780	
DEC 67 : 454574144.000000	27387664.000000	508921728.000000	
HEX 68 : B7FFC80	1F2F5EA0	8AD8D30	
DEC 68 : 192937088.000000	523198112.000000	145591600.000000	
HEX 69 : 1B947CC0	1A52D340	75AABC0	
DEC 69 : 462716096.000000	441635648.000000	123382720.000000	
HEX 70 : 81C9840	192F5B40	3C98F88	
DEC 70 : 136091712.000000	422533952.000000	63541128.000000	
HEX 71 : 18F82A60	314D25C	9550F10	
DEC 71 : 418916960.000000	51696220.000000	156569360.000000	
HEX 72 : 1E20BD20	1EB27F00	1C7B2D2	
DEC 72 : 505462048.000000	515014400.000000	29864658.000000	
HEX 73 : D23BA60	139A4080	349D698	
DEC 73 : 220445280.000000	328876160.000000	55170712.000000	
HEX 74 : 9270780	153656A0	1073D2E0	
DEC 74 : 153552768.000000	355882656.000000	276026080.000000	
HEX 75 : 18FE0880	15E08E20	CDA18F0	
DEC 75 : 419301504.000000	367037984.000000	215619824.000000	
HEX 76 : 3FBEFC4	1202F88	11EF63C0	
DEC 76 : 66842564.000000	18886536.000000	300901312.000000	
HEX 77 : CB0D260	1BB1EF00	18BC11E0	
DEC 77 : 212914784.000000	464645888.000000	414978528.000000	
HEX 78 : 85F9FC0	C4A1E2	AD0B440	
DEC 78 : 140484544.000000	12886498.000000	181449792.000000	
HEX 79 : E2539E0	C127710	385C078	
DEC 79 : 237320672.000000	202536720.000000	59097208.000000	
HEX 80 : 3526A5C	1EEC6DA0	4B16620	
DEC 80 : 55732828.000000	518811040.000000	78734880.000000	
HEX 81 : 1FA2DAE0	1E61A2E0	11AABE20	
DEC 81 : 530766560.000000	509715168.000000	296402464.000000	
HEX 82 : B662E20	86F8000	B2E4440	
DEC 82 : 191245856.000000	141524992.000000	187581504.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
