Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : CD4B4	5043D30	B023690	
DEC 1 : 840884.000000	84163888.000000	184694416.000000	
HEX 2 : AC21A60	A36C2D0	1FBD81E0	
DEC 2 : 180492896.000000	171360976.000000	532513248.000000	
HEX 3 : BEC1F10	16A28000	1F3BB1E0	
DEC 3 : 200023824.000000	379748352.000000	524005856.000000	
HEX 4 : DEA1170	10407080	D885710	
DEC 4 : 233443696.000000	272658560.000000	227038992.000000	
HEX 5 : D5B6350	445C0F0	BBBFC40	
DEC 5 : 224093008.000000	71680240.000000	196869184.000000	
HEX 6 : 634F620	C738AD0	DAFAB50	
DEC 6 : 104134176.000000	208898768.000000	229616464.000000	
HEX 7 : 1279D260	1A576BC0	1F2C71E0	
DEC 7 : 309973600.000000	441936832.000000	523006432.000000	
HEX 8 : 82F52D0	6B30968	1B5CAD2	
DEC 8 : 137319120.000000	112396648.000000	28691154.000000	
HEX 9 : 12F3A440	1E2D6800	FBEEBC0	
DEC 9 : 317957184.000000	506292224.000000	264170432.000000	
HEX 10 : 193F4CC0	5CB0440	100F9B40	
DEC 10 : 423578816.000000	97190976.000000	269458240.000000	
HEX 11 : AAE4DA0	5E725A	1EF77F00	
DEC 11 : 179195296.000000	6189658.000000	519536384.000000	
HEX 12 : 7E7078	10FB0080	9EE5170	
DEC 12 : 8286328.000000	284885120.000000	166613360.000000	
HEX 13 : 5E29878	1563F88	160399E0	
DEC 13 : 98736248.000000	22429576.000000	369334752.000000	
HEX 14 : 126F16A0	E3B4E20	46C2DA8	
DEC 14 : 309270176.000000	238767648.000000	74198440.000000	
HEX 15 : C3F7350	66F787	12192160	
DEC 15 : 205484880.000000	6748039.000000	303636832.000000	
HEX 16 : 157064C0	E346350	17FB3440	
DEC 16 : 359687360.000000	238314320.000000	402338880.000000	
HEX 17 : 1F133AE0	3EB92D4	154C03C0	
DEC 17 : 521353952.000000	65770196.000000	357303232.000000	
HEX 18 : 14033000	15CC3F00	10371260	
