Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : A9B2CB0	1D33FCC0	13F88340	
DEC 1 : 177941680.000000	489946304.000000	335053632.000000	
HEX 2 : 26C1A5C	2E0243C	553C078	
DEC 2 : 40639068.000000	48243772.000000	89374840.000000	
HEX 3 : 16280A60	1C3D7AE0	1CB11880	
DEC 3 : 371722848.000000	473791200.000000	481368192.000000	
HEX 4 : CCB39E0	1A344A60	7612F10	
DEC 4 : 214645216.000000	439634528.000000	123809552.000000	
HEX 5 : 17D3D900	683FBC0	4456258	
DEC 5 : 399759616.000000	109312960.000000	71656024.000000	
HEX 6 : A6C3C40	F9C84B0	CF89E2	
DEC 6 : 174865472.000000	261915824.000000	13601250.000000	
HEX 7 : 704EE98	16C97D20	159D8EA0	
DEC 7 : 117763736.000000	382303520.000000	362647200.000000	
HEX 8 : B9AE3C0	C38B880	76DD968	
DEC 8 : 194700224.000000	205043840.000000	124639592.000000	
HEX 9 : 2D6D078	3B294B4	CCCC8F0	
DEC 9 : 47632504.000000	62035124.000000	214747376.000000	
HEX 10 : 1437FBC0	14F82780	1C6C1780	
DEC 10 : 339213248.000000	351807360.000000	476845952.000000	
HEX 11 : 1B4A0000	178D6880	1F95D880	
DEC 11 : 457834496.000000	395143296.000000	529913984.000000	
HEX 12 : 2AF5A5	1B4A04C0	CAB8620	
DEC 12 : 2815397.000000	457835712.000000	212567584.000000	
HEX 13 : 141C8620	3B451E0	DFAF440	
DEC 13 : 337413664.000000	62149088.000000	234550336.000000	
HEX 14 : 1E078960	1EC12100	E0B7080	
DEC 14 : 503810400.000000	515973376.000000	235630720.000000	
HEX 15 : 1F583D20	65BD620	3DEFF10	
DEC 15 : 525876512.000000	106681888.000000	64945936.000000	
HEX 16 : 11B71260	19DBCD20	12D82C40	
DEC 16 : 297210464.000000	433835296.000000	316156992.000000	
HEX 17 : 19F6F5A0	EB34AD0	10E9E700	
DEC 17 : 435615136.000000	246631120.000000	283764480.000000	
HEX 18 : 4F9B348	13BC1880	1D28A000	
DEC 18 : 83473224.000000	331094144.000000	489201664.000000	
HEX 19 : A19B440	4D8ABC0	79EF4B8	
DEC 19 : 169456704.000000	81308608.000000	127857848.000000	
HEX 20 : C87A080	81501E0	198424C0	
DEC 20 : 210215040.000000	135594464.000000	428090560.000000	
HEX 21 : 1E34CC40	D7DDCB0	17042340	
DEC 21 : 506776640.000000	226352304.000000	386147136.000000	
HEX 22 : 8E30BC0	CD409E0	E6CA9E0	
DEC 22 : 149097408.000000	215222752.000000	242002400.000000	
HEX 23 : 1B5B9000	6F775A8	1BD14D20	
DEC 23 : 458985472.000000	116880808.000000	466701600.000000	
HEX 24 : 12FB6700	4714530	174A7700	
DEC 24 : 318465792.000000	74532144.000000	390756096.000000	
HEX 25 : 1FA24C40	F867CB0	BCE8080	
DEC 25 : 530730048.000000	260471984.000000	198082688.000000	
HEX 26 : 20F834C	15A203C0	8132690	
DEC 26 : 34571084.000000	362939328.000000	135472784.000000	
HEX 27 : B1F9C40	75701E0	972697	
DEC 27 : 186620992.000000	123142624.000000	9905815.000000	
HEX 28 : A53B2D0	E71FE20	1CE373C0	
DEC 28 : 173257424.000000	242351648.000000	484668352.000000	
HEX 29 : 182DDA60	1CB452E0	15743BC0	
DEC 29 : 405658208.000000	481579744.000000	359939008.000000	
HEX 30 : 1E7BDC40	DCE6C40	4911D30	
DEC 30 : 511433792.000000	231631936.000000	76619056.000000	
HEX 31 : D699350	140E696	1C902A60	
DEC 31 : 225022800.000000	21030550.000000	479210080.000000	
HEX 32 : DB3F2D0	17070DA0	1FF4FF00	
DEC 32 : 229896912.000000	386338208.000000	536149760.000000	
HEX 33 : F295970	1C605080	19E8A780	
DEC 33 : 254368112.000000	476074112.000000	434677632.000000	
HEX 34 : 41FC788	1F6E29E0	17166EA0	
DEC 34 : 69191560.000000	527313376.000000	387346080.000000	
HEX 35 : EBF32D0	1E33EAE0	D7523C0	
DEC 35 : 247411408.000000	506718944.000000	225780672.000000	
HEX 36 : 837A4B0	1A720160	1C162100	
DEC 36 : 137864368.000000	443679072.000000	471212288.000000	
HEX 37 : 6F84CB8	1E697440	D7D4970	
DEC 37 : 116935864.000000	510227520.000000	226314608.000000	
HEX 38 : 1519788	16FB8AE0	5F7000	
DEC 38 : 22124424.000000	385583840.000000	6254592.000000	
HEX 39 : D2FFA60	6A67F10	E3F49E0	
DEC 39 : 221248096.000000	111574800.000000	239028704.000000	
HEX 40 : 67F1F88	1E04788	19A5C880	
DEC 40 : 108994440.000000	31475592.000000	430295168.000000	
HEX 41 : 14D391E0	18C3A900	305E43C	
DEC 41 : 349409760.000000	415475968.000000	50717756.000000	
HEX 42 : 9735E90	28C0F1	D7A41E0	
DEC 42 : 158555792.000000	2670833.000000	226116064.000000	
HEX 43 : 10653900	132D4B40	FA25AD0	
DEC 43 : 275069184.000000	321735488.000000	262298320.000000	
HEX 44 : 19B2C4C0	16DBB780	10F57620	
DEC 44 : 431146176.000000	383498112.000000	284522016.000000	
HEX 45 : 1105B520	BFED350	10FB9E2	
DEC 45 : 285586720.000000	201249616.000000	17807842.000000	
HEX 46 : C43E000	1FAE94C0	985800	
DEC 46 : 205774848.000000	531535040.000000	9984000.000000	
HEX 47 : 16DB3B40	BDB4B	7FFBE20	
DEC 47 : 383466304.000000	777035.000000	134200864.000000	
HEX 48 : 60A2CB8	7467878	1FF6E100	
DEC 48 : 101330104.000000	122058872.000000	536273152.000000	
HEX 49 : 1B62EE20	1B98A520	A5D3C4	
DEC 49 : 459468320.000000	462988576.000000	10867652.000000	
HEX 50 : 8A68A60	16D19260	21405A4	
DEC 50 : 145132128.000000	382833248.000000	34866596.000000	
HEX 51 : 1A4802E0	13931E2	16CD4340	
DEC 51 : 440926944.000000	20525538.000000	382550848.000000	
HEX 52 : 4989168	9EEDAD0	8F4AB50	
DEC 52 : 77107560.000000	166648528.000000	150252368.000000	
HEX 53 : AB0BAD0	17ED0100	E5F5690	
DEC 53 : 179354320.000000	401408256.000000	241129104.000000	
HEX 54 : 16895620	1F5FCC40	DA41C40	
DEC 54 : 378099232.000000	526371904.000000	228858944.000000	
HEX 55 : 12CCF800	1EBCCCC0	7229078	
DEC 55 : 315422720.000000	515689664.000000	119705720.000000	
HEX 56 : 115D3340	7688E20	8074A60	
DEC 56 : 291320640.000000	124292640.000000	134695520.000000	
HEX 57 : 142C1DA0	189235A0	B720780	
DEC 57 : 338435488.000000	412235168.000000	192022400.000000	
HEX 58 : 15185520	1245E100	15727160	
DEC 58 : 353916192.000000	306569472.000000	359821664.000000	
HEX 59 : 3E64BC4	8E88880	18EEC3C0	
DEC 59 : 65424324.000000	149457024.000000	418300864.000000	
HEX 60 : 5914530	1C1C0440	67590F0	
DEC 60 : 93406512.000000	471598144.000000	108368112.000000	
HEX 61 : 1BAB7960	146A3F00	188A8A60	
DEC 61 : 464222560.000000	342507264.000000	411732576.000000	
HEX 62 : C66CE90	1FD9878	149319E0	
DEC 62 : 208064144.000000	33396856.000000	345184736.000000	
HEX 63 : 16FBC160	E059E90	530CAD0	
DEC 63 : 385597792.000000	235249296.000000	87083728.000000	
HEX 64 : 1913AA60	F4D90F0	1D6C5E20	
