Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 1504CE20	71B0E20	18E91000	
DEC 1 : 352636448.000000	119213600.000000	417927168.000000	
HEX 2 : 1C6D36A0	16BA5CC0	CAABD30	
DEC 2 : 476919456.000000	381312192.000000	212516144.000000	
HEX 3 : 59AC1E0	1D16C5A0	DF3B690	
DEC 3 : 94028256.000000	488031648.000000	234075792.000000	
HEX 4 : 18C7A1E0	2C3CF10	C9100F0	
DEC 4 : 415736288.000000	46386960.000000	210829552.000000	
HEX 5 : 15DD02E0	1CF856A0	20B0E20	
DEC 5 : 366805728.000000	486037152.000000	34278944.000000	
HEX 6 : 9670F1	1C644520	1AC9D1E0	
DEC 6 : 9859313.000000	476333344.000000	449434080.000000	
HEX 7 : E1A0B50	1A2E2CC0	5F36078	
DEC 7 : 236587856.000000	439233728.000000	99836024.000000	
HEX 8 : 1BF75F00	5BE7348	1DFB2F00	
DEC 8 : 469196544.000000	96367432.000000	503000832.000000	
HEX 9 : 1B5361E0	2FC9788	14BA0960	
DEC 9 : 458449376.000000	50108296.000000	347736416.000000	
HEX 10 : 1CB946A0	12A27CC0	1C07D880	
DEC 10 : 481904288.000000	312638656.000000	470276224.000000	
HEX 11 : 1B9A2D2	1EAD19E0	6D67788	
DEC 11 : 28943058.000000	514660832.000000	114718600.000000	
HEX 12 : 1C8EA6A0	EDA88F0	BB66BC0	
DEC 12 : 479110816.000000	249202928.000000	196504512.000000	
HEX 13 : 10634880	100AC9E0	1E331E20	
DEC 13 : 274942080.000000	269142496.000000	506666528.000000	
HEX 14 : 1FD4E2E0	544AE20	E8E6080	
DEC 14 : 534045408.000000	88387104.000000	244211840.000000	
HEX 15 : F507B50	4F0B258	147FAA60	
DEC 15 : 256932688.000000	82883160.000000	343911008.000000	
HEX 16 : 12BF22E0	BCF8710	12C535A0	
DEC 16 : 314516192.000000	198149904.000000	314914208.000000	
HEX 17 : CDE4A60	162DC340	1B9F1780	
DEC 17 : 215894624.000000	372097856.000000	463411072.000000	
HEX 18 : 1023F880	2259800	1CB871E0	
DEC 18 : 270792832.000000	36018176.000000	481849824.000000	
HEX 19 : 46FF788	9DB52D0	983A690	
DEC 19 : 74446728.000000	165368528.000000	159622800.000000	
HEX 20 : 5EF7B48	9958620	1C3D25A	
DEC 20 : 99580744.000000	160794144.000000	29610586.000000	
HEX 21 : 1EB8EF00	1DDE0700	D56BBC0	
DEC 21 : 515436288.000000	501090048.000000	223787968.000000	
HEX 22 : 15685960	175726A0	1B00A100	
DEC 22 : 359160160.000000	391587488.000000	453026048.000000	
HEX 23 : 146413C0	132AA080	115DB100	
DEC 23 : 342102976.000000	321560704.000000	291352832.000000	
HEX 24 : 108183C0	183BA100	155B7340	
DEC 24 : 276923328.000000	406561024.000000	358314816.000000	
HEX 25 : 979B2D0	7197878	1D6C94C0	
DEC 25 : 158970576.000000	119109752.000000	493655232.000000	
HEX 26 : FB083C0	12D7E9E0	55E1AD0	
DEC 26 : 263226304.000000	316140000.000000	90053328.000000	
HEX 27 : 1CF2C3C0	1AA3CE20	1A2A8000	
DEC 27 : 485671872.000000	446942752.000000	438992896.000000	
HEX 28 : 8FC53C0	E90FE90	1C8715A0	
DEC 28 : 150754240.000000	244383376.000000	478614944.000000	
HEX 29 : 178C3960	16BAB880	6EE0CB8	
DEC 29 : 395065696.000000	381335680.000000	116264120.000000	
HEX 30 : 798D968	1C340BC0	2BE42D4	
DEC 30 : 127457640.000000	473172928.000000	46023380.000000	
HEX 31 : 16A79A60	1EC0D1E0	1A91E1E0	
DEC 31 : 380082784.000000	515953120.000000	445768160.000000	
HEX 32 : 1B86A6A0	1153BEA0	12EA4080	
DEC 32 : 461809312.000000	290700960.000000	317341824.000000	
HEX 33 : 192865A0	19186700	13966340	
DEC 33 : 422077856.000000	421029632.000000	328622912.000000	
HEX 34 : 1344E1E	32120F0	1425C5A0	
DEC 34 : 20205086.000000	52502768.000000	338019744.000000	
HEX 35 : 83AA4B0	3CB5DA4	16C65340	
DEC 35 : 138060976.000000	63659428.000000	382096192.000000	
HEX 36 : 18534C40	1D7CE96	3ED15A4	
DEC 36 : 408112192.000000	30920342.000000	65869220.000000	
HEX 37 : E05CD30	13B7EAE0	CA86970	
DEC 37 : 235261232.000000	330820320.000000	212363632.000000	
HEX 38 : 13442100	C403D30	4B47620	
DEC 38 : 323232000.000000	205536560.000000	78935584.000000	
HEX 39 : 11330F0	195259E0	13E4CF00	
DEC 39 : 18034928.000000	424827360.000000	333762304.000000	
HEX 40 : 6905A5	11015800	1D4D4100	
DEC 40 : 6882725.000000	285300736.000000	491602176.000000	
HEX 41 : 15341D20	1A41DBC0	D27A710	
DEC 41 : 355736864.000000	440523712.000000	220702480.000000	
HEX 42 : 9D7BE20	2DAD788	1B93000	
DEC 42 : 165133856.000000	47896456.000000	28913664.000000	
HEX 43 : E8C5000	AF4A620	18F634C0	
DEC 43 : 244076544.000000	183805472.000000	418788544.000000	
HEX 44 : B5C3C40	CAAE620	651E078	
DEC 44 : 190594112.000000	212526624.000000	106029176.000000	
HEX 45 : 2ADB4B4	1A8534C	1B644A60	
DEC 45 : 44938420.000000	27808588.000000	459557472.000000	
HEX 46 : 1073C3C	16E791E0	CA1B000	
DEC 46 : 17251388.000000	384274912.000000	211922944.000000	
HEX 47 : 1EF273C0	1661C5A0	59491E0	
DEC 47 : 519205824.000000	375506336.000000	93622752.000000	
HEX 48 : 14C22E20	E09C8F0	BDD8170	
DEC 48 : 348270112.000000	235522288.000000	199065968.000000	
HEX 49 : 48DE000	1EFE4B4	7089BC0	
DEC 49 : 76406784.000000	32498868.000000	118004672.000000	
HEX 50 : 140232E0	1F1909E0	13877800	
DEC 50 : 335688416.000000	521734624.000000	327645184.000000	
HEX 51 : 120CC000	6BA9788	D1E1B50	
DEC 51 : 302825472.000000	112891784.000000	220076880.000000	
HEX 52 : 87F9D30	1CA1D100	1C0FA6A0	
DEC 52 : 142581040.000000	480366848.000000	470787744.000000	
HEX 53 : D04EA60	11911700	15AB39E0	
DEC 53 : 218425952.000000	294721280.000000	363543008.000000	
HEX 54 : AD14970	55AC1E0	9704780	
DEC 54 : 181487984.000000	89833952.000000	158353280.000000	
HEX 55 : 151AAF00	104E9080	18551AE0	
DEC 55 : 354070272.000000	273584256.000000	408230624.000000	
HEX 56 : 16C50D20	C0C4CB0	1E506960	
DEC 56 : 382012704.000000	202132656.000000	508586336.000000	
HEX 57 : 24D2968	11E6E000	127DD9E0	
DEC 57 : 38611304.000000	300343296.000000	310237664.000000	
HEX 58 : 785B4B8	C6CE4B0	15757D20	
DEC 58 : 126203064.000000	208463024.000000	360021280.000000	
HEX 59 : 83EA000	170F7780	126CC900	
DEC 59 : 138321920.000000	386889600.000000	309119232.000000	
HEX 60 : 4FBE698	15B32880	19986E20	
