Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 185EC6A0	DC423C0	16110F80	
DEC 1 : 408864416.000000	230958016.000000	370216832.000000	
HEX 2 : 126D01E0	18EC2700	729FE20	
DEC 2 : 309133792.000000	418129664.000000	120192544.000000	
HEX 3 : CC704B0	1170B700	16DBD520	
DEC 3 : 214369456.000000	292599552.000000	383505696.000000	
HEX 4 : 5FC72D0	B0B4DA0	BA7CE90	
DEC 4 : 100430544.000000	185290144.000000	195546768.000000	
HEX 5 : 17ACD100	4742F10	1AADEA60	
DEC 5 : 397201664.000000	74723088.000000	447605344.000000	
HEX 6 : 187E74C0	1D614440	72F68F0	
DEC 6 : 410940608.000000	492913728.000000	120547568.000000	
HEX 7 : 12842100	AD49DA0	19C82F00	
DEC 7 : 310649088.000000	181706144.000000	432549632.000000	
HEX 8 : 123B6E20	3095D2C	15AC6E20	
DEC 8 : 305884704.000000	50945324.000000	363621920.000000	
HEX 9 : 7E152D0	11AA4D20	1C92D780	
DEC 9 : 132207312.000000	296373536.000000	479385472.000000	
HEX 10 : 90C1690	1CD6D3C0	1AD726A0	
DEC 10 : 151787152.000000	483840960.000000	450307744.000000	
HEX 11 : 7186878	6605078	12358EA0	
DEC 11 : 119040120.000000	106975352.000000	305499808.000000	
HEX 12 : 20BF788	2F55F10	1F7E696	
DEC 12 : 34338696.000000	49635088.000000	33023638.000000	
HEX 13 : 137FB960	FB5BB50	9122BC0	
DEC 13 : 327137632.000000	263568208.000000	152185792.000000	
HEX 14 : 12EF4A60	5941D30	6054168	
DEC 14 : 317672032.000000	93592880.000000	101007720.000000	
HEX 15 : 22FE5A4	121B5160	16E03700	
DEC 15 : 36693412.000000	303780192.000000	383792896.000000	
HEX 16 : 187E7000	AA2DAD0	FBC2D3	
DEC 16 : 410939392.000000	178445008.000000	16499411.000000	
HEX 17 : 542E4B8	3C1D2D	D2FE260	
DEC 17 : 88270008.000000	3939629.000000	221241952.000000	
HEX 18 : 10A23A60	1F7ADF80	3CACDA4	
DEC 18 : 279067232.000000	528146304.000000	63622564.000000	
HEX 19 : 134705A0	18CB8960	EA73F10	
DEC 19 : 323421600.000000	415992160.000000	245841680.000000	
HEX 20 : 187E7100	FB40970	1D577780	
DEC 20 : 410939648.000000	263457136.000000	492271488.000000	
HEX 21 : 95434B0	A48D800	18BD22E0	
DEC 21 : 156513456.000000	172546048.000000	415048416.000000	
HEX 22 : CB0FC40	1968E96	10A4CD20	
DEC 22 : 212925504.000000	26644118.000000	279235872.000000	
HEX 23 : 187E7000	170A4800	31F934C	
DEC 23 : 410939392.000000	386549760.000000	52400972.000000	
HEX 24 : 7B463C0	EA0FE20	120EA340	
DEC 24 : 129262528.000000	245431840.000000	302949184.000000	
HEX 25 : 135946A0	1FDF5900	C15B530	
DEC 25 : 324617888.000000	534731008.000000	202749232.000000	
HEX 26 : 1109F3C0	52A6168	1EB4AD20	
DEC 26 : 285864896.000000	86663528.000000	515157280.000000	
HEX 27 : FFB73C0	18FB54C0	ADBC3	
DEC 27 : 268137408.000000	419124416.000000	711619.000000	
HEX 28 : 3107E20	12AA9000	DB6E2D0	
DEC 28 : 51412512.000000	313167872.000000	230089424.000000	
HEX 29 : 921F000	1CB7D080	20B51E0	
DEC 29 : 153219072.000000	481808512.000000	34296288.000000	
HEX 30 : B9CEA60	321034C	1942D1E0	
DEC 30 : 194832992.000000	52495180.000000	423809504.000000	
HEX 31 : 1BC0B4C	1EC45000	3D21B4C	
DEC 31 : 29100876.000000	516182016.000000	64101196.000000	
HEX 32 : 187E6F00	15209DA0	AA65BC0	
DEC 32 : 410939136.000000	354459040.000000	178674624.000000	
HEX 33 : 2AE42D4	C4CAAD0	1BA491E0	
DEC 33 : 44974804.000000	206351056.000000	463770080.000000	
HEX 34 : 5397878	52F24B8	1E386780	
DEC 34 : 87652472.000000	86975672.000000	507012992.000000	
HEX 35 : 17E941E0	2A56D2C	130C9E2	
DEC 35 : 401162720.000000	44395820.000000	19974626.000000	
HEX 36 : BA02D3	BCE84B0	123E0F00	
DEC 36 : 12190419.000000	198083760.000000	306056960.000000	
