Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : F986C20	10D72440	188031E0	
DEC 1 : 261647392.000000	282534976.000000	411054560.000000	
HEX 2 : CA6F380	1A9166A0	6AFB258	
DEC 2 : 212267904.000000	445736608.000000	112177752.000000	
HEX 3 : 171F9CE	F63A260	EEB6CB0	
DEC 3 : 24246734.000000	258187872.000000	250309808.000000	
HEX 4 : 5F7B6	1E6B02E0	19754880	
DEC 4 : 391094.000000	510329568.000000	427116672.000000	
HEX 5 : 1E036AA0	BD64000	904D3C0	
DEC 5 : 503540384.000000	198590464.000000	151311296.000000	
HEX 6 : 1239D3E0	18ADF5A0	1FD60F0	
DEC 6 : 305779680.000000	414053792.000000	33382640.000000	
HEX 7 : 177F12E0	119A6100	1298B000	
DEC 7 : 394203872.000000	295330048.000000	311996416.000000	
HEX 8 : 1F294840	1A72E780	8C9D9E0	
DEC 8 : 522799168.000000	443737984.000000	147446240.000000	
HEX 9 : DBB28C0	91ADC40	5542BC0	
DEC 9 : 230369472.000000	152755264.000000	89402304.000000	
HEX 10 : FEDA66	7EF1000	DF6FE20	
DEC 10 : 16702054.000000	133107712.000000	234290720.000000	
HEX 11 : CE11490	1884F100	DED94B0	
DEC 11 : 216077456.000000	411365632.000000	233673904.000000	
HEX 12 : CF7AE50	75B1DA8	1724CAE0	
DEC 12 : 217558608.000000	123411880.000000	388287200.000000	
HEX 13 : 5F4C0	1AE594C0	12ADB900	
DEC 13 : 390336.000000	451253440.000000	313374976.000000	
HEX 14 : 6568918	A793170	188BF88	
DEC 14 : 106334488.000000	175714672.000000	25739144.000000	
HEX 15 : A918A40	1039BAE0	B7B3710	
DEC 15 : 177310272.000000	272218848.000000	192624400.000000	
HEX 16 : 1B44FD20	1713F160	16211880	
DEC 16 : 457506080.000000	387182944.000000	371267712.000000	
HEX 17 : 4769F00	810B690	197B52E0	
DEC 17 : 74882816.000000	135313040.000000	427512544.000000	
HEX 18 : 9188960	8D82620	B479F10	
DEC 18 : 152602976.000000	148383264.000000	189243152.000000	
HEX 19 : 183AF100	A4AD690	10F389E0	
DEC 19 : 406515968.000000	172676752.000000	284396000.000000	
HEX 20 : 1BF7DB20	13614B4	189AE2E0	
DEC 20 : 469228320.000000	20321460.000000	412803808.000000	
HEX 21 : 14002500	17C94440	B1D5970	
DEC 21 : 335553792.000000	399066176.000000	186472816.000000	
HEX 22 : 1AB8FEE0	16F62620	E67A0F0	
DEC 22 : 448331488.000000	385230368.000000	241672432.000000	
HEX 23 : 13AFD880	82AE350	1B55A5	
DEC 23 : 330291328.000000	137028432.000000	1791397.000000	
HEX 24 : 6A80518	13FF3C4	1726AA60	
DEC 24 : 111674648.000000	20968388.000000	388409952.000000	
HEX 25 : 62AC658	B73C3C	FA814B0	
DEC 25 : 103466584.000000	12008508.000000	262673584.000000	
HEX 26 : 3211880	C2F12D0	8209970	
DEC 26 : 52500608.000000	204411600.000000	136354160.000000	
HEX 27 : 963A780	6B7B168	1F03B1E0	
DEC 27 : 157525888.000000	112701800.000000	520335840.000000	
HEX 28 : 1E173660	F564BC0	FC15350	
DEC 28 : 504837728.000000	257313728.000000	264328016.000000	
HEX 29 : 1F6CBB80	93D7970	1F8FDF00	
DEC 29 : 527219584.000000	155023728.000000	529522432.000000	
HEX 30 : 113DB5C0	160C6520	1DD85000	
DEC 30 : 289256896.000000	369911072.000000	500715520.000000	
HEX 31 : 5EF53	68EB788	43460F0	
DEC 31 : 388947.000000	110016392.000000	70541552.000000	
HEX 32 : 181A0780	151BD960	50EF788	
DEC 32 : 404359040.000000	354146656.000000	84866952.000000	
HEX 33 : DBC6D40	91DC3C	1F0BCB40	
DEC 33 : 230452544.000000	9559100.000000	520866624.000000	
HEX 34 : 66A46C0	1B5C62E0	16A18100	
DEC 34 : 107628224.000000	459039456.000000	379683072.000000	
HEX 35 : 1DF27A8	14B5F080	168D6B40	
DEC 35 : 31401896.000000	347467904.000000	378366784.000000	
HEX 36 : 7084F40	15A5F780	7A2FDA8	
DEC 36 : 117985088.000000	363198336.000000	128122280.000000	
HEX 37 : 600C858	339525C	7569620	
DEC 37 : 100714584.000000	54088284.000000	123115040.000000	
HEX 38 : 1C4A9180	1E466C40	18174960	
DEC 38 : 474648960.000000	507931712.000000	404179296.000000	
HEX 39 : 8D3A680	16250DA0	1C1F02E0	
DEC 39 : 148088448.000000	371527072.000000	471794400.000000	
HEX 40 : 1271D740	AD46350	C29AD30	
DEC 40 : 309450560.000000	181691216.000000	204057904.000000	
HEX 41 : 13431AE0	175461E	67DEF10	
DEC 41 : 323164896.000000	24462878.000000	108916496.000000	
HEX 42 : 1E2D9100	EA5F170	1A78A2E0	
DEC 42 : 506302720.000000	245756272.000000	444113632.000000	
HEX 43 : 11A50740	1D71F3C0	1F966E20	
DEC 43 : 296027968.000000	494007232.000000	529952288.000000	
HEX 44 : 1EB4E560	9C141E0	14C5F160	
DEC 44 : 515171680.000000	163660256.000000	348516704.000000	
HEX 45 : 5F6BA	9E9B260	1F4671E0	
DEC 45 : 390842.000000	166310496.000000	524710368.000000	
HEX 46 : D0EAB20	C198DA0	114464C0	
DEC 46 : 219065120.000000	203001248.000000	289694912.000000	
HEX 47 : 65E78A0	17C5BCC0	71934B	
DEC 47 : 106854560.000000	398834880.000000	7443275.000000	
HEX 48 : 270A35C	11715780	188EA5A	
DEC 48 : 40936284.000000	292640640.000000	25750106.000000	
HEX 49 : 80C8BD0	1E42DF00	E8DB9E0	
DEC 49 : 135039952.000000	507698944.000000	244169184.000000	
HEX 50 : 7E237C0	1DB15D20	1DA34880	
DEC 50 : 132265920.000000	498162976.000000	497240192.000000	
HEX 51 : 168BFE20	44B9D30	CB8A350	
DEC 51 : 378273312.000000	72064304.000000	213427024.000000	
HEX 52 : 19F3BDE0	86960F0	1A7474C0	
DEC 52 : 435404256.000000	141123824.000000	443839680.000000	
HEX 53 : 10DA6740	123BDAE0	F1BF4B0	
DEC 53 : 282748736.000000	305912544.000000	253490352.000000	
HEX 54 : 1C8B5A80	19AB25A	2CDB3C4	
DEC 54 : 478894720.000000	26915418.000000	47035332.000000	
HEX 55 : 1C4C5680	1BA787	A2DBAD0	
DEC 55 : 474764928.000000	1812359.000000	170769104.000000	
HEX 56 : 1F057560	13144520	7395710	
DEC 56 : 520451424.000000	320095520.000000	121198352.000000	
HEX 57 : DCA45A0	1C047000	194773C0	
DEC 57 : 231359904.000000	470052864.000000	424113088.000000	
HEX 58 : FFB2480	531BCB8	10973F00	
DEC 58 : 268117120.000000	87145656.000000	278347520.000000	
HEX 59 : 185A95C0	7B59F10	641FE98	
DEC 59 : 408589760.000000	129343248.000000	104988312.000000	
HEX 60 : 99747C0	D4498F0	1B4E9E20	
DEC 60 : 160909248.000000	222599408.000000	458137120.000000	
HEX 61 : F73C7A0	13948880	6D5CCB8	
DEC 61 : 259245984.000000	328501376.000000	114674872.000000	
HEX 62 : BA69730	16349BC0	14FCA9E0	
DEC 62 : 195467056.000000	372546496.000000	352102880.000000	
HEX 63 : 1CC2C620	1A0EA780	1A9B788	
DEC 63 : 482526752.000000	437168000.000000	27899784.000000	
HEX 64 : 111A2B80	CF171E0	1EC7DE20	
DEC 64 : 286927744.000000	217149920.000000	516415008.000000	
HEX 65 : CDB9550	263E168	A5704B0	
DEC 65 : 215717200.000000	40100200.000000	173474992.000000	
HEX 66 : 1AA828E0	EB38530	20A95A4	
DEC 66 : 447228128.000000	246646064.000000	34248100.000000	
HEX 67 : 13B33D20	AB8B000	16F3C160	
DEC 67 : 330513696.000000	179875840.000000	385073504.000000	
HEX 68 : 5F738	F3F8F1	B4F7350	
DEC 68 : 390968.000000	15988977.000000	189756240.000000	
HEX 69 : 6781A78	14F73A60	FA79A60	
DEC 69 : 108534392.000000	351746656.000000	262642272.000000	
HEX 70 : 1D8BCF8	19B35780	B78C080	
DEC 70 : 30981368.000000	431183744.000000	192462976.000000	
HEX 71 : 1FEC5040	1B8CC3C	1EFDE100	
DEC 71 : 535580736.000000	28888124.000000	519954688.000000	
HEX 72 : 2FA92B0	109306A0	1CBEE6A0	
DEC 72 : 49975984.000000	278070944.000000	482272928.000000	
HEX 73 : 175910C0	19FB5000	1BDD0C40	
DEC 73 : 391712960.000000	435900416.000000	467471424.000000	
HEX 74 : 67DEE	2411078	1B51CE20	
DEC 74 : 425454.000000	37818488.000000	458346016.000000	
HEX 75 : 16F61240	10C15080	1A0F0880	
DEC 75 : 385225280.000000	281104512.000000	437192832.000000	
HEX 76 : 17D71F00	10AB0700	B222170	
DEC 76 : 399974144.000000	279643904.000000	186786160.000000	
HEX 77 : 7188170	7A664B8	12709160	
DEC 77 : 119046512.000000	128345272.000000	309367136.000000	
HEX 78 : 163C1900	406B2D0	149E3700	
DEC 78 : 373037312.000000	67547856.000000	345913088.000000	
HEX 79 : 9E82420	110B6440	26B0B4C	
DEC 79 : 166208544.000000	285959232.000000	40569676.000000	
HEX 80 : 127D3D40	5DF2D30	1C991B40	
DEC 80 : 310197568.000000	98512176.000000	479796032.000000	
HEX 81 : 190F10	19DCA3C0	40E0968	
DEC 81 : 1642256.000000	433890240.000000	68028776.000000	
HEX 82 : 5F1CA	13088B40	87C7690	
DEC 82 : 389578.000000	319327040.000000	142374544.000000	
HEX 83 : EE39360	1E600780	12369C40	
DEC 83 : 249795424.000000	509609856.000000	305568832.000000	
HEX 84 : 18A26F80	1D78D6A0	118EF080	
DEC 84 : 413298560.000000	494458528.000000	294580352.000000	
HEX 85 : 1DF4B760	64D9620	E1FB880	
DEC 85 : 502576992.000000	105748000.000000	236959872.000000	
HEX 86 : 13F1E100	18B924C0	150B3000	
DEC 86 : 334618880.000000	414786752.000000	353054720.000000	
HEX 87 : 5B25978	1E88F880	72BBF10	
DEC 87 : 95574392.000000	512292992.000000	120307472.000000	
HEX 88 : 138199A0	1F3394C0	C52D000	
DEC 88 : 327260576.000000	523474112.000000	206753792.000000	
HEX 89 : 17BEF3A0	1C94E6A0	6AE0620	
DEC 89 : 398390176.000000	479520416.000000	112068128.000000	
HEX 90 : 5F5BD	D696BC0	1695BCC0	
DEC 90 : 390589.000000	225012672.000000	378911936.000000	
HEX 91 : 706D700	F3C30F0	1481B080	
DEC 91 : 117888768.000000	255602928.000000	344043648.000000	
HEX 92 : 17A7184	1816F3C0	1D450100	
DEC 92 : 24801668.000000	404157376.000000	491061504.000000	
HEX 93 : 1E79F9A0	1897C6A0	1EE152E0	
DEC 93 : 511310240.000000	412599968.000000	518083296.000000	
HEX 94 : 13C9AB20	D9E7970	54CA078	
DEC 94 : 331983648.000000	228489584.000000	88907896.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
