Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : DDF5A20	8AB4B50	1B04B4C	
DEC 1 : 232741408.000000	145443664.000000	28330828.000000	
HEX 2 : 15E632E0	1170B160	140EBAE0	
DEC 2 : 367407840.000000	292598112.000000	336509664.000000	
HEX 3 : 6A12800	10398F80	EBA5710	
DEC 3 : 111224832.000000	272207744.000000	247093008.000000	
HEX 4 : 225EA98	12769C40	155604C0	
DEC 4 : 36039320.000000	309763136.000000	357958848.000000	
HEX 5 : 1DC23440	13B4ADA0	830BCB0	
DEC 5 : 499266624.000000	330608032.000000	137411760.000000	
HEX 6 : D181A90	96DF780	13704900	
DEC 6 : 219683472.000000	158201728.000000	326125824.000000	
HEX 7 : 1E675520	18658900	1BCEE4C0	
DEC 7 : 510088480.000000	409307392.000000	466543808.000000	
HEX 8 : 8831B50	1EF62C40	1A3C7780	
DEC 8 : 142809936.000000	519449664.000000	440170368.000000	
HEX 9 : 108B7160	1643DD20	17C89000	
DEC 9 : 277573984.000000	373546272.000000	399020032.000000	
HEX 10 : 1C7D6260	F8CC1E0	EBA29E0	
DEC 10 : 477979232.000000	260882912.000000	247081440.000000	
HEX 11 : B634B50	4827620	E001780	
DEC 11 : 191056720.000000	75658784.000000	234887040.000000	
HEX 12 : A5040B0	1AC8DF00	7658F10	
DEC 12 : 173031600.000000	449371904.000000	124096272.000000	
HEX 13 : 52A1E58	1D72D100	C33D780	
DEC 13 : 86646360.000000	494063872.000000	204724096.000000	
HEX 14 : 14421900	156A2AE0	3F2E96	
DEC 14 : 339876096.000000	359279328.000000	4140694.000000	
HEX 15 : 1A5E7620	167EDAE0	10B79620	
DEC 15 : 442398240.000000	377412320.000000	280466976.000000	
HEX 16 : 30C3CB4	6147078	19B4EA60	
DEC 16 : 51133620.000000	102002808.000000	431286880.000000	
HEX 17 : 92A3B10	6247440	6FE8B48	
DEC 17 : 153762576.000000	103052352.000000	117345096.000000	
HEX 18 : A4E35E0	16CB1960	FC802D0	
DEC 18 : 172897760.000000	382409056.000000	264766160.000000	
HEX 19 : 15F36960	F8BBC4	1C1E8780	
DEC 19 : 368273760.000000	16300996.000000	471762816.000000	
HEX 20 : 1141EF00	E00D260	6614A58	
DEC 20 : 289533696.000000	234934880.000000	107039320.000000	
HEX 21 : 1810B1A0	338AB4C	8F33B50	
DEC 21 : 403747232.000000	54045516.000000	150158160.000000	
HEX 22 : 1EEDA080	1B580D20	143CF9E0	
DEC 22 : 518889600.000000	458755360.000000	339540448.000000	
HEX 23 : 53B1E20	CC9B880	1C56A2E0	
DEC 23 : 87760416.000000	214546560.000000	475439840.000000	
HEX 24 : 10DB0D00	DC9DCB0	184A6960	
DEC 24 : 282791168.000000	231333040.000000	407529824.000000	
HEX 25 : 158BEEE0	86303C0	38B134C	
DEC 25 : 361492192.000000	140706752.000000	59446092.000000	
HEX 26 : 11FCFEE0	7828078	A1EDDA0	
DEC 26 : 301792992.000000	125993080.000000	169794976.000000	
HEX 27 : 18EE6560	B4E7AD0	99D9080	
DEC 27 : 418276704.000000	189692624.000000	161321088.000000	
HEX 28 : 526A5E0	1627AA60	A548AD0	
DEC 28 : 86418912.000000	371698272.000000	173312720.000000	
HEX 29 : 1A5AA560	B65C4B0	14A24800	
DEC 29 : 442148192.000000	191218864.000000	346179584.000000	
HEX 30 : B28A620	11944880	152639E0	
DEC 30 : 187213344.000000	294930560.000000	354826720.000000	
HEX 31 : B7911A0	10FCAF80	1CA616A0	
DEC 31 : 192483744.000000	284995456.000000	480646816.000000	
HEX 32 : AD851E0	273C698	15390B40	
DEC 32 : 181948896.000000	41141912.000000	356059968.000000	
HEX 33 : 1DE57160	6275B48	5323B48	
DEC 33 : 501576032.000000	103242568.000000	87178056.000000	
HEX 34 : ECFEA90	1510AB40	5767620	
DEC 34 : 248507024.000000	353413952.000000	91649568.000000	
HEX 35 : 10F1A740	2755968	4A2BC40	
DEC 35 : 284272448.000000	41245032.000000	77773888.000000	
HEX 36 : 18B3FAE0	14ADB4C	143AB080	
DEC 36 : 414448352.000000	21683020.000000	339390592.000000	
HEX 37 : 4652B48	5185258	125D3900	
DEC 37 : 73739080.000000	85480024.000000	308099328.000000	
HEX 38 : 128256A	1FC455A0	3D899E0	
DEC 38 : 19408234.000000	532960672.000000	64526816.000000	
HEX 39 : 9BFE040	11A052E	16E95A6	
DEC 39 : 163569728.000000	18482478.000000	24024486.000000	
HEX 40 : 1C2E9E2	185DEAE0	10ADDDA0	
DEC 40 : 29551074.000000	408808160.000000	279829920.000000	
HEX 41 : 1F1E49E0	C8761E	A6733C0	
DEC 41 : 522078688.000000	13137438.000000	174535616.000000	
HEX 42 : 19D8BEE0	18FF0E20	3CD1698	
DEC 42 : 433635040.000000	419368480.000000	63772312.000000	
HEX 43 : 16656EA0	13598A60	9C70F80	
DEC 43 : 375746208.000000	324635232.000000	164040576.000000	
HEX 44 : 1C0A1A6	638C440	5ACD5A8	
DEC 44 : 29401510.000000	104383552.000000	95212968.000000	
HEX 45 : 7862220	152DD1E0	3371000	
DEC 45 : 126231072.000000	355324384.000000	53940224.000000	
HEX 46 : 11D8D500	6B59E2	CA65F80	
DEC 46 : 299422976.000000	7035362.000000	212230016.000000	
HEX 47 : 15A2C920	1DF6B880	195E6F00	
DEC 47 : 362989856.000000	502708352.000000	425619200.000000	
HEX 48 : F32E570	1F2F3A60	B10FE20	
DEC 48 : 254993776.000000	523188832.000000	185663008.000000	
HEX 49 : A05E310	1D99B880	12FC9620	
DEC 49 : 168157968.000000	496613504.000000	318543392.000000	
HEX 50 : 62820F0	BF519E0	14E9A000	
DEC 50 : 103293168.000000	200612320.000000	350855168.000000	
HEX 51 : 32B1620	B7A7E20	791C3C	
DEC 51 : 53155360.000000	192577056.000000	7937084.000000	
HEX 52 : 1A3F3C4	1F3D82E0	1D4D1960	
DEC 52 : 27521988.000000	524124896.000000	491592032.000000	
HEX 53 : 1CC9CEA0	6B3D8F0	EA515A0	
DEC 53 : 482987680.000000	112449776.000000	245700000.000000	
HEX 54 : 37BA1A4	1D5AAD2	BA39000	
DEC 54 : 58433956.000000	30780114.000000	195268608.000000	
HEX 55 : 57BE4F0	F37E350	75AC348	
DEC 55 : 92005616.000000	255320912.000000	123388744.000000	
HEX 56 : 4729258	14170260	1E01F780	
DEC 56 : 74617432.000000	337052256.000000	503445376.000000	
HEX 57 : EA08380	1B32A6A0	1D3895A0	
DEC 57 : 245400448.000000	456304288.000000	490247584.000000	
HEX 58 : 1573A260	7298B48	10CC0C40	
DEC 58 : 359899744.000000	120163144.000000	281807936.000000	
HEX 59 : 170797C0	16E541E0	1B8E9100	
DEC 59 : 386373568.000000	384123360.000000	462328064.000000	
HEX 60 : 1F47C260	3E1E25C	16D27F80	
DEC 60 : 524796512.000000	65135196.000000	382893952.000000	
HEX 61 : 7145040	1C490000	C3E0F1	
DEC 61 : 118771776.000000	474546176.000000	12837105.000000	
HEX 62 : 18BE1480	1F4E9C40	1293DDA0	
DEC 62 : 415110272.000000	525245504.000000	311680416.000000	
HEX 63 : 1903BB00	106AC960	35B2698	
DEC 63 : 419674880.000000	275433824.000000	56305304.000000	
HEX 64 : BFE8290	215E000	1CA7A960	
DEC 64 : 201228944.000000	34988032.000000	480749920.000000	
HEX 65 : C3A8E20	BF4A690	C0F7E90	
DEC 65 : 205164064.000000	200582800.000000	202342032.000000	
HEX 66 : 47EBD68	957C970	BF54CB0	
DEC 66 : 75414888.000000	156748144.000000	200625328.000000	
HEX 67 : 11F8FDE0	1BE48780	4E3A1E0	
DEC 67 : 301530592.000000	467961728.000000	82026976.000000	
HEX 68 : 16AE0380	1BC01B40	ACDFDA0	
DEC 68 : 380502912.000000	465574720.000000	181271968.000000	
HEX 69 : 1BBE58C0	1F0F82E0	1E1B55A0	
DEC 69 : 465459392.000000	521110240.000000	505107872.000000	
HEX 70 : 122B5F00	1B68A4C0	10DD2D20	
DEC 70 : 304832256.000000	459842752.000000	282930464.000000	
HEX 71 : 1EF97AE0	8ECC800	1C67C6A0	
DEC 71 : 519666400.000000	149735424.000000	476563104.000000	
HEX 72 : 94B82D0	1785B5A0	19615A60	
DEC 72 : 155943632.000000	394638752.000000	425810528.000000	
HEX 73 : 2573AD4	1F897880	12E71520	
DEC 73 : 39271124.000000	529102976.000000	317134112.000000	
HEX 74 : 11307480	55BC620	18468260	
DEC 74 : 288388224.000000	89900576.000000	407274080.000000	
HEX 75 : 17A00C40	83BE970	1AEBEB40	
DEC 75 : 396364864.000000	138144112.000000	451668800.000000	
HEX 76 : 15F4A840	F376970	1DA47880	
DEC 76 : 368355392.000000	255289712.000000	497318016.000000	
HEX 77 : 1B86BAA0	115FFEA0	190F4C40	
DEC 77 : 461814432.000000	291503776.000000	420432960.000000	
HEX 78 : D551750	976E170	1D592960	
DEC 78 : 223680336.000000	158785904.000000	492382560.000000	
HEX 79 : 22112D4	1975BE20	181EA700	
DEC 79 : 35721940.000000	427146784.000000	404662016.000000	
HEX 80 : 134B1C40	DE23880	DF444B0	
DEC 80 : 323689536.000000	232929408.000000	234112176.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
