Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : C367E20	A4B3690	16056F80	
DEC 1 : 204897824.000000	172701328.000000	369454976.000000	
HEX 2 : 148FB440	BACE260	1ECF81E0	
DEC 2 : 344962112.000000	195879520.000000	516915680.000000	
HEX 3 : 76F89E0	E5D9BC0	91CEE90	
DEC 3 : 124750304.000000	241015744.000000	152891024.000000	
HEX 4 : 6095620	1C1D54C0	C9D7000	
DEC 4 : 101275168.000000	471684288.000000	211644416.000000	
HEX 5 : 15B343C	D3B4A60	16B4FB40	
DEC 5 : 22754364.000000	221989472.000000	380959552.000000	
HEX 6 : 1D095A60	1C53F4C0	19057780	
DEC 6 : 487152224.000000	475264192.000000	419788672.000000	
HEX 7 : F6AD880	1B78F1E0	4C0969	
DEC 7 : 258660480.000000	460911072.000000	4983145.000000	
HEX 8 : 16511BC0	11DC5520	1AE46000	
DEC 8 : 374414272.000000	299652384.000000	451174400.000000	
HEX 9 : F5791E0	16565900	5D14530	
DEC 9 : 257397216.000000	374757632.000000	97600816.000000	
HEX 10 : 4073348	77C4C40	1238B1E0	
DEC 10 : 67580744.000000	125586496.000000	305705440.000000	
HEX 11 : 1ECD96A0	8D152D	11E13620	
DEC 11 : 516789920.000000	9245997.000000	299972128.000000	
HEX 12 : 14354340	AEAFC40	F6CC690	
DEC 12 : 339034944.000000	183172160.000000	258786960.000000	
HEX 13 : 3E755A4	E9DF5A0	FC1FE20	
DEC 13 : 65492388.000000	245233056.000000	264371744.000000	
HEX 14 : 15244A60	B8F5CB0	7FB3078	
DEC 14 : 354699872.000000	193944752.000000	133902456.000000	
HEX 15 : 5798F88	1F21F5A0	13873EA0	
DEC 15 : 91852680.000000	522319264.000000	327630496.000000	
HEX 16 : 1B41F440	747D440	6FE7800	
DEC 16 : 457307200.000000	122147904.000000	117340160.000000	
HEX 17 : 17255960	6D5F698	19A3D780	
DEC 17 : 388323680.000000	114685592.000000	430167936.000000	
HEX 18 : C9D3D30	15611DA0	19036F00	
DEC 18 : 211631408.000000	358686112.000000	419655424.000000	
HEX 19 : 1CA654C0	18FF84C0	114CE520	
DEC 19 : 480662720.000000	419398848.000000	290252064.000000	
HEX 20 : E4BD780	E9A7DA0	1BD543C0	
DEC 20 : 239851392.000000	245005728.000000	466961344.000000	
HEX 21 : A9B0F10	327FCB4	17CCD100	
DEC 21 : 177934096.000000	52952244.000000	399298816.000000	
HEX 22 : 38B08F0	1F748D20	216A52C	
DEC 22 : 59443440.000000	527732000.000000	35038508.000000	
HEX 23 : 5B26F88	149A61E	E462DA0	
DEC 23 : 95580040.000000	21603870.000000	239480224.000000	
HEX 24 : 11253700	5050710	13E3AAE0	
DEC 24 : 287651584.000000	84215568.000000	333687520.000000	
HEX 25 : 80D878	B826440	9CD4DA0	
DEC 25 : 8444024.000000	193094720.000000	164449696.000000	
HEX 26 : E691BC0	8359F10	794BD30	
DEC 26 : 241769408.000000	137731856.000000	127188272.000000	
HEX 27 : 1C08C780	3D1C9E0	1FF25F00	
DEC 27 : 470337408.000000	64080352.000000	535977728.000000	
HEX 28 : 189BD620	D0ED260	1525B9E0	
DEC 28 : 412866080.000000	219075168.000000	354793952.000000	
HEX 29 : 1D4D2340	13725EA0	17FF2D20	
DEC 29 : 491594560.000000	326262432.000000	402599200.000000	
HEX 30 : 13F1D960	4909800	B647620	
DEC 30 : 334616928.000000	76584960.000000	191133216.000000	
HEX 31 : 1B9975A0	A22BF80	DF3DD30	
DEC 31 : 463041952.000000	170049408.000000	234085680.000000	
HEX 32 : 1FCB6F80	E328970	13359880	
DEC 32 : 533426048.000000	238193008.000000	322279552.000000	
HEX 33 : 6F7A5A	EE11080	311AF88	
DEC 33 : 7305818.000000	249630848.000000	51490696.000000	
HEX 34 : 8F89000	1878F4C0	1331F780	
DEC 34 : 150507520.000000	410580160.000000	322041728.000000	
HEX 35 : 117014C0	FFAD620	15215780	
