Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : DD0A000	C31CE20	3C14D2C	
DEC 1 : 231776256.000000	204590624.000000	62999852.000000	
HEX 2 : 1CC47880	F884A60	F52D620	
DEC 2 : 482637952.000000	260590176.000000	257087008.000000	
HEX 3 : 212E96	207FA5C	9516F80	
DEC 3 : 2174614.000000	34077276.000000	156331904.000000	
HEX 4 : 1BABAC40	1986E880	A3D43C	
DEC 4 : 464235584.000000	428271744.000000	10736700.000000	
HEX 5 : A3C9350	1E5596A	7A53DA8	
DEC 5 : 171742032.000000	31807850.000000	128269736.000000	
HEX 6 : BB70AD0	107C9100	1719F440	
DEC 6 : 196545232.000000	276599040.000000	387576896.000000	
HEX 7 : 1B1CBC40	1EEAB1E0	E0C8AD0	
DEC 7 : 454868032.000000	518697440.000000	235702992.000000	
HEX 8 : 55B9BC0	C8E3AD0	18029880	
DEC 8 : 89889728.000000	210647760.000000	402823296.000000	
HEX 9 : 903A880	5CC8878	183B2800	
DEC 9 : 151234688.000000	97290360.000000	406530048.000000	
HEX 10 : 113AF9E0	168A61E	1404DF00	
DEC 10 : 289077728.000000	23635486.000000	335863552.000000	
HEX 11 : 1B28F2E0	D2A90F0	1C2CE880	
DEC 11 : 455668448.000000	220893424.000000	472705152.000000	
HEX 12 : D9E5620	1B082D20	1EC4BC40	
DEC 12 : 228480544.000000	453520672.000000	516209728.000000	
HEX 13 : 100906A0	BF4DAD0	1C8611E0	
DEC 13 : 269026976.000000	200596176.000000	478548448.000000	
HEX 14 : 11BF59E0	360334C	1E4FD000	
DEC 14 : 297753056.000000	56636236.000000	508547072.000000	
HEX 15 : 82FE710	C706B50	10F71DA0	
DEC 15 : 137357072.000000	208694096.000000	284630432.000000	
HEX 16 : 14014AE0	1EDAD4C0	B905F80	
DEC 16 : 335629024.000000	517657792.000000	194011008.000000	
HEX 17 : A3FEB50	17A2CCC0	18F42F00	
DEC 17 : 171961168.000000	396545216.000000	418656000.000000	
HEX 18 : 94B98F0	1F42A5A0	179D0780	
DEC 18 : 155949296.000000	524461472.000000	396167040.000000	
HEX 19 : 6E38C40	D833530	11CC1E2	
DEC 19 : 115575872.000000	226702640.000000	18661858.000000	
HEX 20 : 16316CC0	1102B080	BF6E0F0	
DEC 20 : 372337856.000000	285388928.000000	200728816.000000	
HEX 21 : 1A1FBB40	176456A0	CAF0710	
DEC 21 : 438287168.000000	392451744.000000	212797200.000000	
HEX 22 : 19CBE5A0	DD4CA60	4D1E348	
DEC 22 : 432792992.000000	232049248.000000	80864072.000000	
HEX 23 : 93665A0	9A310F0	1EB4B000	
DEC 23 : 154559904.000000	161681648.000000	515158016.000000	
HEX 24 : 1E5D3E20	FE5BC4	15426520	
DEC 24 : 509427232.000000	16669636.000000	356672800.000000	
HEX 25 : 301A710	1E232D2	25C8CB4	
DEC 25 : 50439952.000000	31601362.000000	39619764.000000	
HEX 26 : 501E168	19024C40	8712530	
DEC 26 : 84009320.000000	419580992.000000	141632816.000000	
HEX 27 : 1005FEA0	1E9C5880	123B3260	
DEC 27 : 268828320.000000	513562752.000000	305869408.000000	
HEX 28 : 15857440	13B49340	2D7C3C4	
DEC 28 : 361067584.000000	330601280.000000	47694788.000000	
HEX 29 : 2816168	5A67000	1C035E20	
DEC 29 : 42033512.000000	94793728.000000	469982752.000000	
HEX 30 : 13AADEA0	E8770F0	167365A0	
DEC 30 : 329965216.000000	243757296.000000	376661408.000000	
HEX 31 : 109742E0	57CEE20	CFDB970	
DEC 31 : 278348512.000000	92073504.000000	217954672.000000	
HEX 32 : 2062000	DA89690	BBA15A0	
DEC 32 : 33955840.000000	229152400.000000	196744608.000000	
HEX 33 : ECB3000	137AD780	1D495000	
DEC 33 : 248197120.000000	326817664.000000	491343872.000000	
HEX 34 : 1CB2A000	5E0CE98	1ABDDF00	
DEC 34 : 481468416.000000	98619032.000000	448651008.000000	
HEX 35 : 959B000	1E8AB6A0	141B96A	
DEC 35 : 156872704.000000	512407200.000000	21084522.000000	
HEX 36 : 4DF1788	137929E0	14FFF700	
DEC 36 : 81729416.000000	326707680.000000	352319232.000000	
HEX 37 : 16EDA080	1A293000	6742968	
DEC 37 : 384671872.000000	438906880.000000	108276072.000000	
HEX 38 : 17A1EDA0	13CB4520	12CF8900	
DEC 38 : 396488096.000000	332088608.000000	315590912.000000	
HEX 39 : 1070AF80	15E0F700	1398EB40	
DEC 39 : 275820416.000000	367064832.000000	328788800.000000	
HEX 40 : 104935A0	515D168	3F603C4	
DEC 40 : 273233312.000000	85315944.000000	66454468.000000	
HEX 41 : 1581EE20	884D9E0	82923C0	
DEC 41 : 360836640.000000	142924256.000000	136913856.000000	
HEX 42 : 17B243C	7020000	14ADA800	
DEC 42 : 24847420.000000	117571584.000000	346925056.000000	
HEX 43 : 124291E0	1796F9E0	C7E9260	
DEC 43 : 306352608.000000	395770336.000000	209621600.000000	
HEX 44 : A7D52D0	8F3D5A0	A4264B0	
DEC 44 : 175985360.000000	150197664.000000	172123312.000000	
HEX 45 : A604880	42013C0	11047880	
DEC 45 : 174082176.000000	69211072.000000	285505664.000000	
HEX 46 : 15020DA0	AC78260	100576A0	
DEC 46 : 352456096.000000	180847200.000000	268793504.000000	
HEX 47 : F2B9E90	8DAB4B0	1462ABC0	
DEC 47 : 254516880.000000	148550832.000000	342010816.000000	
HEX 48 : 1EAFC100	19BEF100	12319100	
DEC 48 : 514834688.000000	431943936.000000	305238272.000000	
HEX 49 : 252343C	95DE440	56DFF10	
DEC 49 : 38941756.000000	157148224.000000	91094800.000000	
HEX 50 : 16BACC40	1B447A60	12F709E0	
DEC 50 : 381340736.000000	457472608.000000	318179808.000000	
HEX 51 : EF32350	F253C40	F0F1000	
DEC 51 : 250815312.000000	254098496.000000	252645376.000000	
HEX 52 : 19ED43C0	12B1C3C	72978F0	
DEC 52 : 434979776.000000	19602492.000000	120158448.000000	
HEX 53 : 1BECB2E0	6DD6C40	BBC3BC0	
DEC 53 : 468497120.000000	115174464.000000	196885440.000000	
HEX 54 : 15012B40	78F21E0	18F72880	
DEC 54 : 352398144.000000	126820832.000000	418850944.000000	
HEX 55 : 1ABF64C0	18A40A60	18F47A60	
DEC 55 : 448750784.000000	413403744.000000	418675296.000000	
HEX 56 : 1346E780	195562E0	19AAB000	
DEC 56 : 323413888.000000	425026272.000000	430616576.000000	
HEX 57 : 4276530	6B24878	DA56F10	
DEC 57 : 69690672.000000	112347256.000000	228945680.000000	
HEX 58 : 2300E20	12799160	496C4B8	
DEC 58 : 36703776.000000	309956960.000000	76989624.000000	
HEX 59 : 8471530	FD4A690	823EE90	
DEC 59 : 138876208.000000	265594512.000000	136572560.000000	
HEX 60 : A812530	1545078	1E1AAF00	
DEC 60 : 176235824.000000	22302840.000000	505065216.000000	
HEX 61 : 6BDC620	11E10DA0	1D276100	
DEC 61 : 113100320.000000	299961760.000000	489120000.000000	
HEX 62 : B186350	15452520	C84AA60	
DEC 62 : 186147664.000000	356853024.000000	210020960.000000	
HEX 63 : B98D710	1CA481E0	83008F0	
DEC 63 : 194565904.000000	480543200.000000	137365744.000000	
HEX 64 : 2D40C3C	1F866100	55CAA58	
DEC 64 : 47451196.000000	528900352.000000	89959000.000000	
HEX 65 : 18B304C0	1E23A880	1FAAED20	
DEC 65 : 414385344.000000	505653376.000000	531295520.000000	
HEX 66 : FDBA530	1AE1EF00	23BF788	
DEC 66 : 266052912.000000	451014400.000000	37484424.000000	
HEX 67 : A84CBC0	15F11800	4546000	
DEC 67 : 176475072.000000	368121856.000000	72638464.000000	
HEX 68 : 2BB3CB4	1A06BB40	3823C3	
DEC 68 : 45825204.000000	436648768.000000	3679171.000000	
HEX 69 : 1DB4B2E0	14C72780	672CF10	
DEC 69 : 498381536.000000	348596096.000000	108187408.000000	
HEX 70 : 1F6443C	14DB6440	DEF7690	
DEC 70 : 32916540.000000	349922368.000000	233797264.000000	
HEX 71 : 197741E0	6A8F078	2080C3C	
DEC 71 : 427246048.000000	111734904.000000	34081852.000000	
HEX 72 : 100B66A0	1228C080	7C5E078	
DEC 72 : 269182624.000000	304660608.000000	130408568.000000	
HEX 73 : 9D45620	1A56FE20	11F07340	
DEC 73 : 164910624.000000	441908768.000000	300970816.000000	
HEX 74 : 6493DA8	1E5D44C0	1EB0C880	
DEC 74 : 105463208.000000	509428928.000000	514902144.000000	
HEX 75 : 2DF1000	1C05F100	1445B080	
DEC 75 : 48173056.000000	470151424.000000	340111488.000000	
HEX 76 : 1632D900	12D493C0	1C16A5A0	
DEC 76 : 372431104.000000	315921344.000000	471246240.000000	
HEX 77 : 2C1EDA4	1817B100	1B79C1E0	
DEC 77 : 46263716.000000	404205824.000000	460964320.000000	
HEX 78 : 1EA04A60	1EDC2B40	50ED258	
DEC 78 : 513821280.000000	517745472.000000	84857432.000000	
HEX 79 : 1831A2E0	4909000	12D65EA0	
DEC 79 : 405906144.000000	76582912.000000	316038816.000000	
HEX 80 : 1E737D20	12DC1520	15DD4800	
DEC 80 : 510885152.000000	316413216.000000	366823424.000000	
HEX 81 : 1BD7CA60	AC27800	1512BD20	
DEC 81 : 467126880.000000	180516864.000000	353549600.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
