Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 15BE43C0	159E7F00	18EDE100	
DEC 1 : 364790720.000000	362708736.000000	418242816.000000	
HEX 2 : 16FC8B40	45D9878	4F7E078	
DEC 2 : 385649472.000000	73242744.000000	83353720.000000	
HEX 3 : 1D376780	14836E20	DE903C0	
DEC 3 : 490170240.000000	344157728.000000	233374656.000000	
HEX 4 : 117F2000	FC04E90	16DFA520	
DEC 4 : 293543936.000000	264261264.000000	383755552.000000	
HEX 5 : 5CB9E20	1DB2E96	14686100	
DEC 5 : 97230368.000000	31141526.000000	342384896.000000	
HEX 6 : 81111E0	150E79E0	1DF482E0	
DEC 6 : 135336416.000000	353270240.000000	502563552.000000	
HEX 7 : 1A5784C0	55142D0	1AA1A960	
DEC 7 : 441943232.000000	89211600.000000	446802272.000000	
HEX 8 : E30DE20	1893AF00	117429E0	
DEC 8 : 238083616.000000	412331776.000000	292825568.000000	
HEX 9 : 1CFF3B40	16769D20	1AC482E0	
DEC 9 : 486488896.000000	376872224.000000	449086176.000000	
HEX 10 : 7414788	AAAFCB0	94E6170	
DEC 10 : 121718664.000000	178977968.000000	156131696.000000	
HEX 11 : 5193B48	16CD7880	14D2BF00	
DEC 11 : 85539656.000000	382564480.000000	349355776.000000	
HEX 12 : E9ADF10	AC58710	CFD72D0	
DEC 12 : 245030672.000000	180717328.000000	217936592.000000	
HEX 13 : 142583C0	EFB8C40	FDDF1E0	
DEC 13 : 338002880.000000	251366464.000000	266203616.000000	
HEX 14 : 19EE1100	FD414B0	1D71FA60	
DEC 14 : 435032320.000000	265557168.000000	494008928.000000	
HEX 15 : 13B14960	8259970	1CBF0E20	
DEC 15 : 330385760.000000	136681840.000000	482283040.000000	
HEX 16 : 142396A	73ACB48	4F718F0	
DEC 16 : 21117290.000000	121293640.000000	83302640.000000	
HEX 17 : 1026CA60	25E0BC4	1969C880	
DEC 17 : 270977632.000000	39717828.000000	426363008.000000	
HEX 18 : 1E0DAC40	40F9800	83260F0	
DEC 18 : 504212544.000000	68130816.000000	137519344.000000	
HEX 19 : 131FB780	1AA3F2E0	4BEB710	
DEC 19 : 320845696.000000	446952160.000000	79607568.000000	
HEX 20 : 1D1396A0	B7D41E0	B124DA0	
