Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 70
HEX 1 : 7F61788	135E2CC0	766E000	
DEC 1 : 133568392.000000	324938944.000000	124182528.000000	
HEX 2 : D2A5D30	82A0BC0	1AE412E0	
DEC 2 : 220880176.000000	136973248.000000	451154656.000000	
HEX 3 : B6242D0	92CE970	85CA710	
DEC 3 : 190989008.000000	153938288.000000	140289808.000000	
HEX 4 : 11FF0A60	1B92B780	710F2D0	
DEC 4 : 301927008.000000	462600064.000000	118551248.000000	
HEX 5 : 1036F10	655EAD0	174B04C0	
DEC 5 : 17002256.000000	106293968.000000	390792384.000000	
HEX 6 : 110D44C0	5E4B078	144DFCC0	
DEC 6 : 286082240.000000	98873464.000000	340655296.000000	
HEX 7 : 90B5000	11EBFDA0	1925D6A0	
DEC 7 : 151736320.000000	300678560.000000	421910176.000000	
HEX 8 : 10F54C40	BCB969	19D306A0	
DEC 8 : 284511296.000000	12368233.000000	433260192.000000	
HEX 9 : 79F52D0	119ADBC0	11B6C3C0	
DEC 9 : 127881936.000000	295361472.000000	297190336.000000	
HEX 10 : 17DF6B40	3B8225C	32B9000	
DEC 10 : 400517952.000000	62399068.000000	53186560.000000	
HEX 11 : BE30F10	19C9FD20	D199260	
DEC 11 : 199429904.000000	432667936.000000	219779680.000000	
HEX 12 : 7068E20	ADD61E0	177864C0	
DEC 12 : 117870112.000000	182280672.000000	393766080.000000	
HEX 13 : E8824B0	1306C3C0	B101800	
DEC 13 : 243803312.000000	319210432.000000	185604096.000000	
HEX 14 : 21260F0	152681E0	155CCF80	
DEC 14 : 34758896.000000	354845152.000000	358403968.000000	
HEX 15 : 1411696	17CAC520	7793168	
DEC 15 : 21042838.000000	399164704.000000	125383016.000000	
HEX 16 : 187E71E0	DC34710	12C05780	
DEC 16 : 410939872.000000	230901520.000000	314595200.000000	
HEX 17 : 13AFE960	15328080	1F791100	
DEC 17 : 330295648.000000	355631232.000000	528027904.000000	
HEX 18 : 187E73C0	15361900	13DA1F00	
DEC 18 : 410940352.000000	355866880.000000	333061888.000000	
HEX 19 : 11053100	6FDBC40	CDB0F10	
DEC 19 : 285552896.000000	117292096.000000	215682832.000000	
HEX 20 : AB1E5A0	1FF65B40	16D5B000	
DEC 20 : 179430816.000000	536238912.000000	383102976.000000	
HEX 21 : 816E780	7219AD0	10CD6260	
DEC 21 : 135718784.000000	119642832.000000	281895520.000000	
HEX 22 : 12184B40	1E217960	E25B000	
DEC 22 : 303582016.000000	505510240.000000	237350912.000000	
HEX 23 : 2FB6D2C	1011C9E0	BFC91E0	
DEC 23 : 50031916.000000	269601248.000000	201101792.000000	
HEX 24 : F50B000	15484080	3EA4DA4	
DEC 24 : 256946176.000000	357056640.000000	65686948.000000	
HEX 25 : 112BF6A0	7241B48	3741BC4	
DEC 25 : 288093856.000000	119806792.000000	57940932.000000	
HEX 26 : 5D92000	B5EF2D0	1EEDEB40	
DEC 26 : 98115584.000000	190771920.000000	518908736.000000	
HEX 27 : 187E7000	13215960	9F4F710	
DEC 27 : 410939392.000000	320952672.000000	167048976.000000	
HEX 28 : 2E71968	E8D2260	4973168	
DEC 28 : 48699752.000000	244130400.000000	77017448.000000	
HEX 29 : 187E71E0	1E1074C0	15AB5880	
DEC 29 : 410939872.000000	504394944.000000	363550848.000000	
HEX 30 : 97DFA60	4354000	30054B4	
DEC 30 : 159251040.000000	70598656.000000	50353332.000000	
HEX 31 : 3CF3D2C	15120780	1DDBFA60	
DEC 31 : 63913260.000000	353503104.000000	500955744.000000	
HEX 32 : C84EF10	17B66C40	1C7A14C0	
DEC 32 : 210038544.000000	397831232.000000	477762752.000000	
HEX 33 : BB195A0	17443260	148DB160	
DEC 33 : 196187552.000000	390345312.000000	344830304.000000	
HEX 34 : 7CC3698	1F74BE20	FE74DA0	
DEC 34 : 130823832.000000	527744544.000000	266816928.000000	
HEX 35 : 187E7000	63F7348	1337B080	
DEC 35 : 410939392.000000	104821576.000000	322416768.000000	
HEX 36 : 187E7100	B9D2E20	76F2788	
DEC 36 : 410939648.000000	194850336.000000	124725128.000000	
HEX 37 : 12171780	148A0080	17C13AE0	
DEC 37 : 303503232.000000	344588416.000000	398539488.000000	
HEX 38 : 172E2880	172E34C0	3BBCE98	
DEC 38 : 388900992.000000	388904128.000000	62639768.000000	
HEX 39 : 187355A0	1A9A93C0	ADF0E20	
DEC 39 : 410211744.000000	446337984.000000	182390304.000000	
HEX 40 : 4110F10	8C4E0F0	A16FB50	
DEC 40 : 68226832.000000	147120368.000000	169278288.000000	
HEX 41 : C818A60	1D702D2	9A2B8F0	
DEC 41 : 209816160.000000	30868178.000000	161659120.000000	
HEX 42 : 12016C40	16F70F80	10755A60	
DEC 42 : 302083136.000000	385290112.000000	276126304.000000	
HEX 43 : 187E66A0	186D35A0	1AA91100	
DEC 43 : 410936992.000000	409810336.000000	447287552.000000	
HEX 44 : 187E7000	55963C0	B9C5E20	
DEC 44 : 410939392.000000	89744320.000000	194797088.000000	
HEX 45 : 295AB4C	1D3111E0	1EC30000	
DEC 45 : 43363148.000000	489755104.000000	516096000.000000	
HEX 46 : 69662D0	43EDA58	1C9C6F00	
DEC 46 : 110518992.000000	71227992.000000	480014080.000000	
HEX 47 : 197D2D2	CD97080	12A64080	
DEC 47 : 26727122.000000	215576704.000000	312885376.000000	
HEX 48 : 27D8C3C	7168620	2EB9788	
DEC 48 : 41782332.000000	118916640.000000	48994184.000000	
HEX 49 : 1140878	4827348	FFD1D30	
DEC 49 : 18090104.000000	75658056.000000	268246320.000000	
HEX 50 : 15281960	9E67880	199D2F00	
DEC 50 : 354949472.000000	166099072.000000	429731584.000000	
HEX 51 : 127E32E0	1C400780	1D1F6D20	
DEC 51 : 310260448.000000	473958272.000000	488598816.000000	
HEX 52 : 13D356A0	DFA7CB0	CD909E0	
DEC 52 : 332617376.000000	234519728.000000	215550432.000000	
HEX 53 : 101525A0	F04C4B0	1D1F6960	
DEC 53 : 269821344.000000	251970736.000000	488597856.000000	
HEX 54 : 18445E20	10C02960	19E9DF00	
DEC 54 : 407133728.000000	281028960.000000	434757376.000000	
HEX 55 : F6A4F10	D4402D0	15D4A700	
DEC 55 : 258625296.000000	222560976.000000	366257920.000000	
HEX 56 : 77CAC40	187CAC40	1E69DA6	
DEC 56 : 125611072.000000	410823744.000000	31890854.000000	
HEX 57 : 65780F0	1A3315A0	18F695A0	
DEC 57 : 106397936.000000	439555488.000000	418813344.000000	
HEX 58 : CA6AD30	CCACF80	ED7D170	
DEC 58 : 212249904.000000	214617984.000000	249024880.000000	
HEX 59 : 4B562D0	189FB880	F0CE970	
DEC 59 : 78996176.000000	413120640.000000	252504432.000000	
HEX 60 : FFC0F1	EAD3C40	19FCD000	
DEC 60 : 16761073.000000	246234176.000000	435998720.000000	
HEX 61 : 187E7000	2D864B4	1A0274C0	
DEC 61 : 410939392.000000	47735988.000000	436368576.000000	
HEX 62 : 5047A58	13BC710	A21BF10	
DEC 62 : 84179544.000000	20694800.000000	169983760.000000	
HEX 63 : 7E56000	1E31F100	87AB2D0	
DEC 63 : 132472832.000000	506589440.000000	142258896.000000	
HEX 64 : 9DA7B50	1F851000	1E938E20	
DEC 64 : 165313360.000000	528814080.000000	512986656.000000	
HEX 65 : AC0FE20	E26A620	2BEF698	
DEC 65 : 180420128.000000	237413920.000000	46069400.000000	
HEX 66 : A8C45A0	2B98788	16640440	
DEC 66 : 176965024.000000	45713288.000000	375653440.000000	
HEX 67 : 11BA5880	E58A3C0	593CE20	
DEC 67 : 297425024.000000	240690112.000000	93572640.000000	
HEX 68 : 185C7780	1EBB16A0	4931968	
DEC 68 : 408713088.000000	515577504.000000	76749160.000000	
HEX 69 : 112CC4C0	1C4C25A0	15B5B3C0	
DEC 69 : 288146624.000000	474752416.000000	364229568.000000	
HEX 70 : 1755A5A	1CFF74C0	1FA81E2	
DEC 70 : 24468058.000000	486503616.000000	33194466.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
