Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : C6F0910	E773B50	13867960	
DEC 1 : 208603408.000000	242694992.000000	327580000.000000	
HEX 2 : 1DED93A0	59D12D0	137219E0	
DEC 2 : 502109088.000000	94180048.000000	326244832.000000	
HEX 3 : 1141AC00	8013D30	4095710	
DEC 3 : 289516544.000000	134298928.000000	67720976.000000	
HEX 4 : 180B8620	14C9D880	11C7BE20	
DEC 4 : 403408416.000000	348772480.000000	298303008.000000	
HEX 5 : 49991F0	41492D0	1B60B000	
DEC 5 : 77173232.000000	68457168.000000	459321344.000000	
HEX 6 : 1E8AB500	E6AFA60	16FA25A	
DEC 6 : 512406784.000000	241891936.000000	24093274.000000	
HEX 7 : 19C89B40	1ED87F00	15BBDC40	
DEC 7 : 432577344.000000	517504768.000000	364633152.000000	
HEX 8 : 9BB7450	21BC968	163BC4C0	
DEC 8 : 163279952.000000	35375464.000000	373015744.000000	
HEX 9 : 10C2B9C0	F492000	22EDBC4	
DEC 9 : 281196992.000000	256450560.000000	36625348.000000	
HEX 10 : 94294E0	1029E4C0	7352258	
DEC 10 : 155358432.000000	271180992.000000	120922712.000000	
HEX 11 : BE015C0	198D4780	11FCFDA0	
DEC 11 : 199235008.000000	428689280.000000	301792672.000000	
HEX 12 : AAC9390	54F6968	F2B2DA0	
DEC 12 : 179082128.000000	89090408.000000	254487968.000000	
HEX 13 : 13A302E0	106F52E0	90BFD30	
DEC 13 : 329450208.000000	275731168.000000	151780656.000000	
HEX 14 : 150B3420	1929B100	171F8AE0	
DEC 14 : 353055776.000000	422162688.000000	387943136.000000	
HEX 15 : 1AA1EF80	136AE6A0	19DCC2E0	
DEC 15 : 446820224.000000	325772960.000000	433898208.000000	
HEX 16 : 1B6EDB20	E2C81E0	12FD1900	
DEC 16 : 460249888.000000	237797856.000000	318576896.000000	
HEX 17 : 9E9D850	8002A60	5B44788	
DEC 17 : 166320208.000000	134228576.000000	95700872.000000	
HEX 18 : 12AE1CA0	B1203C0	1BA3D5A0	
DEC 18 : 313400480.000000	185729984.000000	463721888.000000	
HEX 19 : DCCFAF0	CF112D0	C46B9E0	
DEC 19 : 231537392.000000	217125584.000000	205961696.000000	
HEX 20 : DCA1FA0	3287000	1C7D2000	
DEC 20 : 231350176.000000	52981760.000000	477962240.000000	
HEX 21 : 5F7F5	1C813880	1A484D20	
DEC 21 : 391157.000000	478230656.000000	440945952.000000	
HEX 22 : 5E7AD	9C872D0	F5D71E0	
DEC 22 : 386989.000000	164131536.000000	257782240.000000	
HEX 23 : 1BD8C7C0	A172D3	B8682D0	
DEC 23 : 467191744.000000	10580691.000000	193364688.000000	
HEX 24 : 1256ABE0	17315C40	1463078	
DEC 24 : 307669984.000000	389110848.000000	21377144.000000	
HEX 25 : 7253B30	1BDE3780	17EC8F80	
DEC 25 : 119880496.000000	467548032.000000	401379200.000000	
HEX 26 : 7CD45F0	13E2CE20	15F20BC0	
DEC 26 : 130893296.000000	333631008.000000	368184256.000000	
HEX 27 : 5F8F2	17CAA3C0	3F90800	
DEC 27 : 391410.000000	399156160.000000	66652160.000000	
HEX 28 : 1A8B9020	C065E20	1CE55100	
DEC 28 : 445354016.000000	201743904.000000	484790528.000000	
HEX 29 : 11B1A6E0	6809E20	C022620	
DEC 29 : 296855264.000000	109092384.000000	201467424.000000	
HEX 30 : CB95ED0	10911F00	1B1D1880	
DEC 30 : 213475024.000000	277946112.000000	454891648.000000	
HEX 31 : 2E4511C	3E37A5C	BA94CB0	
DEC 31 : 48517404.000000	65239644.000000	195644592.000000	
HEX 32 : 1DED21E0	15009F00	51D48F0	
DEC 32 : 502079968.000000	352362240.000000	85805296.000000	
HEX 33 : 14215100	102FD5A0	164F4DA0	
DEC 33 : 337727744.000000	271570336.000000	374295968.000000	
HEX 34 : 5CB3AA8	1DE614C0	41125A	
DEC 34 : 97204904.000000	501617856.000000	4264538.000000	
HEX 35 : 694BB28	ADA5C40	BD2ED30	
DEC 35 : 110410536.000000	182082624.000000	198372656.000000	
HEX 36 : 2CD0708	E4FD690	194F96A0	
DEC 36 : 46991112.000000	240113296.000000	424646304.000000	
HEX 37 : 4B8D960	C6B6E20	282325C	
