Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 8722260	17F47F00	1F3D8C40	
DEC 1 : 141697632.000000	401899264.000000	524127296.000000	
HEX 2 : 86C3620	15ED9E20	C08FBC0	
DEC 2 : 141309472.000000	367894048.000000	201915328.000000	
HEX 3 : B266290	1B9294C0	1034A960	
DEC 3 : 187064976.000000	462591168.000000	271886688.000000	
HEX 4 : C93B0B0	10183000	1F4952E	
DEC 4 : 211005616.000000	270020608.000000	32806190.000000	
HEX 5 : 724CAD0	1D0B6A60	1F3734C	
DEC 5 : 119851728.000000	487287392.000000	32731980.000000	
HEX 6 : 18746400	11C5EC40	1752D5A0	
DEC 6 : 410280960.000000	298183744.000000	391304608.000000	
HEX 7 : FF8B0F0	DCF10F0	8468E90	
DEC 7 : 267956464.000000	231674096.000000	138841744.000000	
HEX 8 : 1DC8C00	1263B880	AFA49E0	
DEC 8 : 31230976.000000	308525184.000000	184175072.000000	
HEX 9 : F6C3A20	15A744C0	1D9795A0	
DEC 9 : 258751008.000000	363283648.000000	496473504.000000	
HEX 10 : 1EF08960	E8C90F0	78CC0F0	
DEC 10 : 519080288.000000	244093168.000000	126664944.000000	
HEX 11 : 1506788	8240880	1E7D3100	
DEC 11 : 22046600.000000	136579200.000000	511521024.000000	
HEX 12 : 1F0929E0	1F8701E0	1A3D8880	
DEC 12 : 520694240.000000	528941536.000000	440240256.000000	
HEX 13 : 1D401960	10F33A60	E8460F0	
DEC 13 : 490740064.000000	284375648.000000	243556592.000000	
HEX 14 : 8423ED0	977B4B0	1BD6FC40	
DEC 14 : 138559184.000000	158839984.000000	467074112.000000	
HEX 15 : 11F0C340	19DA4B40	2DCE698	
DEC 15 : 300991296.000000	433736512.000000	48031384.000000	
HEX 16 : 714D7C0	EBF2F10	6EC7E20	
DEC 16 : 118806464.000000	247410448.000000	116162080.000000	
HEX 17 : 1F63FB40	14E9000	FA9AE20	
DEC 17 : 526646080.000000	21925888.000000	262778400.000000	
HEX 18 : 16F62220	1FA39000	175134C0	
DEC 18 : 385229344.000000	530812928.000000	391197888.000000	
HEX 19 : 1C75C4C0	1F69878	19BD1E2	
DEC 19 : 477480128.000000	32938104.000000	26989026.000000	
HEX 20 : 1CA3CB4	50260F0	D01F880	
DEC 20 : 30031028.000000	84041968.000000	218232960.000000	
HEX 21 : 199EEF80	13CB3C40	87EA690	
DEC 21 : 429846400.000000	332086336.000000	142517904.000000	
HEX 22 : 15845560	187C7E20	15760900	
DEC 22 : 360994144.000000	410811936.000000	360057088.000000	
HEX 23 : 7970220	16045C40	13D5A440	
DEC 23 : 127336992.000000	369384512.000000	332768320.000000	
HEX 24 : 16F9AA20	5F690F0	DBA8C40	
DEC 24 : 385460768.000000	100045040.000000	230329408.000000	
HEX 25 : 8DF66D0	22B93C4	7A89CB8	
DEC 25 : 148858576.000000	36410308.000000	128490680.000000	
HEX 26 : 1A481960	194D25A0	35CC000	
DEC 26 : 440932704.000000	424486304.000000	56410112.000000	
HEX 27 : 19B168C0	AB68880	19A1EA60	
DEC 27 : 431057088.000000	179734656.000000	430041696.000000	
HEX 28 : 11371840	124EEA60	155323C0	
DEC 28 : 288823360.000000	307161696.000000	357770176.000000	
HEX 29 : 159276A0	28073C4	5200AD0	
DEC 29 : 361920160.000000	41972676.000000	85986000.000000	
HEX 30 : 11D79520	B4AE780	F1F0170	
DEC 30 : 299341088.000000	189458304.000000	253690224.000000	
HEX 31 : 5343BC0	7BE7878	3FA4710	
DEC 31 : 87309248.000000	129923192.000000	66733840.000000	
HEX 32 : B8A297	B3D0F10	8EA6E20	
DEC 32 : 12100247.000000	188550928.000000	149581344.000000	
HEX 33 : 1D97B3C0	98950F0	D3F3710	
DEC 33 : 496481216.000000	159994096.000000	222246672.000000	
HEX 34 : 1BD09FC0	F7E000	90B9530	
DEC 34 : 466657216.000000	16244736.000000	151754032.000000	
HEX 35 : 1E5D9160	1CFDDC40	132EBB40	
DEC 35 : 509448544.000000	486399040.000000	321829696.000000	
HEX 36 : 18EE10C0	1F9F91E0	EAF90F0	
DEC 36 : 418255040.000000	530551264.000000	246386928.000000	
HEX 37 : 92AF88	C7B93C0	18397CC0	
DEC 37 : 9613192.000000	209425344.000000	406420672.000000	
HEX 38 : D48F9A0	1AB3BE20	8D50F10	
DEC 38 : 222886304.000000	447987232.000000	148180752.000000	
HEX 39 : 1F8233C0	DE654B0	160F8520	
DEC 39 : 528626624.000000	233198768.000000	370115872.000000	
HEX 40 : 1A8301E0	18439A60	E7D9F80	
DEC 40 : 444793312.000000	407083616.000000	243113856.000000	
HEX 41 : 4FCC440	125C4100	19E65780	
DEC 41 : 83674176.000000	308035840.000000	434526080.000000	
HEX 42 : 994400	1C077880	58850F0	
DEC 42 : 10044416.000000	470251648.000000	92819696.000000	
HEX 43 : 1515A520	1DBD9960	87E0530	
DEC 43 : 353740064.000000	498964832.000000	142476592.000000	
HEX 44 : 1D744E20	6D93B48	1460BF00	
DEC 44 : 494161440.000000	114899784.000000	341884672.000000	
HEX 45 : 15DC6260	125AA960	EDB6350	
DEC 45 : 366764640.000000	307931488.000000	249258832.000000	
HEX 46 : 15DC9660	1BC804C0	1EE63E20	
DEC 46 : 366777952.000000	466093248.000000	518405664.000000	
HEX 47 : 1C8D6F80	1EA4C5A0	8285800	
DEC 47 : 479031168.000000	514114976.000000	136861696.000000	
HEX 48 : 14D2AD60	11496780	2A92078	
DEC 48 : 349351264.000000	290023296.000000	44638328.000000	
HEX 49 : D527C4	1EAE8C40	12FADE20	
DEC 49 : 13969348.000000	514755648.000000	318430752.000000	
HEX 50 : 1D2A8260	107471E0	1D0C01E0	
DEC 50 : 489325152.000000	276066784.000000	487326176.000000	
HEX 51 : 16CE1440	144F84C0	1E37C780	
DEC 51 : 382604352.000000	340755648.000000	506972032.000000	
HEX 52 : 1E0C5000	6391878	1DD2BF00	
