Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 3D1A698	D89D880	FE5CE90	
DEC 1 : 64071320.000000	227137664.000000	266718864.000000	
HEX 2 : 598878	1521D2E	18975A60	
DEC 2 : 5867640.000000	22158638.000000	412572256.000000	
HEX 3 : 1ED4C6A0	C4071E0	37BC788	
DEC 3 : 517260960.000000	205550048.000000	58443656.000000	
HEX 4 : 5016AD0	62B8B48	10E47D20	
DEC 4 : 83978960.000000	103517000.000000	283409696.000000	
HEX 5 : 10E79260	1619D2E	4E41000	
DEC 5 : 283611744.000000	23174446.000000	82055168.000000	
HEX 6 : 1219CA60	1A9BAD20	16492100	
DEC 6 : 303680096.000000	446410016.000000	373891328.000000	
HEX 7 : 119306A0	12823C40	DBA3530	
DEC 7 : 294848160.000000	310524992.000000	230307120.000000	
HEX 8 : DFF12D0	EE0EA60	726CE98	
DEC 8 : 234820304.000000	249621088.000000	119983768.000000	
HEX 9 : A99CBC0	15012E20	C5FB530	
DEC 9 : 177851328.000000	352398880.000000	207598896.000000	
HEX 10 : 1160B440	1A96A2E0	E2C5E90	
DEC 10 : 291550272.000000	446079712.000000	237788816.000000	
HEX 11 : 167F5F80	3926968	1A3696	
DEC 11 : 377446272.000000	59926888.000000	1717910.000000	
HEX 12 : 102FDC40	D9C40F0	1E9AA1E0	
DEC 12 : 271572032.000000	228344048.000000	513450464.000000	
HEX 13 : 10A5F3C0	8CC4B50	396FB4C	
DEC 13 : 279311296.000000	147606352.000000	60226380.000000	
HEX 14 : 18948DA0	6152788	ED6A8F0	
DEC 14 : 412388768.000000	102049672.000000	248948976.000000	
HEX 15 : 96461E0	70D8000	4960A58	
DEC 15 : 157573600.000000	118325248.000000	76941912.000000	
HEX 16 : 1C6E1780	17A42880	1B088E20	
DEC 16 : 476977024.000000	396634240.000000	453545504.000000	
HEX 17 : D2F58F0	740DA58	12C5EAE0	
DEC 17 : 221206768.000000	121690712.000000	314960608.000000	
HEX 18 : 45C2F88	EA23C40	1BC58D20	
DEC 18 : 73150344.000000	245513280.000000	465931552.000000	
HEX 19 : 189CA100	5AD969	962ADA0	
DEC 19 : 412918016.000000	5953897.000000	157461920.000000	
HEX 20 : CC662D0	1A12D780	73F4168	
DEC 20 : 214328016.000000	437442432.000000	121586024.000000	
HEX 21 : 1AC6D3C0	A291D30	14C65080	
DEC 21 : 449237952.000000	170466608.000000	348541056.000000	
HEX 22 : 1B9F3A60	1A7A3F00	6A15620	
DEC 22 : 463420000.000000	444219136.000000	111236640.000000	
HEX 23 : 1BD63620	F80A780	1E249100	
DEC 23 : 467023392.000000	260089728.000000	505712896.000000	
HEX 24 : 12CEEDA0	1F07B5A0	1D9E1	
DEC 24 : 315551136.000000	520598944.000000	121313.000000	
HEX 25 : 8644E20	1EF2BC40	19D973C0	
DEC 25 : 140791328.000000	519224384.000000	433681344.000000	
HEX 26 : 1602DAE0	13FF93C0	1C85E5A0	
DEC 26 : 369285856.000000	335516608.000000	478537120.000000	
HEX 27 : 9F63780	30E5698	18210700	
DEC 27 : 167131008.000000	51271320.000000	404817664.000000	
HEX 28 : 1F8C1B40	3065F10	1B5FF5A0	
DEC 28 : 529275712.000000	50749200.000000	459273632.000000	
HEX 29 : E929970	14703E20	1AB59A60	
DEC 29 : 244488560.000000	342900256.000000	448109152.000000	
HEX 30 : 19DCAA60	F740880	F62BBC0	
DEC 30 : 433891936.000000	259262592.000000	258128832.000000	
HEX 31 : A299A60	1795D3C0	A3734B	
DEC 31 : 170498656.000000	395695040.000000	10711883.000000	
HEX 32 : CF03DA0	1F87EA60	13E05160	
DEC 32 : 217071008.000000	529001056.000000	333468000.000000	
HEX 33 : 12FD4F00	684F878	17831620	
DEC 33 : 318590720.000000	109377656.000000	394466848.000000	
HEX 34 : 228CB4C	6E62968	27FCE20	
DEC 34 : 36227916.000000	115747176.000000	41930272.000000	
HEX 35 : 194DAE20	6CDA2D0	1D3F76A0	
DEC 35 : 424521248.000000	114139856.000000	490698400.000000	
HEX 36 : 1E1C6BC0	1EE20780	19D72780	
DEC 36 : 505179072.000000	518129536.000000	433530752.000000	
HEX 37 : 390B9E0	150415A0	F0E5B50	
DEC 37 : 59816416.000000	352589216.000000	252599120.000000	
HEX 38 : 602F5A8	14A0B100	66AAF10	
DEC 38 : 100857256.000000	346075392.000000	107654928.000000	
HEX 39 : 9EC08F0	119644C0	1FE62A60	
DEC 39 : 166463728.000000	295060672.000000	535177824.000000	
HEX 40 : 1CE13960	A889690	A8CDE20	
DEC 40 : 484522336.000000	176723600.000000	177004064.000000	
HEX 41 : 448C968	99CF690	97D4CB0	
DEC 41 : 71879016.000000	161281680.000000	159206576.000000	
HEX 42 : 142516A0	1B678780	6782348	
DEC 42 : 337974944.000000	459769728.000000	108536648.000000	
HEX 43 : B76C080	8CE2D30	B9BF780	
DEC 43 : 192331904.000000	147729712.000000	194770816.000000	
HEX 44 : 1953C620	1CF9B2E0	1F592000	
DEC 44 : 424920608.000000	486126304.000000	525934592.000000	
HEX 45 : D4EFAD0	15951960	136023C0	
DEC 45 : 223279824.000000	362092896.000000	325067712.000000	
HEX 46 : D4852D	16C95960	1ED432E0	
DEC 46 : 13927725.000000	382294368.000000	517223136.000000	
HEX 47 : 51E3620	DD442D0	34E9F10	
DEC 47 : 85866016.000000	232014544.000000	55484176.000000	
HEX 48 : 81E6710	18A5A5A0	1E00C2E0	
DEC 48 : 136210192.000000	413509024.000000	503366368.000000	
HEX 49 : 15628AE0	E44AB50	8CF1C40	
DEC 49 : 358779616.000000	239381328.000000	147790912.000000	
HEX 50 : 17D4DD20	15DA65A0	B34C9E0	
DEC 50 : 399826208.000000	366634400.000000	188008928.000000	
HEX 51 : F2489E0	D3FD0F0	1727FBC0	
DEC 51 : 254052832.000000	222286064.000000	388496320.000000	
HEX 52 : 1ECF3000	1B670F0	1179C340	
DEC 52 : 516894720.000000	28733680.000000	293192512.000000	
HEX 53 : 1DE91D20	4C92B48	3298A5C	
DEC 53 : 501816608.000000	80292680.000000	53054044.000000	
HEX 54 : 11F7F5A0	504EE20	B658A60	
DEC 54 : 301462944.000000	84209184.000000	191203936.000000	
HEX 55 : B4288F0	E44CD30	10C949E0	
DEC 55 : 188909808.000000	239390000.000000	281627104.000000	
HEX 56 : 1264D1E0	1A79C000	1DCEE6A0	
DEC 56 : 308597216.000000	444186624.000000	500098720.000000	
HEX 57 : 76E78F0	1AB5C000	121BE960	
DEC 57 : 124680432.000000	448118784.000000	303819104.000000	
HEX 58 : 175D71E0	73EDE20	69E09E0	
DEC 58 : 391999968.000000	121560608.000000	111020512.000000	
HEX 59 : 1479A9E0	11F02960	14A6EBC0	
DEC 59 : 343517664.000000	300951904.000000	346483648.000000	
HEX 60 : 19113100	141A5880	38B15A4	
DEC 60 : 420557056.000000	337270912.000000	59446692.000000	
HEX 61 : 19996A60	2FE4788	16C223C0	
DEC 61 : 429484640.000000	50218888.000000	381821888.000000	
HEX 62 : 1600C4C0	2864B4	1E86F3C0	
DEC 62 : 369149120.000000	2647220.000000	512160704.000000	
HEX 63 : 1E403080	1AB8CE20	FACBDA0	
DEC 63 : 507523200.000000	448319008.000000	262978976.000000	
HEX 64 : 110C23C0	9423C4	13504340	
DEC 64 : 286008256.000000	9708484.000000	324027200.000000	
HEX 65 : 161B8DA0	CE71780	1A01AE20	
DEC 65 : 370904480.000000	216471424.000000	436317728.000000	
HEX 66 : 34B5800	19A04960	184E4700	
DEC 66 : 55269376.000000	429934944.000000	407783168.000000	
HEX 67 : AC1E710	1C5BC3C	E3715A0	
DEC 67 : 180479760.000000	29735996.000000	238491040.000000	
HEX 68 : 33FB25C	22A4878	91B6BC0	
DEC 68 : 54506076.000000	36325496.000000	152792000.000000	
HEX 69 : 579D800	1EF74B4	1E124F00	
DEC 69 : 91871232.000000	32470196.000000	504516352.000000	
HEX 70 : 2B7A0F0	1DBEDB40	D15A880	
DEC 70 : 45588720.000000	499047232.000000	219523200.000000	
HEX 71 : 178BDAE0	CF56A60	1B7616A	
DEC 71 : 395041504.000000	217410144.000000	28795242.000000	
HEX 72 : 1CC53960	114B2880	16215780	
DEC 72 : 482687328.000000	290138240.000000	371283840.000000	
HEX 73 : 136C1160	BB573C0	107B2000	
DEC 73 : 325849440.000000	196441024.000000	276504576.000000	
HEX 74 : 5D111E0	1CC944C0	64A43C0	
DEC 74 : 97587680.000000	482952384.000000	105530304.000000	
HEX 75 : F59FB50	37D8F10	1D5E5D20	
DEC 75 : 257555280.000000	58560272.000000	492723488.000000	
HEX 76 : 18434B4	192A4E20	14801E2	
DEC 76 : 25441460.000000	422202912.000000	21496290.000000	
HEX 77 : 1810D900	1D9E14C0	C810CB0	
DEC 77 : 403757312.000000	496899264.000000	209783984.000000	
HEX 78 : 3CFB710	7FF8C40	183E9800	
DEC 78 : 63944464.000000	134188096.000000	406755328.000000	
HEX 79 : 18DD35A0	180A16A0	14334700	
DEC 79 : 417150368.000000	403314336.000000	338904832.000000	
HEX 80 : 11955EA0	14BDA5A0	41381E0	
DEC 80 : 295001760.000000	347973024.000000	68387296.000000	
HEX 81 : 1E09E340	11CE5C40	8C95440	
DEC 81 : 503964480.000000	298736704.000000	147412032.000000	
HEX 82 : A4965A0	9B3FE20	1BB00C40	
DEC 82 : 172582304.000000	162790944.000000	464522304.000000	
HEX 83 : 6F8E3C0	123F94C0	15B482E0	
DEC 83 : 116974528.000000	306156736.000000	364151520.000000	
HEX 84 : 169F24C0	1FFBC880	18FF8960	
DEC 84 : 379528384.000000	536594560.000000	419400032.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
