Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 79DA440	18AFBB40	10FF0880	
DEC 1 : 127771712.000000	414169920.000000	285149312.000000	
HEX 2 : 9CA7530	1DB13100	A13B3C0	
DEC 2 : 164263216.000000	498151680.000000	169063360.000000	
HEX 3 : C0D4690	5F52788	6213C4	
DEC 3 : 202196624.000000	99952520.000000	6427588.000000	
HEX 4 : 399969	1374FE20	FCCB8F0	
DEC 4 : 3774825.000000	326434336.000000	265074928.000000	
HEX 5 : 1D8CA5A0	60853C0	DB4E1E0	
DEC 5 : 495756704.000000	101209024.000000	229958112.000000	
HEX 6 : B012970	1BCED880	1FDF7780	
DEC 6 : 184625520.000000	466540672.000000	534738816.000000	
HEX 7 : 190F96A0	1D2A1E20	74CD1E0	
DEC 7 : 420452000.000000	489299488.000000	122474976.000000	
HEX 8 : CCF8B50	1645A6A0	B8CD690	
DEC 8 : 214928208.000000	373663392.000000	193779344.000000	
HEX 9 : C8BC880	26D7000	1FB036A0	
DEC 9 : 210487424.000000	40726528.000000	531642016.000000	
HEX 10 : 3E41968	126FE2E0	2A50DA4	
DEC 10 : 65280360.000000	309322464.000000	44371364.000000	
HEX 11 : 146BBA60	8FF0E20	CEC9CB0	
DEC 11 : 342604384.000000	150933024.000000	216833200.000000	
HEX 12 : 142B4620	89973C0	3B62698	
DEC 12 : 338380320.000000	144274368.000000	62269080.000000	
HEX 13 : 1A08800	AC55E20	17D6D000	
DEC 13 : 27297792.000000	180706848.000000	399953920.000000	
HEX 14 : A6A8260	FB6FF10	1ADBE100	
DEC 14 : 174752352.000000	263651088.000000	450617600.000000	
HEX 15 : 1AA6A5A0	9291880	7804F10	
DEC 15 : 447128992.000000	153688192.000000	125849360.000000	
HEX 16 : 1C3196A0	F5D4D30	385FBC4	
DEC 16 : 473011872.000000	257772848.000000	59112388.000000	
HEX 17 : 1E225B40	15DE4000	DCCF5A0	
DEC 17 : 505568064.000000	366886912.000000	231536032.000000	
HEX 18 : 11B8F440	E2CC5A0	19E432E0	
DEC 18 : 297333824.000000	237815200.000000	434385632.000000	
HEX 19 : 84EB3C0	1C016960	18550E20	
DEC 19 : 139375552.000000	469854560.000000	408227360.000000	
HEX 20 : ECB29E0	1DF1F100	15098100	
DEC 20 : 248195552.000000	502395136.000000	352944384.000000	
HEX 21 : 17D316A0	BFCEC40	1DB8D880	
DEC 21 : 399709856.000000	201124928.000000	498653312.000000	
HEX 22 : 190516A0	1FBD6E20	399B4B	
DEC 22 : 419763872.000000	532508192.000000	3775307.000000	
HEX 23 : 27095A4	1C23F4C0	994CA60	
DEC 23 : 40932772.000000	472118464.000000	160746080.000000	
HEX 24 : 90DF260	BD86F10	14878800	
DEC 24 : 151908960.000000	198733584.000000	344426496.000000	
HEX 25 : 14BCA340	4760000	1EA753C0	
DEC 25 : 347906880.000000	74842112.000000	514282432.000000	
HEX 26 : 1D24C5A0	7877C40	960CB5	
DEC 26 : 488949152.000000	126319680.000000	9833653.000000	
HEX 27 : 17C5ACC0	1AFEA960	E64BE20	
DEC 27 : 398830784.000000	452897120.000000	241483296.000000	
HEX 28 : 14E00F00	161F9F00	94E6620	
DEC 28 : 350228224.000000	371171072.000000	156132896.000000	
HEX 29 : 140AF880	EBEAA60	80F6620	
DEC 29 : 336263296.000000	247376480.000000	135226912.000000	
HEX 30 : E1AB710	EF122D0	CAF4A60	
DEC 30 : 236631824.000000	250684112.000000	212814432.000000	
HEX 31 : 1E787F00	158B8E20	1AB501E0	
